Real Det Return,Itration,Running Reverse KL,Running Forward KL,Running Update Time,Real Sto Return,Reward Loss,Running Env Steps
237.39,0,17.4975,32.7859,0,205.63,369.1199645996094,0
221.49,1,25.4594,32.6277,1,237.2,190.20411682128906,5000
288.65,2,27.704,31.5347,2,293.04,293.1340637207031,10000
312.0,3,33.6501,31.346,3,306.14,361.5296936035156,15000
309.93,4,24.3413,30.6339,4,301.61,-2.5483808517456055,20000
340.69,5,26.6442,29.8443,5,310.88,224.51513671875,25000
305.18,6,23.8768,30.8152,6,307.01,-149.434814453125,30000
310.16,7,20.6615,30.8344,7,308.31,-218.14715576171875,35000
331.09,8,24.4496,29.213,8,331.57,-251.38282775878906,40000
373.04,9,32.8096,28.4063,9,370.46,-53.44837188720703,45000
399.86,10,23.8154,27.9044,10,392.19,-192.6808319091797,50000
350.48,11,24.2219,27.9427,11,480.51,-256.2223205566406,55000
1530.59,12,20.5847,26.9981,12,1493.06,-271.377685546875,60000
855.31,13,25.1549,28.009,13,813.32,-378.4226379394531,65000
944.17,14,26.6315,27.7678,14,873.1,-419.648681640625,70000
1068.49,15,20.1564,26.6987,15,972.76,-453.0393371582031,75000
1276.15,16,23.3376,26.3113,16,996.04,-515.2338256835938,80000
2275.51,17,22.6041,25.9881,17,1438.95,-496.21209716796875,85000
3142.95,18,16.2455,25.3113,18,2065.8,-361.4064636230469,90000
3138.43,19,14.949,24.5537,19,2478.96,-310.6014099121094,95000
3062.81,20,15.4818,25.1449,20,3014.17,-263.91424560546875,100000
3139.7,21,16.6444,25.0728,21,3108.06,-273.4791564941406,105000
3091.17,22,15.7161,24.8829,22,2836.6,-292.36376953125,110000
3149.93,23,15.5311,25.3892,23,2809.43,-413.4369812011719,115000
3162.91,24,14.5254,25.2841,24,2608.05,-422.60650634765625,120000
3138.52,25,15.8834,24.9572,25,2795.6,-384.0101318359375,125000
3039.01,26,15.9489,24.4918,26,3076.21,-349.9927673339844,130000
3150.46,27,15.5797,24.2229,27,3045.38,-345.9463195800781,135000
3119.75,28,14.3697,23.8091,28,3076.87,-314.82232666015625,140000
2775.95,29,15.2609,24.6127,29,2995.68,-371.11309814453125,145000
2849.03,30,14.5895,24.2186,30,2989.02,-374.02252197265625,150000
3144.78,31,14.3578,24.1893,31,3101.92,-398.8543701171875,155000
3104.71,32,14.3609,23.4854,32,2919.81,-378.3741455078125,160000
3117.17,33,15.8886,24.3909,33,2899.6,-429.55462646484375,165000
3100.65,34,15.0269,24.235,34,3079.17,-396.3298034667969,170000
3127.73,35,16.3141,24.7845,35,3091.04,-456.6659240722656,175000
3133.38,36,16.8692,24.604,36,3032.68,-487.854248046875,180000
3103.85,37,16.2616,24.823,37,3016.66,-443.8471374511719,185000
2639.1,38,15.1937,24.2018,38,3078.75,-478.37713623046875,190000
3143.94,39,15.5647,24.3488,39,3125.48,-455.0904235839844,195000
3193.35,40,19.8986,24.3231,40,2652.19,-604.6900634765625,200000
3177.08,41,15.9094,24.3419,41,3087.23,-519.46337890625,205000
3152.32,42,15.69,24.0305,42,3071.69,-561.3365478515625,210000
3144.01,43,15.4931,23.9713,43,3082.83,-493.5654296875,215000
3197.13,44,16.4066,24.3428,44,2723.6,-636.5208129882812,220000
3112.58,45,15.4316,24.078,45,2863.35,-609.582763671875,225000
3157.35,46,20.8558,24.4501,46,2523.6,-680.4901123046875,230000
3124.14,47,15.7889,23.8838,47,3070.39,-611.0374755859375,235000
3181.92,48,16.6141,24.375,48,2842.6,-699.5658569335938,240000
