Running Update Time,Itration,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Reward Loss
0,0,433.05,439.61,12.6114,0,49.4124,-82.04655456542969
1,1,350.56,367.72,12.7205,5000,48.9747,-142.25869750976562
2,2,405.3,440.61,15.9575,10000,49.3093,-65.66043090820312
3,3,347.23,330.89,16.9849,15000,49.1285,-128.6911163330078
4,4,327.07,324.16,13.8387,20000,49.5521,-211.57159423828125
5,5,380.93,371.14,13.5936,25000,48.4699,-174.20664978027344
6,6,398.81,380.24,12.9277,30000,49.0772,-156.7917022705078
7,7,372.2,369.23,14.621,35000,48.8949,-159.02476501464844
8,8,551.82,862.29,13.3276,40000,48.0916,-213.75152587890625
9,9,632.12,629.67,13.6003,45000,48.218,-242.75909423828125
10,10,479.75,474.93,12.9245,50000,48.5574,-213.95123291015625
11,11,474.73,463.71,21.3275,55000,48.8358,-107.15603637695312
12,12,605.59,685.17,15.9614,60000,47.6337,-272.7069091796875
13,13,1122.66,1728.44,11.9779,65000,46.1925,-247.0847625732422
14,14,1194.98,1679.8,13.6665,70000,45.8608,-298.4198913574219
15,15,714.24,744.94,13.5057,75000,46.2904,-350.86553955078125
16,16,704.06,800.02,14.6735,80000,46.6222,-377.69183349609375
17,17,739.27,742.54,18.6762,85000,46.3453,-390.1612854003906
18,18,707.7,675.09,12.7249,90000,46.2332,-424.99169921875
19,19,827.0,674.95,13.6975,95000,46.1498,-406.2516784667969
20,20,1352.26,1476.11,12.9224,100000,45.262,-314.017822265625
21,21,1239.11,1756.3,15.0618,105000,44.8195,-311.644287109375
22,22,1666.31,1351.56,13.9914,110000,45.4479,-298.7930908203125
23,23,1614.44,1791.13,13.3486,115000,44.7511,-260.5010681152344
24,24,1941.72,1793.14,13.0408,120000,44.0224,-317.3853759765625
25,25,1885.1,1765.58,14.2703,125000,43.7627,-314.0088806152344
26,26,2229.01,2660.68,14.547,130000,43.1658,-266.10247802734375
27,27,2393.08,2544.45,12.6486,135000,43.2748,-288.89154052734375
28,28,3162.01,3315.34,13.7013,140000,42.1325,-189.90829467773438
29,29,3430.43,3510.36,13.5958,145000,42.1406,-155.39451599121094
30,30,3257.93,3120.18,13.7745,150000,42.3369,-175.7126922607422
31,31,3678.67,3740.18,14.3676,155000,40.7605,-157.5279998779297
32,32,3839.1,3821.34,13.563,160000,41.2549,-154.75466918945312
33,33,3907.1,3936.89,14.1604,165000,40.435,-154.98524475097656
34,34,3904.59,3927.83,14.3649,170000,39.192,-128.36984252929688
35,35,3761.2,3685.03,14.3662,175000,41.5229,-164.9394073486328
36,36,3877.9,3819.58,13.9957,180000,39.9037,-154.32754516601562
37,37,3858.88,3932.1,14.2599,185000,40.3286,-168.21807861328125
38,38,3791.88,3696.1,13.3497,190000,40.8357,-158.8743438720703
39,39,4111.5,4120.15,14.2251,195000,38.6168,-155.98423767089844
40,40,4134.5,4262.57,13.1988,200000,38.6331,-155.70651245117188
41,41,4047.55,4149.04,13.5623,205000,37.9,-170.86077880859375
42,42,4157.39,4175.93,13.0944,210000,37.9573,-158.92311096191406
43,43,4198.52,4245.42,13.2626,215000,38.4071,-172.91482543945312
44,44,3930.76,4002.78,12.3145,220000,39.1522,-209.36813354492188
45,45,4160.79,4203.13,13.8755,225000,38.3275,-175.2350311279297
46,46,4358.58,4408.81,12.4277,230000,37.4292,-160.5564727783203
47,47,4014.17,4209.2,13.57,235000,37.9353,-177.2298126220703
48,48,3689.25,3246.92,17.0198,240000,39.5225,-275.2815246582031
49,49,4183.44,4156.86,14.8376,245000,38.0858,-182.07901000976562
50,50,3898.6,4181.71,14.9987,250000,39.549,-210.218017578125
51,51,3766.71,3858.36,16.8103,255000,40.3114,-231.3050994873047
