Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
27.1821,-150.8556671142578,0,0,0,198.08,32.5511,203.09
27.7672,-546.2872314453125,1,1,5000,222.77,31.7912,227.45
39.2897,-477.387451171875,2,2,10000,246.28,30.0864,264.67
12.836,-240.03033447265625,3,3,15000,336.44,28.8613,344.58
15.2063,-238.3175048828125,4,4,20000,265.52,27.8597,404.66
15.5986,-18.365615844726562,5,5,25000,353.05,28.0115,359.9
15.4849,-301.3966369628906,6,6,30000,376.08,27.9786,379.14
15.7152,-353.93896484375,7,7,35000,369.46,28.5256,378.81
62.2272,-907.7357177734375,8,8,40000,431.19,26.926,489.28
16.7702,-535.1129760742188,9,9,45000,334.89,28.7255,320.57
18.9727,-649.5234985351562,10,10,50000,261.09,29.9652,243.05
27.5123,-815.0237426757812,11,11,55000,314.27,28.4676,349.13
97.4452,-1442.70849609375,12,12,60000,394.73,27.0237,383.07
14.4565,-757.7114868164062,13,13,65000,343.07,27.5944,402.62
13.4256,-738.073974609375,14,14,70000,440.96,27.3127,558.29
24.599,-871.4964599609375,15,15,75000,612.95,27.2591,591.13
29.8762,-1209.7193603515625,16,16,80000,614.41,27.4217,579.39
22.642,-783.8704833984375,17,17,85000,483.87,27.4372,454.34
23.5078,-1263.3072509765625,18,18,90000,524.93,28.0614,542.57
71.5264,-1549.5589599609375,19,19,95000,627.85,26.3179,635.3
67.2955,-1654.715576171875,20,20,100000,575.55,28.1931,537.77
27.456,-707.7791137695312,21,21,105000,672.45,27.3749,677.37
21.7668,-887.2722778320312,22,22,110000,514.46,26.9466,503.01
24.5469,-682.88525390625,23,23,115000,660.09,26.5132,685.26
25.637,-1251.8095703125,24,24,120000,668.16,26.3556,690.36
34.1198,-1071.208984375,25,25,125000,678.92,26.1711,706.33
47.4229,-2130.327392578125,26,26,130000,657.47,27.0067,660.63
33.2836,-1429.85009765625,27,27,135000,678.4,26.5777,691.02
40.3476,-1792.656005859375,28,28,140000,660.82,27.0729,666.33
26.504,-1353.18115234375,29,29,145000,526.62,26.6203,387.86
68.2913,-2109.145751953125,30,30,150000,606.23,26.5024,491.58
90.5582,-935.571533203125,31,31,155000,701.69,26.5688,717.74
42.419,-1516.4383544921875,32,32,160000,687.97,26.402,703.61
49.1481,-1148.2816162109375,33,33,165000,701.38,26.4259,717.3
44.026,-2290.048583984375,34,34,170000,696.39,26.38,705.54
30.9363,-1703.27587890625,35,35,175000,683.68,26.076,696.55
24.5974,-1371.1566162109375,36,36,180000,714.44,26.0289,718.87
69.3846,-847.803466796875,37,37,185000,706.38,26.6559,713.19
22.926,-1717.5941162109375,38,38,190000,711.83,26.2443,708.72
48.6601,-1581.0118408203125,39,39,195000,719.77,25.8739,725.14
29.5329,-1935.339111328125,40,40,200000,704.67,26.1644,706.02
34.5985,-2210.707763671875,41,41,205000,753.44,25.0075,727.78
64.8158,-2540.2919921875,42,42,210000,711.68,26.1922,731.8
37.9805,-2515.427001953125,43,43,215000,722.1,25.5294,745.89
48.3779,-3091.29833984375,44,44,220000,747.67,25.5277,789.14
67.4315,-2291.27880859375,45,45,225000,749.27,25.8529,763.85
26.1543,-2389.789306640625,46,46,230000,795.09,25.3565,836.77
39.49,-2442.28271484375,47,47,235000,742.79,25.1945,755.4
26.7959,-2483.917236328125,48,48,240000,663.17,25.9582,513.7
29.3909,-2153.09765625,49,49,245000,730.53,25.7334,761.45
30.9858,-2261.86669921875,50,50,250000,742.85,25.6016,765.81
55.2971,-3038.76171875,51,51,255000,756.14,25.4351,786.59
33.2415,-2562.77490234375,52,52,260000,789.97,25.2916,839.34
22.0693,-2487.514404296875,53,53,265000,734.46,25.1668,780.69
39.1508,-2297.74951171875,54,54,270000,844.12,24.3397,886.89
59.9642,-3088.66748046875,55,55,275000,745.94,25.3549,778.71
