Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return
0,288.68,332.76,426.3831,304.39
1,256.3295,375.87,408.3785,410.59
2,277.6851,378.76,394.3156,492.16
3,271.9393,370.64,402.8938,326.88
4,261.2259,442.64,396.9503,549.16
5,324.0701,400.02,397.8202,387.93
6,275.2871,462.61,385.9203,477.81
7,268.2334,546.44,373.0365,391.8
8,276.34,601.99,362.8902,402.35
9,275.2367,684.05,356.1119,745.96
10,272.5827,667.45,362.7695,674.36
11,271.1148,551.71,356.5077,661.61
12,296.907,576.45,355.8441,557.54
13,271.4339,731.18,347.012,682.27
14,351.5404,711.51,342.3622,782.86
15,312.0542,673.29,355.045,622.69
16,378.9569,620.68,350.0207,756.39
17,339.3052,504.17,366.3293,492.38
18,267.2896,641.11,335.6358,872.93
19,299.1794,627.84,343.7569,793.67
20,280.0359,664.78,357.9386,666.62
21,265.4733,708.04,333.511,595.54
22,267.2415,751.78,325.8757,785.66
23,247.9239,856.71,322.0407,719.17
24,249.4399,765.91,332.3761,1027.2
25,252.9208,785.31,327.2725,963.95
26,233.4066,773.15,309.5575,721.28
27,229.311,663.32,339.8736,782.85
28,235.2616,909.45,323.5287,765.6
29,235.7492,952.69,345.305,780.29
30,227.0825,993.66,322.8273,717.85
31,201.3527,1211.08,309.9697,941.96
32,233.8039,1001.94,323.9474,721.52
33,234.8838,883.91,336.8918,685.53
34,239.7567,728.84,336.2044,717.92
35,257.608,910.26,327.0061,869.59
36,260.0899,1167.99,310.461,929.55
37,189.4929,979.62,292.2205,969.37
38,220.2441,1373.67,293.1492,950.44
39,266.3555,1285.21,303.8104,981.32
40,217.4328,1655.22,285.1555,954.17
41,233.9483,1366.64,291.9552,907.95
42,125.5317,2685.56,256.5351,912.42
43,215.4504,2205.89,278.8205,983.59
44,137.2701,2889.72,259.4658,3149.44
45,207.6745,2568.33,274.1386,3751.65
46,94.5126,4193.82,248.3265,1339.06
47,90.3577,3739.21,242.1739,2020.2
48,143.7567,3044.68,254.0941,2028.51
49,139.3714,3279.3,251.388,2428.49
50,166.4327,2897.73,268.8457,2980.78
51,102.4969,3050.52,245.1911,2157.18
52,82.4605,3805.01,241.8326,2662.09
53,106.2157,4045.62,247.8334,1703.62
54,48.8031,3457.55,235.5469,1046.91
55,104.0669,2706.49,258.6995,1148.62
56,60.6966,4484.13,229.4369,3152.73
57,81.9149,3064.79,241.7771,1106.69
58,94.7214,3853.48,249.4311,3116.36
59,69.2689,4197.73,240.7005,3257.75
60,110.0192,3936.3,254.1316,2796.64
61,60.7486,4153.3,240.3419,3153.35
62,80.755,3770.91,246.9257,3458.28
63,61.3714,4280.81,236.9127,3845.98
64,117.2767,3701.68,254.4959,3960.25
65,44.767,4913.85,229.6629,3499.3
66,60.3928,3338.64,239.4888,3785.34
67,43.2328,3810.56,226.1706,4344.9
68,44.8218,4688.72,230.8732,3965.19
69,68.1741,4993.34,239.2061,4143.76
70,45.2419,4536.51,231.2035,4524.44
71,45.6156,5080.77,227.5192,5164.17
72,47.0856,5132.5,223.2031,4984.15
73,44.6327,4518.56,226.9058,4169.62
74,59.3062,4796.72,235.739,4833.64
75,55.9112,5058.21,228.5194,2320.9
76,49.8798,3976.07,233.2713,4721.76
77,54.3328,5157.57,236.9337,5202.45
78,50.1291,4941.74,236.4093,4239.6
79,52.5436,5114.18,232.5064,5122.79
80,53.471,5128.11,232.0063,5160.04
81,44.8748,4739.87,232.1701,4808.41
82,56.7537,5153.09,229.9722,5078.69
83,47.6931,4808.55,239.0334,4901.97
84,40.4597,5152.25,230.6123,4701.79
85,47.7404,5139.42,239.1039,5086.31
86,46.8556,5088.04,234.6381,3022.45
87,41.052,5015.49,226.2124,4853.26
88,47.0524,5075.83,238.1811,3734.42
89,42.7446,4866.34,237.6364,3016.69
90,38.4982,4734.21,229.7356,4648.37
91,35.4526,5000.92,229.7036,5104.12
92,57.4473,4937.2,241.0883,5029.78
93,59.0349,4913.92,233.0454,5216.42
94,52.4708,4671.75,244.7529,5108.02
95,42.2771,5165.98,227.6606,5243.63
96,62.9394,4557.53,232.7527,5035.18
97,31.6413,4971.96,222.0018,5159.16
98,57.6502,4760.92,232.289,4944.71
99,32.082,5093.85,228.0533,5105.01
100,51.4966,4834.14,232.3218,4365.38
101,28.5862,5293.11,219.7934,5030.96
102,25.2714,5213.71,221.1157,5179.5
103,36.1571,5028.68,224.5928,5195.53
104,39.2604,4959.27,230.6813,5199.72
105,26.8698,4820.83,225.1013,5330.8
106,38.5544,5047.34,230.4389,4995.46
107,41.1205,5232.22,232.9814,5304.89
