Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Itration,Running Forward KL,Running Update Time
22.6802,191.38,-1404.7845458984375,195.77,0,0,31.59,0
27.1464,190.43,-1505.552001953125,166.5,5000,1,31.5129,1
20.4454,327.63,-1253.9674072265625,330.66,10000,2,31.4597,2
19.7283,233.58,-1438.2808837890625,230.43,15000,3,30.8318,3
19.1618,324.2,-1529.8160400390625,324.29,20000,4,31.1497,4
14.7938,265.44,-1275.2032470703125,270.99,25000,5,31.0952,5
21.4236,360.07,-1638.7586669921875,375.64,30000,6,32.2338,6
20.9877,682.35,-1594.7232666015625,1046.3,35000,7,32.2957,7
23.614,747.16,-1928.914306640625,907.91,40000,8,32.4709,8
25.4954,807.63,-2119.086669921875,1012.84,45000,9,30.7822,9
43.2493,322.96,-1758.572021484375,373.07,50000,10,32.7243,10
49.2374,398.25,-1698.322021484375,397.28,55000,11,31.2715,11
30.7585,1001.02,-2323.8896484375,999.23,60000,12,37.5592,12
24.0514,1003.25,-2315.514404296875,997.0,65000,13,33.7559,13
17.5246,380.44,-1776.1766357421875,401.29,70000,14,32.1209,14
29.9991,998.94,-2472.9287109375,999.28,75000,15,37.9034,15
24.5138,1022.1,-2501.725830078125,1022.5,80000,16,36.085,16
23.2647,938.06,-2422.69970703125,1017.33,85000,17,35.0116,17
21.5998,1049.51,-2618.096923828125,1049.14,90000,18,37.4516,18
22.8013,1015.29,-2585.399169921875,995.82,95000,19,35.9527,19
25.1863,1000.33,-2742.624755859375,1000.91,100000,20,37.4618,20
26.2385,1001.62,-2783.93994140625,1001.4,105000,21,36.5808,21
23.3039,1052.33,-2823.075439453125,1049.69,110000,22,36.271,22
30.7332,368.78,-2709.5869140625,400.91,115000,23,30.583,23
29.6183,980.2,-3011.424072265625,981.74,120000,24,37.4339,24
34.7886,988.18,-2965.37939453125,988.47,125000,25,36.7748,25
26.8101,991.78,-3001.263427734375,996.08,130000,26,36.4819,26
30.5716,1002.73,-3130.990966796875,1004.73,135000,27,36.0684,27
35.2359,999.32,-3224.70068359375,1000.21,140000,28,38.3384,28
36.8403,995.7,-3216.296630859375,996.07,145000,29,38.1569,29
27.4497,1006.92,-3199.048828125,1008.39,150000,30,36.7324,30
32.8807,1010.17,-3439.753173828125,1011.18,155000,31,37.2983,31
28.1273,280.78,-2678.12939453125,271.9,160000,32,32.3226,32
26.1241,982.85,-3452.124267578125,984.6,165000,33,38.0902,33
37.9677,1004.69,-3447.639892578125,1003.86,170000,34,38.77,34
28.1248,991.94,-3566.62548828125,1000.13,175000,35,38.8857,35
30.658,986.14,-3618.422607421875,991.95,180000,36,37.9905,36
26.9085,299.34,-3090.2607421875,212.77,185000,37,31.4102,37
32.8158,805.33,-3729.339599609375,991.53,190000,38,33.4988,38
