Real Det Return,Running Reverse KL,Itration,Reward Loss,Running Env Steps,Real Sto Return,Running Forward KL,Running Update Time
482.31,27.7809,0,403.2737731933594,0,-48.95,75.3747,0
374.83,25.978,1,332.6000061035156,5000,-74.49,73.0738,1
602.04,26.8172,2,235.4408721923828,10000,-9.93,73.7915,2
263.25,27.2692,3,199.2440948486328,15000,-59.88,74.0973,3
513.41,26.9974,4,76.984619140625,20000,12.92,72.3986,4
714.2,27.8165,5,24.023847579956055,25000,33.96,72.19,5
582.98,28.4302,6,-46.90058517456055,30000,74.69,70.6196,6
720.76,28.3628,7,-101.13362121582031,35000,64.58,69.7044,7
618.77,29.492,8,-186.22434997558594,40000,79.43,73.1577,8
560.08,29.8788,9,-245.33250427246094,45000,49.93,70.6718,9
614.59,31.1167,10,-323.7778625488281,50000,153.85,67.1276,10
746.52,29.0523,11,-370.8673400878906,55000,127.33,66.9229,11
694.74,29.1668,12,-448.15875244140625,60000,160.82,66.2262,12
714.81,30.3388,13,-534.170654296875,65000,110.6,68.3185,13
727.45,29.3424,14,-593.6461181640625,70000,202.26,68.7295,14
809.42,29.5763,15,-674.45947265625,75000,189.36,68.1406,15
873.94,29.6527,16,-719.7753295898438,80000,252.97,69.0514,16
947.17,28.0287,17,-785.2760009765625,85000,195.82,63.9849,17
846.91,28.8251,18,-865.933837890625,90000,231.25,66.001,18
867.32,30.203,19,-953.5186767578125,95000,158.47,69.7137,19
820.65,29.0493,20,-1001.0498046875,100000,218.42,65.2221,20
830.18,28.7222,21,-1089.4249267578125,105000,188.65,66.2235,21
907.36,29.1273,22,-1142.709716796875,110000,343.39,64.9581,22
922.45,29.9265,23,-1223.93017578125,115000,316.76,67.3524,23
758.09,28.9512,24,-1283.55419921875,120000,213.1,64.4578,24
731.16,29.9576,25,-1397.02197265625,125000,242.36,67.9285,25
841.81,29.6513,26,-1471.5927734375,130000,212.22,68.3019,26
966.02,28.8198,27,-1513.329833984375,135000,242.7,65.1227,27
953.51,30.1583,28,-1613.8236083984375,140000,275.26,67.4691,28
991.54,28.5224,29,-1639.552001953125,145000,314.3,63.8774,29
820.38,29.7035,30,-1758.2449951171875,150000,257.07,67.8057,30
870.42,30.088,31,-1841.4462890625,155000,287.79,67.0525,31
827.4,30.5326,32,-1932.2974853515625,160000,279.24,68.823,32
1002.35,30.3322,33,-1986.6300048828125,165000,270.37,68.2878,33
966.49,28.8678,34,-1999.6143798828125,170000,316.37,63.0519,34
820.62,29.8809,35,-2139.38427734375,175000,319.93,67.1411,35
864.2,29.7144,36,-2229.041748046875,180000,307.91,67.2213,36
825.73,30.5102,37,-2320.314208984375,185000,280.66,68.894,37
844.85,29.8438,38,-2394.462890625,190000,208.91,68.5556,38
692.23,28.8414,39,-2386.4443359375,195000,259.8,62.5273,39
847.19,29.645,40,-2517.57568359375,200000,306.5,65.3338,40
874.72,30.0449,41,-2644.147216796875,205000,311.64,67.7234,41
794.16,30.6845,42,-2729.836181640625,210000,338.58,67.8961,42
830.29,29.8247,43,-2798.66943359375,215000,258.35,68.3054,43
934.34,30.1156,44,-2895.716796875,220000,365.84,68.0512,44
902.97,29.1465,45,-2924.052001953125,225000,303.84,66.4668,45
782.64,31.1044,46,-3117.08544921875,230000,270.56,71.3959,46
887.41,30.5016,47,-3178.16748046875,235000,292.33,69.431,47
891.59,29.6836,48,-3179.115234375,240000,308.96,64.4441,48
916.97,29.9195,49,-3320.200439453125,245000,285.29,67.8599,49
1007.38,30.4558,50,-3408.803955078125,250000,306.96,67.236,50
914.1,29.8291,51,-3449.304931640625,255000,350.43,64.1454,51
980.71,30.3052,52,-3612.546142578125,260000,376.66,68.109,52
957.09,30.6969,53,-3722.858154296875,265000,316.15,69.1874,53
1041.59,28.8459,54,-3651.756591796875,270000,422.7,63.5419,54
1058.16,29.6443,55,-3829.28271484375,275000,335.26,67.8256,55
917.18,28.9402,56,-3878.873291015625,280000,353.86,64.0881,56
953.07,29.9621,57,-4072.9169921875,285000,244.43,66.9552,57
905.4,30.5774,58,-4154.24755859375,290000,324.93,67.1604,58
962.44,29.2053,59,-4211.98876953125,295000,378.46,66.652,59
883.26,29.9372,60,-4338.3818359375,300000,327.59,67.4585,60
917.58,29.1739,61,-4382.8486328125,305000,347.02,65.1446,61
996.63,29.7065,62,-4492.220703125,310000,379.77,66.1627,62
915.77,28.6319,63,-4493.00341796875,315000,303.36,63.8807,63
903.69,30.0654,64,-4762.453125,320000,256.21,67.7007,64
766.57,30.9104,65,-4929.68798828125,325000,292.12,71.2782,65
926.01,30.1125,66,-4960.22119140625,330000,326.28,67.8677,66
905.61,29.9681,67,-5104.52783203125,335000,277.82,70.977,67
972.2,31.0791,68,-5287.44287109375,340000,294.16,72.1891,68
998.99,30.6874,69,-5329.96044921875,345000,275.82,68.7035,69
1041.45,29.9756,70,-5382.37255859375,350000,306.91,67.7435,70
926.79,31.2544,71,-5592.54541015625,355000,277.69,71.7475,71
916.92,30.0264,72,-5608.87451171875,360000,350.46,68.4285,72
