Real Sto Return,Itration,Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL
-105.7,0,0,159.49,-10.879267692565918,75.8359,0,29.007
-51.62,1,5000,329.98,-59.452125549316406,75.5583,1,29.5456
-43.03,2,10000,441.03,-117.84672546386719,72.336,2,27.0381
-15.55,3,15000,475.06,-190.1560516357422,73.5802,3,27.8688
7.4,4,20000,555.04,-325.94268798828125,74.546,4,29.8511
13.81,5,25000,586.69,-328.6614990234375,72.1208,5,29.3396
79.94,6,30000,640.05,-394.9608154296875,73.051,6,29.4397
58.22,7,35000,724.64,-490.3746337890625,72.9051,7,29.9591
115.44,8,40000,614.88,-572.3984375,71.7844,8,30.5406
147.35,9,45000,862.95,-629.4495239257812,73.1683,9,30.993
130.51,10,50000,734.0,-659.1654052734375,71.7495,10,31.1912
160.45,11,55000,758.14,-720.8077392578125,70.7882,11,31.3681
201.95,12,60000,896.21,-853.564697265625,71.6415,12,31.8716
161.13,13,65000,832.13,-898.703857421875,70.1051,13,32.0177
238.98,14,70000,916.54,-897.7360229492188,67.7193,14,29.6415
206.83,15,75000,814.91,-985.572998046875,69.0291,15,30.238
242.95,16,80000,895.27,-1040.9666748046875,67.2812,16,30.5462
186.24,17,85000,917.41,-1147.5355224609375,70.6372,17,30.4619
229.71,18,90000,851.43,-1217.8519287109375,69.656,18,31.2854
245.85,19,95000,1021.82,-1247.471435546875,70.525,19,30.888
215.93,20,100000,855.39,-1319.1710205078125,68.6545,20,30.3337
268.67,21,105000,835.62,-1380.67529296875,69.7451,21,30.2748
209.91,22,110000,906.05,-1466.37451171875,70.6443,22,31.4543
250.01,23,115000,896.37,-1489.3125,68.2014,23,30.1629
249.85,24,120000,893.65,-1583.592041015625,71.4112,24,31.2214
189.12,25,125000,885.33,-1643.1878662109375,71.0012,25,30.6772
218.99,26,130000,932.12,-1728.5364990234375,71.283,26,30.9055
199.89,27,135000,840.01,-1796.7603759765625,71.9836,27,30.5901
233.2,28,140000,873.13,-1862.0030517578125,70.9235,28,30.5666
258.32,29,145000,824.11,-1929.0072021484375,71.7628,29,31.3162
278.22,30,150000,896.45,-1964.7760009765625,69.5586,30,30.9819
231.78,31,155000,929.41,-2060.1953125,71.933,31,31.6379
258.97,32,160000,905.72,-2118.14990234375,70.1078,32,31.0118
198.51,33,165000,724.43,-2209.17626953125,71.6018,33,30.7563
185.09,34,170000,890.02,-2271.487548828125,73.1264,34,31.3912
246.92,35,175000,932.52,-2380.80712890625,71.1908,35,31.6958
242.94,36,180000,926.61,-2391.662353515625,69.4785,36,31.1386
251.24,37,185000,726.66,-2510.67822265625,73.3676,37,31.4417
164.13,38,190000,844.46,-2540.170654296875,70.4603,38,30.875
244.2,39,195000,818.64,-2633.86767578125,72.5418,39,31.2036
274.49,40,200000,845.69,-2777.279052734375,73.4461,40,31.4547
258.91,41,205000,947.72,-2775.04150390625,70.9267,41,31.2748
242.43,42,210000,950.97,-2781.638671875,71.2101,42,30.9445
207.94,43,215000,834.49,-2980.001220703125,73.3882,43,31.8312
238.18,44,220000,860.23,-3045.816650390625,74.2079,44,32.0052
287.38,45,225000,881.62,-3062.883056640625,69.9164,45,31.0265
255.46,46,230000,885.7,-3146.352783203125,71.7828,46,30.058
287.56,47,235000,832.72,-3246.30126953125,69.7171,47,31.3891
287.78,48,240000,871.26,-3326.00927734375,72.4811,48,31.304
258.77,49,245000,943.18,-3438.25244140625,72.2331,49,31.0538
261.48,50,250000,877.18,-3512.005615234375,72.9354,50,31.5514
251.42,51,255000,870.13,-3594.41162109375,72.5952,51,31.2502
237.95,52,260000,784.21,-3657.353515625,71.8353,52,31.2128
213.12,53,265000,871.25,-3804.2626953125,73.1386,53,31.2182
287.86,54,270000,919.86,-3784.697265625,70.0626,54,30.68
243.21,55,275000,858.67,-3854.98046875,71.1785,55,30.4934
263.41,56,280000,851.24,-3950.630859375,72.3637,56,30.8937
241.97,57,285000,852.95,-4045.480712890625,71.983,57,30.8282
288.69,58,290000,903.47,-4153.13232421875,70.3667,58,30.4758
231.63,59,295000,845.43,-4178.71044921875,72.6505,59,30.806
189.93,60,300000,773.08,-4370.20703125,72.3657,60,31.1079
178.95,61,305000,798.11,-4464.16748046875,71.8593,61,31.1198
233.86,62,310000,725.07,-4612.7802734375,72.9886,62,31.7268
249.75,63,315000,842.25,-4657.01220703125,72.5207,63,31.3288
272.48,64,320000,695.77,-4750.1796875,72.4912,64,31.9373
265.39,65,325000,882.14,-4804.572265625,71.8471,65,31.5697
277.68,66,330000,798.54,-4853.357421875,69.3034,66,30.4574
265.14,67,335000,727.75,-5047.53955078125,72.3812,67,31.5103
