Running Forward KL,Itration,Running Env Steps,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Update Time
76.1796,0,0,605.12,21.304384231567383,-74.88,27.8846,0
76.4488,1,5000,551.69,9.268094062805176,-33.44,28.3485,1
75.2934,2,10000,689.11,-0.9811446070671082,-2.21,31.4861,2
74.1395,3,15000,648.17,-6.768174648284912,62.25,31.2347,3
73.1707,4,20000,720.79,-19.170408248901367,95.47,33.2709,4
74.8389,5,25000,623.45,-32.33747100830078,118.13,32.8078,5
74.3791,6,30000,729.46,-45.99307632446289,95.96,32.6344,6
74.999,7,35000,686.51,-58.692989349365234,118.29,31.8332,7
74.5149,8,40000,616.2,-71.36140441894531,119.38,32.1833,8
73.7226,9,45000,572.67,-82.39437866210938,127.11,32.2326,9
75.2272,10,50000,826.69,-93.45870971679688,156.92,32.6215,10
75.0468,11,55000,844.32,-103.99821472167969,155.97,33.3431,11
74.1464,12,60000,765.31,-119.05400085449219,216.42,32.4897,12
74.3258,13,65000,844.59,-130.10806274414062,194.95,32.0287,13
71.9592,14,70000,781.56,-145.7188262939453,173.66,33.8183,14
71.1947,15,75000,813.77,-153.7154541015625,167.39,31.9593,15
73.0599,16,80000,786.61,-168.9230194091797,173.07,32.6186,16
71.7781,17,85000,753.96,-178.75198364257812,159.68,33.4589,17
72.3712,18,90000,597.27,-187.5660858154297,122.13,31.097,18
73.2483,19,95000,698.6,-200.5275421142578,159.34,32.9574,19
73.619,20,100000,904.04,-215.98880004882812,234.26,34.4155,20
72.4395,21,105000,457.68,-227.80484008789062,113.89,31.2894,21
74.1881,22,110000,552.57,-238.57188415527344,167.68,31.9356,22
71.4345,23,115000,572.64,-246.78614807128906,207.65,31.4509,23
71.259,24,120000,511.5,-260.4208068847656,208.63,30.6667,24
70.1919,25,125000,456.34,-272.4221496582031,172.19,30.301,25
68.1437,26,130000,714.92,-279.69580078125,309.67,30.7743,26
70.8409,27,135000,701.47,-301.7691955566406,159.35,31.9798,27
67.054,28,140000,639.92,-307.1866760253906,173.62,29.5891,28
70.9234,29,145000,661.84,-323.55328369140625,200.54,32.0772,29
70.8848,30,150000,817.0,-341.3602294921875,261.03,32.7701,30
70.3738,31,155000,826.66,-347.376953125,286.05,31.4882,31
70.8524,32,160000,713.77,-361.1885986328125,215.94,31.1437,32
70.4808,33,165000,984.75,-375.1793212890625,350.72,32.005,33
70.2286,34,170000,589.17,-387.4277648925781,149.39,31.6585,34
71.2177,35,175000,915.55,-402.4657287597656,299.03,31.65,35
70.0904,36,180000,700.36,-411.6241760253906,166.19,30.5974,36
69.1755,37,185000,916.05,-424.3880615234375,248.59,31.3228,37
70.2987,38,190000,919.39,-438.404296875,340.6,32.5049,38
68.3335,39,195000,773.95,-445.5093994140625,245.8,30.3007,39
65.9298,40,200000,664.17,-446.54071044921875,318.62,29.2266,40
71.1898,41,205000,573.38,-484.77496337890625,215.4,31.2172,41
70.4299,42,210000,791.13,-495.8575439453125,200.35,31.4055,42
69.4203,43,215000,475.29,-507.0708312988281,202.15,30.7937,43
68.6098,44,220000,583.81,-513.0499267578125,224.32,30.508,44
67.8173,45,225000,576.08,-524.8715209960938,284.98,30.6361,45
67.6074,46,230000,726.08,-535.5692138671875,297.9,30.3549,46
68.376,47,235000,785.4,-557.63916015625,361.32,30.6864,47
68.9751,48,240000,612.25,-575.984375,248.74,30.6855,48
67.0818,49,245000,795.53,-579.4752807617188,222.24,29.7998,49
70.1024,50,250000,431.97,-603.576171875,152.39,30.5402,50
68.1194,51,255000,936.0,-604.5322875976562,242.23,30.1255,51
72.2588,52,260000,842.62,-639.0101928710938,249.43,30.7922,52
70.509,53,265000,663.17,-648.6675415039062,287.63,30.4627,53
71.6774,54,270000,874.93,-673.7086791992188,181.71,31.3708,54
70.8155,55,275000,766.74,-689.0126342773438,249.77,31.5721,55
68.8145,56,280000,783.93,-692.9365234375,253.49,30.2527,56
68.5788,57,285000,843.77,-703.5789794921875,310.16,29.6859,57
69.6635,58,290000,810.71,-733.96630859375,261.05,30.3786,58
69.0321,59,295000,831.06,-742.6133422851562,248.95,30.1589,59
65.3146,60,300000,716.84,-731.2460327148438,377.9,30.4959,60
69.6902,61,305000,796.36,-784.03857421875,334.17,30.6947,61
67.8023,62,310000,1008.58,-785.3231811523438,378.18,30.562,62
68.3962,63,315000,995.43,-800.61083984375,316.18,30.5086,63
69.0365,64,320000,897.98,-823.049072265625,256.14,30.5291,64
67.1312,65,325000,976.81,-833.66845703125,424.77,30.2901,65
67.8557,66,330000,1035.81,-846.5135498046875,396.16,30.2593,66
66.8591,67,335000,1064.15,-860.6004638671875,363.15,29.6226,67
68.2114,68,340000,841.09,-891.83935546875,254.77,30.4835,68
65.8677,69,345000,866.77,-886.888671875,209.58,28.72,69
67.352,70,350000,991.46,-926.687255859375,377.45,30.1638,70
66.8081,71,355000,1015.32,-924.3878173828125,241.9,29.233,71
68.4349,72,360000,961.97,-969.1893920898438,266.89,29.5021,72
70.0464,73,365000,813.14,-985.6170043945312,255.46,30.2033,73
67.9763,74,370000,926.41,-987.4326171875,323.14,30.2536,74
66.9432,75,375000,891.41,-1008.8427124023438,377.73,29.247,75
68.014,76,380000,633.94,-1050.19775390625,260.67,30.0844,76
69.8671,77,385000,873.7,-1065.0986328125,320.05,30.3944,77
69.1092,78,390000,1007.45,-1090.9520263671875,262.44,30.5456,78
69.9717,79,395000,832.02,-1114.0389404296875,259.88,30.2943,79
66.1748,80,400000,915.56,-1095.1097412109375,343.61,29.7947,80
68.5402,81,405000,822.06,-1133.448974609375,246.52,29.8856,81
71.0401,82,410000,878.3,-1177.17236328125,315.4,30.7604,82
66.6084,83,415000,930.15,-1168.900390625,273.75,29.75,83
66.5299,84,420000,780.91,-1186.218994140625,300.98,29.2952,84
69.5758,85,425000,728.28,-1227.673828125,307.32,30.418,85
66.7749,86,430000,601.91,-1193.74462890625,459.85,31.593,86
65.5329,87,435000,891.24,-1227.6553955078125,378.46,29.5101,87
68.7384,88,440000,794.24,-1302.42041015625,269.34,29.7414,88
70.6761,89,445000,779.8,-1321.36572265625,277.26,30.5077,89
71.19,90,450000,791.99,-1348.2027587890625,220.35,30.1874,90
65.6369,91,455000,1078.09,-1306.5860595703125,261.41,29.1502,91
69.3842,92,460000,857.05,-1391.806884765625,303.21,30.2423,92
69.348,93,465000,1078.14,-1409.459228515625,317.78,29.9369,93
67.3093,94,470000,954.44,-1408.8919677734375,298.44,30.1031,94
69.4346,95,475000,909.29,-1453.2901611328125,252.51,29.7278,95
70.8207,96,480000,825.47,-1498.0789794921875,312.32,30.0956,96
66.4194,97,485000,719.18,-1477.76220703125,342.38,29.3857,97
69.3395,98,490000,957.09,-1538.4888916015625,297.31,29.7518,98
64.4613,99,495000,890.6,-1505.2037353515625,312.73,28.9515,99
67.9648,100,500000,824.06,-1564.72265625,373.42,29.5554,100
67.6388,101,505000,768.86,-1584.654541015625,289.63,30.2724,101
64.5094,102,510000,735.94,-1574.6337890625,325.63,28.6808,102
66.8871,103,515000,935.23,-1617.1075439453125,389.32,28.9885,103
67.0472,104,520000,853.69,-1653.838623046875,339.04,29.6338,104
68.0067,105,525000,877.42,-1712.1683349609375,340.03,29.9469,105
67.5618,106,530000,763.08,-1718.1956787109375,282.12,29.9492,106
69.2431,107,535000,927.5,-1795.9246826171875,331.83,30.3049,107
65.2739,108,540000,1006.97,-1736.2310791015625,342.06,29.8011,108
67.4426,109,545000,1172.26,-1804.555419921875,348.09,29.2382,109
64.2726,110,550000,652.99,-1755.3233642578125,435.29,28.0913,110
67.3384,111,555000,935.63,-1831.9471435546875,436.24,29.4798,111
66.1155,112,560000,816.53,-1875.2957763671875,298.29,28.5258,112
68.9682,113,565000,695.1,-1941.241455078125,261.82,29.3774,113
66.2868,114,570000,933.78,-1916.51513671875,315.54,29.6847,114
66.793,115,575000,1041.64,-1945.18701171875,337.96,29.9369,115
63.0226,116,580000,964.87,-1911.35009765625,354.43,28.5713,116
64.7878,117,585000,1273.69,-1974.4898681640625,437.31,28.5345,117
68.7538,118,590000,1034.5,-2079.929443359375,284.34,29.0174,118
66.014,119,595000,487.84,-2078.529296875,339.07,28.9913,119
66.9463,120,600000,751.54,-2126.46826171875,379.68,28.6747,120
62.9002,121,605000,1183.8,-2023.3917236328125,435.93,28.0202,121
62.9393,122,610000,1311.23,-2059.28759765625,451.99,28.0468,122
65.2509,123,615000,919.45,-2175.46435546875,353.67,29.094,123
68.5698,124,620000,1132.41,-2244.835693359375,427.72,30.0739,124
62.2604,125,625000,1071.92,-2166.735595703125,357.83,27.9534,125
64.8373,126,630000,1086.09,-2251.3505859375,455.45,29.2895,126
62.0868,127,635000,987.87,-2232.72314453125,588.62,27.9143,127
67.4665,128,640000,810.12,-2399.623779296875,344.8,29.3957,128
65.0708,129,645000,878.52,-2416.640380859375,299.16,28.7698,129
60.6326,130,650000,831.44,-2293.30224609375,383.22,27.5952,130
67.0049,131,655000,989.91,-2510.97265625,360.87,29.1822,131
67.4143,132,660000,639.95,-2561.58154296875,235.5,31.9584,132
67.3693,133,665000,846.68,-2593.110107421875,457.35,29.6234,133
64.6127,134,670000,1027.05,-2584.175048828125,395.97,28.9674,134
66.4073,135,675000,746.62,-2588.213134765625,317.29,29.8006,135
61.2508,136,680000,831.81,-2492.9638671875,439.29,28.3671,136
67.1191,137,685000,957.39,-2757.994873046875,277.05,30.0573,137
66.774,138,690000,676.2,-2714.61474609375,287.49,29.3059,138
65.3012,139,695000,940.58,-2796.59375,456.51,29.508,139
62.0684,140,700000,1067.49,-2638.86669921875,431.39,27.7802,140
66.0191,141,705000,1097.02,-2887.028564453125,400.7,28.5961,141
61.4677,142,710000,794.08,-2679.583984375,298.19,27.414,142
65.2278,143,715000,1049.46,-2864.38623046875,348.42,29.0406,143
64.9728,144,720000,1009.07,-2975.2578125,464.19,28.9289,144
63.1707,145,725000,911.61,-2836.953369140625,372.47,27.967,145
60.2991,146,730000,1201.17,-2723.423095703125,726.29,28.4908,146
65.2791,147,735000,797.26,-3051.898193359375,402.4,28.0343,147
63.9065,148,740000,1080.94,-3034.39501953125,292.1,28.1228,148
67.3589,149,745000,639.36,-3249.423828125,336.86,29.2408,149
63.3378,150,750000,1311.03,-3131.4423828125,483.77,28.1775,150
59.7776,151,755000,879.33,-2957.0380859375,466.41,26.6826,151
63.3848,152,760000,1100.7,-3196.194580078125,425.08,28.5461,152
65.612,153,765000,1014.88,-3338.95947265625,313.66,28.5441,153
61.8557,154,770000,1174.0,-3189.64453125,649.35,28.1226,154
62.5909,155,775000,1186.77,-3342.76708984375,438.04,27.5957,155
65.4545,156,780000,916.45,-3461.515869140625,505.41,28.733,156
63.6696,157,785000,881.19,-3513.36376953125,464.07,27.9839,157
64.1689,158,790000,983.93,-3526.9521484375,294.24,28.3949,158
64.8188,159,795000,825.46,-3597.340576171875,442.01,28.7553,159
58.7235,160,800000,1289.03,-3256.6982421875,701.19,26.938,160
