Running Forward KL,Running Reverse KL,Reward Loss,Real Sto Return,Itration,Running Env Steps,Real Det Return,Running Update Time
447.9819,283.5549,-405.4217224121094,223.03,0,0,269.3,0
452.5051,286.0671,203.10020446777344,295.16,1,5000,254.5,1
427.5393,269.6233,-239.2344512939453,389.17,2,10000,412.26,2
415.6507,276.7449,-599.6375122070312,437.78,3,15000,449.77,3
401.352,249.6265,-1073.9617919921875,447.43,4,20000,471.65,4
412.5927,261.764,-1086.0791015625,452.64,5,25000,483.91,5
405.6379,254.5451,-1578.0606689453125,478.73,6,30000,344.72,6
426.5848,279.157,-1599.08056640625,475.93,7,35000,514.23,7
409.5945,269.2328,-1865.27392578125,439.54,8,40000,494.3,8
428.6245,385.2911,-2067.138671875,440.47,9,45000,382.36,9
416.1304,254.8496,-2255.140380859375,496.36,10,50000,598.22,10
422.3451,242.629,-2340.390625,538.78,11,55000,620.72,11
433.4135,247.25,-2386.489501953125,515.27,12,60000,558.58,12
400.2762,266.3791,-2068.657958984375,501.38,13,65000,509.32,13
421.0576,253.1969,-2553.73291015625,540.61,14,70000,529.02,14
396.3253,252.561,-2509.31982421875,618.75,15,75000,522.66,15
396.8382,251.9289,-2564.02490234375,552.38,16,80000,449.63,16
404.8593,251.9929,-3091.3115234375,598.85,17,85000,580.04,17
394.4804,246.5725,-2951.429931640625,618.15,18,90000,559.6,18
395.0136,242.3099,-3228.624755859375,633.12,19,95000,505.81,19
399.4324,272.314,-3096.27685546875,657.02,20,100000,479.25,20
398.9612,232.2867,-3424.077392578125,691.59,21,105000,551.64,21
382.868,263.4547,-3638.843505859375,824.68,22,110000,564.56,22
390.6879,243.1378,-3308.803955078125,849.63,23,115000,627.99,23
394.0723,260.2585,-3726.8916015625,845.75,24,120000,587.9,24
387.7202,228.9843,-3528.32177734375,884.46,25,125000,570.79,25
409.6184,251.6931,-3943.101318359375,743.82,26,130000,573.35,26
386.6855,247.0052,-3736.175537109375,893.49,27,135000,571.49,27
397.7457,256.0385,-4004.773193359375,956.91,28,140000,596.38,28
382.1391,225.5057,-3791.638916015625,1306.82,29,145000,607.02,29
372.1237,205.7765,-3863.389892578125,1256.44,30,150000,546.98,30
400.2776,258.5009,-4511.9853515625,1106.2,31,155000,581.1,31
409.4951,264.8092,-4652.0751953125,827.41,32,160000,532.84,32
389.3665,234.4012,-4569.056640625,1204.64,33,165000,765.61,33
385.1197,214.3881,-4282.67822265625,1407.14,34,170000,819.72,34
370.8113,212.1744,-3870.408447265625,2046.16,35,175000,688.07,35
386.0296,220.1123,-4379.45556640625,1318.89,36,180000,932.26,36
401.4586,242.9287,-4862.73193359375,1653.47,37,185000,1064.55,37
379.9275,207.4932,-4277.248046875,2036.8,38,190000,1030.84,38
382.2502,220.8481,-4183.65234375,1919.77,39,195000,652.2,39
387.5799,245.5206,-5093.42626953125,1353.08,40,200000,1012.67,40
394.317,228.8022,-5618.3740234375,1738.77,41,205000,1006.34,41
375.9641,214.5764,-5064.46337890625,2177.15,42,210000,608.8,42
376.2486,218.0473,-4848.234375,1218.96,43,215000,658.29,43
393.0317,217.5449,-5860.265625,1112.4,44,220000,707.54,44
370.1676,193.5853,-4855.52392578125,1440.95,45,225000,530.38,45
376.2643,201.9986,-4932.9072265625,2354.32,46,230000,814.86,46
368.794,222.2883,-4871.69775390625,1853.47,47,235000,642.04,47
365.348,201.9441,-5123.04296875,2591.41,48,240000,584.03,48
378.2372,224.9691,-5481.2734375,2214.42,49,245000,747.76,49
379.3776,207.2239,-5502.78564453125,2650.55,50,250000,1141.27,50
365.1973,203.2669,-4370.1826171875,2794.65,51,255000,483.51,51
377.221,190.2851,-4551.365234375,2389.1,52,260000,1516.24,52
359.4967,176.4691,-3595.185791015625,2682.74,53,265000,1154.28,53
382.8835,212.2418,-5122.88720703125,2294.85,54,270000,2257.58,54
373.8382,184.7826,-3745.90869140625,3155.57,55,275000,1154.64,55
361.5318,182.8853,-3231.373779296875,4194.07,56,280000,1586.52,56
354.3566,164.2477,-2440.642822265625,3320.9,57,285000,2985.08,57
353.1558,153.4799,-1903.7652587890625,4734.06,58,290000,1237.58,58
358.7538,167.1297,-3359.166259765625,3145.97,59,295000,3978.74,59
364.2711,181.3903,-4886.90576171875,2619.53,60,300000,2131.05,60
383.3194,223.7957,-6393.55224609375,1981.03,61,305000,1980.88,61
361.886,165.9085,-3500.63134765625,3654.33,62,310000,3422.29,62
358.4999,169.2685,-4274.9892578125,3239.14,63,315000,3454.4,63
367.7412,188.9273,-4014.165283203125,4235.82,64,320000,2652.92,64
360.3726,183.5786,-4521.4091796875,3354.27,65,325000,2567.3,65
376.0967,238.0916,-7722.58203125,2209.06,66,330000,4151.39,66
374.2074,208.841,-6807.32958984375,3210.78,67,335000,2970.62,67
359.0484,159.4978,-2664.194091796875,4614.67,68,340000,4105.34,68
353.8748,165.6871,-4350.68408203125,3700.58,69,345000,2043.29,69
367.5385,205.9329,-6433.73291015625,2961.14,70,350000,2194.11,70
350.2453,148.7135,-3792.587646484375,4111.43,71,355000,2521.98,71
351.353,166.8583,-3403.651123046875,4220.86,72,360000,4076.77,72
361.8854,178.3555,-3154.201904296875,4373.46,73,365000,1575.49,73
364.5151,206.535,-6453.8876953125,3572.06,74,370000,1111.92,74
361.6903,187.0476,-5729.09912109375,2427.52,75,375000,1054.07,75
363.8531,189.9525,-5780.2841796875,3488.45,76,380000,1422.02,76
346.6956,145.7455,-4463.669921875,4337.62,77,385000,4282.38,77
355.3034,165.7229,-4179.23681640625,4449.47,78,390000,4025.48,78
353.0297,164.877,-3522.045654296875,4772.13,79,395000,4780.67,79
358.3429,184.6381,-5305.31103515625,4137.26,80,400000,1035.49,80
362.8531,180.7992,-6502.51806640625,3895.66,81,405000,1014.9,81
365.1564,174.255,-5659.88232421875,3534.71,82,410000,988.83,82
353.7454,166.3785,-5676.8486328125,3277.74,83,415000,797.25,83
371.0534,236.1398,-8686.7099609375,2649.83,84,420000,2860.97,84
366.7875,200.5779,-7793.751953125,3357.15,85,425000,855.28,85
349.9869,155.5296,-5730.8310546875,4377.16,86,430000,662.79,86
353.1502,165.2969,-5968.76953125,4280.52,87,435000,1965.9,87
357.8114,177.1009,-6269.37890625,3728.58,88,440000,1036.19,88
347.1156,159.5194,-6267.81689453125,4222.28,89,445000,1597.5,89
347.3539,167.5134,-6444.47216796875,4096.51,90,450000,1209.57,90
347.7316,166.5984,-7207.8623046875,3821.81,91,455000,3325.2,91
340.7777,153.1577,-7423.89892578125,3308.69,92,460000,4007.2,92
354.4375,178.8939,-7104.162109375,4602.17,93,465000,2203.23,93
349.9701,171.6414,-8375.8251953125,3554.63,94,470000,2790.01,94
351.6633,165.6109,-7020.37060546875,4876.56,95,475000,2853.54,95
352.2928,194.435,-8950.6708984375,3732.65,96,480000,3950.11,96
342.1945,166.7121,-8399.4169921875,4789.04,97,485000,4532.85,97
348.3402,210.9357,-9888.7578125,3016.96,98,490000,2771.04,98
344.085,150.9168,-7922.013671875,4397.08,99,495000,3459.06,99
353.8931,172.9574,-8315.5302734375,4545.4,100,500000,3888.05,100
328.5709,135.2215,-7938.0595703125,4610.33,101,505000,4562.54,101
344.9555,155.506,-9284.3359375,3783.71,102,510000,2980.57,102
350.3078,178.74,-9879.5302734375,3254.65,103,515000,3183.77,103
352.9009,163.9103,-9283.685546875,4865.35,104,520000,2427.77,104
340.2395,141.5693,-9002.501953125,4297.57,105,525000,5013.15,105
329.0783,149.8868,-9884.3193359375,4189.54,106,530000,2734.13,106
348.5718,143.4589,-10014.5703125,3506.32,107,535000,2634.23,107
349.6458,157.2503,-9733.7822265625,4484.36,108,540000,2236.97,108
337.8086,136.9727,-9724.642578125,4494.61,109,545000,1430.93,109
330.1544,130.1727,-9868.1220703125,4659.83,110,550000,4296.87,110
346.9552,156.2978,-10592.544921875,4909.91,111,555000,2768.5,111
351.0797,154.4917,-11087.6181640625,4829.91,112,560000,2266.27,112
346.7509,147.8295,-11117.041015625,4231.93,113,565000,2303.49,113
343.182,151.2107,-11450.607421875,4874.76,114,570000,1684.08,114
332.6199,136.4978,-11099.05859375,4626.39,115,575000,4402.05,115
337.8449,138.5044,-11490.333984375,4170.53,116,580000,2414.61,116
338.6912,146.3547,-12041.19921875,4961.35,117,585000,4959.01,117
345.0297,173.6871,-12467.0146484375,3423.56,118,590000,4973.33,118
361.2235,172.6865,-13167.21875,4623.97,119,595000,1614.63,119
340.9187,148.403,-12603.5400390625,4501.95,120,600000,4382.65,120
334.603,146.5929,-12881.25390625,3593.64,121,605000,4512.05,121
330.4324,131.5552,-12815.6103515625,3537.68,122,610000,4227.57,122
349.865,177.1532,-13659.0478515625,3697.39,123,615000,4321.71,123
350.7692,158.0132,-14072.921875,4542.54,124,620000,4446.22,124
359.6602,179.5188,-14284.341796875,4352.18,125,625000,4577.88,125
346.4651,159.3385,-14006.900390625,4666.44,126,630000,4778.3,126
346.0144,165.3539,-14622.1962890625,4778.7,127,635000,4789.66,127
331.4162,142.0053,-13760.501953125,4624.43,128,640000,5068.43,128
339.1762,161.752,-14307.4013671875,4081.76,129,645000,4999.41,129
338.237,146.0686,-14638.0576171875,4479.09,130,650000,4728.27,130
330.198,140.9198,-14498.5810546875,4918.46,131,655000,5110.01,131
334.3536,139.7805,-14764.3203125,4793.1,132,660000,4733.51,132
328.8287,124.0421,-14647.2548828125,4741.85,133,665000,4837.74,133
337.6223,145.5045,-14640.765625,4157.06,134,670000,4881.12,134
342.9878,216.7819,-14388.2861328125,2972.34,135,675000,2216.65,135
343.343,146.5991,-15573.1259765625,4652.09,136,680000,4546.43,136
355.0502,166.2222,-14815.9296875,3732.71,137,685000,4989.48,137
327.9002,120.5944,-14879.0517578125,4525.72,138,690000,5019.04,138
333.7595,156.3678,-15195.1884765625,2306.34,139,695000,4475.51,139
