Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Itration
288.84490966796875,0,0,187.04,34.176,22.2394,187.96,0
222.17930603027344,1,5000,236.13,31.2573,15.6149,237.23,1
132.8190460205078,2,10000,294.31,31.8919,17.4577,292.02,2
37.653236389160156,3,15000,238.41,31.7134,19.8644,219.26,3
0.6669672727584839,4,20000,324.53,31.2165,24.8315,333.37,4
-75.88453674316406,5,25000,281.45,32.5609,43.7136,285.31,5
13.114919662475586,6,30000,296.72,29.1847,17.8084,296.0,6
-169.01058959960938,7,35000,371.23,29.6979,34.0399,331.07,7
-218.92398071289062,8,40000,370.37,28.8628,26.6229,380.54,8
-313.6261901855469,9,45000,341.84,26.8841,46.5532,340.79,9
-357.0707092285156,10,50000,325.84,27.4854,48.507,344.08,10
-284.9001159667969,11,55000,420.67,27.4092,18.9711,417.46,11
-259.5692443847656,12,60000,996.68,37.3915,29.5712,999.18,12
-310.9141845703125,13,65000,963.31,37.0605,24.3259,997.92,13
-344.1099853515625,14,70000,1004.48,36.3401,30.3896,1012.13,14
-422.8177795410156,15,75000,978.62,30.1499,25.5005,1022.87,15
-568.3180541992188,16,80000,720.95,30.3311,32.9257,1029.71,16
-644.6217041015625,17,85000,443.34,30.0735,27.5868,949.35,17
-382.78814697265625,18,90000,421.09,27.1145,18.9899,525.18,18
-622.8511352539062,19,95000,1000.66,38.3436,33.9026,1002.19,19
-622.8340454101562,20,100000,740.87,27.3853,18.4421,765.79,20
-609.3184204101562,21,105000,488.26,27.2992,15.988,481.1,21
-714.9381713867188,22,110000,482.19,27.9598,17.5382,498.7,22
-715.215576171875,23,115000,436.71,26.7431,15.7948,458.12,23
-705.2152709960938,24,120000,677.63,25.6428,16.7519,705.59,24
-103.71476745605469,25,125000,610.3,26.1553,14.1733,647.21,25
-207.18197631835938,26,130000,1494.81,23.1313,11.0904,1742.04,26
-207.29736328125,27,135000,2124.62,22.9939,10.8264,3081.39,27
-438.30999755859375,28,140000,856.44,24.6794,15.9654,986.11,28
-405.9593200683594,29,145000,2408.46,24.3355,14.7628,2919.02,29
-664.6273803710938,30,150000,934.76,25.938,30.184,1081.68,30
-490.6971435546875,31,155000,2314.03,23.94,14.1312,2903.64,31
