Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
1910000,156.5539,382,382,-12903.9951171875,1919.84,2202.97,14.8956
1915000,156.7206,383,383,-12940.67578125,1958.19,2331.79,15.1675
1920000,156.649,384,384,-12958.63671875,1943.33,2286.95,15.1538
1925000,156.5271,385,385,-12936.51953125,1930.81,2269.29,14.9459
1930000,156.5485,386,386,-12981.87109375,1920.11,2222.54,14.8464
1935000,156.6217,387,387,-12970.3427734375,1949.36,2266.25,15.0031
1940000,156.6385,388,388,-12991.365234375,1916.93,2258.46,14.8674
1945000,156.4712,389,389,-13076.6162109375,1940.66,2308.66,14.8721
1950000,156.5445,390,390,-13126.3701171875,1966.52,2340.77,15.0027
1955000,156.431,391,391,-13104.9248046875,1953.82,2309.17,14.9752
1960000,156.6414,392,392,-13157.8271484375,1947.04,2302.14,14.9647
1965000,156.5837,393,393,-13112.1875,1967.63,2306.47,14.9887
1970000,156.4924,394,394,-13211.3095703125,1969.51,2304.96,14.9851
1975000,156.5726,395,395,-13211.7431640625,1966.13,2324.84,15.0667
1980000,156.436,396,396,-13230.9150390625,1948.44,2308.04,15.0283
1985000,156.4783,397,397,-13251.7392578125,1960.44,2328.83,15.1243
1990000,156.5593,398,398,-13236.83984375,1961.99,2322.0,15.0182
1995000,156.5207,399,399,-13342.1533203125,1992.0,2327.57,15.3442
2000000,156.4719,400,400,-13359.064453125,1984.24,2355.38,15.2097
2005000,156.5355,401,401,-13367.0654296875,1999.71,2331.61,15.2385
2010000,156.4384,402,402,-13430.9658203125,1989.35,2343.03,15.1213
2015000,156.4445,403,403,-13412.1064453125,1977.18,2320.02,15.0883
2020000,156.6219,404,404,-13516.2861328125,1997.86,2359.37,15.1729
2025000,156.5566,405,405,-13510.232421875,1981.93,2360.3,15.0881
2030000,156.5123,406,406,-13487.4580078125,1990.57,2346.03,15.0572
2035000,156.4334,407,407,-13480.7060546875,1976.76,2349.52,15.129
2040000,156.4977,408,408,-13521.5888671875,1982.9,2344.73,15.2536
2045000,156.6271,409,409,-13613.693359375,1943.24,2315.15,14.8404
2050000,156.576,410,410,-13624.552734375,1968.79,2336.75,15.088
2055000,156.6179,411,411,-13636.9189453125,1965.47,2339.59,15.0962
2060000,156.5793,412,412,-13665.26953125,1961.17,2327.9,15.097
2065000,156.6046,413,413,-13600.404296875,1979.87,2336.9,15.0426
2070000,156.3705,414,414,-13729.578125,1965.99,2325.34,15.1232
2075000,156.5927,415,415,-13742.521484375,1988.1,2331.61,15.2378
2080000,156.5685,416,416,-13743.2822265625,1958.53,2319.46,15.0909
2085000,156.5886,417,417,-13732.0673828125,1969.86,2315.52,14.9171
2090000,156.6093,418,418,-13824.533203125,1984.78,2331.93,15.0176
2095000,156.6083,419,419,-13883.88671875,1967.29,2343.34,15.0449
2100000,156.4551,420,420,-13876.95703125,1974.76,2331.54,14.891
2105000,156.586,421,421,-13858.947265625,1977.61,2342.6,15.0815
2110000,156.4141,422,422,-13945.6708984375,1996.8,2348.46,15.1733
2115000,156.5632,423,423,-13969.76953125,1992.7,2357.59,15.1698
2120000,156.5882,424,424,-13978.513671875,1983.12,2338.03,15.0662
2125000,156.629,425,425,-14035.3505859375,1997.66,2344.99,15.2181
2130000,156.5291,426,426,-14051.556640625,1986.18,2342.22,15.1079
2135000,156.6153,427,427,-14053.8056640625,1980.18,2340.83,15.0578
2140000,156.6252,428,428,-14057.00390625,1988.03,2325.99,15.0389
2145000,156.5698,429,429,-14079.015625,1956.0,2308.83,15.0662
2150000,156.5378,430,430,-14192.7490234375,1971.67,2321.52,15.2505
2155000,156.629,431,431,-14150.322265625,1989.64,2330.43,15.1017
2160000,156.6045,432,432,-14181.6611328125,1968.45,2316.48,15.0043
2165000,156.5373,433,433,-14164.873046875,1969.83,2281.37,15.103
2170000,156.478,434,434,-14267.91015625,1985.45,2351.14,15.3178
2175000,156.4843,435,435,-14277.83984375,1965.35,2318.78,15.1076
2180000,156.5438,436,436,-14218.56640625,1979.74,2311.41,15.2589
2185000,156.6721,437,437,-14315.9599609375,1964.21,2307.41,15.1638
2190000,156.6798,438,438,-14288.080078125,1967.94,2309.22,15.0012
2195000,156.6748,439,439,-14388.755859375,1984.29,2311.92,15.3159
2200000,156.5178,440,440,-14348.4482421875,1975.82,2314.67,15.0859
2205000,156.6206,441,441,-14441.966796875,1973.42,2320.97,14.9326
2210000,156.66,442,442,-14478.509765625,1972.43,2305.51,14.9713
2215000,156.5083,443,443,-14414.796875,1950.38,2287.2,14.9802
2220000,156.6827,444,444,-14516.119140625,1959.42,2309.94,15.0634
2225000,156.5353,445,445,-14482.6396484375,1988.53,2302.94,15.1231
2230000,156.5953,446,446,-14490.861328125,1967.37,2317.44,14.9342
2235000,156.6093,447,447,-14527.404296875,1960.24,2293.23,14.8864
2240000,156.6246,448,448,-14605.376953125,1965.23,2308.07,15.0334
2245000,156.5015,449,449,-14638.16796875,1962.66,2294.67,15.0694
2250000,156.6113,450,450,-14632.8798828125,1956.13,2328.01,14.8731
2255000,156.6355,451,451,-14675.201171875,1985.18,2342.8,14.9794
2260000,156.5706,452,452,-14731.232421875,1966.9,2335.09,15.1705
2265000,156.4954,453,453,-14790.34375,1965.64,2322.17,15.1424
2270000,156.6088,454,454,-14678.65625,1968.06,2326.87,14.8762
2275000,156.6122,455,455,-14781.1435546875,1989.34,2333.22,15.0494
2280000,156.6067,456,456,-14824.23828125,1957.92,2282.48,14.9592
2285000,156.5227,457,457,-14887.6630859375,1981.11,2332.95,15.1542
2290000,156.6699,458,458,-14864.3837890625,1973.36,2331.39,14.9684
2295000,156.4911,459,459,-14887.3974609375,1965.24,2318.64,14.9412
2300000,156.4574,460,460,-14941.6005859375,1944.51,2258.42,14.889
2305000,156.5329,461,461,-14930.5166015625,1964.87,2307.65,15.0397
2310000,156.6909,462,462,-14972.427734375,1924.53,2255.64,15.0501
2315000,156.6504,463,463,-15026.1533203125,1958.15,2305.69,15.0518
2320000,156.6635,464,464,-15081.4658203125,1909.69,2284.71,14.9403
2325000,156.4769,465,465,-15141.36328125,1958.77,2303.34,14.9009
2330000,156.6401,466,466,-15148.8798828125,1942.97,2311.36,14.8868
2335000,156.4443,467,467,-15202.548828125,1951.85,2306.11,14.8741
2340000,156.3687,468,468,-15234.0419921875,1977.81,2368.1,14.8815
2345000,156.5085,469,469,-15276.8349609375,1985.9,2384.33,15.1559
2350000,156.4151,470,470,-15290.0712890625,1966.92,2369.63,14.8604
2355000,156.6269,471,471,-15314.2685546875,1966.63,2379.21,14.8969
2360000,156.5091,472,472,-15300.6142578125,1964.39,2351.92,14.9341
2365000,156.4586,473,473,-15342.5087890625,1968.64,2353.28,14.8851
2370000,156.4362,474,474,-15381.68359375,1977.81,2385.08,14.9658
2375000,156.537,475,475,-15408.873046875,1971.06,2348.87,14.8453
2380000,156.4501,476,476,-15498.7080078125,1968.19,2343.76,14.9711
2385000,156.6398,477,477,-15532.76171875,1972.75,2377.56,14.9632
