Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
385000,156.958,77,77,-2204.451416015625,1750.14,2130.55,15.7502
390000,156.9743,78,78,-2253.949951171875,1793.59,2201.13,15.839
395000,156.9739,79,79,-2266.203125,1797.81,2121.86,15.8063
400000,156.6937,80,80,-2315.0625,1806.77,2154.13,16.0124
405000,156.906,81,81,-2339.869384765625,1826.85,2151.9,15.8314
410000,156.811,82,82,-2373.117431640625,1790.86,2095.39,15.689
415000,157.0006,83,83,-2410.0908203125,1810.77,2167.65,15.8893
420000,157.0669,84,84,-2456.22998046875,1789.54,2111.34,15.283
425000,156.882,85,85,-2464.217041015625,1823.42,2167.01,15.6616
430000,156.8801,86,86,-2514.22216796875,1834.05,2144.22,15.7493
435000,156.8147,87,87,-2555.0380859375,1775.0,2171.85,15.4709
440000,156.867,88,88,-2572.910400390625,1831.64,2199.54,15.5141
445000,156.7283,89,89,-2602.99169921875,1812.11,2186.4,15.6378
450000,156.7552,90,90,-2649.7138671875,1832.06,2177.12,15.7874
455000,156.9218,91,91,-2687.180419921875,1794.34,2186.67,15.5542
460000,156.906,92,92,-2717.534912109375,1823.61,2157.29,15.3996
465000,156.9425,93,93,-2762.252685546875,1858.44,2244.37,15.8029
470000,156.7514,94,94,-2773.905517578125,1812.75,2148.79,15.5579
475000,156.911,95,95,-2825.983154296875,1820.58,2163.98,15.6904
480000,156.7579,96,96,-2860.861328125,1834.05,2179.0,15.8014
485000,156.9653,97,97,-2905.12939453125,1840.09,2190.33,15.9221
490000,156.86,98,98,-2937.165283203125,1818.64,2141.91,15.4462
495000,156.7611,99,99,-2967.66943359375,1835.26,2169.49,15.4585
500000,156.7674,100,100,-3010.192626953125,1818.63,2147.2,15.4347
505000,157.0505,101,101,-3031.912353515625,1825.02,2172.07,15.4826
510000,156.9388,102,102,-3070.554443359375,1815.45,2174.35,15.457
515000,156.8751,103,103,-3114.083251953125,1827.97,2175.3,15.5387
520000,156.8105,104,104,-3142.706787109375,1841.48,2198.23,15.3867
525000,156.9278,105,105,-3178.48583984375,1819.46,2201.97,15.7977
530000,156.7584,106,106,-3222.464111328125,1822.24,2192.91,15.2134
535000,156.7023,107,107,-3243.91943359375,1798.0,2178.32,15.5177
540000,156.9078,108,108,-3291.048583984375,1839.38,2169.14,15.6067
545000,156.8771,109,109,-3322.754638671875,1840.41,2226.82,15.6121
550000,156.7682,110,110,-3377.046142578125,1832.59,2180.53,15.4357
555000,156.8045,111,111,-3403.862548828125,1815.73,2133.56,15.2448
560000,156.7111,112,112,-3435.515625,1789.19,2153.84,15.2498
565000,156.7596,113,113,-3464.5185546875,1862.63,2217.55,15.478
570000,156.7626,114,114,-3515.04248046875,1808.0,2188.88,15.322
575000,156.7822,115,115,-3554.149169921875,1854.36,2172.42,15.6501
580000,156.7751,116,116,-3606.09423828125,1877.61,2236.58,15.6904
585000,156.7604,117,117,-3636.72265625,1850.71,2153.21,15.6921
590000,156.8693,118,118,-3653.93798828125,1841.83,2213.69,15.6108
595000,156.6217,119,119,-3707.073486328125,1834.55,2207.03,15.3752
600000,157.0219,120,120,-3772.114501953125,1813.4,2171.05,15.3906
605000,156.9281,121,121,-3783.2626953125,1847.93,2188.92,15.393
610000,156.8519,122,122,-3833.563720703125,1886.98,2233.56,15.6026
615000,156.7306,123,123,-3889.645263671875,1864.31,2171.99,15.5236
620000,156.6804,124,124,-3908.48681640625,1851.81,2166.78,15.4219
625000,156.6188,125,125,-3972.278564453125,1876.25,2206.8,15.8923
630000,156.8182,126,126,-4015.124755859375,1872.36,2214.65,15.1707
635000,156.7459,127,127,-4040.75634765625,1807.72,2188.86,15.1039
640000,156.9001,128,128,-4096.02294921875,1858.28,2226.83,15.3594
645000,156.8379,129,129,-4130.71923828125,1828.74,2227.62,15.1109
650000,156.6994,130,130,-4171.40380859375,1857.22,2268.51,15.4418
655000,156.6538,131,131,-4204.19921875,1849.24,2194.46,15.204
660000,156.9063,132,132,-4254.57421875,1843.83,2196.26,15.4528
665000,156.8156,133,133,-4306.8740234375,1892.23,2236.13,15.4314
670000,156.726,134,134,-4348.01220703125,1824.67,2126.47,15.125
675000,156.8445,135,135,-4380.56201171875,1906.73,2209.3,15.7881
680000,156.6778,136,136,-4421.95703125,1860.35,2225.52,15.7031
685000,156.762,137,137,-4479.6826171875,1862.33,2224.95,15.3696
690000,156.9096,138,138,-4525.25439453125,1870.05,2230.97,15.4639
695000,156.7055,139,139,-4554.22802734375,1843.71,2252.88,15.6259
700000,156.7332,140,140,-4607.0009765625,1873.47,2242.22,15.26
705000,156.823,141,141,-4662.662109375,1881.0,2239.06,15.3382
710000,156.8307,142,142,-4696.20849609375,1877.67,2227.25,15.3747
715000,156.6729,143,143,-4743.02294921875,1880.43,2251.73,15.3956
720000,156.6423,144,144,-4775.5625,1852.26,2183.1,15.3092
725000,156.852,145,145,-4841.90185546875,1862.02,2214.09,15.2936
730000,156.7029,146,146,-4888.6533203125,1893.72,2255.88,15.2949
735000,156.5822,147,147,-4903.89306640625,1878.65,2267.75,15.3789
740000,156.6834,148,148,-5001.9326171875,1908.56,2264.58,15.9414
745000,156.7006,149,149,-5027.58544921875,1854.26,2214.06,15.3217
750000,156.6787,150,150,-5072.17529296875,1913.77,2273.15,15.5738
755000,156.7798,151,151,-5097.97802734375,1867.07,2208.64,15.1318
760000,156.8428,152,152,-5156.15185546875,1845.55,2208.75,15.2578
765000,156.5355,153,153,-5203.298828125,1895.73,2226.15,15.1926
770000,156.7576,154,154,-5277.2646484375,1916.98,2287.63,15.6966
775000,156.6905,155,155,-5315.18701171875,1881.26,2237.47,15.2819
