Itration,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
0,13.1027,48.3874,449.04,429.62
1,14.9396,50.6254,233.6,263.59
2,13.7337,48.8301,349.44,327.7
3,14.6703,48.8461,413.47,338.15
4,31.2189,48.6949,407.01,447.57
5,25.1094,48.3248,440.64,406.55
6,32.0724,48.6685,409.81,437.02
7,15.4745,48.7684,500.44,456.17
8,16.3615,47.8066,485.42,562.81
9,15.4347,47.8745,511.57,493.7
10,19.2637,47.9817,608.82,522.77
11,15.4904,47.7914,612.74,546.91
12,14.9435,47.9833,621.37,553.56
13,14.8688,47.7919,563.0,612.34
14,14.9807,47.7979,601.17,582.5
15,15.7152,47.3012,661.13,654.03
16,18.8937,47.2013,768.52,768.77
17,20.0967,47.3988,753.86,774.5
18,16.0197,47.7941,773.1,706.29
19,15.197,47.6372,707.1,757.02
20,21.7718,47.1204,697.67,720.16
21,16.2606,46.9179,687.64,866.59
22,15.8156,47.7211,671.79,850.49
23,14.6069,47.4676,726.48,938.32
24,18.0374,47.4546,973.42,982.17
25,16.2069,47.6397,860.69,943.5
26,20.5221,46.923,2264.14,1413.4
27,15.8936,46.4018,2169.07,1473.82
28,15.0061,46.9912,1581.7,1448.02
29,15.2,46.8443,1384.44,1125.14
30,15.5945,46.3645,1963.6,1439.97
31,14.8046,45.9904,2686.05,1325.6
32,16.2439,46.288,3151.48,2190.51
33,17.5632,46.5884,3071.24,1784.75
34,20.9969,46.976,1683.29,1647.43
35,19.8495,46.536,2596.09,1570.33
36,21.4325,47.449,2812.85,2598.39
37,33.9967,46.9738,2688.1,1818.67
38,18.6951,47.1541,1262.16,1119.94
39,19.9495,47.2841,1336.16,1137.31
40,18.3274,47.3245,1221.41,1071.24
41,31.7273,47.3556,1520.33,1192.54
42,40.9003,48.1236,1477.84,1291.9
43,37.2168,46.6931,2524.54,1771.46
44,24.9075,47.607,1466.39,1231.11
45,38.9515,48.5452,1162.89,1024.86
46,27.6695,47.1943,1390.4,1179.83
47,35.7024,47.8062,1372.93,1183.52
48,19.5959,47.4753,1565.67,1338.26
49,41.4652,47.8419,1395.32,1171.94
50,34.1862,46.4994,1613.17,1323.79
51,34.6972,47.4247,1630.14,1382.5
52,25.0131,47.2835,1663.23,1367.8
53,33.1508,47.2556,1374.35,1313.37
54,19.7146,47.7819,1215.11,1098.49
55,28.6664,46.6756,1486.06,1286.53
56,18.5596,46.7942,1535.22,1342.51
57,30.1152,46.1652,1290.89,1240.83
58,39.9133,46.5983,1741.35,1518.96
59,22.0662,45.9737,2029.32,1574.47
60,30.123,46.697,1319.82,1259.38
61,25.96,46.1561,2124.26,1851.58
62,22.0981,46.7473,1433.95,1307.84
63,31.3013,46.853,1679.8,1411.13
64,24.9612,46.3873,1383.66,1377.8
65,30.9755,46.7607,1604.54,1268.13
66,30.6245,46.589,1566.57,1474.91
67,19.5575,46.7684,1321.56,1246.68
68,15.1585,46.1209,1879.84,1582.51
69,38.4565,46.1933,1558.54,1308.52
70,27.3807,47.0776,1561.84,1338.34
71,21.1593,46.0161,1618.63,1418.66
72,40.4253,46.3273,2191.31,2009.41
73,23.4085,46.8917,1761.0,1500.2
74,23.4268,46.359,1735.54,1423.86
75,17.8946,46.9266,1660.08,1411.09
76,20.5704,46.8171,1459.12,1356.01
77,31.8833,47.3381,1541.72,1304.59
78,18.3746,46.1597,2025.34,1598.76
79,18.7911,47.2024,1329.24,1269.18
80,18.6563,47.0797,1370.93,1257.54
81,22.0862,47.0266,1300.3,1258.82
82,23.4765,45.9091,2139.74,1623.49
83,18.8746,46.5352,2984.89,1760.67
84,34.0588,47.3352,1539.72,1378.03
85,15.6392,46.746,1485.41,1356.49
86,15.6996,45.5825,2368.69,1918.25
87,16.8065,46.2467,1699.04,1581.37
88,19.0959,46.3325,1882.01,1648.76
89,14.8497,45.522,1632.37,1674.11
90,17.8321,46.2762,1759.56,1640.25
91,14.2365,46.2974,1557.41,1406.96
92,15.7676,45.94,1965.34,1398.04
93,15.9503,45.7453,2145.34,1641.02
94,14.5964,46.4594,1796.65,1602.21
95,13.4648,45.7648,2068.78,1772.39
