Reward Loss,Real Sto Return,Running Update Time,Real Det Return,Running Reverse KL,Itration,Running Env Steps,Running Forward KL
1541.2945556640625,391.19,0,382.28,262.6727,0,0,433.2855
1668.7843017578125,352.66,1,468.02,246.6422,1,5000,433.672
1444.3831787109375,408.09,2,459.58,266.2536,2,10000,421.4028
483.9307556152344,433.5,3,510.4,267.967,3,15000,415.3963
632.3875732421875,378.49,4,391.15,277.2625,4,20000,426.7532
742.1612548828125,444.9,5,499.25,267.5608,5,25000,432.6955
156.90028381347656,417.71,6,433.64,267.3658,6,30000,434.5896
-228.3680419921875,444.25,7,513.26,273.8253,7,35000,427.6911
-552.2018432617188,417.43,8,483.52,256.2119,8,40000,422.6489
-480.0968017578125,437.16,9,508.81,248.6165,9,45000,416.0441
-845.8320922851562,417.34,10,371.06,280.2486,10,50000,434.5374
-962.3917236328125,447.9,11,418.25,286.7966,11,55000,439.3614
-1258.023193359375,501.72,12,489.24,259.2908,12,60000,420.8227
-1623.5679931640625,529.23,13,517.97,254.6566,13,65000,419.2398
-1822.915283203125,480.32,14,482.0,250.5336,14,70000,421.4042
-2105.39111328125,528.86,15,558.44,243.5674,15,75000,413.0738
