Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Running Update Time,Reward Loss,Running Forward KL,Real Det Return
-78.49,0,0,26.1559,0,8.424907684326172,75.0611,405.78
-36.84,1,5000,24.8498,1,1.696981430053711,73.7515,564.25
-14.25,2,10000,27.0468,2,-7.016569137573242,75.0727,556.53
39.63,3,15000,27.669,3,-19.29601287841797,74.5017,603.09
99.89,4,20000,27.9801,4,-31.709260940551758,69.7694,675.75
74.76,5,25000,29.7114,5,-39.06266403198242,72.4986,510.57
110.01,6,30000,29.3163,6,-46.432926177978516,70.2289,436.53
144.24,7,35000,30.9357,7,-56.539634704589844,71.294,739.81
213.36,8,40000,29.7595,8,-65.59878540039062,69.1915,789.29
230.36,9,45000,29.8746,9,-82.63397979736328,67.8691,999.0
271.59,10,50000,28.2308,10,-92.68446350097656,65.1186,990.5
352.56,11,55000,28.8929,11,-103.63761901855469,66.8705,1075.07
265.86,12,60000,31.2696,12,-115.29241180419922,70.5295,772.59
239.11,13,65000,29.1231,13,-130.62721252441406,67.5447,696.3
348.19,14,70000,28.6301,14,-139.72789001464844,66.5159,1419.56
475.55,15,75000,28.3291,15,-142.80191040039062,63.6123,1590.2
502.16,16,80000,27.0028,16,-153.67044067382812,64.0159,1928.19
931.19,17,85000,28.1821,17,-159.10389709472656,63.3618,1562.1
1008.42,18,90000,27.6947,18,-177.29086303710938,65.1752,1419.82
793.42,19,95000,32.1024,19,-165.06301879882812,63.8357,1624.86
1643.97,20,100000,32.043,20,-179.9806671142578,63.8559,2142.28
723.73,21,105000,30.1935,21,-195.29998779296875,64.1788,1219.84
1789.82,22,110000,38.5873,22,-184.21807861328125,67.386,2549.43
1851.93,23,115000,40.1611,23,-187.2469482421875,67.6241,3021.89
1403.88,24,120000,33.5469,24,-210.01974487304688,65.7546,3203.18
1232.53,25,125000,36.3082,25,-219.88352966308594,66.2804,3021.98
2117.31,26,130000,32.828,26,-221.29661560058594,65.4782,2804.26
1557.02,27,135000,34.1502,27,-237.96090698242188,67.4011,2220.74
1337.31,28,140000,29.5095,28,-263.7879333496094,66.8607,1527.58
1465.78,29,145000,31.5268,29,-251.0396270751953,65.4381,1927.32
1789.87,30,150000,32.3221,30,-271.3183898925781,66.1797,2737.39
2177.86,31,155000,38.6361,31,-246.4081573486328,66.2657,2714.62
1252.72,32,160000,30.3741,32,-289.6456298828125,66.5127,2099.67
1782.71,33,165000,34.0969,33,-275.3906555175781,67.3289,2655.15
1795.04,34,170000,35.1807,34,-283.9263916015625,67.3849,2832.13
2843.06,35,175000,40.3087,35,-276.45391845703125,68.0352,3175.27
2838.62,36,180000,48.2697,36,-263.93560791015625,71.2151,3702.61
2593.08,37,185000,44.1916,37,-274.3455810546875,69.3236,3423.67
2505.28,38,190000,46.5861,38,-272.8089294433594,70.2759,2762.67
2081.92,39,195000,35.1259,39,-324.567626953125,67.475,2387.3
2385.73,40,200000,35.9349,40,-333.48272705078125,66.8398,2199.81
3455.18,41,205000,49.6562,41,-301.1571044921875,76.0907,3643.19
1438.78,42,210000,34.5301,42,-351.21514892578125,67.8855,1328.93
