Running Reverse KL,Running Env Steps,Real Det Return,Real Sto Return,Itration,Reward Loss,Running Update Time,Running Forward KL
12.2211,0,729.51,374.62,0,351.46881103515625,0,49.117
23.7174,5000,419.28,406.67,1,301.3438720703125,1,49.2025
18.2933,10000,464.12,366.08,2,177.13186645507812,2,49.9227
22.265,15000,305.98,180.35,3,222.9158935546875,3,49.9729
15.8802,20000,489.51,373.21,4,323.74755859375,4,49.4273
20.0742,25000,433.52,433.32,5,226.7958984375,5,49.1411
23.3265,30000,381.84,448.61,6,199.86749267578125,6,48.9897
31.1878,35000,305.27,360.69,7,144.951904296875,7,49.8924
22.5038,40000,571.23,426.19,8,237.6134033203125,8,48.5957
22.7315,45000,449.82,422.0,9,236.6059112548828,9,49.0181
21.6926,50000,463.35,480.51,10,234.78379821777344,10,48.8982
50.0326,55000,506.15,462.9,11,199.83551025390625,11,48.725
27.4085,60000,488.21,453.8,12,71.34944152832031,12,49.8235
21.1497,65000,493.93,454.54,13,257.5199279785156,13,48.8222
22.8646,70000,477.6,469.54,14,177.61334228515625,14,48.723
48.9584,75000,565.71,508.15,15,124.93413543701172,15,49.1898
34.106,80000,471.04,481.91,16,151.28594970703125,16,48.2814
30.0545,85000,502.96,476.56,17,93.50701904296875,17,48.9703
25.4762,90000,447.71,488.94,18,79.4361801147461,18,48.8951
22.2372,95000,618.49,559.36,19,158.126708984375,19,49.5582
29.7656,100000,568.92,490.34,20,167.48744201660156,20,49.2968
14.4644,105000,580.21,564.25,21,148.2037353515625,21,49.029
17.9018,110000,599.65,540.52,22,130.30630493164062,22,48.4675
15.0657,115000,618.16,590.11,23,128.3932647705078,23,48.5681
22.5632,120000,614.5,607.61,24,106.12681579589844,24,48.7035
17.158,125000,665.72,633.37,25,28.01612091064453,25,47.9387
15.9783,130000,678.19,644.18,26,49.096553802490234,26,47.9557
17.676,135000,663.29,664.65,27,45.83278274536133,27,47.6042
16.6946,140000,713.75,685.09,28,35.35559844970703,28,47.6265
20.77,145000,887.3,862.52,29,-8.414030075073242,29,47.8529
21.9578,150000,889.6,952.69,30,-24.510562896728516,30,47.8874
16.4017,155000,967.5,793.76,31,58.64164352416992,31,47.9398
16.814,160000,1068.62,996.38,32,23.813247680664062,32,47.0872
20.5352,165000,944.66,817.91,33,-88.75447845458984,33,48.1151
18.7815,170000,913.61,801.49,34,-97.41386413574219,34,47.9149
19.7367,175000,923.3,867.34,35,-120.13777923583984,35,48.2012
21.7435,180000,1357.67,873.8,36,-157.16761779785156,36,48.0495
18.2503,185000,960.36,911.19,37,-143.58367919921875,37,47.3371
17.5418,190000,1032.83,906.89,38,-117.22871398925781,38,47.3691
34.3661,195000,915.08,853.08,39,-207.34796142578125,39,48.5673
22.4697,200000,954.16,902.06,40,-189.07675170898438,40,46.8043
26.2904,205000,1087.15,957.45,41,-202.92904663085938,41,47.1126
24.8324,210000,1035.78,1007.76,42,-218.07235717773438,42,47.5389
23.1406,215000,1873.98,1116.52,43,-197.91880798339844,43,47.1175
18.7813,220000,1283.93,1159.19,44,-190.1317596435547,44,47.2903
18.9973,225000,945.26,885.38,45,-230.9708251953125,45,47.5524
20.2481,230000,985.42,905.1,46,-233.60362243652344,46,47.5857
17.8653,235000,867.98,918.47,47,-222.11184692382812,47,47.113
18.6296,240000,1043.1,917.51,48,-244.7277069091797,48,47.8061
19.472,245000,1048.56,918.87,49,-266.67535400390625,49,47.4925
21.7808,250000,1060.23,932.77,50,-307.32135009765625,50,47.2323
17.526,255000,1013.0,927.49,51,-269.25531005859375,51,47.5178
19.194,260000,983.88,907.27,52,-271.8268737792969,52,47.4726
14.4011,265000,1272.53,853.54,53,-219.73255920410156,53,47.3052
19.6843,270000,1069.53,983.14,54,-317.6958312988281,54,47.3597
19.9841,275000,1097.64,991.78,55,-325.98992919921875,55,47.7597
26.1874,280000,1294.87,1018.96,56,-354.8128356933594,56,47.6239
24.542,285000,1102.45,983.03,57,-417.6105041503906,57,48.0431
17.2327,290000,1295.64,1011.18,58,-176.86199951171875,58,47.5126
15.7258,295000,944.24,917.92,59,-256.18316650390625,59,47.0828
24.0116,300000,1084.71,857.53,60,-426.3381652832031,60,47.5986
21.8368,305000,1093.03,957.14,61,-425.6712951660156,61,47.2577
18.894,310000,1189.73,874.3,62,-423.8846435546875,62,47.7672
18.9825,315000,1277.55,1018.41,63,-424.8141784667969,63,46.9808
21.5596,320000,991.46,1021.33,64,-464.6698913574219,64,47.647
18.6442,325000,1252.88,1081.72,65,-406.1015625,65,47.7706
19.1465,330000,1152.89,1114.36,66,-436.6231384277344,66,47.3305
21.9846,335000,1274.76,961.59,67,-483.3352966308594,67,46.9181
19.7399,340000,1009.41,1180.93,68,-445.1723937988281,68,47.2376
15.8901,345000,1221.54,1188.83,69,-414.80609130859375,69,46.1169
21.7016,350000,1106.29,1607.28,70,-480.9648132324219,70,46.2649
19.7602,355000,1106.95,1026.8,71,-475.49755859375,71,47.1329
14.2764,360000,1310.64,1359.01,72,-406.6081848144531,72,46.3172
19.9108,365000,2010.39,1479.57,73,-480.78839111328125,73,47.1771
16.8735,370000,1283.13,1487.39,74,-440.07830810546875,74,46.5719
18.3665,375000,3070.98,1756.24,75,-421.622802734375,75,46.2254
13.3842,380000,1250.17,1592.59,76,-398.6685791015625,76,46.1454
15.4785,385000,1839.93,1239.6,77,-416.1977844238281,77,46.4823
14.1228,390000,1290.81,1535.27,78,-378.2157287597656,78,45.5978
14.3436,395000,1653.94,1543.16,79,-409.64544677734375,79,46.0217
15.8417,400000,3006.14,2166.98,80,-363.2322692871094,80,45.9472
16.1984,405000,2851.34,2325.11,81,-425.22113037109375,81,45.9391
16.2956,410000,2403.92,2462.17,82,-454.55987548828125,82,45.717
18.7917,415000,2254.1,1407.33,83,-543.6044921875,83,46.2061
16.5835,420000,1871.69,1081.92,84,-560.3056030273438,84,46.6873
15.6889,425000,1196.88,1927.42,85,-492.43402099609375,85,45.5909
18.1641,430000,2260.71,2889.47,86,-384.62567138671875,86,45.793
18.4487,435000,2151.13,1882.79,87,-578.2774658203125,87,45.7261
18.1533,440000,2375.07,1889.84,88,-419.1077880859375,88,46.3829
16.0114,445000,1665.05,2365.76,89,-553.3236694335938,89,46.158
17.9087,450000,1648.18,1774.47,90,-617.0250244140625,90,45.5775
20.1123,455000,2294.1,1869.27,91,-604.6536865234375,91,46.3062
21.7025,460000,2137.7,2335.31,92,-485.3528747558594,92,46.0333
28.5285,465000,1077.58,2534.2,93,-637.5897827148438,93,46.1772
26.2236,470000,2853.64,2777.26,94,-544.9153442382812,94,45.5122
22.2305,475000,1661.66,2583.13,95,-441.7943420410156,95,45.9604
34.8563,480000,2783.17,1780.52,96,-710.7715454101562,96,45.3919
20.5222,485000,1504.84,2893.09,97,-532.786865234375,97,46.1671
16.8307,490000,769.51,2222.98,98,-553.6951293945312,98,45.986
21.7093,495000,3479.34,3143.36,99,-545.7294311523438,99,46.1377
19.6863,500000,3413.46,2880.99,100,-601.9713745117188,100,45.8469
16.5484,505000,3640.1,2459.15,101,-591.9907836914062,101,45.0756
21.5814,510000,1894.79,2644.93,102,-591.8701782226562,102,45.1384
20.6406,515000,3592.83,3411.76,103,-448.51446533203125,103,45.8314
16.2446,520000,1771.98,2631.11,104,-618.7247314453125,104,45.4784
18.2311,525000,3639.54,3124.74,105,-525.3070678710938,105,44.7465
20.1287,530000,3313.67,2926.56,106,-609.0328979492188,106,45.6424
21.7833,535000,3721.5,3711.74,107,-458.2584533691406,107,46.1334
19.9067,540000,3663.64,3558.56,108,-555.4182739257812,108,45.6725
20.2619,545000,3690.35,3508.47,109,-485.78955078125,109,45.7959
21.6513,550000,3719.65,3684.88,110,-487.9270324707031,110,45.6455
20.4354,555000,3700.47,3524.68,111,-494.6671142578125,111,46.225
20.6616,560000,3716.13,3681.86,112,-497.0153503417969,112,45.8462
20.1368,565000,3738.45,3655.5,113,-510.3979797363281,113,45.3079
18.9509,570000,3756.1,3620.32,114,-531.922607421875,114,45.425
17.3106,575000,2937.3,3365.53,115,-577.66796875,115,44.8772
19.1199,580000,3760.52,3677.85,116,-546.9194946289062,116,45.7841
19.2542,585000,3624.96,3676.28,117,-559.4505004882812,117,45.7073
19.4981,590000,3591.75,3718.26,118,-531.297119140625,118,45.0597
18.9124,595000,3614.41,3584.48,119,-637.9985961914062,119,44.8933
20.973,600000,3602.45,3776.61,120,-559.101806640625,120,45.7511
18.2878,605000,3632.62,3707.01,121,-560.8583984375,121,45.1919
19.8184,610000,3751.0,3775.27,122,-563.4780883789062,122,45.4668
17.7312,615000,2644.75,2836.1,123,-717.759033203125,123,45.0727
18.9518,620000,3663.2,3775.42,124,-573.4091796875,124,45.1187
18.9218,625000,2840.2,3372.31,125,-669.5957641601562,125,45.5186
18.4732,630000,2650.85,3409.66,126,-683.5615844726562,126,45.5245
19.4063,635000,3332.75,3528.6,127,-653.3246459960938,127,45.0674
16.0008,640000,3137.47,2123.14,128,-894.3824462890625,128,46.5971
22.6343,645000,3778.11,3730.22,129,-674.8797607421875,129,46.6585
20.6337,650000,3896.69,3424.54,130,-654.2576904296875,130,45.1184
78.8593,655000,-8.4,-2.74,131,-1106.5726318359375,131,51.7091
24.4933,660000,735.01,944.08,132,-801.6747436523438,132,46.8756
21.8857,665000,3792.95,3779.31,133,-696.2596435546875,133,45.5136
20.731,670000,3931.61,3045.85,134,-728.9942016601562,134,45.7699
20.2979,675000,4044.55,3980.97,135,-659.0252075195312,135,45.0279
19.2396,680000,3768.32,3827.43,136,-683.1099243164062,136,44.9251
21.2033,685000,3686.34,3621.64,137,-734.7607421875,137,45.4697
19.2755,690000,3682.43,3738.88,138,-771.3701782226562,138,45.2709
20.231,695000,3806.89,3748.29,139,-758.0825805664062,139,45.3522
