Running Reverse KL,Itration,Running Forward KL,Real Det Return,Real Sto Return
240.079,56,372.3127,620.63,1018.82
241.3515,57,367.1821,628.48,1101.59
211.5739,58,338.5731,1452.53,1488.96
198.6649,59,332.4828,842.55,1598.01
186.7374,60,330.0029,970.47,1427.3
223.0278,61,353.3964,1099.73,1555.73
214.8686,62,347.8312,954.95,1762.67
147.1236,63,306.8716,1615.12,2926.74
176.6496,64,336.9447,995.74,1928.47
188.6449,65,339.2121,1649.97,1935.9
119.3789,66,303.8783,2155.9,2932.0
174.2728,67,323.7089,1453.01,2204.7
124.2677,68,308.7135,1828.9,1936.91
144.5559,69,315.6188,2605.19,2897.44
167.7115,70,322.9479,1620.8,2291.43
149.2863,71,310.777,1480.42,3028.07
202.3775,72,339.1282,716.76,1553.47
183.4682,73,335.9473,1012.1,1526.7
208.351,74,330.127,1262.92,1675.64
148.558,75,313.871,2732.76,3251.25
159.5136,76,324.7147,1631.77,2930.72
154.7229,77,326.521,3702.2,2031.16
181.4789,78,336.1078,2373.11,2950.86
173.0943,79,329.8638,2218.16,3063.78
145.1058,80,316.0082,3951.51,4167.22
117.2083,81,302.1785,4588.93,3840.39
136.638,82,316.4365,3248.83,4193.82
127.03,83,305.8708,1536.8,3305.75
157.4661,84,319.6137,2989.13,3425.05
132.4089,85,313.364,4446.27,3713.14
115.7552,86,292.2785,4466.42,4304.07
112.3118,87,291.3324,3439.46,4723.28
115.624,88,299.1863,4531.67,3264.82
112.6952,89,301.269,4050.98,4435.99
122.8045,90,299.3975,5158.62,4727.73
130.2899,91,311.434,3191.13,3635.29
111.5098,92,302.5306,4289.25,4123.96
131.1828,93,304.297,3224.68,3745.72
120.5123,94,301.6365,4940.11,4507.2
138.3028,95,303.589,5040.17,4207.87
139.2382,96,307.9933,5147.48,4528.44
127.4704,97,307.6437,5134.19,4875.24
111.0578,98,303.0297,5093.69,4312.03
120.2966,99,297.7176,5207.57,4975.57
113.997,100,302.6697,3123.79,4705.47
120.5551,101,303.7755,4803.32,4474.75
129.4435,102,299.691,3171.55,3722.66
127.2923,103,300.8121,5004.67,4266.08
136.9546,104,308.1905,4780.94,4697.44
123.6392,105,303.3708,4966.66,4053.59
130.0474,106,299.8895,4086.61,4922.18
126.7142,107,300.5485,4762.61,4882.32
123.2054,108,302.0449,3360.84,4031.97
137.2538,109,310.4868,5203.5,4934.22
137.5709,110,309.058,3642.52,4742.93
138.2171,111,313.7282,4359.82,4254.75
139.1414,112,319.2783,5208.64,4637.92
134.5838,113,313.7315,5136.02,4899.3
141.0669,114,319.0451,4445.61,4409.88
135.9379,115,312.7219,5159.06,5095.08
123.3712,116,311.4653,5260.57,4827.06
164.7763,117,319.7632,3044.36,3958.94
144.853,118,320.3511,5168.52,5099.09
138.1121,119,314.0937,5101.32,4764.8
131.5303,120,312.0271,4955.48,5154.44
137.9781,121,318.4995,5210.25,5136.13
135.0502,122,308.744,4343.02,5165.24
130.9575,123,306.4658,4198.88,4329.89
161.6706,124,325.453,1772.32,4037.37
