Real Sto Return,Itration,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps
357.39,0,0,449.05,427.0705,3757.440185546875,249.6438,0
318.75,1,1,304.79,454.3333,3523.80322265625,305.9167,5000
312.77,2,2,304.7,476.6665,3409.70849609375,289.5151,10000
433.82,3,3,329.74,438.1871,3843.224609375,273.8766,15000
391.11,4,4,326.3,445.0279,3061.05712890625,252.9072,20000
414.55,5,5,461.93,427.1113,3360.44140625,267.0613,25000
407.32,6,6,400.16,436.4669,2840.7763671875,267.6815,30000
449.24,7,7,433.31,429.3725,2801.191650390625,292.2104,35000
462.58,8,8,466.49,427.3984,2650.348876953125,305.0621,40000
439.76,9,9,412.14,454.2097,2176.7333984375,299.1356,45000
482.47,10,10,454.93,419.53,1802.3326416015625,291.3106,50000
519.9,11,11,513.5,418.8847,1732.101806640625,276.6781,55000
531.06,12,12,579.74,422.4723,1299.579345703125,265.8174,60000
530.48,13,13,720.66,434.7531,1189.2677001953125,269.6626,65000
542.1,14,14,509.64,413.1181,864.6815795898438,269.992,70000
577.8,15,15,600.84,426.849,380.9136047363281,294.5542,75000
575.47,16,16,582.05,426.7662,78.63551330566406,269.142,80000
554.59,17,17,608.5,436.2435,-333.3614501953125,283.0581,85000
564.37,18,18,541.42,415.511,-260.363525390625,275.179,90000
563.14,19,19,625.3,427.022,-714.7269897460938,289.7802,95000
591.09,20,20,609.76,425.8633,-771.0282592773438,282.9329,100000
615.98,21,21,669.82,431.664,-575.0418701171875,265.372,105000
589.71,22,22,633.29,421.6239,-823.4379272460938,266.6486,110000
612.53,23,23,649.6,433.7552,-1703.574951171875,323.2216,115000
630.08,24,24,811.71,432.0701,-1795.6080322265625,274.5743,120000
578.96,25,25,738.5,432.4689,-2189.686767578125,312.42,125000
704.51,26,26,668.14,420.0102,-2076.54150390625,269.6965,130000
666.56,27,27,709.33,428.3677,-2674.513427734375,294.1993,135000
622.59,28,28,606.36,423.3243,-2551.296875,264.8727,140000
693.89,29,29,627.03,421.066,-2996.93994140625,280.5594,145000
694.22,30,30,775.1,415.1195,-3046.4833984375,282.1691,150000
715.83,31,31,857.02,420.2622,-2934.888427734375,252.6934,155000
836.77,32,32,697.84,417.034,-3186.744384765625,292.9635,160000
862.71,33,33,919.68,417.4324,-3959.647705078125,301.7212,165000
913.91,34,34,833.14,410.5486,-3878.50927734375,284.2546,170000
756.74,35,35,899.19,433.5486,-4527.61376953125,315.1016,175000
912.49,36,36,740.59,429.2014,-4649.40234375,299.9319,180000
892.06,37,37,823.76,423.9933,-4412.60888671875,298.7515,185000
1176.46,38,38,815.26,409.0349,-5028.3291015625,267.3194,190000
1137.77,39,39,986.8,406.5844,-4830.92822265625,272.6104,195000
1499.22,40,40,1048.12,408.6961,-4960.27978515625,235.4572,200000
1240.11,41,41,1115.34,415.0745,-5721.41455078125,282.2209,205000
1385.15,42,42,1383.89,415.4249,-5523.88232421875,259.0434,210000
1332.12,43,43,1147.94,411.1307,-5835.43896484375,250.7925,215000
1633.09,44,44,1540.97,395.7391,-5564.61328125,250.6745,220000
2431.55,45,45,2446.98,394.1381,-5432.43603515625,228.6859,225000
2055.47,46,46,1699.76,395.5152,-5613.7978515625,229.3303,230000
3402.21,47,47,1299.14,397.2558,-5288.6923828125,219.1302,235000
1890.68,48,48,892.58,404.5166,-5713.56591796875,230.9893,240000
2489.5,49,49,1313.87,397.2668,-5645.8837890625,224.3099,245000
3138.6,50,50,1844.33,400.5135,-5322.2568359375,235.0727,250000
3563.84,51,51,1253.24,393.9795,-5498.2216796875,222.3031,255000
2494.83,52,52,878.99,396.1402,-5683.34326171875,230.2015,260000
2953.75,53,53,1022.29,390.8831,-5857.96337890625,222.6575,265000
3216.62,54,54,1593.82,401.9073,-5422.19873046875,241.6879,270000
4051.38,55,55,3149.04,389.2163,-4492.64892578125,236.8853,275000
3709.0,56,56,1938.09,402.3866,-5334.85009765625,238.83,280000
4200.17,57,57,1736.22,401.1517,-5022.7109375,242.9681,285000
4183.1,58,58,1450.49,402.3167,-5626.49169921875,237.8822,290000
4664.15,59,59,2029.61,399.779,-5438.67333984375,244.0696,295000
4501.48,60,60,1877.7,402.1628,-5419.669921875,247.281,300000
4565.29,61,61,1479.19,402.1439,-5483.80322265625,252.268,305000
4638.81,62,62,1616.69,405.3397,-5754.16650390625,244.6615,310000
4674.98,63,63,4107.33,396.8828,-5897.2587890625,238.0129,315000
4580.91,64,64,2772.52,408.2954,-5921.791015625,253.2658,320000
4625.5,65,65,1173.43,401.3309,-6047.4287109375,242.9147,325000
2404.35,66,66,922.27,399.4344,-7824.0810546875,233.1213,330000
4583.83,67,67,1245.14,401.6506,-6574.171875,246.6705,335000
4721.61,68,68,1692.87,396.132,-6768.24072265625,241.108,340000
2881.32,69,69,739.44,391.8298,-8060.68115234375,234.6193,345000
3819.02,70,70,1581.84,401.9721,-7657.67724609375,230.1681,350000
4363.55,71,71,3350.69,398.2865,-7336.6376953125,246.7901,355000
4375.51,72,72,1943.6,390.3121,-7626.41015625,234.3528,360000
3354.17,73,73,1980.58,402.0205,-8223.2607421875,236.7563,365000
3343.32,74,74,2952.59,398.7593,-7762.4384765625,241.1084,370000
4173.63,75,75,1992.22,404.4657,-8146.00830078125,241.9648,375000
4497.28,76,76,3237.53,407.0566,-8660.439453125,253.5735,380000
3746.01,77,77,1721.34,402.6524,-8606.0791015625,227.2264,385000
3861.5,78,78,2873.08,399.3936,-9463.76171875,231.8481,390000
3920.08,79,79,3258.79,406.0312,-8934.9228515625,251.4208,395000
4383.34,80,80,1409.08,399.2832,-9198.5576171875,232.4186,400000
3211.71,81,81,1750.3,395.2246,-9716.3193359375,227.0279,405000
2795.33,82,82,1943.77,394.8858,-9804.9345703125,237.5758,410000
3942.22,83,83,2119.63,395.3975,-9765.216796875,225.4989,415000
4216.07,84,84,1440.7,397.9263,-10019.84765625,247.0116,420000
4303.75,85,85,2278.05,395.5032,-9979.9560546875,233.8309,425000
4343.9,86,86,2099.27,404.0846,-10536.92578125,245.3006,430000
3626.22,87,87,1185.92,392.4182,-10441.6162109375,228.5991,435000
4482.85,88,88,1297.71,389.3871,-10656.6044921875,233.2719,440000
4186.97,89,89,2458.08,391.5994,-10480.1103515625,222.3762,445000
4395.2,90,90,2610.69,399.1351,-10847.5615234375,228.2084,450000
4131.03,91,91,2412.1,394.1019,-11115.5869140625,225.8301,455000
4272.4,92,92,2332.59,395.4583,-11202.3408203125,225.7693,460000
2357.12,93,93,1666.29,397.9105,-11387.4111328125,261.3546,465000
4139.24,94,94,2005.25,391.0266,-11681.970703125,228.3863,470000
4184.64,95,95,2040.44,392.5526,-11615.6435546875,220.1808,475000
4582.36,96,96,2528.89,390.5423,-11796.744140625,227.5553,480000
3947.57,97,97,3050.65,392.3395,-11899.6640625,218.4828,485000
4693.5,98,98,2950.63,387.8321,-12073.3037109375,224.9157,490000
3493.43,99,99,3655.4,388.3123,-12131.2333984375,215.2693,495000
4674.02,100,100,2148.81,388.2711,-12435.162109375,228.3295,500000
4777.48,101,101,2677.92,389.4792,-12568.76953125,230.9175,505000
4812.68,102,102,4172.68,385.9199,-12644.701171875,228.8057,510000
4687.36,103,103,3570.67,388.89,-12771.87109375,223.4432,515000
4247.33,104,104,2537.17,387.2555,-12865.900390625,224.5648,520000
4579.22,105,105,1783.12,384.8351,-13079.8095703125,220.7689,525000
4794.61,106,106,3657.44,391.1807,-13455.3974609375,228.3116,530000
4692.88,107,107,1751.15,382.2411,-13393.4609375,215.8327,535000
4772.61,108,108,3571.34,389.6223,-13715.037109375,225.2761,540000
4016.22,109,109,2482.59,385.9406,-13881.513671875,219.4292,545000
4710.73,110,110,2539.85,382.0818,-14053.9140625,215.2752,550000
4402.65,111,111,4381.34,387.4844,-14097.3037109375,213.7151,555000
4438.54,112,112,1908.31,388.5151,-14695.08203125,226.3826,560000
3610.44,113,113,1028.39,395.3194,-14236.55859375,240.3457,565000
4893.8,114,114,1890.44,379.2862,-14730.955078125,219.0936,570000
4857.03,115,115,1585.28,382.051,-14573.806640625,213.1877,575000
4867.32,116,116,4594.39,380.6631,-14960.0390625,219.5551,580000
4543.65,117,117,2395.88,384.6265,-15239.7099609375,220.6515,585000
4331.37,118,118,1140.0,386.3205,-15307.611328125,223.4751,590000
4584.46,119,119,746.11,382.323,-15424.21484375,215.4207,595000
4370.17,120,120,3196.62,380.4524,-15516.76953125,209.814,600000
4273.09,121,121,2264.12,382.2834,-15287.283203125,231.8086,605000
4866.01,122,122,2841.28,385.9673,-16081.3310546875,215.9407,610000
4836.12,123,123,3002.33,387.1895,-16395.39453125,224.4315,615000
4441.7,124,124,2542.04,388.5357,-16163.8525390625,218.9612,620000
4310.55,125,125,4389.78,393.5073,-16004.1044921875,231.3076,625000
4698.88,126,126,1547.22,388.8285,-16349.4794921875,216.3056,630000
4391.74,127,127,4675.31,387.382,-16883.50390625,223.9508,635000
4702.27,128,128,4514.12,386.2359,-17078.34375,223.1693,640000
4665.79,129,129,4137.39,382.2988,-16713.5234375,210.136,645000
4374.94,130,130,4152.77,389.0266,-17033.287109375,212.5064,650000
4715.13,131,131,4685.13,386.124,-16993.904296875,217.0924,655000
4731.89,132,132,3502.84,382.3657,-17121.45703125,211.5501,660000
4703.6,133,133,4450.41,378.7934,-17168.404296875,211.3914,665000
4684.15,134,134,3492.95,386.0453,-17132.8359375,204.8538,670000
4737.77,135,135,4602.83,384.2679,-17349.59765625,213.4807,675000
4703.68,136,136,1125.88,385.4142,-17240.09765625,213.1758,680000
4829.25,137,137,4689.65,384.3779,-17368.908203125,210.8514,685000
3738.51,138,138,4206.62,384.3755,-17471.724609375,203.4607,690000
4631.31,139,139,4145.88,380.3379,-17674.603515625,210.43,695000
4766.07,140,140,4506.02,379.5985,-17771.37109375,213.6544,700000
3740.96,141,141,3617.54,388.8458,-16880.76953125,213.1738,705000
4466.2,142,142,2919.79,375.5716,-17251.49609375,197.2371,710000
4453.76,143,143,4817.65,381.3844,-17395.259765625,202.1133,715000
3955.44,144,144,3931.12,379.137,-17528.1640625,200.7652,720000
3976.94,145,145,4961.44,387.3394,-17298.724609375,201.4224,725000
3954.56,146,146,4886.77,385.311,-17754.162109375,204.1433,730000
4114.45,147,147,4554.73,386.9044,-17381.66015625,207.7858,735000
3799.24,148,148,4098.4,380.564,-17201.361328125,211.3813,740000
4628.09,149,149,4523.36,381.5284,-18064.39453125,201.7282,745000
4430.3,150,150,2156.72,382.2715,-17885.349609375,212.3339,750000
4397.11,151,151,4941.65,379.7747,-17682.87109375,195.5556,755000
4220.14,152,152,3819.07,382.3249,-17702.3046875,196.8886,760000
4401.1,153,153,4928.16,379.8243,-18139.392578125,194.4756,765000
4632.67,154,154,4757.79,385.691,-18071.45703125,201.2945,770000
3474.53,155,155,2814.46,384.9398,-17587.38671875,206.6669,775000
