Running Forward KL,Real Sto Return,Itration,Running Reverse KL,Real Det Return
471.6185,311.82,0,284.092,233.36
432.7425,376.72,1,270.1558,269.21
443.0511,326.27,2,267.8737,327.94
434.8998,363.01,3,261.9485,309.5
445.387,391.73,4,265.5092,281.93
420.511,393.98,5,270.411,385.82
430.7616,366.88,6,266.0942,371.09
419.5984,396.93,7,264.288,408.57
413.188,514.55,8,233.4713,559.09
424.2557,498.03,9,242.9986,789.02
426.8745,466.26,10,247.1003,502.25
409.0569,585.91,11,252.5922,665.96
412.8676,540.69,12,270.8466,482.25
400.4954,682.23,13,246.1923,530.62
420.0801,712.42,14,248.0753,533.86
410.9448,624.52,15,263.0303,540.5
407.7348,749.0,16,237.2613,757.07
385.5185,763.18,17,241.8396,791.56
413.5418,845.8,18,267.1034,427.18
404.1357,779.43,19,268.3983,567.19
402.7097,853.79,20,289.9255,585.73
396.2754,720.94,21,299.9137,707.84
391.3647,832.67,22,323.0664,897.61
384.6856,927.9,23,302.9781,769.9
395.4779,921.55,24,281.8726,947.39
395.0701,894.14,25,251.2366,822.59
392.9684,755.99,26,257.3414,815.61
385.4308,797.51,27,246.387,829.01
394.3001,908.68,28,252.0034,800.15
389.3186,1003.93,29,276.7061,714.59
392.7325,978.83,30,230.8515,847.48
391.4589,825.06,31,251.6254,748.84
394.85,915.65,32,245.8713,515.82
383.4404,1116.83,33,252.6563,764.28
398.9445,677.04,34,278.2086,388.21
380.32,1049.88,35,248.6023,621.33
379.9271,905.18,36,253.3378,883.61
377.0003,864.29,37,277.9668,827.12
365.8757,1002.89,38,229.8506,1087.52
382.2192,1050.9,39,246.93,846.65
374.2083,876.05,40,232.9744,920.19
389.5547,921.95,41,276.0324,843.24
380.3168,1232.77,42,243.5038,849.48
377.4071,1104.17,43,250.0988,681.46
367.8427,1286.72,44,231.9908,1157.0
375.6805,1148.59,45,246.8844,1154.96
375.0019,1086.47,46,262.1731,1039.25
373.7498,1138.57,47,232.2483,852.64
370.8292,993.63,48,267.7273,1239.89
380.4648,1190.63,49,264.1585,930.24
368.3289,1280.7,50,236.3245,1066.09
368.7428,1118.18,51,243.5492,1622.18
372.4696,1127.79,52,253.8212,856.27
366.5549,1207.38,53,259.5257,1369.03
364.3361,1140.65,54,243.6068,1183.83
359.4649,1195.01,55,245.1345,1522.44
360.8295,1289.53,56,209.33,1106.5
362.1808,1341.86,57,241.727,1478.94
365.6836,1277.44,58,219.6895,1219.25
355.9522,1413.44,59,221.5063,1475.7
358.9559,1407.85,60,234.0248,1478.46
353.2585,1206.83,61,226.8788,1526.98
363.8311,1447.08,62,231.4244,1479.65
361.3766,1500.68,63,228.4533,1693.66
369.3338,1483.27,64,216.6297,1798.59
355.0438,1330.59,65,215.4998,1797.47
359.019,1441.09,66,226.2153,1923.74
368.5457,1585.96,67,228.4482,1493.64
354.576,1557.81,68,210.966,2020.42
351.0615,1685.56,69,205.0193,1765.47
352.8234,1900.56,70,209.9389,1917.31
355.7666,1703.03,71,217.0871,1944.96
353.4741,2030.18,72,207.4764,2330.81
351.2378,1712.58,73,215.0649,1971.18
347.5011,2002.08,74,201.2107,2069.96
357.2499,1882.41,75,223.6912,1880.47
344.8007,1724.79,76,214.0549,1680.43
357.2679,1797.61,77,234.4091,1755.57
351.1575,1926.93,78,182.9524,2802.94
339.8336,2630.13,79,185.8785,2365.12
351.1864,1835.45,80,217.3729,1822.99
349.4717,2006.74,81,194.2213,2611.59
339.9441,2327.24,82,186.2383,2707.12
359.8428,1583.86,83,224.5699,1928.49
340.501,2048.49,84,177.3612,1915.66
347.8907,2290.04,85,182.6355,2302.55
345.7362,2413.15,86,186.4773,2676.1
346.1711,2258.74,87,197.9579,2628.84
346.7326,2184.2,88,175.4593,2242.55
348.6047,1987.56,89,187.8335,2506.25
358.0687,2687.9,90,213.7724,3118.38
338.6039,2029.02,91,177.0868,3300.31
338.8182,2443.6,92,178.1403,2789.78
347.2736,2627.16,93,168.9887,2812.15
332.4892,2892.71,94,174.9632,2641.27
336.2162,2690.02,95,151.3409,2625.57
339.6104,2198.12,96,177.3862,3853.42
326.3246,2503.56,97,160.8076,3901.13
333.982,2984.4,98,167.716,3123.27
331.1462,3346.54,99,141.3677,3841.65
340.8904,2726.58,100,193.8934,4546.46
336.2172,2980.01,101,176.9316,4012.01
335.4667,2816.16,102,167.5691,3591.51
333.3673,2387.1,103,158.2636,1915.02
330.3231,2731.61,104,157.0863,4569.2
330.3223,2779.85,105,148.1863,4131.37
330.3806,3004.8,106,148.4642,3716.81
345.7388,3639.01,107,188.046,4408.45
335.6099,3561.09,108,152.4238,4588.7
338.2834,2936.51,109,194.3318,3837.08
333.703,3992.91,110,168.1992,3407.06
323.6028,3244.06,111,154.7361,4114.58
324.6034,2900.31,112,156.2236,3843.33
320.0897,4385.61,113,123.393,4212.66
319.3201,4547.13,114,116.7922,4098.52
318.0808,3827.36,115,119.9243,4918.67
318.983,4162.3,116,133.9474,3781.54
318.2033,4480.71,117,110.5055,4990.4
325.5265,4482.93,118,141.4513,5086.4
325.1894,4261.34,119,129.29,3806.07
316.5083,4384.53,120,122.796,4553.95
320.4656,4135.63,121,125.5165,3917.17
329.5532,4230.68,122,152.5269,4772.51
339.0268,3219.15,123,168.265,3034.97
318.82,5015.01,124,125.3963,5166.66
322.5222,4221.34,125,129.6514,5012.48
313.2381,4499.93,126,114.6216,5200.39
319.2306,5021.75,127,117.1596,4979.37
319.4776,4942.14,128,124.095,5153.29
328.5249,4048.52,129,149.5421,4513.82
319.5678,4837.73,130,117.5605,5149.17
321.1754,4507.7,131,127.9821,5114.3
330.4898,4437.3,132,136.3205,5115.76
323.0148,4854.33,133,121.5047,5099.31
322.9019,4558.4,134,126.5304,5157.97
320.3863,4819.06,135,124.5544,5204.04
317.6096,4928.4,136,123.6615,5180.25
321.9806,4999.54,137,126.2726,4560.03
325.9039,4680.78,138,128.8806,5167.28
321.7841,4544.4,139,124.029,5104.13
321.3214,5147.56,140,120.3528,4282.62
316.6365,4873.28,141,119.5187,5211.04
323.9762,4862.25,142,124.1648,5138.08
327.1364,4911.06,143,140.7521,5166.15
329.0657,4859.51,144,131.904,5192.49
324.0397,4834.31,145,132.869,5158.96
318.8821,5084.34,146,120.8094,5231.19
324.2481,4986.26,147,129.586,5204.93
324.5403,5074.35,148,128.8642,5318.66
323.5692,4980.9,149,126.6331,5136.86
319.6999,4908.18,150,122.8867,5266.31
328.5959,5124.21,151,140.9958,5217.88
324.5816,5174.07,152,124.8528,5263.47
326.2184,5102.9,153,131.741,5155.96
322.7064,4948.32,154,129.8838,5201.08
325.0005,5128.69,155,128.1615,5304.55
324.5242,4394.79,156,134.0527,5101.96
337.8404,3887.65,157,159.2547,5138.03
328.1147,4904.65,158,133.2565,4961.24
318.2245,5072.6,159,130.6186,5156.93
321.6562,5077.47,160,119.4393,5222.36
325.0488,4898.86,161,137.073,5222.76
331.5952,4649.84,162,137.6979,5176.23
319.1966,4802.99,163,121.6093,5192.1
318.025,5122.3,164,122.3235,4773.2
314.831,4702.87,165,116.6716,5219.08
322.6874,4565.12,166,127.342,5118.52
321.7409,4939.64,167,123.3665,4945.15
322.5701,4982.32,168,132.0309,5286.89
321.2723,5078.12,169,125.6728,5183.13
324.0429,4816.33,170,128.6493,5271.5
320.307,4873.67,171,128.3541,4976.32
321.8011,5100.55,172,125.6468,5025.85
329.5234,4835.62,173,137.5472,5236.43
321.2202,5100.55,174,118.4926,5187.35
323.2958,5070.96,175,121.6888,5250.85
322.8485,5101.59,176,130.3639,4698.58
322.0211,4815.47,177,124.8244,4665.41
314.272,4663.9,178,117.8911,4677.23
326.418,5109.89,179,135.8306,5303.89
321.4907,4820.79,180,125.6135,4024.04
321.4204,4856.46,181,116.4207,5257.74
326.6608,4768.98,182,129.3831,5266.48
315.9847,4635.0,183,117.4407,5129.54
326.8931,4520.31,184,124.4492,4438.03
323.1707,5120.02,185,124.9606,5176.0
323.7099,4666.64,186,120.6922,5263.06
321.3019,5161.28,187,118.1114,5137.81
322.4789,5061.85,188,122.6865,5277.68
326.2118,4779.36,189,118.4737,5182.35
320.3182,4691.28,190,124.0254,4794.28
317.1623,4622.1,191,118.5833,5059.43
324.9714,4633.58,192,129.9937,4865.29
324.0313,4820.09,193,125.1678,5300.4
319.2074,4849.35,194,121.3593,5116.03
326.9738,4984.78,195,127.8938,5249.61
328.5392,4796.62,196,131.2073,5154.09
321.4296,5107.41,197,120.8889,5259.97
323.4375,4646.36,198,123.684,5068.43
325.8442,4645.5,199,129.2256,4828.74
329.8668,4375.78,200,146.1593,4963.07
322.4878,4774.95,201,137.7235,5171.04
319.4582,4329.6,202,129.8742,5176.93
324.7074,4723.56,203,129.7694,5144.27
327.6887,4952.52,204,141.5325,4535.22
321.6543,4952.83,205,127.6467,5051.79
326.853,4898.57,206,137.8691,4475.66
326.7457,4801.68,207,133.3508,3970.81
320.4983,4445.68,208,127.4297,3834.7
320.983,4832.22,209,128.965,5061.5
326.0495,4289.94,210,127.2237,4672.75
323.4472,4820.49,211,130.1196,3966.44
321.4783,4979.89,212,126.1326,5090.5
325.0767,4976.05,213,126.5939,4194.62
326.6822,5099.56,214,124.9845,3521.13
