Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Update Time,Running Forward KL,Real Sto Return
13.0451,0,136.17384338378906,333.26,0,0,49.5035,328.23
28.7194,5000,169.5069580078125,324.16,1,1,50.0,325.46
33.6656,10000,177.95849609375,330.35,2,2,49.5564,332.04
29.5493,15000,136.6873321533203,362.42,3,3,49.9051,312.38
22.41,20000,117.40045166015625,392.77,4,4,49.3271,368.67
20.3422,25000,62.34198760986328,404.15,5,5,49.6797,299.87
25.9009,30000,51.69990539550781,367.96,6,6,49.8049,398.51
24.2846,35000,89.97870635986328,85.68,7,7,49.2749,201.58
22.7638,40000,38.781925201416016,890.36,8,8,48.7279,905.34
35.8959,45000,96.78691864013672,31.29,9,9,54.8981,17.71
34.0113,50000,-23.513763427734375,530.98,10,10,48.396,432.86
42.1562,55000,90.72560119628906,545.53,11,11,51.2406,411.2
23.4281,60000,98.89570617675781,1016.6,12,12,50.6581,516.69
19.4503,65000,41.813968658447266,114.71,13,13,51.5724,165.36
19.294,70000,-5.001544952392578,459.52,14,14,49.6919,461.12
50.0601,75000,99.65618133544922,121.8,15,15,53.9269,149.11
39.1887,80000,60.559898376464844,-14.27,16,16,50.7449,-14.69
81.8722,85000,47.65325927734375,10.9,17,17,55.4502,13.37
53.3722,90000,7.019840240478516,-20.03,18,18,55.2044,-8.37
32.14,95000,9.209304809570312,531.97,19,19,50.4923,504.7
28.2347,100000,-63.922882080078125,375.76,20,20,50.7717,356.52
48.2224,105000,-67.69237518310547,357.32,21,21,50.1974,358.96
58.4406,110000,-49.393272399902344,525.42,22,22,51.3438,468.73
15.7114,115000,-51.65180587768555,846.52,23,23,49.5727,741.94
29.7054,120000,-78.72423553466797,956.08,24,24,50.9498,868.6
23.0595,125000,-85.83489227294922,1028.08,25,25,51.5767,1041.16
17.5436,130000,-92.45677947998047,506.74,26,26,50.2173,666.73
69.1909,135000,-71.19903564453125,939.28,27,27,51.8578,150.46
21.0182,140000,24.20170783996582,-11.65,28,28,54.9633,-11.94
37.7628,145000,-125.77360534667969,989.27,29,29,54.9546,972.12
50.6575,150000,-2.1475911140441895,-24.01,30,30,55.1872,-1.54
75.9854,155000,-120.84672546386719,292.86,31,31,55.6926,24.89
23.0111,160000,-189.59437561035156,-25.16,32,32,51.7744,-30.29
21.5679,165000,-172.99282836914062,260.31,33,33,50.9146,214.7
49.6714,170000,-167.24488830566406,1002.06,34,34,56.6397,999.45
41.6303,175000,-174.97171020507812,1003.78,35,35,54.4143,1003.29
45.9888,180000,-254.41050720214844,1030.99,36,36,54.1724,888.99
39.5275,185000,-237.81442260742188,295.52,37,37,51.6025,311.72
24.175,190000,-264.6023864746094,39.89,38,38,53.1895,481.88
35.6679,195000,-227.94166564941406,1051.09,39,39,53.2939,1041.21
41.1449,200000,-229.72189331054688,1036.47,40,40,55.0745,1042.99
28.2875,205000,-253.06854248046875,1017.56,41,41,54.0461,978.54
22.2456,210000,-268.5331115722656,1012.16,42,42,53.3532,1012.57
21.8067,215000,-294.2455139160156,999.88,43,43,53.2987,997.37
52.0798,220000,-254.3784942626953,706.63,44,44,51.3913,547.44
24.1598,225000,-330.69635009765625,988.23,45,45,53.4312,891.25
32.9161,230000,-348.08563232421875,1000.56,46,46,51.4712,657.02
30.7477,235000,-348.2433776855469,1030.61,47,47,51.3581,801.46
22.8437,240000,-287.145263671875,1052.82,48,48,51.4587,585.57
42.5358,245000,-343.7698059082031,1015.76,49,49,55.1875,1024.34
44.4704,250000,-360.3124084472656,876.03,50,50,56.0778,926.06
48.845,255000,-370.0296325683594,992.78,51,51,56.3326,993.43
137.2954,260000,-365.3529357910156,192.51,52,52,55.3441,205.69
70.8401,265000,-453.5126953125,267.51,53,53,54.0273,153.61
32.421,270000,-426.7386169433594,200.64,54,54,54.1104,229.2
34.0132,275000,-388.5152282714844,203.12,55,55,52.11,230.42
29.0097,280000,-435.9932556152344,1012.63,56,56,54.5294,1006.87
32.035,285000,-437.187744140625,1011.52,57,57,54.2455,1015.94
47.1089,290000,-446.2602233886719,1028.75,58,58,56.6799,1024.94
68.9742,295000,-519.2654418945312,58.58,59,59,53.2995,27.18
61.8179,300000,-456.0665283203125,30.37,60,60,51.51,30.73
86.8021,305000,-453.6039733886719,465.37,61,61,53.8406,460.38
53.726,310000,-476.3402404785156,399.24,62,62,53.796,408.48
52.5792,315000,-514.2573852539062,1002.9,63,63,56.6017,1002.36
59.4059,320000,-530.3568725585938,1017.64,64,64,56.5717,1017.67
54.2897,325000,-538.5506591796875,1034.4,65,65,56.5055,1036.56
47.9887,330000,-552.8267211914062,1032.34,66,66,55.6584,985.81
49.0551,335000,-567.6491088867188,1029.0,67,67,56.7375,1028.81
52.4417,340000,-587.4361572265625,1015.25,68,68,56.9557,1015.41
39.0712,345000,-590.05908203125,730.21,69,69,54.614,816.34
58.6693,350000,-616.5115966796875,1024.83,70,70,57.6901,1024.97
65.4147,355000,-629.7952880859375,1033.83,71,71,57.254,1034.97
50.7977,360000,-640.7867431640625,1000.88,72,72,56.2918,1000.19
72.3654,365000,-624.904296875,-9.02,73,73,54.6506,-4.46
57.0768,370000,-668.8819580078125,1049.09,74,74,56.9558,1051.87
47.4604,375000,-691.9636840820312,992.26,75,75,55.9884,945.15
55.4975,380000,-750.6771850585938,932.11,76,76,55.2628,900.15
42.7854,385000,-715.5670166015625,1029.2,77,77,56.0571,1029.27
45.5571,390000,-734.8428344726562,1008.14,78,78,56.5052,1004.76
29.8097,395000,-704.6442260742188,981.75,79,79,52.2245,924.54
90.0293,400000,-929.0807495117188,-20.2,80,80,56.1816,-20.01
36.7624,405000,-756.9691162109375,988.31,81,81,55.5555,1037.46
28.9968,410000,-742.2753295898438,1008.7,82,82,54.591,1000.34
37.3575,415000,-775.4769897460938,888.69,83,83,54.3299,550.88
39.7307,420000,-797.7886352539062,997.56,84,84,54.8653,997.8
78.5602,425000,-844.2113037109375,11.38,85,85,54.4585,11.45
188.9783,430000,-1002.2471923828125,-10.53,86,86,59.5204,-11.03
21.0699,435000,-803.1659545898438,-23.85,87,87,53.7397,-24.28
48.448,440000,-849.5994873046875,1003.99,88,88,56.6157,999.08
25.2682,445000,-803.8782348632812,377.5,89,89,53.2856,431.36
42.6236,450000,-906.926513671875,1020.8,90,90,56.0099,1018.7
