Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Itration,Real Det Return,Reward Loss,Running Env Steps
17.5558,0,273.44,31.2318,0,266.11,1428.759521484375,0
25.0885,1,173.75,31.5786,1,115.68,1639.8087158203125,5000
27.1082,2,317.57,31.0895,2,327.66,1342.0059814453125,10000
21.4556,3,331.13,28.5169,3,328.53,898.8611450195312,15000
22.3048,4,301.57,30.4538,4,305.74,1319.786376953125,20000
20.5576,5,533.04,26.7117,5,416.52,1004.4720458984375,25000
19.7582,6,517.67,27.548,6,538.76,1052.627197265625,30000
18.79,7,719.81,27.7288,7,634.37,976.1527099609375,35000
33.2715,8,359.59,26.8814,8,608.9,692.6603393554688,40000
29.0317,9,750.25,26.4683,9,783.99,774.2273559570312,45000
45.9341,10,796.96,27.2446,10,625.5,985.4353637695312,50000
38.439,11,736.61,26.6885,11,714.06,845.4425048828125,55000
39.622,12,1224.05,26.2192,12,2827.02,1062.3927001953125,60000
32.2957,13,1434.39,25.4561,13,3050.68,565.3375244140625,65000
34.9217,14,2028.87,23.6852,14,2558.45,329.3059387207031,70000
34.5906,15,1523.7,24.595,15,1938.46,396.21722412109375,75000
19.0016,16,2477.84,25.0055,16,2531.65,102.49514770507812,80000
56.3799,17,1133.35,24.0352,17,1018.05,542.7284545898438,85000
45.4095,18,973.43,25.2664,18,917.51,968.1851196289062,90000
41.922,19,2081.07,24.8353,19,1044.38,504.9817810058594,95000
49.4514,20,1234.25,24.2729,20,2001.25,873.6865234375,100000
57.6533,21,1086.4,24.6608,21,1679.85,727.2020874023438,105000
47.51,22,922.93,26.7733,22,917.37,1169.364013671875,110000
36.0546,23,1785.25,24.1926,23,2268.88,328.0257873535156,115000
19.7593,24,2116.09,23.5444,24,3193.86,161.18894958496094,120000
44.1714,25,1482.87,24.2339,25,1047.19,503.7554016113281,125000
16.0433,26,1674.11,23.1962,26,2835.87,94.392333984375,130000
24.445,27,2328.09,22.8219,27,2915.94,278.69927978515625,135000
16.2682,28,2651.46,23.7099,28,3287.25,-124.34214782714844,140000
24.3732,29,1635.9,23.365,29,1288.86,110.97651672363281,145000
21.0831,30,2522.83,22.6707,30,3384.15,-106.39820098876953,150000
49.6153,31,1168.97,24.7818,31,1018.3,447.7505187988281,155000
31.8416,32,1742.54,22.4195,32,1649.94,667.9651489257812,160000
29.8219,33,1529.5,23.3301,33,1820.4,237.13095092773438,165000
35.2301,34,1101.32,23.7053,34,1024.57,508.09033203125,170000
56.2982,35,991.67,24.0704,35,920.0,48.05534362792969,175000
33.2076,36,1172.55,22.7869,36,1290.67,109.76394653320312,180000
31.3398,37,1627.32,22.8981,37,2244.83,178.35743713378906,185000
59.7957,38,1155.15,21.9673,38,1213.27,61.86464309692383,190000
23.4181,39,2198.37,21.1353,39,3367.26,-62.930240631103516,195000
16.9691,40,1982.99,23.5329,40,3314.6,-72.96810913085938,200000
22.8643,41,1740.96,22.5823,41,1177.41,-234.37672424316406,205000
26.988,42,1840.54,22.6668,42,2477.41,-211.06004333496094,210000
23.5419,43,1184.3,25.3591,43,1048.39,-275.8031005859375,215000
33.1175,44,1279.69,23.1699,44,1468.9,75.28573608398438,220000
17.1087,45,2881.74,21.7647,45,3428.72,-185.64556884765625,225000
12.43,46,2518.51,21.0657,46,3332.22,-174.66673278808594,230000
29.1343,47,1585.53,23.2915,47,1175.53,-379.5759582519531,235000
28.5759,48,1703.79,25.8206,48,3319.52,-459.8710021972656,240000
31.7958,49,2606.13,22.5244,49,1495.02,-329.65692138671875,245000
13.057,50,1381.21,21.8804,50,1973.0,-291.8396911621094,250000
15.7969,51,1996.12,23.6261,51,3349.24,-447.1184387207031,255000
15.0247,52,3274.59,22.0732,52,3417.29,-253.16871643066406,260000
22.0923,53,1641.7,22.9072,53,1198.69,-527.83251953125,265000
22.8097,54,2630.36,20.387,54,3449.75,-389.1029357910156,270000
27.9251,55,2270.53,21.8679,55,3412.69,-513.117431640625,275000
23.1403,56,2868.45,21.9287,56,3416.06,-388.3605041503906,280000
13.9514,57,2451.63,19.9738,57,3416.54,-261.9605712890625,285000
21.1944,58,1695.6,21.9916,58,2964.28,-566.1500854492188,290000
13.567,59,3136.41,21.7611,59,2942.87,-252.8840789794922,295000
12.7388,60,3068.08,19.4427,60,3465.17,-193.72344970703125,300000
16.6613,61,1177.12,22.5349,61,1297.84,-762.40625,305000
