Itration,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return
0,143.36,75.5077,25.7727,-76.09
1,262.9,74.6858,26.7758,-78.38
2,293.97,73.077,24.7418,-59.93
3,342.01,74.2672,27.1559,-49.01
4,465.89,73.549,28.1505,-24.35
5,441.21,73.2609,27.3853,-61.59
6,422.2,73.732,28.1512,11.15
7,539.82,73.7706,28.901,3.98
8,490.14,73.4076,28.9069,47.16
9,617.79,73.4135,30.3161,34.5
10,554.89,73.3295,30.6962,67.61
11,631.08,72.1525,29.6547,60.52
12,659.2,73.0397,30.3946,79.49
13,506.59,72.674,31.2026,100.36
14,737.23,71.8649,29.9237,91.66
15,666.83,70.7735,30.3531,115.39
16,857.51,72.9082,29.3504,102.65
17,801.75,73.3282,30.8656,111.07
18,787.01,73.4394,30.9231,127.51
19,804.58,71.1648,29.9665,125.25
20,679.56,71.5874,30.3036,132.54
21,764.75,74.0482,31.273,133.51
22,790.97,70.535,29.778,122.98
23,819.27,73.4881,30.7334,157.7
24,763.32,71.7961,30.7203,183.9
25,602.47,72.9554,31.1535,105.67
26,607.56,71.0091,30.2399,202.09
27,805.4,72.6263,31.0165,173.62
28,809.65,73.454,31.7796,211.64
29,968.16,72.496,30.6558,195.45
30,730.96,71.6667,31.971,207.65
31,815.88,69.478,29.6548,215.23
32,784.79,69.7145,30.0713,175.02
33,801.79,72.0035,30.2386,201.92
34,800.24,69.7039,30.1444,135.6
35,720.76,70.5518,31.2056,158.24
36,827.68,71.2028,30.5729,192.7
37,692.05,67.4544,30.2777,192.76
38,741.46,71.3321,31.2252,163.28
39,925.28,69.2283,30.2457,270.79
40,852.7,71.4684,31.0342,231.58
41,720.42,71.9589,30.2224,242.81
42,802.17,69.969,30.3499,212.88
43,885.24,72.9841,31.4778,215.73
44,893.99,72.3412,31.2313,260.72
45,862.67,73.2751,30.8457,222.56
46,811.55,71.4228,30.3298,185.83
47,853.08,72.4914,30.8188,191.17
48,836.16,70.7824,30.4351,257.35
49,719.73,72.6978,31.2789,201.29
50,809.55,71.7866,30.8644,247.81
51,979.78,71.228,30.9315,245.29
52,899.52,70.6594,30.1262,266.2
53,849.48,73.3378,30.7556,196.92
54,981.71,72.9347,31.2667,204.23
55,887.11,72.6645,31.6562,249.45
56,941.81,72.6725,31.1867,173.96
57,758.11,72.3894,30.5159,242.0
58,835.48,71.9106,30.8638,269.58
59,892.37,71.3906,31.0274,190.13
60,826.49,69.9724,30.5208,267.05
61,871.99,73.3498,31.6132,226.89
62,802.63,72.6952,30.9689,221.63
63,796.35,73.6895,31.1701,174.75
64,906.94,71.8446,30.9212,245.21
65,809.45,72.3552,31.2588,277.68
66,861.28,71.4575,31.191,307.21
67,704.77,71.6174,32.3425,204.85
68,964.87,72.123,32.3073,239.75
69,863.28,73.4108,31.4045,268.55
70,801.55,73.0998,31.0536,203.12
71,937.41,72.1576,30.9538,291.8
72,876.87,72.1735,31.2189,276.63
73,818.21,71.0119,30.7588,298.04
74,943.38,72.3197,31.4418,296.84
75,960.74,71.0569,31.0293,275.22
76,758.47,71.2068,30.5365,254.34
77,753.78,72.3044,30.9813,234.09
78,854.71,70.6407,30.6329,257.98
79,705.96,71.9182,30.9218,198.87
80,892.06,72.0809,30.6941,237.71
81,856.06,73.3701,32.4271,214.27
82,806.65,72.0359,30.699,269.7
83,851.19,72.3352,30.7933,208.16
84,861.0,72.9914,31.3128,243.95
85,911.16,72.5452,31.5334,242.82
86,977.45,71.2279,30.9385,277.42
87,914.95,72.8155,31.5458,297.37
88,918.91,72.2242,30.9391,229.21
89,595.53,73.3822,31.3206,238.87
90,787.37,71.7815,31.0508,270.52
91,843.53,75.4263,31.0442,191.78
92,878.55,72.32,31.92,281.22
93,777.71,72.7058,31.2917,240.1
94,920.28,74.3923,31.624,204.06
95,929.78,73.7644,31.2528,257.33
96,908.21,71.223,30.952,260.26
97,891.97,73.5438,31.9041,270.95
98,908.36,73.1859,31.6251,289.52
99,791.35,72.0683,31.2916,250.99
100,908.2,72.3885,31.1317,247.05
101,1014.16,70.1304,30.573,361.29
102,903.47,72.2163,30.6292,281.41
103,796.02,73.0959,30.6235,234.42
104,890.36,72.9792,31.2278,235.24
105,950.42,74.62,31.3909,270.51
106,875.25,71.9637,31.4242,264.53
107,810.96,73.0574,31.4499,265.87
108,976.89,73.5467,31.4891,279.56
109,876.55,74.3226,31.4529,257.08
110,778.66,73.7375,31.1855,275.27
111,895.37,74.099,30.8108,232.35
112,992.42,71.2384,30.1079,258.84
113,953.54,73.4959,31.181,249.09
114,1001.74,73.2823,31.3024,227.91
115,951.0,74.6053,31.4927,242.38
116,926.02,72.8324,31.9283,293.7
117,958.86,71.2282,30.7568,245.25
118,865.75,72.6429,31.3766,304.37
119,892.37,73.4251,31.5157,305.7
120,980.57,72.749,30.7837,269.32
121,888.14,72.6024,30.8747,287.42
122,851.05,74.6519,31.8292,308.47
123,848.12,72.5383,31.279,268.75
124,858.15,74.9905,31.835,286.38
125,893.34,73.9304,30.9586,225.85
126,940.83,73.6721,31.3189,257.53
127,873.07,72.5567,31.3756,279.5
128,795.01,74.2313,32.208,340.71
129,993.12,74.4998,31.0504,279.53
130,978.2,73.5459,31.2681,298.22
131,882.35,73.7283,31.5303,266.51
132,916.24,70.1122,30.6072,258.28
133,926.96,72.6771,31.0458,262.0
134,868.86,72.5819,31.5396,321.27
135,843.38,73.6976,31.6085,307.5
136,889.81,73.0981,30.7809,288.64
137,892.97,72.142,31.3357,287.84
138,896.42,72.4767,31.2044,277.72
139,872.94,73.1949,32.1859,325.77
140,833.36,73.9462,31.5997,281.33
141,844.0,72.4431,31.7955,284.86
142,954.88,71.981,31.1648,306.72
143,889.42,71.4031,31.2061,317.44
144,855.02,73.4179,31.4388,256.54
145,846.74,73.3926,31.5363,297.29
146,744.4,73.1744,30.9659,270.98
147,948.11,72.6425,31.3335,291.05
148,898.78,72.9915,31.3391,280.65
149,854.19,74.4654,31.123,249.46
150,789.36,73.47,30.9004,260.27
151,772.34,73.3074,32.3937,306.85
152,957.42,72.8248,31.6541,310.31
153,999.38,74.8087,31.5378,311.22
154,1017.08,71.9377,31.3164,345.02
155,940.9,73.4264,31.0295,264.53
156,955.91,73.1972,31.7133,339.83
157,894.47,74.4414,31.4927,300.59
158,784.54,74.6394,32.1585,308.18
159,800.4,74.7245,31.6202,292.96
160,888.61,75.4294,31.9357,255.95
161,1001.19,73.5303,31.7895,352.15
162,856.47,74.1123,31.2691,244.0
163,946.56,73.1216,31.6993,335.74
164,962.36,73.4153,31.1299,284.55
165,897.12,73.173,31.1578,229.83
166,872.05,74.1179,31.1048,243.58
167,756.16,74.6721,31.7794,235.06
168,898.61,72.0513,31.0755,288.42
169,900.92,73.9192,31.154,278.05
170,954.68,74.9647,31.895,305.53
171,809.87,74.1158,30.9993,287.39
172,908.64,74.3502,31.1747,309.36
173,858.57,74.3697,31.3641,300.87
174,1007.76,72.5365,31.3892,338.21
175,847.19,74.0033,31.1953,305.13
176,904.46,73.2722,31.2343,257.99
177,949.98,73.9603,31.4849,327.29
178,799.87,73.9335,30.7785,285.83
179,797.72,72.9094,30.4702,267.24
180,855.16,75.2335,31.4925,309.36
181,809.31,75.1337,31.0277,286.24
182,851.36,73.6058,31.2375,255.62
183,851.57,73.3257,31.0318,300.36
184,961.13,74.6486,31.1283,253.3
185,956.39,72.5229,30.8635,322.47
186,892.62,74.1258,31.8274,294.99
187,851.24,73.044,30.8971,309.12
188,822.23,73.6912,31.0682,303.44
189,854.44,73.691,31.1435,262.39
190,935.45,75.1292,31.4245,343.45
191,907.02,73.987,30.6887,296.44
192,948.9,73.9866,30.8278,303.28
193,1014.4,74.0434,31.1723,295.19
194,901.05,74.0245,30.7596,301.43
195,909.97,74.861,31.4777,338.75
196,998.97,74.1145,31.0911,317.43
197,898.09,74.3918,31.1726,295.99
198,912.19,74.2314,31.2253,311.95
199,978.72,73.7533,31.5763,346.88
200,852.91,73.1082,30.6379,224.23
201,754.09,73.4925,30.7313,266.08
202,903.96,74.6594,31.0133,278.43
203,704.45,74.0676,31.0105,278.88
204,954.24,74.8564,30.8963,308.3
205,900.83,73.7839,30.8205,270.41
206,706.93,75.3046,30.7941,319.18
207,900.91,73.3914,30.6047,276.37
208,954.21,74.2051,30.6298,267.56
209,749.91,74.446,31.3512,243.68
210,954.9,73.5875,30.5934,311.14
211,807.68,73.8671,30.452,264.08
212,752.83,74.0945,30.9774,309.42
213,903.3,74.7702,30.5664,265.58
214,704.86,73.924,30.3759,243.68
215,704.82,73.9743,30.8262,237.84
216,747.25,74.9055,31.1845,284.61
217,796.26,73.5083,30.7473,263.12
218,924.78,73.9394,30.8859,268.43
219,705.03,73.7201,30.3977,295.92
220,747.88,72.9393,30.7464,299.62
221,796.04,74.49,31.3283,251.94
222,751.04,73.517,30.7552,216.14
223,854.59,73.4394,30.8514,296.41
224,562.88,73.9379,31.0942,316.69
225,836.56,73.9992,31.2089,274.98
226,796.87,74.2248,30.9907,199.42
227,894.35,75.4891,31.21,242.49
228,710.17,73.1138,30.5535,265.99
229,895.28,73.8167,30.8484,265.24
230,702.04,74.3152,30.4432,190.92
231,893.66,74.7814,30.8836,277.74
232,894.5,74.3863,30.918,304.42
233,947.07,75.8573,30.7046,266.11
234,802.55,74.4716,31.0137,264.36
235,905.77,75.6291,31.5648,313.26
236,955.38,74.4576,30.8395,240.28
237,702.86,73.3736,30.5795,204.79
238,760.37,74.0139,30.6996,258.34
239,803.59,74.5516,30.9571,321.01
240,699.9,73.7272,31.122,285.51
241,851.45,74.001,30.6619,250.27
242,900.67,74.6507,31.1852,250.56
243,851.5,75.1135,30.9149,270.57
244,846.0,73.3185,30.3175,287.82
245,895.41,73.9024,30.5941,269.87
246,859.75,74.8932,30.513,299.18
247,740.99,75.0646,31.1061,241.89
248,690.74,75.5045,31.1221,251.33
249,887.8,74.5611,31.0196,255.39
250,644.19,73.965,30.7191,255.19
251,796.0,74.85,31.143,188.63
252,841.85,74.7543,30.6078,304.46
253,743.32,74.3364,30.9703,274.76
254,893.12,74.5494,31.284,309.51
255,798.74,73.4299,30.6138,292.48
256,698.39,74.623,30.6282,244.34
257,801.18,75.6588,31.0301,214.22
258,850.65,74.6892,30.8706,267.42
259,801.49,74.984,30.4173,219.69
260,896.12,74.4254,31.0708,313.05
261,914.06,74.3109,30.4823,241.66
262,899.89,74.6366,30.6481,279.0
263,861.49,75.2958,30.8052,270.03
264,857.46,74.1918,30.3982,257.18
265,713.28,74.4288,31.2193,313.78
266,757.85,74.1886,30.3886,228.55
267,760.54,73.5931,30.6745,271.86
268,811.03,74.0893,30.4123,237.35
269,712.15,75.42,30.5342,290.97
270,712.28,75.4544,30.6079,252.95
271,557.99,74.6885,30.8382,188.85
272,707.82,74.429,30.5292,281.75
273,506.38,74.4582,30.8355,234.41
274,807.8,74.2953,30.2408,306.09
275,757.92,75.5334,30.6888,243.85
276,751.08,74.6203,30.9562,298.36
277,752.59,74.3803,30.1408,285.68
278,505.97,75.3353,30.8855,256.04
279,746.31,75.0102,30.942,252.44
280,802.14,74.7526,30.651,253.52
281,694.85,74.7492,30.6905,279.53
282,843.05,74.7909,30.5528,234.5
283,637.18,74.6738,30.7635,288.35
284,634.28,74.9423,30.5451,205.59
285,688.93,75.2291,30.8358,173.84
286,837.51,75.0088,30.843,275.44
287,624.18,74.5655,30.1566,240.62
288,881.82,75.0726,30.9586,290.22
289,743.77,74.2686,30.6861,249.37
290,841.54,75.3433,30.6325,258.41
291,806.59,75.8914,30.9121,197.92
292,905.18,74.1297,30.3977,242.69
293,898.58,75.2449,30.4659,296.01
294,849.96,75.6088,30.644,268.44
295,761.73,73.7573,30.2636,278.34
296,808.22,75.5686,30.3458,274.56
297,894.55,75.5873,30.9534,269.07
298,853.83,75.2365,30.6515,218.37
299,714.23,75.3787,30.605,241.05
300,655.24,74.7513,30.4022,268.64
301,609.7,75.2263,30.2046,229.45
302,857.82,75.3485,30.4706,274.04
303,909.31,74.9148,30.6362,266.05
304,556.25,75.1489,30.3552,226.9
305,759.11,75.145,30.4378,285.63
306,901.95,73.2391,30.3865,275.18
307,857.49,75.5794,30.3738,301.23
308,961.99,75.0451,30.7565,328.15
309,943.85,73.3223,30.097,299.42
310,750.96,75.1528,30.4124,261.01
311,656.76,74.8761,30.644,285.99
312,803.71,74.8028,30.5726,313.69
313,700.66,73.7441,30.1534,260.67
314,857.04,76.0817,30.3481,243.23
315,898.44,74.5338,30.3663,240.03
316,807.15,75.0877,30.3117,262.99
317,907.24,75.1108,30.3144,236.02
318,759.15,74.7649,30.2379,289.27
319,757.29,72.843,30.0637,245.44
320,750.53,74.9861,30.4771,296.63
321,786.71,75.273,30.5343,289.69
322,859.45,74.3701,30.5286,249.82
323,711.32,74.7605,30.9941,234.03
324,758.56,75.2416,30.8923,251.11
325,804.77,75.0483,30.4925,292.99
326,793.79,74.7945,30.9004,269.7
327,902.92,74.958,30.4415,303.68
328,805.26,74.9018,30.5638,302.3
329,961.62,75.6348,30.9672,309.55
330,905.27,75.1346,30.6663,272.26
331,957.08,74.7813,30.4261,277.18
332,829.22,74.2998,30.6255,246.58
333,805.18,76.1788,30.5904,275.82
334,894.0,74.617,30.7265,285.36
335,938.01,73.5374,30.5886,264.92
336,753.54,75.5396,30.7765,233.62
337,948.21,73.7449,30.4047,285.09
