Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
0,279.06,50.2741,292.93,12.9994
1,380.38,50.1025,353.88,31.006
2,397.42,50.0921,405.09,34.7623
3,413.43,49.9654,422.93,30.9016
4,454.14,49.219,362.61,37.5897
5,627.63,48.8528,2046.1,13.6049
6,539.42,49.4218,1236.37,12.9261
7,564.77,49.5947,1553.48,28.8413
8,341.31,49.7194,332.26,23.5241
9,14.1,49.5495,31.66,21.9939
10,78.61,55.0484,40.32,43.4534
11,167.11,52.5365,211.66,27.5557
12,63.53,53.856,65.18,38.8387
13,294.11,49.6031,278.25,30.2996
14,334.45,50.4375,353.73,29.7326
15,52.01,54.2927,53.95,48.0927
16,975.41,51.5869,957.92,26.2769
17,536.39,51.0987,592.28,24.8215
18,209.25,49.453,75.13,41.2254
19,739.58,51.644,985.51,33.3463
20,441.95,50.0158,473.63,35.878
21,95.79,52.8098,16.38,36.8834
22,813.31,50.6024,932.07,29.3349
23,87.68,52.6936,75.48,32.9283
24,515.52,49.816,526.84,28.3666
25,627.86,50.2682,527.0,43.1296
26,675.13,49.8348,564.94,25.1337
27,673.47,48.817,654.33,25.7855
28,806.42,53.5872,835.92,53.3473
29,1040.56,56.0715,1040.92,62.81
30,862.67,52.326,788.89,52.7595
31,-9.52,53.5932,29.64,33.167
32,948.9,55.5423,583.25,48.7493
33,26.32,55.104,21.96,55.4984
34,1044.65,56.0752,1040.96,57.5245
35,787.48,51.8938,1021.49,31.4846
36,1032.49,56.5645,1032.36,51.9199
37,1010.61,55.5219,1013.72,49.3677
38,636.14,53.5695,711.78,41.4094
39,1022.87,56.5562,1023.55,53.0878
40,1046.39,55.2815,1043.74,42.6819
41,513.38,51.2172,490.16,53.6721
42,58.33,54.8172,71.77,72.4871
43,741.93,52.7312,792.75,40.9808
44,456.19,53.0496,325.07,58.8989
45,818.21,55.4953,966.88,57.5209
46,1033.96,56.3954,1034.12,66.5514
47,1033.86,56.5674,1033.74,67.1686
48,996.03,57.1504,1012.57,65.6351
49,971.84,57.1495,983.96,60.7509
50,841.63,54.7152,430.53,60.1619
51,731.87,51.3366,512.8,48.8129
52,1023.63,55.4923,1016.61,58.1882
53,952.49,55.5142,987.51,66.1423
54,1042.41,57.8679,1043.0,64.2106
55,1000.36,58.0057,998.53,69.332
56,4.13,55.3452,5.27,114.3892
57,42.14,53.0085,55.3,34.6823
58,285.13,49.6283,209.47,22.6427
59,1053.6,56.6185,1053.02,59.0653
60,1044.73,56.5261,1038.13,51.5264
61,1027.16,56.7831,1023.79,50.7077
62,91.14,52.0199,88.47,35.2776
63,988.23,55.168,995.23,31.9227
64,728.93,52.4111,586.65,30.7912
65,1015.39,54.1317,943.32,38.6773
66,1067.74,55.9837,1056.9,50.6837
67,-28.82,53.9615,-30.73,46.1272
68,1011.59,54.5401,1021.4,39.9416
69,36.42,52.57,21.56,72.0872
70,259.04,54.8875,133.48,66.3508
71,1009.77,56.3039,1035.47,45.5538
72,1050.98,55.1678,1049.39,52.8752
73,517.49,49.8042,565.76,25.6075
74,342.27,51.4412,339.1,48.2945
75,424.71,51.3016,490.74,56.0758
76,395.58,50.0012,418.68,40.9192
77,350.62,51.176,356.27,53.3328
78,422.99,50.3149,410.59,21.2279
79,240.05,52.0093,220.21,57.1158
80,910.76,51.5152,997.72,58.7901
81,494.78,51.7372,527.83,123.1306
82,36.5,52.8974,-7.28,141.7975
83,429.17,50.1559,584.83,27.1496
84,1017.48,55.9734,1025.49,53.6042
85,1025.09,55.3816,1026.11,51.9153
86,1049.46,53.9689,1051.34,50.9766
87,805.07,51.1763,1066.0,31.3261
88,1014.36,54.4072,1017.95,33.6945
89,1011.16,54.831,1013.91,44.9488
90,817.73,51.1466,1036.74,21.7338
91,957.5,52.4452,997.75,21.3839
92,869.52,51.6845,939.74,26.0073
93,736.36,50.7317,1127.34,18.3917
