Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Itration
262.2,75.588,26.1484,-65.19,0
472.99,75.605,26.4641,-73.82,1
321.83,75.2088,26.683,-23.88,2
563.29,74.9313,28.2446,-8.23,3
566.05,74.4016,28.4147,-10.9,4
624.2,74.2661,29.5446,17.26,5
781.28,72.6367,30.4352,80.28,6
790.6,73.0017,30.5118,90.15,7
686.79,71.0095,30.0491,108.97,8
813.58,71.2539,30.0196,154.59,9
990.31,72.46,31.0991,211.97,10
832.97,70.964,30.1874,146.95,11
765.22,70.8434,30.409,309.35,12
814.22,68.3288,30.2893,241.26,13
765.97,66.5437,29.1573,195.78,14
1063.85,70.3106,30.3426,267.08,15
1027.29,68.6716,29.7719,232.05,16
1165.91,65.6724,29.7128,319.68,17
1068.35,63.5238,27.4801,384.94,18
1072.7,62.3263,27.7691,294.23,19
790.71,64.6536,28.488,410.37,20
970.39,64.4414,28.4465,407.1,21
908.5,64.1266,27.2856,228.38,22
1277.66,60.3084,25.9766,520.55,23
1217.43,62.4674,26.9551,423.52,24
1804.5,58.1576,25.2746,649.2,25
988.14,61.6998,27.3947,515.54,26
1502.75,59.8585,26.4155,703.9,27
1353.97,62.7903,27.7304,383.77,28
730.44,58.9705,25.0442,282.3,29
1687.33,59.7043,26.0463,944.8,30
2017.71,58.0675,26.7012,949.8,31
1351.94,53.6624,22.174,564.55,32
1483.1,56.7271,25.222,715.39,33
1835.51,58.8759,26.3232,1046.36,34
1826.68,60.7243,25.6357,1042.61,35
1479.02,57.4847,24.2042,753.2,36
1649.03,59.366,25.7705,1215.32,37
2037.94,55.7667,24.1235,587.52,38
2769.86,52.9019,27.7526,1767.86,39
2405.39,52.6037,23.9875,1561.48,40
2445.98,52.624,26.3143,1525.62,41
1836.37,57.0776,25.3292,1283.18,42
2228.82,53.6294,25.4834,1316.33,43
2662.38,52.2916,24.1191,1916.08,44
2015.15,53.6466,25.5282,2137.18,45
2541.35,56.6602,24.1199,1436.51,46
1960.3,53.614,23.3822,1413.25,47
2428.99,53.828,23.9894,1963.65,48
3017.46,53.4917,26.7352,1723.67,49
2228.14,52.4695,28.5259,1924.74,50
2170.72,52.6544,26.5706,1597.68,51
3197.27,51.8631,26.9023,2104.74,52
2662.54,54.0324,25.8561,1822.74,53
3494.22,54.4222,25.7133,2128.23,54
2554.3,55.1498,25.7883,1773.56,55
2934.13,54.7177,28.1852,2251.96,56
1842.07,54.8578,26.3733,1855.16,57
2741.8,55.0088,35.0827,1997.13,58
3265.35,55.6318,32.4601,2600.53,59
3299.29,56.8184,33.1989,2552.9,60
3552.98,54.9881,31.3534,2524.6,61
3728.63,55.1699,34.9335,3243.83,62
3750.04,55.6472,32.4545,2787.77,63
3552.47,56.2578,35.3835,2934.57,64
3074.19,55.7284,34.7609,2070.86,65
2707.19,55.774,33.0846,1456.81,66
2690.54,56.3483,28.5642,2626.47,67
3854.05,58.7895,41.7309,3383.69,68
3312.55,56.7548,34.5283,2776.75,69
2949.52,56.5135,34.8151,2653.93,70
3327.11,56.96,32.6086,2604.07,71
3523.47,60.0628,43.1406,3020.48,72
4256.53,58.4139,39.9402,3587.61,73
4071.87,57.1079,35.9176,2991.44,74
2511.51,58.2243,30.6928,2188.52,75
2785.5,57.5297,34.7817,2665.48,76
2999.14,59.8925,42.5337,2573.21,77
3507.6,58.7959,35.2766,2760.41,78
2235.89,57.9353,34.7895,1884.88,79
3768.46,59.068,43.91,3109.39,80
3850.79,59.9456,45.5157,3322.89,81
2939.85,58.4155,30.6393,2395.53,82
4176.97,61.5012,46.465,3605.1,83
3495.2,61.3544,45.6751,3271.99,84
3418.7,58.2973,32.6039,3328.52,85
4083.27,60.5881,43.428,3838.3,86
3486.95,57.8199,31.4348,3440.82,87
3075.16,59.3145,39.608,3127.67,88
4767.74,58.5266,37.8206,3581.11,89
4263.99,58.5884,39.0843,3659.21,90
4459.33,59.4203,40.5583,4034.58,91
4903.17,60.3336,40.7071,3590.76,92
4052.36,59.2525,38.0679,2910.93,93
3922.53,59.1005,40.5062,2688.54,94
4369.93,60.941,46.2975,4304.89,95
4659.66,61.5831,46.4378,4427.54,96
