Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return
16.4774,365000,-170.62451171875,73,3168.66,22.7816,73,3156.27
28.5412,370000,-259.7496337890625,74,2121.7,22.5476,74,3202.22
23.668,375000,-232.896484375,75,1977.17,22.229,75,3179.67
14.5341,380000,-160.6064453125,76,2787.19,22.3015,76,3166.24
21.9913,385000,-243.99525451660156,77,2184.35,22.6677,77,3169.57
15.8012,390000,-182.59254455566406,78,3177.8,22.5352,78,3173.93
14.9566,395000,-176.0810089111328,79,2860.04,22.2032,79,3147.49
18.8515,400000,-216.61732482910156,80,2636.72,21.997,80,3193.58
18.5337,405000,-222.48550415039062,81,2605.04,22.436,81,3176.61
15.205,410000,-191.29017639160156,82,2946.43,22.2058,82,3163.19
18.7459,415000,-239.73504638671875,83,2531.73,22.5271,83,3189.61
16.2872,420000,-206.4790802001953,84,2994.04,22.317,84,3175.22
20.9677,425000,-263.7668762207031,85,2191.68,22.7181,85,3194.89
14.9389,430000,-187.583984375,86,2996.44,22.4446,86,3181.77
15.7276,435000,-203.82887268066406,87,2713.4,21.6651,87,3210.42
15.0376,440000,-215.1542205810547,88,3073.86,22.6493,88,3171.63
14.649,445000,-206.9832000732422,89,3103.57,22.2298,89,3191.26
16.0634,450000,-252.68197631835938,90,2396.52,22.2674,90,3232.97
21.9679,455000,-293.752197265625,91,2473.03,22.2442,91,3205.4
16.9055,460000,-243.5178680419922,92,2770.84,22.2229,92,3202.73
14.6468,465000,-231.87594604492188,93,2997.58,22.0835,93,3181.45
14.0385,470000,-213.5716094970703,94,3176.48,22.1333,94,3166.69
14.9576,475000,-219.21395874023438,95,2813.48,22.0733,95,3182.31
16.4376,480000,-250.77354431152344,96,3017.26,21.6772,96,3188.49
20.1725,485000,-284.3181457519531,97,2340.03,22.2041,97,3214.27
13.3111,490000,-257.1835021972656,98,2005.55,21.8249,98,3209.52
15.7115,495000,-248.86268615722656,99,2896.1,22.3443,99,3201.29
15.1108,500000,-248.55027770996094,100,3172.84,22.085,100,3181.0
14.6212,505000,-248.5516357421875,101,3030.64,22.1704,101,3204.27
12.9688,510000,-260.4566345214844,102,2610.72,21.5044,102,3189.85
13.337,515000,-270.3559265136719,103,2866.66,21.8375,103,3195.76
14.7332,520000,-251.3909912109375,104,3112.34,22.0914,104,3180.08
14.889,525000,-255.91734313964844,105,2767.4,21.7916,105,3206.76
14.6975,530000,-263.4678955078125,106,3109.49,22.1584,106,3199.46
14.0268,535000,-277.50433349609375,107,2716.96,22.1709,107,3191.08
13.9559,540000,-266.7398986816406,108,2815.48,21.7959,108,3191.65
13.2282,545000,-263.26470947265625,109,3123.84,21.2229,109,3180.79
13.8075,550000,-262.0646667480469,110,3041.81,22.0803,110,3204.24
13.9478,555000,-251.8489990234375,111,3038.29,21.9145,111,3183.39
13.3141,560000,-293.1958312988281,112,2847.12,21.4606,112,3209.78
12.8802,565000,-275.5029296875,113,2972.65,22.0611,113,3189.62
14.1328,570000,-274.54913330078125,114,3078.69,21.9265,114,3218.76
14.3648,575000,-268.8475646972656,115,3173.77,21.8604,115,3177.39
15.4832,580000,-305.46441650390625,116,2677.98,22.1343,116,3219.08
14.2079,585000,-286.404296875,117,2972.01,22.3876,117,3216.46
