Running Update Time,Real Det Return,Running Forward KL,Running Env Steps,Real Sto Return,Itration,Reward Loss,Running Reverse KL
0,582.55,75.3466,0,-76.63,0,10.848179817199707,27.4543
1,540.83,74.6077,5000,-46.59,1,0.17411261796951294,28.3658
2,484.54,72.8385,10000,-25.75,2,-16.083986282348633,26.2393
3,739.85,71.8551,15000,7.64,3,-22.880844116210938,27.5513
4,580.24,71.8656,20000,3.48,4,-30.928537368774414,27.281
5,733.16,69.1048,25000,36.65,5,-40.29227828979492,27.0866
6,706.99,69.9007,30000,49.45,6,-46.209678649902344,28.891
7,629.11,68.1524,35000,160.81,7,-60.28013610839844,28.5409
8,676.4,67.8776,40000,163.45,8,-73.8819808959961,28.7226
9,833.97,66.1914,45000,222.22,9,-84.84393310546875,28.6675
10,956.95,60.7574,50000,239.72,10,-85.64299774169922,27.2608
11,939.94,65.9852,55000,178.77,11,-108.97733306884766,28.4624
12,723.56,65.4116,60000,223.48,12,-120.67115020751953,28.3179
13,930.27,61.5418,65000,256.61,13,-122.20584869384766,27.112
14,878.83,60.3143,70000,295.01,14,-137.2712860107422,26.7591
15,781.15,63.6843,75000,346.9,15,-153.4100341796875,28.6499
16,850.48,60.0748,80000,250.15,16,-157.30101013183594,26.0742
17,975.82,63.7821,85000,398.73,17,-170.683837890625,28.1257
18,713.96,54.0025,90000,495.8,18,-154.8612060546875,24.5156
19,1101.49,57.8493,95000,581.54,19,-179.1193084716797,26.4091
20,1300.91,54.5361,100000,382.75,20,-167.39039611816406,25.0217
21,1359.25,56.3298,105000,550.85,21,-189.06118774414062,25.2376
22,1201.27,57.7325,110000,644.19,22,-204.62130737304688,25.8685
23,1824.13,55.9488,115000,854.22,23,-215.13282775878906,25.369
24,884.49,58.0273,120000,562.87,24,-220.95361328125,25.5094
25,1275.15,56.2698,125000,639.18,25,-204.7074737548828,25.152
26,2277.1,56.2274,130000,1467.3,26,-204.43115234375,26.9779
27,1811.99,54.4228,135000,1417.13,27,-179.5465545654297,27.0107
28,1230.76,60.9261,140000,474.42,28,-269.14227294921875,26.0811
29,1475.36,57.6768,145000,1346.86,29,-237.31988525390625,26.026
30,1551.24,56.6553,150000,1410.46,30,-218.63746643066406,25.8642
31,2523.11,57.1674,155000,1668.58,31,-213.14524841308594,30.1088
32,996.29,58.1995,160000,670.81,32,-275.2129821777344,24.8281
33,2818.16,55.5357,165000,2139.94,33,-192.43167114257812,29.7525
34,2645.51,56.4708,170000,2461.48,34,-194.3605194091797,31.6355
35,3422.63,56.8916,175000,2082.79,35,-184.4633026123047,33.6582
36,3639.14,56.1204,180000,2594.44,36,-150.47677612304688,34.6208
37,3594.55,56.2321,185000,2137.96,37,-168.50540161132812,33.0388
38,3513.09,56.7263,190000,2537.68,38,-208.0369415283203,30.2854
39,2666.82,55.3684,195000,1344.41,39,-262.04656982421875,27.5564
40,2776.89,54.0985,200000,2202.13,40,-211.4368133544922,29.9956
41,3390.0,57.4774,205000,2411.02,41,-169.12315368652344,35.6857
42,3581.43,56.4524,210000,3181.53,42,-175.16038513183594,36.5281
43,3717.24,57.8455,215000,3578.22,43,-181.9168701171875,36.3923
44,4009.57,59.5495,220000,2953.9,44,-179.27903747558594,39.2157
45,3894.75,59.7732,225000,2767.72,45,-185.4785919189453,41.6135
46,3864.24,59.3334,230000,2952.21,46,-181.4115753173828,38.1529
47,3793.1,57.4206,235000,2945.28,47,-207.64573669433594,36.0791
48,3473.23,54.3135,240000,2116.18,48,-217.500244140625,32.3131
49,4192.65,59.4994,245000,3445.22,49,-256.44903564453125,35.9227
50,4181.48,57.0413,250000,1889.02,50,-201.11044311523438,38.0701
51,4027.02,56.68,255000,3707.41,51,-215.02493286132812,34.5626
52,3118.75,58.0479,260000,2341.39,52,-242.80062866210938,34.9011
53,3236.42,58.4073,265000,2815.62,53,-328.262451171875,29.8638
54,3859.74,58.9956,270000,3107.02,54,-234.85003662109375,37.0876
55,4279.61,59.4355,275000,3559.06,55,-230.35446166992188,39.7077
56,2962.41,58.3055,280000,2507.01,56,-267.24676513671875,34.962
57,4687.59,60.1122,285000,3388.72,57,-271.1666564941406,38.017
58,3146.25,60.2055,290000,2594.77,58,-301.2178039550781,36.5318
59,3381.52,60.1361,295000,2353.52,59,-369.04461669921875,31.5365
60,3438.51,60.5348,300000,2743.38,60,-357.5863952636719,33.7536
61,4644.98,60.7718,305000,3625.42,61,-311.5378112792969,36.9445
62,4609.25,64.1392,310000,4083.37,62,-247.57508850097656,47.8982
63,4819.72,60.4051,315000,2355.78,63,-339.89593505859375,35.0894
64,4256.3,60.6596,320000,3979.24,64,-305.7257080078125,38.3902
65,4379.69,59.6451,325000,3446.58,65,-340.4114685058594,35.5631
66,4571.67,63.1679,330000,4038.69,66,-331.807373046875,41.3007
67,4122.91,63.0925,335000,2858.94,67,-377.11798095703125,36.8996
68,3873.04,61.5195,340000,2638.04,68,-323.5502624511719,40.2803
69,4964.33,63.8548,345000,4240.19,69,-327.0250549316406,45.3751
70,4635.32,61.514,350000,4395.58,70,-391.18182373046875,35.7233
71,4273.1,63.0713,355000,4057.61,71,-362.4026794433594,43.6839
72,4979.13,62.8469,360000,4323.93,72,-376.0513000488281,43.7452
73,4408.96,62.1415,365000,3857.04,73,-398.9320373535156,39.5049
74,4850.33,66.8008,370000,4218.08,74,-378.9931640625,49.8093
75,4608.58,61.2659,375000,3686.33,75,-393.7682800292969,37.8017
76,5080.31,65.0918,380000,4372.88,76,-401.02886962890625,46.5395
77,4835.63,61.2508,385000,4147.66,77,-435.62994384765625,37.4377
78,4531.11,63.5089,390000,4244.75,78,-420.5106506347656,45.5787
79,4860.47,65.9274,395000,4269.62,79,-412.6470031738281,49.2862
80,5069.25,67.0889,400000,4106.3,80,-454.26617431640625,49.1002
81,3879.3,63.3721,405000,3762.34,81,-446.80767822265625,45.6381
82,5063.45,65.4025,410000,4693.41,82,-459.1830749511719,45.7347
83,4754.59,66.2401,415000,4134.24,83,-459.86444091796875,44.328
84,4395.93,64.4548,420000,3459.27,84,-485.35284423828125,44.8571
85,4875.44,63.298,425000,3775.73,85,-530.0260009765625,41.3405
86,5419.15,64.499,430000,4052.67,86,-508.9278869628906,45.9976
87,5110.4,67.1716,435000,3975.24,87,-523.0374755859375,49.1037
88,5333.29,66.8321,440000,4623.84,88,-532.3931884765625,47.0494
89,5060.74,70.2853,445000,4424.41,89,-537.9473266601562,54.2747
90,5160.75,65.5359,450000,4691.01,90,-575.9966430664062,48.2196
91,5433.23,67.1764,455000,4895.2,91,-561.7503051757812,48.8159
92,5042.19,69.4516,460000,4523.28,92,-593.7439575195312,50.7302
93,5140.62,65.4984,465000,2901.4,93,-602.9768676757812,44.8308
94,5495.45,62.9697,470000,4617.33,94,-633.4265747070312,39.3968
95,5253.11,62.6537,475000,4442.77,95,-642.0478515625,39.682
96,5266.13,69.1756,480000,4721.23,96,-621.2807006835938,50.1703
97,5303.32,66.5883,485000,4410.37,97,-651.9364624023438,47.1005
98,5517.8,64.5176,490000,4259.51,98,-648.7437133789062,45.5328
99,5050.24,67.3945,495000,4599.77,99,-672.3659057617188,49.0766
100,5546.31,65.1698,500000,4500.17,100,-695.5106811523438,42.2809
101,5349.1,69.9812,505000,5148.31,101,-695.186767578125,51.3039
102,5403.61,68.3129,510000,4316.25,102,-728.6029663085938,48.6748
103,5316.69,65.2933,515000,4767.22,103,-734.2548828125,46.2087
104,5318.81,68.0502,520000,4915.08,104,-738.8858642578125,51.6693
105,5778.16,65.1785,525000,5140.06,105,-748.6209716796875,45.3401
106,5705.06,67.1288,530000,5082.81,106,-756.335205078125,50.078
107,5673.87,64.6549,535000,4834.59,107,-768.58203125,43.6624
108,5687.82,63.6661,540000,4467.27,108,-780.3973999023438,44.5296
109,5554.76,63.0975,545000,4578.7,109,-797.0094604492188,39.9724
110,5629.36,66.2264,550000,4726.88,110,-804.482177734375,49.5142
111,5547.85,70.3511,555000,5169.99,111,-861.5374145507812,52.6706
112,5516.57,70.8628,560000,4925.44,112,-857.6263427734375,52.5496
113,5801.23,63.9424,565000,4880.23,113,-860.5199584960938,44.2738
114,5702.57,70.4766,570000,4410.92,114,-914.5173950195312,53.7365
115,5826.16,68.4318,575000,4505.43,115,-906.1900634765625,50.3402
116,5733.19,69.1817,580000,5054.84,116,-965.129150390625,51.481
117,5694.49,65.1922,585000,4887.81,117,-923.0302124023438,43.9772
118,5591.05,67.1581,590000,5336.03,118,-971.490966796875,49.2579
119,5786.53,63.6827,595000,5301.87,119,-967.8849487304688,44.4313
120,5960.61,67.5556,600000,4939.94,120,-997.3982543945312,49.1846
121,5603.25,66.8091,605000,3994.79,121,-1024.0172119140625,48.4871
122,5598.13,68.3682,610000,4685.45,122,-1061.4688720703125,47.2056
123,5577.22,65.6131,615000,5294.94,123,-1033.1875,45.2147
124,5833.69,70.0059,620000,5272.23,124,-1055.9324951171875,51.9024
125,5859.13,67.6209,625000,5202.05,125,-1089.833251953125,47.6617
126,5871.62,63.2904,630000,4982.69,126,-1080.5909423828125,39.7265
127,5793.39,66.524,635000,5019.79,127,-1171.6771240234375,49.3475
128,5747.11,63.9652,640000,4764.21,128,-1115.4671630859375,40.5083
129,5632.27,67.0579,645000,4860.66,129,-1181.079345703125,47.7076
130,5521.64,67.8912,650000,5291.55,130,-1189.1845703125,48.7274
131,5834.99,71.4642,655000,5009.66,131,-1214.50244140625,53.8602
132,6012.99,67.5658,660000,4969.56,132,-1246.5145263671875,48.6374
133,5694.54,69.9145,665000,4501.53,133,-1267.6605224609375,52.613
134,5748.16,68.7222,670000,4733.07,134,-1315.9613037109375,50.6511
135,5676.29,68.3568,675000,4722.19,135,-1300.8966064453125,49.9114
136,5483.43,67.6785,680000,4788.35,136,-1289.4835205078125,49.1942
137,5953.96,64.0055,685000,4040.77,137,-1277.956298828125,43.749
138,5864.98,69.5669,690000,5283.84,138,-1398.697998046875,52.1412
139,5705.99,70.6041,695000,4650.65,139,-1386.2618408203125,51.4285
140,5973.38,68.611,700000,5492.39,140,-1406.46875,50.1496
141,5423.53,65.2438,705000,5222.64,141,-1424.483642578125,46.4212
142,5721.84,68.5418,710000,5130.42,142,-1490.0579833984375,49.3824
143,5171.06,69.0936,715000,4765.77,143,-1447.66064453125,51.5988
144,5923.34,65.4443,720000,5255.09,144,-1490.691162109375,45.5095
145,5652.04,69.8905,725000,5695.36,145,-1535.7862548828125,54.3886
146,6013.44,67.4041,730000,4853.22,146,-1544.8837890625,49.4849
147,5723.64,65.538,735000,4748.97,147,-1531.1309814453125,47.6122
148,5762.3,63.7123,740000,5165.82,148,-1589.5152587890625,45.7907
149,5868.54,68.4497,745000,4795.25,149,-1591.5150146484375,48.6793
150,5874.68,63.4699,750000,4906.03,150,-1534.8712158203125,40.2706
151,6033.15,68.5638,755000,5110.67,151,-1654.8228759765625,51.2548
152,5985.99,67.1968,760000,5355.25,152,-1752.7620849609375,51.978
153,5831.04,70.4177,765000,5149.22,153,-1755.662353515625,53.6078
154,6018.6,67.9082,770000,4955.39,154,-1777.1090087890625,49.9283
155,6013.54,68.1591,775000,5456.39,155,-1769.8984375,51.8617
156,5961.14,63.1372,780000,4622.02,156,-1694.3822021484375,40.3506
157,5419.73,67.982,785000,5066.86,157,-1848.298095703125,51.397
158,5733.91,65.1288,790000,5305.97,158,-1820.599853515625,47.9396
159,5777.5,68.3678,795000,5153.68,159,-1916.657470703125,50.7753
160,6112.18,67.4866,800000,5384.77,160,-1953.6602783203125,50.0643
161,6043.32,66.1141,805000,5225.08,161,-1926.6953125,46.8118
162,5915.16,64.3125,810000,5124.5,162,-1950.7607421875,45.0807
163,6139.09,68.6012,815000,4907.66,163,-1999.10546875,51.1893
164,5811.23,68.405,820000,5036.24,164,-2072.03515625,51.0794
165,5831.72,68.5186,825000,5254.8,165,-2176.111083984375,51.5672
166,5706.41,69.075,830000,5102.05,166,-2146.701416015625,50.4522
167,6112.73,65.7761,835000,4975.14,167,-2115.48876953125,47.5299
168,6130.42,69.6499,840000,5339.23,168,-2243.87109375,51.5855
169,5668.72,68.5851,845000,5632.85,169,-2236.972900390625,49.9872
170,5936.99,69.8017,850000,5315.81,170,-2325.677001953125,54.0971
171,5858.37,65.7053,855000,5392.33,171,-2255.24755859375,48.5502
172,5754.91,67.7189,860000,4751.15,172,-2324.13720703125,50.9072
173,5741.81,68.371,865000,5141.53,173,-2328.985595703125,53.0567
174,6050.8,65.6405,870000,5290.02,174,-2299.264404296875,48.7846
175,6009.92,67.545,875000,5277.5,175,-2428.251708984375,48.2539
176,6130.89,68.5234,880000,5403.51,176,-2491.982177734375,51.1473
177,6034.85,66.692,885000,5635.52,177,-2507.2548828125,47.937
178,5921.33,67.7134,890000,4886.3,178,-2506.63720703125,50.9894
179,5724.59,68.5194,895000,5258.98,179,-2664.682373046875,52.6251
180,5908.63,69.0943,900000,5042.33,180,-2644.79296875,52.3826
181,6142.49,67.7832,905000,5344.63,181,-2709.02880859375,49.8092
182,6014.91,64.1189,910000,5394.32,182,-2626.554443359375,42.622
183,5786.53,69.3309,915000,5259.67,183,-2769.847412109375,53.6667
184,5847.47,67.5916,920000,4689.89,184,-2700.31982421875,50.1153
185,6191.04,68.5572,925000,5582.29,185,-2836.357666015625,49.2051
186,5633.38,66.1595,930000,5568.86,186,-2773.1455078125,47.1669
187,5899.01,69.9805,935000,5213.29,187,-2930.92236328125,53.5373
