Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
158.7376,0,11.7667,-226.97,-15.25
158.418,1,11.9043,-57.29,63.61
157.9467,2,11.6918,53.49,484.53
157.7271,3,12.0464,201.52,793.7
157.5405,4,12.3209,459.55,1221.88
157.1505,5,11.5163,722.88,1603.27
156.4291,6,11.1931,1370.42,2344.14
155.8713,7,11.4845,1615.07,2579.51
154.7567,8,10.7084,2379.11,3353.69
154.3016,9,12.0397,2999.43,3645.51
154.0024,10,11.9727,3573.48,4223.41
153.8806,11,12.6699,3710.4,4362.06
153.3961,12,13.9536,3928.05,4699.96
153.1731,13,14.3397,4400.66,4720.92
153.5086,14,13.6073,4339.09,5164.78
153.1304,15,14.5651,5056.57,5477.6
153.4644,16,15.7207,5283.77,5742.62
152.9962,17,16.4507,5178.44,5899.76
152.805,18,15.7981,5684.61,6267.54
152.441,19,17.0506,5910.86,6470.79
152.2821,20,17.0989,6069.68,6492.23
151.8966,21,16.5174,5956.31,6607.82
151.5168,22,17.5547,6431.78,7018.16
152.2475,23,17.9602,6534.82,7173.13
151.4392,24,16.8957,6764.66,7305.9
151.0886,25,15.9456,6563.62,7012.46
150.6928,26,16.1582,6977.56,7450.01
150.1839,27,16.2401,7052.51,7533.92
149.6765,28,16.1254,7276.82,7564.11
149.4595,29,15.3995,7225.1,7684.07
149.8315,30,15.8353,7440.62,7874.35
149.1818,31,16.0105,7527.6,7904.67
148.5593,32,16.769,7881.4,8234.39
148.7017,33,15.7393,7681.36,8038.58
148.1039,34,16.9473,8052.88,8515.44
147.7976,35,16.0886,8196.56,8514.24
147.1438,36,16.1766,8206.26,8496.89
