Running Forward KL,Running Env Steps,Running Update Time,Running Reverse KL,Real Det Return,Itration,Reward Loss,Real Sto Return
31.9575,0,0,20.0976,185.07,0,-37.84528350830078,192.31
31.1559,5000,1,22.785,263.15,1,-19.937471389770508,257.72
30.2486,10000,2,19.5305,351.38,2,-36.33137130737305,338.14
26.9106,15000,3,16.2343,369.99,3,-64.7337875366211,370.52
24.5038,20000,4,16.4285,674.58,4,-98.56656646728516,646.17
24.9017,25000,5,18.6155,686.67,5,-84.48172760009766,689.53
26.5438,30000,6,19.4397,731.87,6,-81.62176513671875,712.97
25.5368,35000,7,22.5275,751.32,7,-61.491050720214844,749.84
23.6778,40000,8,15.5772,975.05,8,-61.45113754272461,1312.72
24.3078,45000,9,16.6733,999.56,9,-89.08068084716797,1038.19
24.2929,50000,10,36.0782,827.71,10,-135.6553955078125,828.36
23.5119,55000,11,16.8859,943.6,11,-105.63467407226562,920.77
24.1435,60000,12,26.6454,923.37,12,-109.1995849609375,992.08
23.6743,65000,13,27.1258,927.29,13,-124.33042907714844,898.96
24.1603,70000,14,19.8878,941.63,14,-125.75578308105469,846.98
22.0026,75000,15,15.4709,1014.77,15,-116.65465545654297,1003.97
23.8512,80000,16,25.1073,2120.62,16,-107.00067138671875,1551.67
23.3968,85000,17,25.8052,1827.9,17,-132.30775451660156,1428.67
24.008,90000,18,28.9583,949.39,18,-138.8813934326172,899.7
24.2855,95000,19,27.2894,967.77,19,-151.4183807373047,903.16
23.2017,100000,20,20.6591,1855.16,20,-137.9593048095703,1099.4
23.8269,105000,21,18.0736,1816.63,21,-115.98540496826172,1722.07
24.02,110000,22,26.8469,956.34,22,-167.75978088378906,929.9
23.2865,115000,23,16.058,1712.37,23,-181.10260009765625,1288.8
23.6339,120000,24,19.9794,997.67,24,-176.9949188232422,1019.87
24.3837,125000,25,15.262,1014.29,25,-207.60952758789062,878.7
23.5921,130000,26,25.4566,1007.01,26,-180.89744567871094,976.27
23.5584,135000,27,17.5974,1013.15,27,-211.2489013671875,1168.73
23.6165,140000,28,15.4634,1016.21,28,-229.99295043945312,1011.35
23.7894,145000,29,15.6822,2079.79,29,-226.80613708496094,1152.8
24.3341,150000,30,26.0879,1008.15,30,-244.86317443847656,980.72
