Itration,Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Running Reverse KL
0,29.9712,-1135.317626953125,384.44,340.33,0,0,18.1325
1,29.7046,-1223.1961669921875,350.07,343.65,5000,1,23.5126
2,27.0282,-1329.9383544921875,361.71,368.34,10000,2,32.9277
3,25.4144,-1280.75634765625,557.01,528.62,15000,3,31.7624
4,25.7936,-1300.832763671875,678.81,640.1,20000,4,32.1744
5,23.8209,-1459.4007568359375,469.38,431.57,25000,5,42.4713
6,24.0038,-1368.775146484375,697.28,675.77,30000,6,32.7917
7,23.6394,-1302.8983154296875,1133.06,878.68,35000,7,29.4883
8,23.78,-1024.5269775390625,1166.99,1481.19,40000,8,27.6155
9,23.4332,-1337.588623046875,1130.3,1010.53,45000,9,24.8843
10,23.5282,-1395.5823974609375,1120.96,997.45,50000,10,23.688
11,24.2402,-1193.987060546875,1984.39,1121.82,55000,11,23.9102
12,24.7061,-1441.8037109375,876.07,1041.08,60000,12,26.7813
13,24.0669,-1369.0469970703125,1445.32,1261.58,65000,13,27.1943
14,23.7421,-1501.040283203125,1701.7,1091.82,70000,14,24.937
15,24.7086,-1506.2586669921875,1444.83,1175.06,75000,15,26.2731
16,24.3982,-1546.7779541015625,1381.75,1097.36,80000,16,23.5709
17,23.9225,-1539.27294921875,1830.23,1261.55,85000,17,25.0884
18,22.2801,-879.5120849609375,3140.95,2360.82,90000,18,17.2823
19,22.825,-1360.6717529296875,2803.3,1359.2,95000,19,23.1094
20,23.2521,-1753.3759765625,976.98,968.2,100000,20,28.0593
21,21.5679,-1199.5316162109375,3144.32,2353.32,105000,21,20.4611
22,22.0344,-1456.6407470703125,2425.17,1751.26,110000,22,20.085
23,20.8251,-646.055419921875,3180.64,2679.82,115000,23,14.9
24,21.7649,-1287.9984130859375,3149.32,1823.43,120000,24,20.6457
25,22.543,-1554.0947265625,1537.53,1536.73,125000,25,24.1098
26,23.0325,-1690.2779541015625,2338.07,1318.89,130000,26,27.4229
27,21.406,-449.8816223144531,3074.74,2412.0,135000,27,12.4949
28,21.2601,-542.879638671875,3169.17,2478.06,140000,28,18.3038
29,23.0644,-936.4879760742188,3087.91,2433.97,145000,29,15.1236
30,22.6004,-1247.066162109375,3201.56,2118.44,150000,30,17.0289
31,21.9096,-1212.0555419921875,3202.27,2093.93,155000,31,17.1535
32,23.3383,-326.9460144042969,3198.32,3080.49,160000,32,14.3052
33,22.4192,-919.3859252929688,3242.33,2387.26,165000,33,13.5592
34,22.1977,-346.9132385253906,3190.64,3204.37,170000,34,13.6954
35,21.8526,-796.3216552734375,3195.99,2721.06,175000,35,13.5436
36,21.7964,-602.9874877929688,3146.24,3076.04,180000,36,12.1888
37,22.2867,-576.7034912109375,3131.83,2968.77,185000,37,14.2807
38,22.4583,-1471.8675537109375,2857.86,1490.35,190000,38,15.0325
39,22.8872,-505.6908264160156,3098.92,3019.9,195000,39,13.9548
40,21.8128,-1325.4923095703125,3287.23,2264.48,200000,40,17.7121
41,21.8541,-836.119140625,3240.24,2212.83,205000,41,14.5267
42,21.5446,-1319.115234375,3091.54,1701.29,210000,42,17.4327
43,21.3932,-553.5567016601562,3204.12,3070.87,215000,43,12.5019
44,21.7276,-1604.0018310546875,2993.92,2120.67,220000,44,14.8069
45,21.4567,-321.8332824707031,3303.83,3052.54,225000,45,12.6677
46,21.4505,-692.114013671875,3216.14,2954.66,230000,46,12.5818
47,21.2167,-1046.073974609375,3188.4,2459.73,235000,47,12.0597
48,22.4865,-707.7059936523438,3153.12,3075.75,240000,48,13.1502
49,21.7449,-802.890625,3261.01,3075.59,245000,49,14.122
50,22.4998,-1058.8270263671875,3282.21,3054.33,250000,50,15.2697
51,21.2722,-1033.528564453125,3317.35,2159.19,255000,51,23.773
52,22.6091,-550.2401733398438,3226.97,3222.25,260000,52,13.8614
53,22.152,-1061.7242431640625,3244.22,2392.39,265000,53,13.6381
54,23.0499,-471.481689453125,3291.85,3260.21,270000,54,14.1917
55,22.6007,-437.55914306640625,649.19,1359.65,275000,55,14.3574
56,21.5065,-417.2904968261719,3313.07,3300.73,280000,56,13.1813
57,22.885,-694.6273193359375,3277.64,3241.53,285000,57,14.9317
58,21.7874,-463.0986022949219,3316.53,3217.68,290000,58,12.9887
59,20.6801,-554.2391357421875,3274.95,2694.03,295000,59,11.6501
60,20.9311,-606.8196411132812,2569.23,3340.59,300000,60,13.5424
61,21.3335,-332.6550598144531,3372.59,3360.95,305000,61,13.3091
62,21.1581,-404.7743835449219,3343.99,3237.82,310000,62,12.5726
63,21.4151,-678.87255859375,3341.8,3134.5,315000,63,12.8423
64,20.6954,-397.3128967285156,3375.39,3356.77,320000,64,13.1485
65,20.8545,-314.2511291503906,3440.25,3360.59,325000,65,13.0822
66,22.1959,-375.374755859375,3420.09,3392.9,330000,66,14.5241
67,20.6429,-343.42047119140625,3403.1,3362.29,335000,67,12.8298
