Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration
288.4373,357.6,436.4901,416.03,0
279.2536,307.24,450.5966,267.37,1
292.2734,359.51,450.8073,321.68,2
251.6445,403.11,429.2079,424.81,3
247.3803,412.87,411.8153,491.95,4
233.1073,459.35,414.9998,511.91,5
240.3832,448.94,416.5133,437.73,6
248.6669,456.0,410.7903,457.6,7
239.7684,439.19,402.2768,415.97,8
245.7291,485.97,393.2745,536.24,9
236.1697,485.59,388.8508,666.7,10
239.2441,528.67,384.5475,487.67,11
248.9325,596.8,387.2498,672.71,12
244.6954,508.36,379.67,651.95,13
245.0898,623.96,367.5269,467.91,14
270.0145,545.59,373.6646,619.18,15
254.1135,546.36,367.3367,422.42,16
255.0047,619.49,364.0646,407.53,17
244.3909,576.95,369.647,623.55,18
239.6037,688.05,364.9636,698.83,19
250.3876,621.82,373.3497,733.27,20
267.4845,677.6,360.0025,631.6,21
256.7603,721.68,371.5677,458.34,22
266.7105,614.22,364.503,590.81,23
236.191,749.04,351.7883,434.74,24
249.9839,782.81,380.0933,486.01,25
241.4471,831.18,370.5187,919.24,26
230.7513,681.9,364.0602,504.91,27
237.631,601.16,359.319,526.91,28
226.86,648.44,366.3984,452.31,29
238.0521,877.04,348.8914,709.6,30
249.6085,720.0,361.2284,636.53,31
245.3639,787.6,363.1316,601.37,32
248.8582,731.55,368.1775,500.49,33
215.4294,766.41,338.3591,452.97,34
205.8972,1034.49,342.3128,476.11,35
214.8933,1227.34,339.8125,492.65,36
221.5016,1123.26,330.214,574.41,37
210.4511,1250.85,353.2816,701.05,38
211.2112,1278.19,335.2914,756.22,39
175.4508,1419.98,321.5816,1370.07,40
180.6963,1763.95,323.9679,1790.2,41
187.3291,1728.74,321.8418,2705.9,42
185.3869,1540.78,317.6263,1278.84,43
192.9716,1889.96,326.3913,866.87,44
186.3155,1422.5,312.0896,800.37,45
177.8038,1448.67,310.9268,932.88,46
225.3338,1599.03,339.0435,1024.79,47
218.5137,1651.69,332.6961,1371.91,48
209.3241,1527.07,311.9667,1017.37,49
225.6735,1833.23,319.8014,1872.82,50
131.8231,2099.0,285.5331,1600.8,51
134.4988,2110.9,292.6546,1240.87,52
132.5783,2747.96,274.0392,2486.37,53
123.6103,3053.79,283.2544,2259.14,54
191.759,2449.78,292.3614,1745.57,55
120.8917,2041.76,275.4262,2320.44,56
120.4819,3014.99,280.2429,1697.13,57
89.1597,4186.75,271.7934,3232.85,58
111.1949,2562.66,268.0894,3529.66,59
105.5077,4167.05,272.3904,2628.22,60
86.4146,3768.47,262.4476,4015.34,61
77.912,4031.94,258.592,2757.83,62
95.4675,3843.5,265.0158,3068.61,63
68.9922,4222.74,257.3084,3573.56,64
86.5593,4236.87,264.3608,4285.78,65
95.539,3786.5,260.1825,3957.51,66
76.5158,3929.18,255.3143,2597.99,67
67.6598,3830.61,254.5159,3405.81,68
87.0997,4330.39,260.4918,3596.29,69
59.1263,3694.02,253.4057,2934.8,70
92.5484,4378.88,256.3044,3656.21,71
57.015,4743.43,254.8254,4628.68,72
65.6013,4606.65,253.0005,3111.13,73
74.086,4530.96,262.2799,5093.65,74
83.7725,4623.14,259.0212,5010.48,75
79.5541,4015.16,258.4563,5119.73,76
94.3103,4670.0,253.5763,4818.3,77
98.3735,4683.28,263.0866,5164.91,78
67.9064,4898.95,251.0329,5107.6,79
60.9307,4803.83,249.503,4862.27,80
71.5711,4240.37,249.362,5141.31,81
67.1651,4939.48,248.4338,5253.96,82
48.8748,4629.24,247.936,5207.41,83
62.3554,4678.91,248.9425,4987.14,84
43.9222,3874.59,235.9618,3559.26,85
55.4426,4846.7,246.6837,5054.53,86
65.8902,4950.28,246.5516,4969.08,87
50.2625,4316.51,244.7138,4988.55,88
65.0025,4456.72,246.5014,4961.94,89
64.6925,4711.73,249.7117,5270.39,90
88.4084,4615.28,251.7411,4568.21,91
65.2504,4548.68,246.949,5275.13,92
107.6848,4171.23,255.7891,3115.67,93
62.6694,4249.48,245.6589,2986.37,94
77.3993,4181.74,248.4755,4664.43,95
113.955,4466.06,262.6582,5160.28,96
57.927,4646.58,245.2993,4520.07,97
42.6935,4952.91,236.0818,1409.5,98
47.9241,4719.78,239.021,4506.64,99
53.9427,4069.54,242.181,2854.79,100
63.9471,4478.65,238.8005,3209.71,101
71.5775,4768.49,248.0519,1565.49,102
92.3261,4202.15,254.9576,1774.53,103
65.7111,4528.48,245.9161,1613.31,104
62.8231,4440.72,241.598,4372.13,105
59.5304,4681.93,243.6126,1367.21,106
63.8649,4404.04,241.2013,2355.2,107
52.2289,4775.3,238.8462,3227.08,108
86.7369,3985.61,246.9644,4326.01,109
50.5159,4250.38,235.8728,3886.49,110
65.177,4768.59,244.1572,4940.43,111
87.9719,4866.66,246.9192,1375.72,112
47.2977,5032.34,240.2844,2032.87,113
60.329,4619.98,238.5285,2838.16,114
48.3967,4610.51,241.5916,2824.13,115
80.7804,4783.52,243.9783,3607.82,116
44.169,4866.19,237.6744,3226.21,117
57.9536,5063.27,233.9888,4036.67,118
59.6939,4454.68,236.6827,1819.18,119
86.8804,4932.83,243.6219,2065.19,120
51.6414,5032.12,240.2799,2902.9,121
51.0488,4916.67,239.8339,2949.56,122
51.4298,4839.18,237.6086,4029.18,123
63.8489,3941.54,241.6676,4078.73,124
74.0958,4513.37,242.453,3114.16,125
48.8043,5075.23,242.7006,4907.97,126
55.88,4876.27,238.8011,2760.45,127
38.6723,4833.15,232.1054,2142.54,128
41.6256,4794.16,232.3868,3259.32,129
50.6812,4842.81,234.6234,3055.14,130
73.4844,4778.49,239.7347,3776.13,131
74.0806,4857.03,238.9883,2090.25,132
46.1662,5077.25,232.2616,4050.12,133
46.4235,4740.09,235.3243,4537.31,134
58.9298,5050.8,238.7606,3043.32,135
48.7211,4660.51,237.8702,4215.91,136
41.911,4903.45,230.0486,4102.78,137
43.8924,4689.77,235.23,3472.15,138
40.6774,5098.03,230.7252,4127.88,139
56.5717,5086.28,235.4112,3702.93,140
44.7797,4890.13,235.8345,4075.29,141
48.0548,4838.08,237.8352,3702.87,142
38.9521,5067.19,230.5504,2476.4,143
38.0232,4725.11,236.4875,2441.13,144
52.5998,4851.28,237.4687,3727.54,145
38.0362,5092.94,232.0498,4744.13,146
52.5474,5070.81,237.7804,5072.08,147
57.4686,4956.84,239.258,4119.58,148
49.8754,4871.62,236.7014,4952.32,149
32.6087,5076.72,226.3765,1724.2,150
51.5515,4942.06,240.4637,4404.09,151
48.0466,4904.83,237.4577,4576.31,152
53.1838,5036.08,238.3414,3768.64,153
63.8223,5033.29,237.3106,4828.39,154
35.2308,4960.66,233.7031,2026.14,155
42.9553,5032.98,237.4596,4514.22,156
50.6219,4962.06,233.5393,4653.07,157
31.6784,4874.99,229.0296,4301.61,158
37.5934,4658.6,234.2658,4911.85,159
42.7044,4704.85,238.1305,4024.26,160
37.0955,5034.54,234.0588,5104.15,161
49.1646,5049.03,238.8099,3177.05,162
36.3577,4561.66,230.2871,4326.0,163
43.0654,5069.52,232.5767,3609.93,164
35.4657,4829.13,233.361,4685.31,165
41.3672,4882.56,229.981,3072.78,166
44.5833,4826.18,234.3944,3609.05,167
40.8347,4960.22,237.5245,4849.94,168
50.4416,4741.87,238.7461,4917.54,169
29.115,4682.61,227.6242,1749.84,170
32.7435,4818.95,227.8893,2311.99,171
35.523,4599.41,229.9066,3662.44,172
30.801,4935.61,232.3304,4219.16,173
35.6022,5011.48,230.8677,4866.12,174
32.9909,4767.99,232.1247,5010.75,175
29.6454,4986.86,230.2208,2874.61,176
33.0125,4885.74,230.9421,4936.86,177
32.7177,4739.0,233.3118,3979.28,178
32.9727,4991.02,229.7331,1549.84,179
57.9545,4711.11,243.333,4895.94,180
45.1548,4746.35,235.5411,2100.37,181
58.2728,4638.72,238.8628,3150.37,182
41.9571,4827.33,234.4252,2560.75,183
27.1755,4768.42,225.8667,1450.32,184
31.3957,4756.93,233.8447,4473.52,185
37.1361,5016.14,234.2495,1838.79,186
45.0657,4864.37,235.7294,2122.59,187
26.2121,5000.35,226.1005,4889.13,188
25.3256,4658.99,225.3794,3740.66,189
35.1846,4774.53,229.5506,4008.6,190
34.5233,4978.43,232.934,4055.75,191
31.961,5109.49,225.3308,5246.4,192
33.7488,4919.01,229.154,2937.72,193
25.9114,4992.68,224.0994,4571.19,194
37.6935,4830.4,232.9007,2700.46,195
37.7294,4806.68,228.7688,4021.44,196
100.9785,4665.9,255.6175,3561.76,197
24.8719,4963.65,226.0384,4566.39,198
25.8026,4837.96,225.5697,3820.65,199
33.7489,4816.73,235.4698,2383.99,200
50.5622,4749.35,239.3219,3104.02,201
43.3742,4847.75,235.5133,3082.4,202
20.7792,4852.18,223.4704,4233.11,203
43.7316,4557.65,231.0033,4951.78,204
34.2521,4819.26,230.0118,4577.55,205
22.5761,4453.98,226.9424,3730.11,206
25.5731,4880.46,226.3556,4867.37,207
