Real Sto Return,Itration,Running Env Steps,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Real Det Return
271.23,0,0,434.3782,0,-130.70863342285156,232.5152,223.35
357.35,1,5000,416.8929,1,249.6674041748047,242.7123,328.56
314.22,2,10000,453.648,2,122.25723266601562,266.8579,326.84
425.82,3,15000,408.0151,3,-379.97412109375,253.6007,557.9
445.85,4,20000,422.0443,4,-1220.306396484375,261.4233,470.37
451.87,5,25000,410.053,5,-983.9153442382812,249.6337,459.65
441.79,6,30000,420.2282,6,-930.446533203125,283.798,556.32
413.05,7,35000,423.3499,7,-1534.9769287109375,250.4127,595.38
450.94,8,40000,396.6083,8,-1328.801025390625,245.7534,586.36
524.98,9,45000,401.8729,9,-1344.12548828125,242.6669,581.44
551.4,10,50000,401.1127,10,-994.8900756835938,261.7997,574.63
532.28,11,55000,409.4601,11,-1887.1021728515625,250.0504,566.0
488.63,12,60000,407.0836,12,-2251.10107421875,254.4418,613.04
515.47,13,65000,406.9753,13,-2072.71728515625,254.1025,615.63
568.96,14,70000,405.5019,14,-2163.6865234375,267.6766,536.07
551.2,15,75000,416.4775,15,-2608.4951171875,255.1843,500.17
510.43,16,80000,409.735,16,-2604.708740234375,264.5078,585.7
