Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time,Running Env Steps,Itration
464.25,-69.48863220214844,373.17,12.3508,49.1051,0,0,0
447.78,-104.06639862060547,408.14,13.7328,49.6198,1,5000,1
379.93,-181.9241180419922,366.59,14.9898,49.1409,2,10000,2
336.83,-232.10031127929688,368.13,15.4323,49.1785,3,15000,3
396.52,-215.85812377929688,469.54,13.9437,49.1133,4,20000,4
769.23,-111.90678405761719,464.54,17.6192,48.6228,5,25000,5
1047.94,-179.6793670654297,857.92,13.9684,47.8553,6,30000,6
1989.44,-38.77130126953125,1567.6,16.7153,48.3571,7,35000,7
812.09,-130.106201171875,1018.93,22.505,47.5837,8,40000,8
1036.67,-151.8707733154297,979.03,21.348,47.4,9,45000,9
1569.3,-191.39683532714844,1445.9,16.2138,47.6997,10,50000,10
1331.26,-237.52804565429688,1003.6,16.5194,46.8157,11,55000,11
1159.16,-202.33383178710938,1293.99,16.9298,46.6105,12,60000,12
1213.95,-172.89984130859375,1034.9,24.7989,47.7769,13,65000,13
1699.96,-199.81149291992188,1273.56,17.477,46.0974,14,70000,14
411.64,-226.11810302734375,905.07,15.2743,47.0121,15,75000,15
1509.74,-161.94639587402344,1787.36,18.4334,46.985,16,80000,16
1768.9,-163.04991149902344,1379.93,46.3572,46.9108,17,85000,17
2851.35,-208.12091064453125,1837.77,28.1265,46.3044,18,90000,18
1591.53,-308.9757080078125,1135.97,22.6871,46.3844,19,95000,19
916.86,-422.14447021484375,1167.2,25.1578,46.0736,20,100000,20
1835.66,-397.519775390625,1312.83,67.4858,46.7827,21,105000,21
884.81,-386.2275390625,993.37,44.6076,46.2762,22,110000,22
926.75,-450.9721984863281,1233.74,53.798,46.488,23,115000,23
1424.68,-452.9927978515625,1233.87,42.8208,46.1144,24,120000,24
1983.46,-404.6528625488281,1280.33,32.1259,45.107,25,125000,25
1204.64,-513.5070190429688,1147.24,67.4782,46.7387,26,130000,26
1722.82,-483.23504638671875,1179.71,28.6952,46.2319,27,135000,27
3319.89,-488.37518310546875,1531.64,27.3424,45.431,28,140000,28
2209.29,-420.5022277832031,1831.99,31.6037,46.1237,29,145000,29
1817.39,-520.4634399414062,1328.8,33.6263,46.2942,30,150000,30
1677.56,-440.4581298828125,1506.64,25.7353,45.8921,31,155000,31
1631.58,-360.2296142578125,1707.19,25.775,45.6295,32,160000,32
1731.21,-520.657470703125,1406.13,37.293,45.1584,33,165000,33
2396.49,-577.3521728515625,1390.27,32.5253,46.1226,34,170000,34
1848.74,-572.795654296875,1435.06,32.095,45.3811,35,175000,35
3303.56,-256.3539733886719,2159.2,18.4985,45.4621,36,180000,36
3002.17,-409.15435791015625,2487.8,16.6625,44.9393,37,185000,37
1660.19,-627.9369506835938,1407.42,24.0396,45.2148,38,190000,38
1834.94,-646.1832885742188,1475.54,31.4436,45.2063,39,195000,39
2817.87,-654.396240234375,1895.53,21.7064,44.9383,40,200000,40
1948.43,-624.8186645507812,1296.91,18.0646,44.7806,41,205000,41
3378.68,-563.8477783203125,2284.71,27.2424,44.5561,42,210000,42
1827.38,-721.6734619140625,1467.24,42.0137,45.3461,43,215000,43
2716.38,-619.3267211914062,1877.73,27.1912,44.5287,44,220000,44
1805.96,-700.1944580078125,1879.35,32.4815,44.9212,45,225000,45
3630.73,-363.11785888671875,3259.31,19.6659,44.6818,46,230000,46
3211.06,-621.384765625,2367.12,16.8094,44.1805,47,235000,47
3405.77,-287.64752197265625,3083.91,19.8396,45.7373,48,240000,48
3745.46,-254.82290649414062,3587.24,22.1366,45.877,49,245000,49
3582.64,-367.6556701660156,3450.2,20.9028,46.0101,50,250000,50
3642.66,-299.92547607421875,3495.62,19.385,45.8537,51,255000,51
3694.87,-364.24310302734375,2870.92,17.9149,44.3881,52,260000,52
3598.11,-311.1888427734375,3482.11,18.8943,45.2808,53,265000,53
3562.44,-402.3385314941406,3602.61,23.3296,46.0051,54,270000,54
3672.44,-322.8462219238281,3669.39,21.6929,46.2658,55,275000,55
3713.3,-317.9176940917969,3693.28,20.8594,45.9197,56,280000,56
3706.33,-358.6512145996094,3536.24,19.0733,45.6899,57,285000,57
3705.88,-343.5834655761719,3516.75,21.5108,45.8818,58,290000,58
3629.66,-455.84637451171875,3499.03,17.3163,45.3408,59,295000,59
3543.04,-367.23529052734375,3592.2,19.4957,45.7296,60,300000,60
3748.57,-366.39898681640625,3689.23,19.2846,45.6646,61,305000,61
3782.1,-342.37408447265625,3742.63,22.1979,45.7327,62,310000,62
3783.45,-365.570068359375,3741.68,21.5199,45.75,63,315000,63
3775.86,-369.9710388183594,3748.7,21.2915,45.7051,64,320000,64
3732.72,-391.51043701171875,3661.44,19.9626,45.7585,65,325000,65
3786.75,-375.3313293457031,3746.28,21.7803,45.6499,66,330000,66
3688.56,-393.2563781738281,3714.97,21.8738,45.6166,67,335000,67
3709.06,-395.9158935546875,3552.33,21.0324,45.5638,68,340000,68
3764.67,-413.2840270996094,3742.28,21.7822,45.3916,69,345000,69
3760.04,-427.9949035644531,3764.9,20.5112,45.5929,70,350000,70
3794.79,-445.109375,3760.77,20.7607,45.8478,71,355000,71
3778.69,-429.58807373046875,3427.99,20.9425,45.5074,72,360000,72
3683.59,-454.5249938964844,3670.9,19.3034,45.2578,73,365000,73
1682.0,-805.5394287109375,3205.01,16.6968,44.9371,74,370000,74
3706.07,-487.681640625,3676.96,18.6344,45.335,75,375000,75
3807.84,-466.3582458496094,3637.48,20.2602,45.1278,76,380000,76
3726.29,-466.6806335449219,3708.47,18.1651,44.8401,77,385000,77
3777.43,-482.2723083496094,2995.54,18.4546,44.6902,78,390000,78
3663.99,-494.16748046875,3665.15,18.4374,44.8894,79,395000,79
3731.23,-504.9649353027344,3660.79,19.1727,44.9317,80,400000,80
3752.11,-533.700927734375,3719.35,18.1411,44.8324,81,405000,81
3855.5,-502.3227233886719,3810.14,19.5337,44.6931,82,410000,82
3751.73,-622.3096923828125,3631.63,17.9228,45.3698,83,415000,83
3845.75,-534.180419921875,3704.97,18.4957,44.5274,84,420000,84
3797.87,-548.9007568359375,3753.13,18.4729,44.438,85,425000,85
3699.31,-568.65380859375,3559.87,17.9084,44.6237,86,430000,86
3707.95,-578.8041381835938,3691.92,19.0057,45.0406,87,435000,87
3775.41,-580.3464965820312,3440.52,20.9815,45.3108,88,440000,88
3679.97,-585.7067260742188,3693.22,17.2513,44.7012,89,445000,89
3825.34,-580.5468139648438,3791.51,19.2939,44.68,90,450000,90
3787.77,-577.402099609375,3754.84,19.7066,44.9084,91,455000,91
3837.59,-591.410888671875,3778.66,20.2769,44.6145,92,460000,92
3212.58,-678.0404052734375,3462.61,15.3805,44.6903,93,465000,93
