Running Reverse KL,Real Det Return,Running Update Time,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Reward Loss
26.5509,281.64,0,76.7707,-110.98,0,0,14.4835786819458
24.79,380.28,1,75.3814,-84.27,1,5000,-2.492964267730713
25.5224,452.27,2,74.8574,-39.94,2,10000,-12.045696258544922
26.8194,605.84,3,74.3744,-44.96,3,15000,-43.4947395324707
29.3724,607.23,4,74.3463,5.62,4,20000,-68.0376205444336
28.6885,666.5,5,72.4465,55.21,5,25000,-68.49095153808594
29.3549,599.98,6,71.4699,38.52,6,30000,-88.86318969726562
29.7817,535.65,7,72.2848,105.61,7,35000,-109.60726165771484
30.9676,686.1,8,73.6663,142.09,8,40000,-126.6964111328125
30.4394,700.58,9,70.3681,142.81,9,45000,-129.88807678222656
31.6415,689.83,10,71.9028,138.18,10,50000,-156.0967254638672
32.3716,461.31,11,73.2811,124.63,11,55000,-168.992431640625
30.1793,714.53,12,69.5893,183.23,12,60000,-173.47586059570312
31.5451,866.73,13,69.8428,180.28,13,65000,-194.59295654296875
30.164,818.02,14,68.7051,219.06,14,70000,-196.0554962158203
29.7301,1036.38,15,67.1783,186.53,15,75000,-214.68356323242188
31.3663,959.7,16,68.5953,223.26,16,80000,-234.44003295898438
30.7608,1244.31,17,70.0347,292.17,17,85000,-245.49758911132812
30.3932,1115.5,18,67.0077,310.24,18,90000,-257.30987548828125
29.4305,753.44,19,66.464,211.49,19,95000,-264.27935791015625
31.3469,846.76,20,68.423,220.93,20,100000,-293.4306640625
29.182,1117.21,21,63.7482,407.34,21,105000,-286.7038269042969
29.1681,1160.32,22,62.613,462.02,22,110000,-290.9236145019531
31.861,873.24,23,70.7924,284.13,23,115000,-334.38665771484375
28.2799,943.54,24,63.4756,334.74,24,120000,-318.9953918457031
