Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Det Return,Real Sto Return
32.0978,-215.80738830566406,16.1684,0,0,0,220.45,235.17
31.6354,-347.8017578125,44.1829,1,5000,1,222.35,219.08
31.2264,-303.34649658203125,19.3781,2,10000,2,280.94,274.74
30.2937,-308.0340576171875,19.6542,3,15000,3,294.23,291.99
30.5654,-357.6016845703125,17.9089,4,20000,4,310.57,308.36
28.2195,-430.5552978515625,17.5955,5,25000,5,918.27,477.75
27.4706,-456.9355163574219,18.2205,6,30000,6,397.37,384.59
24.6721,-471.3716125488281,20.2073,7,35000,7,463.16,460.76
26.8193,-440.90985107421875,22.9033,8,40000,8,682.22,685.2
27.6454,-463.73211669921875,30.0693,9,45000,9,626.98,641.11
27.2565,-528.1755981445312,23.3069,10,50000,10,587.08,676.87
25.83,-450.57647705078125,28.9461,11,55000,11,718.75,758.12
24.5186,-562.514892578125,27.1744,12,60000,12,664.05,755.5
23.8889,-508.46185302734375,32.2017,13,65000,13,1473.76,1120.7
25.9835,-616.7452392578125,45.6509,14,70000,14,768.38,818.98
23.7878,-236.33531188964844,14.1624,15,75000,15,3155.49,2697.3
24.5349,-438.22406005859375,31.2773,16,80000,16,3315.05,1815.48
25.5059,-636.8148803710938,45.0312,17,85000,17,827.92,983.52
23.0317,-237.56625366210938,15.921,18,90000,18,3336.8,2964.26
23.9101,-528.0138549804688,35.3273,19,95000,19,1860.17,1610.06
23.646,-286.1827392578125,17.6966,20,100000,20,3279.0,2614.49
22.436,-363.7355651855469,14.7888,21,105000,21,3107.65,2795.66
22.2438,-340.04864501953125,13.7442,22,110000,22,3125.64,2459.65
23.6025,-614.543701171875,19.2925,23,115000,23,946.94,1472.25
22.1658,-312.3782043457031,11.892,24,120000,24,3230.56,2596.5
24.2703,-615.2739868164062,17.159,25,125000,25,2799.28,2277.41
22.5525,-548.4840087890625,14.4605,26,130000,26,2873.34,2800.13
22.2448,-343.69073486328125,12.2503,27,135000,27,2372.31,2637.06
22.8746,-396.37841796875,12.6222,28,140000,28,2491.7,2971.85
21.8324,-377.2661437988281,12.0155,29,145000,29,2557.15,3129.96
22.9098,-487.1513671875,14.502,30,150000,30,1398.64,2274.31
21.2863,-355.611572265625,11.8523,31,155000,31,2292.46,2738.66
23.3806,-537.539306640625,17.4279,32,160000,32,2036.04,1730.51
22.5903,-383.1945495605469,13.2705,33,165000,33,3332.2,3284.8
22.8227,-661.0097045898438,19.8264,34,170000,34,1498.87,1467.2
22.3403,-386.4662170410156,13.3063,35,175000,35,3392.55,2707.11
