Itration,Real Sto Return,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL
0,224.96,-140.8552703857422,0,237.77,0,13.5013,50.6718
1,380.86,-42.7259635925293,1,365.21,5000,33.4216,50.8292
2,515.98,-69.24369812011719,2,435.55,10000,41.0041,50.5494
3,448.1,-215.76905822753906,3,482.47,15000,22.0871,49.3924
4,359.87,-179.89581298828125,4,434.94,20000,16.8605,49.8523
5,427.34,-228.3436737060547,5,573.5,25000,14.9128,48.5908
6,868.19,-188.83486938476562,6,1586.19,30000,15.1487,48.1743
7,-1.28,-143.03765869140625,7,24.08,35000,37.0095,54.0343
8,275.65,-233.6631622314453,8,897.9,40000,23.375,50.2369
9,347.04,67.21442413330078,9,332.59,45000,31.2035,50.112
10,208.48,-157.6110076904297,10,228.78,50000,27.9478,50.4743
11,319.37,-282.36126708984375,11,228.86,55000,14.0588,50.5892
12,743.87,-348.8873291015625,12,1088.61,60000,14.7385,49.6442
13,33.92,-240.97779846191406,13,64.43,65000,26.1352,52.4107
14,268.07,-322.35791015625,14,399.75,70000,23.1356,52.6095
15,750.02,-228.62905883789062,15,525.62,75000,15.6605,50.1498
16,646.01,-334.5489807128906,16,603.28,80000,17.0232,49.3099
17,471.24,-332.5499267578125,17,500.98,85000,17.3128,49.2484
18,763.89,-329.047119140625,18,1021.92,90000,18.6803,49.5164
19,547.14,-402.50177001953125,19,622.01,95000,17.4062,49.3644
20,712.14,-240.13687133789062,20,946.61,100000,24.8779,50.8735
21,443.28,-312.98687744140625,21,452.03,105000,23.7625,51.425
22,513.82,-340.1249084472656,22,500.67,110000,18.5394,50.1009
23,898.56,-264.3910217285156,23,772.32,115000,28.9184,50.8574
24,824.72,-248.1121368408203,24,724.46,120000,43.927,53.2802
25,631.6,-349.51995849609375,25,482.23,125000,20.3213,49.4897
26,1027.64,-272.5920715332031,26,1011.69,130000,31.6183,54.8505
27,259.05,-332.2490539550781,27,408.98,135000,35.3615,51.8323
28,978.59,-243.29022216796875,28,1014.79,140000,38.7154,55.0907
29,40.55,-373.1790771484375,29,44.95,145000,38.4847,50.6487
30,585.96,-416.3701477050781,30,649.95,150000,22.8655,48.9133
31,547.27,-329.7427062988281,31,881.29,155000,22.131,49.4236
32,789.87,-524.341796875,32,1112.17,160000,15.2529,49.3546
33,279.02,-559.1580200195312,33,232.95,165000,89.5177,51.9259
34,300.89,-657.39013671875,34,315.11,170000,16.8412,50.1247
35,344.4,-595.054443359375,35,358.69,175000,26.4773,50.7147
36,560.97,-473.7612609863281,36,1194.84,180000,26.9422,49.9534
37,70.3,-687.6817016601562,37,63.37,185000,35.2891,50.9021
38,858.5,-576.1597290039062,38,923.25,190000,33.8909,49.7038
39,1008.14,-368.84588623046875,39,993.03,195000,40.2015,55.5875
40,596.41,-422.4133605957031,40,666.86,200000,56.0289,55.668
41,1047.03,-402.84259033203125,41,1048.51,205000,53.7493,56.4606
42,85.86,-680.2391967773438,42,77.95,210000,96.8328,52.6936
43,256.44,-686.1519775390625,43,396.44,215000,30.7489,53.4769
44,1000.72,-427.5954895019531,44,1006.04,220000,48.8346,56.5527
45,1014.34,-446.73065185546875,45,997.89,225000,44.2385,55.6025
46,352.67,-689.3353271484375,46,429.28,230000,45.382,50.9721
47,229.88,-579.1217651367188,47,114.88,235000,34.8511,51.8279
48,799.28,-527.8013916015625,48,737.49,240000,30.6625,53.7325
49,773.27,-711.0548095703125,49,786.44,245000,38.9767,53.6172
50,153.45,-892.014892578125,50,146.42,250000,74.1373,55.7682
51,478.23,-617.3427734375,51,612.79,255000,41.4871,52.8015
52,-11.84,-891.9691772460938,52,-11.89,260000,43.7562,52.1905
53,323.71,-834.2213745117188,53,311.32,265000,23.3556,49.6424
54,581.49,-593.15576171875,54,456.8,270000,33.8184,51.1432
55,991.38,-572.3610229492188,55,992.32,275000,42.1068,55.9819
56,140.55,-822.2054443359375,56,114.07,280000,95.112,54.8003
57,7.52,-771.5711669921875,57,13.76,285000,45.6474,55.4792
58,1000.43,-606.717529296875,58,1005.21,290000,47.9062,56.6893
59,772.05,-741.3695678710938,59,865.74,295000,42.5252,54.3065
60,-18.01,-931.4786376953125,60,-17.92,300000,16.0499,50.0828
61,33.93,-925.4683227539062,61,61.13,305000,50.519,54.2211
62,999.39,-671.1640014648438,62,999.5,310000,49.4936,56.8212
63,1026.07,-693.7218627929688,63,1026.16,315000,55.947,57.0443
64,1063.22,-646.2191162109375,64,1013.59,320000,33.0342,55.1341
65,1018.02,-711.6785278320312,65,1019.19,325000,47.8118,55.9158
66,1021.4,-725.0172119140625,66,1021.72,330000,49.4503,56.5642
67,1033.05,-747.46728515625,67,1032.75,335000,47.445,56.3474
68,1018.7,-758.3715209960938,68,1019.83,340000,39.3175,55.9406
69,1001.49,-772.1238403320312,69,1005.14,345000,42.1413,56.1622
70,-2.05,-1343.39404296875,70,-21.18,350000,141.0389,56.7398
71,43.74,-1052.822998046875,71,25.29,355000,43.4701,54.1177
72,23.37,-822.17822265625,72,14.09,360000,52.3875,55.8017
73,1021.02,-841.9423828125,73,1020.89,365000,68.0255,56.9882
74,755.66,-844.9638671875,74,1016.64,370000,45.6806,55.2998
75,82.12,-1013.1289672851562,75,64.2,375000,57.6641,53.5582
76,113.9,-1317.283447265625,76,216.99,380000,80.3906,55.3714
77,951.48,-856.6121826171875,77,950.87,385000,48.8625,55.5394
78,1033.88,-917.9257202148438,78,1034.14,390000,59.7273,56.0752
79,728.7,-1056.9393310546875,79,738.61,395000,53.4059,56.0979
80,1037.18,-950.6036987304688,80,1036.64,400000,45.0344,55.9989
81,412.99,-958.852294921875,81,467.14,405000,59.953,53.84
82,659.62,-968.3862915039062,82,669.84,410000,45.4065,52.92
83,4.91,-1073.0203857421875,83,3.49,415000,66.3342,54.9393
84,474.88,-1011.28076171875,84,465.23,420000,19.0391,49.7489
85,1049.35,-1017.1571044921875,85,1046.55,425000,52.1341,56.2384
86,493.14,-1159.6298828125,86,457.58,430000,26.0847,50.813
87,533.37,-1021.4398193359375,87,457.92,435000,30.7722,51.6078
88,944.63,-1072.40966796875,88,997.2,440000,49.8179,56.3006
89,0.47,-1075.9569091796875,89,0.39,445000,19.1897,51.5761
90,-10.13,-1354.28857421875,90,-9.85,450000,51.7085,55.5254
91,147.7,-1237.59814453125,91,97.71,455000,21.3521,50.1408
92,-7.86,-1140.58251953125,92,-8.54,460000,33.4807,52.5674
93,-6.8,-1180.4044189453125,93,-7.04,465000,104.9045,58.8304
94,1017.73,-1167.7410888671875,94,1011.25,470000,52.9728,56.1574
95,894.18,-1118.7496337890625,95,910.91,475000,22.4829,50.4251
96,1005.66,-1175.0767822265625,96,1006.15,480000,57.863,56.9066
97,830.44,-1242.7874755859375,97,972.37,485000,50.1978,55.3959
98,1024.56,-1209.4420166015625,98,1024.08,490000,52.197,56.5486
99,1035.17,-1216.8021240234375,99,1034.43,495000,46.0966,56.2254
100,1051.32,-1231.8115234375,100,1048.05,500000,41.8382,56.4929
101,1002.16,-1248.3282470703125,101,1003.96,505000,54.036,56.485
102,365.34,-1300.5987548828125,102,864.92,510000,32.3805,54.2309
103,338.72,-1308.5274658203125,103,335.74,515000,32.709,50.3729
104,618.5,-1362.2867431640625,104,1001.28,520000,37.5052,51.8673
105,445.57,-1310.33740234375,105,416.93,525000,23.99,50.2371
106,287.5,-1304.68603515625,106,285.82,530000,21.6839,49.7191
107,409.92,-1557.06494140625,107,374.64,535000,30.7574,50.6663
108,-7.89,-2158.5947265625,108,-8.22,540000,58.0002,58.3369
109,145.9,-1532.4776611328125,109,150.57,545000,89.3995,58.3869
110,359.1,-1589.7421875,110,286.03,550000,69.9732,56.3468
111,1017.1,-1406.172607421875,111,1017.48,555000,45.599,56.81
112,1015.08,-1423.23095703125,112,1016.53,560000,43.5754,56.1726
113,1046.64,-1443.3082275390625,113,1043.54,565000,54.2487,56.3499
114,142.19,-1623.3746337890625,114,40.39,570000,46.7852,55.61
115,152.29,-1667.1790771484375,115,53.32,575000,45.1211,55.8665
116,361.51,-1336.7662353515625,116,328.06,580000,24.3281,50.4767
117,322.1,-1445.11474609375,117,358.94,585000,20.199,50.2073
118,383.61,-1257.3831787109375,118,347.37,590000,22.9038,49.9809
119,376.19,-1575.006591796875,119,174.13,595000,38.9411,51.265
120,338.09,-1475.8173828125,120,356.62,600000,55.3803,52.1991
121,412.59,-1557.4951171875,121,451.24,605000,21.6303,50.2671
122,408.49,-1657.1768798828125,122,463.17,610000,34.5903,49.7401
123,437.11,-1479.4122314453125,123,418.93,615000,37.8852,50.1435
124,500.35,-1504.733154296875,124,557.71,620000,60.9796,50.7099
125,493.85,-1506.652587890625,125,467.03,625000,53.9806,51.9289
126,676.86,-1594.0628662109375,126,607.83,630000,49.0885,51.2436
127,347.98,-1752.592529296875,127,216.97,635000,64.2308,52.9122
128,1017.35,-1627.6971435546875,128,1017.21,640000,42.18,56.3444
129,950.46,-1689.67236328125,129,996.84,645000,53.8415,57.0566
130,66.0,-1470.856689453125,130,36.24,650000,21.7433,50.2955
131,600.53,-1751.1591796875,131,1017.4,655000,52.3555,53.7261
132,289.76,-2510.009765625,132,53.54,660000,65.5138,56.0109
133,910.79,-1730.5042724609375,133,880.24,665000,46.7912,56.096
134,1043.3,-1778.9263916015625,134,1042.72,670000,57.8421,56.3489
135,467.01,-1768.492919921875,135,449.01,675000,29.2839,53.6524
136,67.14,-2163.98095703125,136,76.87,680000,38.878,51.0139
137,1007.65,-1778.4539794921875,137,1005.85,685000,27.0464,53.2826
138,241.37,-2034.2376708984375,138,236.59,690000,55.1292,51.8175
139,427.21,-1771.37646484375,139,392.29,695000,42.1784,51.4484
140,406.37,-2151.6982421875,140,220.58,700000,64.6304,51.192
141,-5.57,-2290.27294921875,141,-6.06,705000,253.8435,60.587
142,943.43,-1762.1131591796875,142,984.28,710000,46.3283,55.7064
143,1022.71,-1920.9365234375,143,1028.82,715000,43.0083,55.3442
144,1038.89,-1952.2962646484375,144,1038.84,720000,60.4365,56.2919
145,1011.31,-1956.6356201171875,145,1011.6,725000,44.7763,55.852
146,1018.39,-1981.6424560546875,146,1018.8,730000,46.0234,56.1984
147,1016.37,-1982.800537109375,147,1016.27,735000,40.148,55.1006
148,1038.68,-2023.283203125,148,1038.53,740000,50.4115,55.3617
149,210.09,-2305.370361328125,149,207.3,745000,27.6715,51.9769
150,433.95,-1924.4544677734375,150,620.89,750000,31.7798,51.608
151,-3.3,-2773.5595703125,151,0.13,755000,66.9228,55.1088
152,77.58,-2314.685791015625,152,76.77,760000,47.8176,55.313
