Running Forward KL,Itration,Running Reverse KL,Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Running Env Steps
33.5188,0,19.6742,0,179.2,185.06,-24.968162536621094,0
31.3907,1,41.5786,1,60.85,250.75,-1.4691669940948486,5000
31.0477,2,40.367,2,238.94,247.4,67.81122589111328,10000
31.8332,3,45.2896,3,223.26,172.74,-499.4832458496094,15000
31.3772,4,20.6176,4,337.64,336.12,-213.5426788330078,20000
31.5428,5,15.1034,5,418.24,412.62,98.8637466430664,25000
31.4876,6,18.4296,6,330.87,345.53,-285.8645935058594,30000
33.4084,7,23.6506,7,1015.39,1010.44,-427.01708984375,35000
37.251,8,28.5982,8,242.4,270.18,-537.9522705078125,40000
37.1497,9,24.4559,9,995.74,995.85,-706.86279296875,45000
31.263,10,27.9698,10,313.68,485.4,-656.746826171875,50000
35.681,11,25.4182,11,1000.22,1008.03,-715.321044921875,55000
35.7222,12,27.0868,12,1012.28,971.47,-764.0155639648438,60000
40.2149,13,39.3845,13,1004.11,1004.08,-727.8632202148438,65000
36.3103,14,218.15,14,37.05,42.28,-412.13006591796875,70000
38.1661,15,238.0391,15,-2.23,-2.33,-408.5190124511719,75000
36.8177,16,167.181,16,61.66,59.18,-606.652099609375,80000
35.1565,17,24.9357,17,1010.36,1012.99,-1079.1424560546875,85000
37.9786,18,33.433,18,1004.02,1004.49,-1093.26513671875,90000
36.0983,19,34.9803,19,1035.17,1035.28,-1126.4830322265625,95000
34.2774,20,18.8466,20,1066.92,1075.43,-1138.68408203125,100000
30.1756,21,25.6963,21,428.59,428.13,-450.0851135253906,105000
32.0995,22,40.9904,22,607.58,768.74,-1199.0321044921875,110000
36.3433,23,23.2603,23,1065.93,1061.96,-988.5814208984375,115000
35.4387,24,32.8795,24,1019.64,1014.69,-1252.587158203125,120000
33.0965,25,47.831,25,101.64,102.01,-1203.69970703125,125000
32.1962,26,30.0355,26,496.79,496.52,-573.9550170898438,130000
30.4204,27,27.6266,27,252.5,308.89,-539.4751586914062,135000
34.1812,28,75.5008,28,173.42,129.54,-1143.715576171875,140000
35.087,29,27.7106,29,287.3,286.76,-1581.843017578125,145000
31.7461,30,85.9234,30,462.91,461.28,-1697.4493408203125,150000
31.4308,31,25.2065,31,277.94,283.07,-1303.961181640625,155000
32.5064,32,19.3414,32,1195.26,1183.84,-1452.4615478515625,160000
33.0364,33,21.3453,33,1158.52,1199.1,-1506.18359375,165000
33.4794,34,20.1457,34,1088.63,1086.64,-1561.106201171875,170000
33.6628,35,23.4539,35,1095.41,1099.81,-1611.5692138671875,175000
34.8315,36,23.4576,36,1152.48,1156.06,-1631.906005859375,180000
33.5844,37,18.3309,37,1051.72,1043.87,-1728.2340087890625,185000
34.085,38,30.5021,38,985.94,987.78,-1845.4798583984375,190000
33.1415,39,19.6735,39,979.34,980.3,-1797.00537109375,195000
31.8506,40,26.4561,40,240.37,224.44,-1618.01513671875,200000
31.6749,41,89.5058,41,608.29,740.73,-1648.944580078125,205000
38.6384,42,35.724,42,999.17,998.8,-2104.16455078125,210000
36.0438,43,32.2672,43,1000.04,999.07,-2070.2578125,215000
35.7739,44,37.3712,44,985.49,984.49,-2129.547119140625,220000
35.2237,45,37.5727,45,1014.01,1013.94,-2162.90869140625,225000
31.6548,46,52.6407,46,280.0,285.79,-1194.1802978515625,230000
31.9044,47,51.0545,47,279.65,279.86,-1528.7750244140625,235000
33.187,48,27.3574,48,412.3,373.57,-1906.50439453125,240000
34.3099,49,32.3001,49,1067.94,1031.1,-2398.937255859375,245000
33.3012,50,20.9928,50,1306.62,1306.02,-1657.405517578125,250000
32.8362,51,20.6794,51,1249.33,1247.15,-1683.3721923828125,255000
33.0971,52,22.5375,52,1270.19,1271.04,-1809.0150146484375,260000
32.0722,53,53.9207,53,165.88,221.59,-1725.9046630859375,265000
31.748,54,37.2874,54,221.76,195.86,-1572.3170166015625,270000
32.0476,55,24.8893,55,419.6,426.53,-1814.9871826171875,275000
33.2787,56,21.711,56,1050.2,956.28,-2429.474853515625,280000
34.5035,57,208.257,57,73.47,101.85,-2348.621337890625,285000
34.6627,58,91.5305,58,87.23,87.62,-2107.796630859375,290000
39.1136,59,91.5783,59,160.43,159.76,-3232.537353515625,295000
35.8891,60,66.5325,60,146.61,146.61,-2860.40869140625,300000
31.5719,61,21.3609,61,78.5,78.73,-1689.8837890625,305000
34.8933,62,48.2976,62,139.99,142.43,-2905.764404296875,310000
33.7202,63,111.0644,63,326.86,327.42,-2633.204345703125,315000
33.6725,64,119.5577,64,226.51,227.67,-2716.66845703125,320000
33.7449,65,74.9684,65,191.28,191.19,-2921.558349609375,325000
34.4842,66,46.3461,66,959.98,937.23,-3139.77392578125,330000
37.2983,67,73.5272,67,994.45,994.22,-3337.38818359375,335000
36.4921,68,33.4853,68,987.35,987.23,-3268.845703125,340000
36.0985,69,35.0286,69,990.93,991.11,-3324.739990234375,345000
35.4319,70,23.3432,70,1003.28,1002.59,-3262.289306640625,350000
34.5273,71,21.5128,71,1008.56,1010.81,-3162.582763671875,355000
33.5307,72,21.0858,72,1015.36,1015.09,-3251.167724609375,360000
32.4212,73,28.6375,73,343.45,328.45,-3118.048583984375,365000
32.44,74,123.8451,74,314.27,317.93,-3147.68359375,370000
31.8167,75,109.0238,75,537.49,571.11,-3121.563720703125,375000
33.0791,76,19.6345,76,953.47,941.53,-2938.096435546875,380000
34.0016,77,22.9214,77,936.03,934.49,-3208.8681640625,385000
33.86,78,20.6806,78,999.01,998.45,-3252.4970703125,390000
33.3795,79,27.6027,79,855.51,823.02,-3130.614501953125,395000
33.2793,80,83.0112,80,636.39,483.44,-3125.98388671875,400000
34.0749,81,97.6731,81,439.31,439.99,-3624.7626953125,405000
34.198,82,73.9652,82,411.71,410.02,-3777.51171875,410000
32.3778,83,33.4483,83,719.42,687.96,-3511.683837890625,415000
34.2394,84,46.4813,84,488.57,514.6,-3923.33056640625,420000
33.2446,85,68.4728,85,558.47,571.19,-3934.1884765625,425000
33.527,86,18.4861,86,1052.93,1056.72,-3581.734130859375,430000
33.7167,87,76.3955,87,372.58,412.44,-4030.936279296875,435000
33.5951,88,57.4805,88,651.19,648.91,-3904.1279296875,440000
33.7677,89,89.2103,89,389.62,402.29,-3938.30126953125,445000
33.2173,90,38.6662,90,690.63,577.06,-3868.144775390625,450000
33.3488,91,17.6546,91,1024.63,1014.73,-3794.722412109375,455000
33.1928,92,27.2736,92,512.59,504.32,-3544.437255859375,460000
31.9419,93,27.3202,93,712.42,771.15,-3939.828857421875,465000
33.2425,94,19.8984,94,894.17,853.15,-3897.49658203125,470000
32.3984,95,84.7428,95,674.99,618.61,-4247.6787109375,475000
32.4854,96,19.4407,96,980.9,976.34,-3731.3212890625,480000
32.9948,97,19.9887,97,964.74,959.82,-4017.489990234375,485000
33.6251,98,25.0942,98,1039.7,1038.57,-4231.060546875,490000
33.1619,99,18.8488,99,1105.09,1105.81,-4052.556884765625,495000
33.3408,100,17.8317,100,1044.34,1043.23,-4147.55078125,500000
32.8206,101,19.368,101,1148.48,1154.53,-4118.13134765625,505000
33.6219,102,26.1596,102,1100.09,1136.25,-4646.1259765625,510000
32.9748,103,42.6836,103,529.75,516.47,-4327.00341796875,515000
31.3649,104,17.7991,104,670.36,703.82,-3299.517822265625,520000
33.4777,105,20.6727,105,999.82,995.93,-4540.314453125,525000
37.0895,106,40.5462,106,982.66,982.49,-5135.4033203125,530000
34.0089,107,26.6015,107,956.46,959.59,-4853.38037109375,535000
32.7533,108,18.4796,108,1069.76,1066.96,-3885.212646484375,540000
33.0338,109,20.8591,109,1064.58,1066.12,-4386.98291015625,545000
33.4277,110,20.8063,110,1041.66,1043.51,-4385.91650390625,550000
32.8369,111,21.0033,111,955.79,909.54,-4523.4775390625,555000
34.0349,112,25.4155,112,912.33,913.68,-5016.287109375,560000
33.3065,113,62.3027,113,730.3,841.78,-4827.5849609375,565000
34.6719,114,32.9828,114,939.69,940.52,-4571.322265625,570000
33.8443,115,32.9306,115,1076.1,1074.42,-4843.3876953125,575000
33.4653,116,32.2624,116,1092.35,1090.16,-5235.89892578125,580000
30.8042,117,60.7497,117,533.35,678.11,-4505.69140625,585000
38.9095,118,66.2857,118,96.77,97.19,-5845.57080078125,590000
39.8732,119,51.0153,119,977.55,977.35,-5900.3818359375,595000
38.8359,120,71.332,120,980.06,980.02,-5943.5517578125,600000
37.1397,121,77.6345,121,291.36,243.07,-6026.17236328125,605000
36.8585,122,66.5734,122,1022.03,1022.2,-6129.14794921875,610000
