Itration,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Running Env Steps
0,153.89999389648438,11.6954,-204.29,3.59,158.5626,0,0
1,-141.30465698242188,12.0052,-79.23,22.65,158.4348,1,5000
2,-379.1939392089844,12.4986,131.47,663.03,158.167,2,10000
3,-666.0665283203125,14.4239,432.07,792.6,158.4483,3,15000
4,-910.4102783203125,14.5476,539.62,969.46,158.4248,4,20000
5,-1120.36572265625,14.8067,665.33,1082.42,158.2466,5,25000
6,-1226.759033203125,14.3104,671.93,1050.74,157.6935,6,30000
7,-1486.6170654296875,14.9039,752.39,1190.46,157.7454,7,35000
8,-1631.5733642578125,15.2797,876.26,1258.78,158.1025,8,40000
9,-1890.04638671875,15.7844,1002.98,1394.33,157.9811,9,45000
10,-2058.9326171875,15.9158,1098.88,1450.48,157.7928,10,50000
11,-2228.98193359375,15.919,1127.93,1510.74,157.8598,11,55000
12,-2415.128662109375,16.1855,1182.6,1596.17,157.5914,12,60000
13,-2626.15869140625,16.3712,1247.11,1634.13,157.7464,13,65000
14,-2837.811767578125,16.3746,1263.36,1623.71,157.752,14,70000
15,-2977.04638671875,16.1094,1245.27,1666.39,157.8018,15,75000
16,-3275.927734375,16.108,1339.88,1758.85,157.725,16,80000
17,-3434.16015625,16.0147,1314.08,1750.66,157.8182,17,85000
18,-3635.694091796875,15.9369,1350.08,1775.46,157.4316,18,90000
19,-3828.2919921875,15.722,1400.49,1798.54,157.4215,19,95000
20,-4035.10693359375,16.1886,1484.96,1862.99,157.4937,20,100000
21,-4167.97509765625,15.8511,1463.88,1847.29,157.4396,21,105000
22,-4330.10791015625,15.6642,1497.56,1849.01,157.2851,22,110000
23,-4569.54931640625,15.9834,1481.76,1885.39,157.3692,23,115000
24,-4720.98779296875,16.144,1567.72,1914.76,157.3143,24,120000
25,-4952.9052734375,16.2147,1576.83,1965.1,157.3933,25,125000
26,-5124.21044921875,15.9721,1588.36,1965.32,157.2142,26,130000
27,-5315.36669921875,15.7052,1537.89,1952.98,157.4014,27,135000
28,-5495.3310546875,15.9926,1569.63,1960.33,157.3674,28,140000
29,-5638.5927734375,15.6622,1576.52,1967.02,157.2268,29,145000
30,-5848.33203125,15.4104,1570.22,1877.45,157.2821,30,150000
31,-6100.11083984375,15.1615,1562.9,1934.99,157.0538,31,155000
32,-6279.63720703125,15.4593,1614.73,1967.38,157.1249,32,160000
33,-6435.09912109375,15.4802,1556.35,1917.25,157.2578,33,165000
34,-6604.79150390625,15.8594,1644.77,2002.52,157.201,34,170000
35,-6788.01416015625,15.5512,1618.98,2012.09,157.3032,35,175000
36,-6931.0390625,15.5327,1650.3,2041.46,157.1361,36,180000
37,-7073.482421875,15.5555,1542.4,2030.02,157.1345,37,185000
38,-7298.494140625,15.6085,1666.29,2001.71,157.0431,38,190000
39,-7437.54296875,15.6013,1684.6,2071.93,157.0896,39,195000
40,-7658.90478515625,15.6224,1672.79,2057.3,157.1403,40,200000
41,-7805.69580078125,15.8074,1691.08,2051.29,157.0541,41,205000
42,-7941.29296875,15.7783,1700.07,2066.89,157.0109,42,210000
43,-8207.6103515625,15.5289,1692.02,2076.58,156.9754,43,215000
44,-8383.5478515625,15.5048,1691.88,2017.84,156.937,44,220000
45,-8582.005859375,15.5718,1691.03,2098.56,156.9621,45,225000
46,-8750.826171875,15.3906,1694.53,2035.7,156.924,46,230000
47,-8936.263671875,15.4601,1697.63,2054.94,156.886,47,235000
48,-9064.365234375,15.3778,1705.46,2120.13,156.8153,48,240000
49,-9239.3115234375,15.1675,1694.63,2042.36,156.9417,49,245000
50,-9434.4853515625,15.5304,1741.36,2112.14,156.8248,50,250000
51,-9651.89453125,15.6989,1728.38,2100.66,156.904,51,255000
52,-9860.955078125,15.3551,1732.8,2101.81,156.7926,52,260000
53,-10033.8115234375,15.3779,1727.45,2095.39,156.9432,53,265000
54,-10264.8251953125,15.2936,1743.7,2125.87,157.0086,54,270000
55,-10418.044921875,15.7672,1745.87,2130.32,156.8916,55,275000
56,-10693.43359375,15.432,1742.65,2145.48,156.7573,56,280000
57,-10768.3603515625,15.0076,1705.22,2078.69,156.7817,57,285000
58,-11038.0009765625,15.4483,1746.14,2149.24,156.8362,58,290000
59,-11235.55078125,15.478,1762.98,2140.28,156.8649,59,295000
60,-11486.0546875,15.7371,1688.13,2130.4,156.8468,60,300000
61,-11721.1328125,15.7927,1753.71,2108.09,156.9793,61,305000
62,-11838.103515625,15.3791,1755.2,2105.31,156.9442,62,310000
63,-12134.0712890625,15.7837,1750.91,2155.55,157.0025,63,315000
