Reward Loss,Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Itration,Real Det Return,Running Forward KL
45.822330474853516,26.9005,0,0,-69.1,0,520.88,76.0037
39.82527160644531,27.3675,1,5000,-23.08,1,609.8,74.2797
24.313024520874023,27.1034,2,10000,2.72,2,600.77,74.2089
19.55306625366211,28.6624,3,15000,22.66,3,641.07,73.3659
6.876047611236572,29.5752,4,20000,62.72,4,654.3,72.7482
1.2200567722320557,30.7826,5,25000,68.81,5,439.88,73.5042
-19.15445327758789,30.2588,6,30000,66.74,6,410.65,74.9266
-25.451000213623047,31.2739,7,35000,79.18,7,612.46,73.3381
-33.039493560791016,35.1072,8,40000,125.13,8,484.24,73.98
-51.7391357421875,31.5871,9,45000,156.48,9,699.73,73.4271
-60.62279510498047,30.4158,10,50000,85.18,10,715.6,71.9017
-75.0983657836914,31.2111,11,55000,132.26,11,770.78,73.7127
-86.15026092529297,31.5116,12,60000,165.12,12,702.53,73.5249
-97.8695068359375,30.0905,13,65000,155.6,13,728.42,72.2711
-114.21503448486328,30.951,14,70000,144.79,14,829.49,74.0734
-124.10218811035156,30.4964,15,75000,134.19,15,685.27,72.6289
-137.91432189941406,31.4748,16,80000,133.78,16,881.87,73.3799
-144.50039672851562,31.005,17,85000,180.42,17,815.5,71.5719
-158.2377471923828,30.7242,18,90000,122.47,18,725.49,71.4461
-168.61721801757812,30.6047,19,95000,145.03,19,841.4,72.1105
-183.46913146972656,30.8763,20,100000,171.55,20,674.89,73.0706
-195.5489501953125,30.7799,21,105000,187.96,21,789.61,72.1737
-199.685546875,29.9908,22,110000,183.84,22,795.5,69.4589
-216.25982666015625,30.6485,23,115000,197.2,23,691.94,71.502
-233.69236755371094,30.9829,24,120000,190.03,24,775.02,73.377
-237.7379150390625,30.9593,25,125000,154.07,25,857.59,71.5693
-249.98411560058594,30.8578,26,130000,216.48,26,783.95,72.3113
-262.8580017089844,30.3803,27,135000,226.24,27,779.59,72.8071
-279.6643981933594,31.3635,28,140000,165.39,28,675.37,73.3979
-289.4540100097656,30.8525,29,145000,129.84,29,544.06,72.5379
-301.7576599121094,30.69,30,150000,139.05,30,583.39,73.0147
-314.97930908203125,31.342,31,155000,164.31,31,715.14,72.3939
-328.5004577636719,31.4777,32,160000,178.42,32,760.07,72.6912
-337.297607421875,32.0104,33,165000,161.8,33,738.44,72.2188
-353.6767272949219,31.6727,34,170000,99.69,34,686.7,72.6578
-360.8097839355469,30.8118,35,175000,201.12,35,709.86,71.1594
-376.7121276855469,31.6248,36,180000,134.76,36,802.77,71.8614
-397.0435791015625,30.6349,37,185000,173.1,37,615.2,73.8284
-405.4525146484375,29.963,38,190000,157.87,38,524.49,72.1951
-422.39776611328125,31.1682,39,195000,179.42,39,744.67,74.4119
-432.1970520019531,31.0936,40,200000,235.05,40,713.53,72.5478
-443.8520202636719,30.2029,41,205000,139.77,41,528.77,72.8101
-462.2773132324219,31.1243,42,210000,148.74,42,684.74,73.1967
-474.1023864746094,31.0898,43,215000,165.36,43,781.89,73.3825
-478.1927185058594,31.1065,44,220000,187.62,44,690.48,72.1726
-494.1454162597656,30.3472,45,225000,134.31,45,591.35,71.8817
-518.4727783203125,31.1178,46,230000,198.32,46,850.81,73.5108
-533.3580932617188,30.9211,47,235000,203.27,47,616.35,72.612
-536.3421020507812,30.8859,48,240000,245.88,48,600.27,72.4579
-551.02783203125,30.6667,49,245000,185.7,49,525.56,72.8091
-560.3968505859375,29.9089,50,250000,181.99,50,733.39,70.1993
-583.78955078125,30.8913,51,255000,197.33,51,689.71,73.8446
-602.1871948242188,30.371,52,260000,229.11,52,644.85,73.6997
-617.8577270507812,30.5452,53,265000,250.79,53,747.37,72.7583
-639.5597534179688,30.6939,54,270000,216.62,54,828.56,70.86
-654.4850463867188,31.2932,55,275000,169.27,55,696.35,74.783
-660.08447265625,30.3965,56,280000,226.87,56,791.87,72.4424
-677.1530151367188,30.1086,57,285000,227.27,57,779.76,72.0952
-699.7642211914062,31.234,58,290000,187.36,58,841.75,73.5578
-712.6351928710938,30.9656,59,295000,240.62,59,737.68,72.1799
-728.2027587890625,31.5723,60,300000,276.19,60,793.1,73.6739
-731.7384033203125,30.1935,61,305000,256.47,61,752.81,70.6638
-760.9334106445312,31.0033,62,310000,240.73,62,778.77,73.7292
-785.66162109375,30.7032,63,315000,174.04,63,758.72,72.8699
-801.3318481445312,31.4457,64,320000,238.12,64,968.29,73.632
-824.8780517578125,31.14,65,325000,225.51,65,764.07,74.1417
-826.2301635742188,31.1177,66,330000,194.72,66,502.41,73.6653
-848.5859375,31.0133,67,335000,257.85,67,805.79,72.192
-869.8029174804688,30.7177,68,340000,214.59,68,750.77,73.1282
-883.9381713867188,30.7425,69,345000,261.59,69,717.36,73.4924
-911.4564208984375,30.998,70,350000,196.58,70,799.78,73.7698
-906.1700439453125,30.671,71,355000,181.28,71,786.46,71.9146
-924.0724487304688,30.6738,72,360000,175.61,72,630.56,72.4795
-949.14208984375,30.7473,73,365000,251.7,73,782.59,72.4132
-960.5462646484375,30.0629,74,370000,183.29,74,809.64,71.838
-1000.97705078125,31.1018,75,375000,265.07,75,572.13,73.1904
-997.30322265625,29.8525,76,380000,216.93,76,864.91,71.7951
-1046.1485595703125,30.8661,77,385000,256.73,77,932.91,71.8046
-1035.8853759765625,29.9772,78,390000,159.37,78,927.53,72.5622
-1059.3271484375,30.2377,79,395000,188.89,79,646.15,73.0066
-1105.4627685546875,30.5726,80,400000,223.31,80,800.63,73.6492
-1113.3675537109375,30.6181,81,405000,245.57,81,808.04,72.6899
-1138.4571533203125,30.7303,82,410000,239.9,82,962.91,74.2025
-1165.02685546875,30.4023,83,415000,208.31,83,736.11,72.8831
-1157.9407958984375,30.2412,84,420000,274.52,84,772.52,70.7259
-1170.8240966796875,29.9368,85,425000,184.29,85,818.01,70.3506
-1200.783935546875,30.1064,86,430000,215.67,86,762.21,71.4857
-1259.3642578125,30.4436,87,435000,248.12,87,636.3,73.635
-1256.490966796875,30.7714,88,440000,268.8,88,696.66,73.5737
-1296.9278564453125,30.9488,89,445000,255.86,89,838.54,73.3486
-1327.17431640625,31.1798,90,450000,263.98,90,823.39,73.2625
-1313.6214599609375,30.7913,91,455000,255.38,91,745.26,70.5617
-1366.1339111328125,30.7134,92,460000,253.32,92,823.63,71.4731
-1381.673095703125,30.8694,93,465000,286.84,93,870.53,73.2061
-1405.634033203125,30.5846,94,470000,263.49,94,913.82,72.5836
-1431.509521484375,30.5451,95,475000,235.12,95,851.65,72.4716
-1454.70166015625,30.7804,96,480000,276.15,96,859.77,73.0539
-1468.1400146484375,29.5035,97,485000,238.79,97,906.71,71.7893
-1512.39794921875,30.8072,98,490000,267.99,98,802.07,71.9273
-1538.6622314453125,30.722,99,495000,276.45,99,994.44,72.0187
-1577.2183837890625,30.6175,100,500000,235.83,100,862.63,72.7516
