Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss
267.65,0,312.09,49.2311,14.9169,0,0,1132.397705078125
382.88,1,411.64,49.6401,12.8605,1,5000,598.1688232421875
417.42,2,457.2,48.8477,13.6955,2,10000,652.8538208007812
413.89,3,411.79,49.2227,13.9936,3,15000,366.6138610839844
408.83,4,423.0,49.2369,13.6247,4,20000,643.0601196289062
402.85,5,373.86,49.4813,13.4456,5,25000,505.39703369140625
392.75,6,383.97,49.1933,19.7753,6,30000,723.3115844726562
438.26,7,442.23,48.8387,14.5852,7,35000,522.2611083984375
456.66,8,537.87,48.6998,14.2584,8,40000,533.0354614257812
442.04,9,520.31,48.3994,13.7946,9,45000,514.883056640625
552.06,10,570.99,47.7275,15.1804,10,50000,483.6473693847656
528.59,11,640.9,48.0561,16.2865,11,55000,431.14990234375
504.41,12,529.85,48.3467,14.9503,12,60000,353.327880859375
581.91,13,598.65,48.7639,14.0944,13,65000,274.4246826171875
615.78,14,638.13,47.5961,14.5746,14,70000,335.6833190917969
581.2,15,605.02,47.878,14.8873,15,75000,149.64199829101562
614.86,16,613.71,47.985,15.7268,16,80000,164.03091430664062
611.36,17,620.46,48.2157,15.3271,17,85000,72.16261291503906
600.91,18,618.58,47.6208,19.76,18,90000,87.04867553710938
609.19,19,623.17,48.3061,17.3765,19,95000,87.52761840820312
591.3,20,598.91,47.5418,15.8329,20,100000,-39.416141510009766
622.98,21,639.23,46.8883,18.7272,21,105000,-110.47052001953125
638.3,22,605.35,47.1535,22.4947,22,110000,-108.25265502929688
643.38,23,637.44,47.5185,16.4672,23,115000,-370.2314758300781
625.87,24,591.93,47.582,16.2643,24,120000,-550.2640380859375
636.91,25,611.86,47.0298,15.6552,25,125000,-691.2927856445312
665.16,26,798.2,47.5464,15.8549,26,130000,-598.9881591796875
661.23,27,622.27,46.9762,15.5471,27,135000,-595.8875122070312
661.83,28,660.25,47.2978,20.4198,28,140000,-562.3734130859375
647.46,29,679.09,47.2878,19.1012,29,145000,-678.0602416992188
694.03,30,737.34,47.4856,16.1897,30,150000,-767.1456298828125
740.19,31,1014.51,46.8566,19.5805,31,155000,-715.3822631835938
742.63,32,832.68,46.6099,20.7237,32,160000,-935.9651489257812
700.11,33,868.63,46.734,15.2969,33,165000,-1042.932861328125
