Running Reverse KL,Running Env Steps,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss
31.2317,0,0,287.41,286.81,0,32.9728,-1228.6751708984375
50.3286,5000,1,272.39,269.12,1,32.8339,-1378.4525146484375
26.3834,10000,2,317.5,298.6,2,32.5521,-1550.8363037109375
43.2295,15000,3,263.16,262.91,3,31.662,-1428.2269287109375
34.3705,20000,4,281.65,283.7,4,31.2982,-1528.0948486328125
27.3507,25000,5,327.92,311.82,5,30.7666,-1572.1585693359375
43.8919,30000,6,309.68,310.15,6,31.5412,-1671.8782958984375
59.8081,35000,7,309.45,313.64,7,31.5074,-1767.6163330078125
22.9477,40000,8,336.6,327.84,8,29.9875,-1711.41455078125
64.2953,45000,9,375.63,373.76,9,29.4715,-1525.097900390625
23.5352,50000,10,395.45,390.99,10,30.4175,-1771.9029541015625
22.4395,55000,11,392.36,396.06,11,31.0565,-1822.2196044921875
24.0288,60000,12,415.42,404.0,12,30.7309,-1858.4749755859375
28.3008,65000,13,406.31,413.12,13,30.8223,-1900.2313232421875
23.6448,70000,14,395.27,395.62,14,30.2434,-1958.327392578125
22.647,75000,15,498.35,498.45,15,26.887,-1906.8472900390625
39.5929,80000,16,487.87,488.45,16,27.109,-1883.0770263671875
15.295,85000,17,597.5,587.22,17,24.6241,-1726.68212890625
17.6961,90000,18,571.61,567.34,18,26.4898,-1999.0819091796875
18.9691,95000,19,640.65,633.9,19,24.102,-1975.1387939453125
33.1379,100000,20,786.08,836.37,20,24.8611,-1758.43115234375
21.7193,105000,21,857.59,891.06,21,24.2691,-1738.26171875
54.2922,110000,22,776.86,797.6,22,24.4657,-1076.0516357421875
25.2243,115000,23,797.01,838.91,23,24.7998,-1586.17431640625
21.5262,120000,24,1092.75,1130.93,24,25.4204,-1734.46728515625
28.0977,125000,25,1253.68,1240.53,25,22.9663,-1430.8345947265625
16.1672,130000,26,1594.66,1161.17,26,23.5073,-1640.4901123046875
43.3761,135000,27,1085.11,1127.84,27,24.0119,-1505.6571044921875
21.446,140000,28,2896.14,2068.14,28,22.0716,-1426.490234375
15.5631,145000,29,2707.63,2139.97,29,23.5906,-1260.6572265625
20.1991,150000,30,1845.95,1830.32,30,22.8941,-1611.3699951171875
16.8143,155000,31,3022.01,2465.75,31,23.4813,-1344.89111328125
14.0043,160000,32,1993.2,2711.08,32,22.9836,-824.8855590820312
23.5223,165000,33,952.71,2041.72,33,22.9737,-1697.8453369140625
14.0059,170000,34,3062.98,2397.53,34,21.6133,-684.2897338867188
15.0132,175000,35,2181.11,2410.85,35,21.7324,-798.5017700195312
20.0791,180000,36,2159.39,2698.57,36,22.7715,-476.54449462890625
16.3121,185000,37,2773.05,2325.23,37,21.7851,-794.2755737304688
20.2265,190000,38,2557.19,1895.38,38,20.9379,-741.3977661132812
13.205,195000,39,2646.38,2651.93,39,22.598,-894.3926391601562
12.7518,200000,40,3096.21,2899.72,40,21.7982,-595.7877197265625
25.2851,205000,41,2668.59,2322.64,41,21.4535,-780.2141723632812
12.2177,210000,42,3101.72,2906.7,42,21.1955,-679.8480224609375
20.5901,215000,43,2964.51,2307.28,43,21.3372,-1188.74072265625
13.1894,220000,44,3108.68,2995.66,44,22.239,-460.859375
12.5762,225000,45,3106.93,2807.18,45,21.7308,-502.5421447753906
15.7794,230000,46,3097.47,3054.63,46,21.7721,-485.5719909667969
12.867,235000,47,3073.66,3053.24,47,21.8445,-504.0215759277344
13.6724,240000,48,3128.05,3105.58,48,22.3188,-461.2723083496094
13.9149,245000,49,3097.6,2988.91,49,22.7077,-551.366455078125
12.2755,250000,50,3050.56,2510.08,50,20.8881,-506.2947082519531
13.5876,255000,51,3094.65,2788.31,51,21.3021,-633.557861328125
15.2971,260000,52,3134.5,3085.15,52,22.1471,-531.7929077148438
12.6647,265000,53,3127.68,2621.08,53,21.1882,-578.9097290039062
14.4381,270000,54,3092.96,3001.7,54,22.6412,-532.4520874023438
14.497,275000,55,3047.73,3081.11,55,23.0277,-625.854736328125
14.0207,280000,56,3118.87,3090.33,56,22.257,-548.275390625
14.9783,285000,57,3059.86,3065.81,57,23.1887,-621.1752319335938
13.9825,290000,58,3112.63,2932.15,58,21.598,-725.2374267578125
16.8968,295000,59,3144.56,2895.23,59,21.4307,-629.6724853515625
13.1619,300000,60,3069.41,2921.1,60,21.738,-553.058349609375
12.9954,305000,61,3124.22,2901.37,61,21.0578,-575.8576049804688
13.6601,310000,62,3106.99,3105.87,62,21.851,-603.1245727539062
15.7396,315000,63,3157.22,3073.2,63,21.6709,-715.1283569335938
13.9908,320000,64,3105.53,3087.95,64,22.2411,-661.5298461914062
13.3269,325000,65,3128.14,2866.05,65,21.1196,-679.0577392578125
12.4662,330000,66,3137.78,2362.09,66,21.2173,-1190.0
13.5183,335000,67,3096.87,3044.74,67,21.5046,-604.8772583007812
16.7018,340000,68,3097.67,2472.92,68,21.6751,-1225.6875
14.9918,345000,69,3154.9,2026.61,69,21.1176,-819.5863647460938
15.5565,350000,70,3141.85,3137.78,70,22.9105,-690.2984619140625
13.9702,355000,71,3105.57,3101.74,71,22.1361,-686.0416259765625
13.4643,360000,72,3139.59,3122.13,72,21.4455,-679.1377563476562
14.2523,365000,73,3134.18,2718.65,73,21.4593,-745.1410522460938
15.3736,370000,74,3167.32,3060.1,74,22.6027,-702.5653686523438
14.5921,375000,75,3143.94,3091.43,75,22.0419,-779.9837036132812
15.1182,380000,76,3150.2,3131.13,76,22.541,-775.9866333007812
12.9012,385000,77,3128.79,3016.89,77,20.9803,-880.8309936523438
13.5558,390000,78,3125.99,3038.97,78,21.0399,-809.1110229492188
13.7211,395000,79,3119.11,2753.23,79,21.9411,-782.2173461914062
14.9319,400000,80,3124.82,3128.28,80,22.0539,-813.4158325195312
13.5869,405000,81,3147.02,3037.37,81,21.4974,-750.77490234375
14.7819,410000,82,3140.09,3140.64,82,22.148,-850.5517578125
16.4833,415000,83,3184.89,3105.52,83,20.5685,-848.2046508789062
13.1445,420000,84,3151.61,3099.06,84,20.8885,-872.3817138671875
16.0523,425000,85,3147.93,3105.98,85,21.1582,-896.82861328125
13.2187,430000,86,3167.31,3147.74,86,21.0371,-867.3560180664062
12.8317,435000,87,3135.6,3045.35,87,20.5783,-848.6913452148438
12.92,440000,88,3115.48,3037.51,88,21.1922,-913.5338134765625
20.3467,445000,89,3156.48,2797.99,89,20.755,-1058.538330078125
12.9799,450000,90,3162.91,3030.52,90,20.7668,-943.4141235351562
13.3289,455000,91,3174.22,2888.57,91,21.5638,-1040.1468505859375
14.0199,460000,92,3124.7,3117.59,92,21.9784,-951.8682861328125
15.0495,465000,93,3139.44,3049.02,93,21.068,-951.8361206054688
14.1003,470000,94,3176.72,3169.96,94,21.5957,-932.7396240234375
13.4396,475000,95,3122.43,3053.19,95,21.5215,-1024.979248046875
14.2314,480000,96,3131.82,3115.55,96,22.1821,-1039.72119140625
14.5427,485000,97,3116.24,2870.0,97,22.3673,-1031.3946533203125
15.6852,490000,98,3142.46,3135.34,98,22.7649,-1149.158447265625
13.7372,495000,99,3142.43,2856.65,99,21.7474,-960.8412475585938
15.3425,500000,100,3161.68,2720.78,100,21.1687,-1397.319091796875
14.5736,505000,101,3138.17,3127.65,101,22.185,-1046.298583984375
13.1753,510000,102,3124.36,3051.86,102,21.1255,-1059.082275390625
13.6302,515000,103,3172.74,3043.76,103,21.5077,-1133.674072265625
14.1488,520000,104,3179.91,3144.29,104,21.9149,-1080.961181640625
14.0969,525000,105,3134.18,3116.58,105,21.657,-1040.199462890625
17.6924,530000,106,3159.66,2952.72,106,21.5424,-1302.28125
14.8019,535000,107,3141.4,3139.44,107,22.4231,-1163.43359375
13.9416,540000,108,3178.86,3169.68,108,21.5074,-1017.5771484375
13.37,545000,109,3113.59,3050.05,109,21.6669,-1183.1231689453125
14.947,550000,110,3177.03,3164.29,110,22.1761,-1095.37060546875
16.9042,555000,111,3183.76,2885.21,111,20.956,-1514.8370361328125
13.0028,560000,112,3140.25,2923.88,112,21.031,-1119.21875
16.3777,565000,113,3203.6,3057.91,113,21.0443,-1373.51611328125
12.7781,570000,114,3194.11,2954.82,114,20.9637,-1503.554443359375
13.8402,575000,115,3150.71,3045.68,115,21.8667,-1272.7119140625
14.7164,580000,116,3163.53,3169.27,116,21.5858,-1251.3531494140625
14.4508,585000,117,3160.27,3110.83,117,22.0537,-1180.67919921875
14.2368,590000,118,3170.66,3045.09,118,21.7797,-1370.7730712890625
13.5864,595000,119,3187.71,2970.99,119,21.5444,-1296.1981201171875
14.467,600000,120,3220.7,2756.31,120,20.8735,-1414.087158203125
13.6411,605000,121,3171.59,2843.84,121,21.0225,-1596.33642578125
18.1554,610000,122,3217.25,2903.38,122,20.531,-1602.068115234375
17.2824,615000,123,3195.53,2545.83,123,20.9288,-1630.99658203125
13.5329,620000,124,3164.45,3079.22,124,21.1992,-1329.177978515625
13.29,625000,125,3190.17,2618.98,125,21.2234,-1409.478759765625
21.8972,630000,126,3208.41,2804.49,126,20.9439,-1514.7882080078125
15.5959,635000,127,3185.09,3143.04,127,22.1058,-1443.439453125
20.4948,640000,128,3004.62,2027.02,128,20.4898,-2178.9208984375
14.0012,645000,129,3210.58,3121.16,129,21.7392,-1315.9522705078125
13.5969,650000,130,3199.27,3173.96,130,20.7473,-1279.7781982421875
22.2446,655000,131,3206.98,2367.39,131,20.4612,-1718.14111328125
15.8011,660000,132,3225.02,3138.94,132,22.2053,-1358.1046142578125
22.8775,665000,133,3191.7,2790.94,133,21.1262,-1799.658935546875
17.8777,670000,134,3199.97,2357.15,134,21.4539,-2108.5361328125
14.1991,675000,135,3174.33,3088.11,135,21.8605,-1357.3502197265625
14.7145,680000,136,3210.68,3177.45,136,21.1352,-1502.028564453125
18.286,685000,137,3204.69,3106.28,137,21.7776,-1655.338134765625
17.2963,690000,138,3195.15,3186.11,138,21.1175,-1551.3797607421875
15.2267,695000,139,3167.2,3166.62,139,22.9982,-1533.888916015625
14.3375,700000,140,3153.01,3144.96,140,22.6418,-1498.6434326171875
14.3419,705000,141,3126.11,3122.1,141,22.3733,-1472.113037109375
26.0089,710000,142,3238.03,2802.92,142,21.6725,-1858.179443359375
13.7582,715000,143,3187.01,3177.18,143,21.4549,-1522.019775390625
14.9433,720000,144,3179.44,3115.03,144,22.5453,-1556.87060546875
14.363,725000,145,3194.68,2965.99,145,21.5656,-1771.553955078125
14.8328,730000,146,3179.73,3137.75,146,22.391,-1646.2696533203125
15.5739,735000,147,3170.96,3154.48,147,23.1255,-1605.02587890625
15.2519,740000,148,3165.81,3166.94,148,22.4657,-1706.8338623046875
14.4093,745000,149,3196.1,3156.15,149,21.5673,-1584.23974609375
14.8893,750000,150,3222.79,2901.32,150,20.9331,-1636.8167724609375
19.6803,755000,151,3192.44,3097.95,151,20.5669,-1769.710693359375
