Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
240000,48,106.1754,976.53,-4135.84033203125,976.59,48,37.5369
245000,49,144.4221,978.52,-4166.8583984375,978.31,49,37.562
250000,50,19.7774,357.3,-3669.02978515625,338.46,50,30.6701
255000,51,63.1512,794.04,-4180.21240234375,914.15,51,34.2912
260000,52,79.3636,1022.3,-4352.1455078125,1022.13,52,35.542
265000,53,35.3225,1101.64,-3915.42333984375,1103.58,53,34.9991
270000,54,85.9335,1017.02,-4485.85888671875,1017.59,54,34.9302
275000,55,26.8873,176.1,-4033.087158203125,177.29,55,34.5644
280000,56,57.5791,1016.91,-4404.677734375,1017.95,56,36.3511
285000,57,91.5172,1038.19,-4739.09033203125,1038.23,57,36.1334
290000,58,42.1777,63.96,-3480.59521484375,64.03,58,28.6332
295000,59,97.6506,59.81,-4616.22216796875,59.87,59,33.4182
300000,60,48.3035,987.5,-4709.93212890625,989.77,60,34.847
305000,61,122.2302,1040.11,-4890.1044921875,1040.07,61,35.2537
310000,62,104.7232,1047.3,-4850.55859375,1047.6,62,33.6549
315000,63,94.3829,980.64,-4962.74462890625,980.14,63,35.1453
320000,64,150.6206,538.52,-5360.275390625,726.04,64,33.9189
325000,65,140.6837,282.26,-5349.93701171875,282.35,65,33.4324
330000,66,148.4496,263.06,-5705.78369140625,263.56,66,34.675
335000,67,152.2208,219.62,-5759.88671875,220.48,67,35.9048
340000,68,112.5411,1010.13,-5325.59716796875,996.97,68,36.0136
345000,69,104.0774,1026.9,-5242.279296875,1026.99,69,36.9318
350000,70,143.2772,1019.94,-5247.67578125,1020.17,70,36.9253
355000,71,146.154,1024.58,-5252.88330078125,1024.49,71,35.8616
360000,72,59.5952,1030.87,-5218.7470703125,1034.04,72,35.4754
365000,73,47.3005,1027.88,-5243.5654296875,1019.8,73,34.1336
370000,74,46.6883,1052.99,-5448.54248046875,1057.37,74,34.6693
375000,75,81.0874,1043.83,-5782.2041015625,1043.82,75,35.1255
380000,76,70.0356,1008.45,-5553.31494140625,1009.78,76,35.7536
385000,77,89.0126,1007.56,-5789.56103515625,1007.44,77,38.8425
390000,78,88.3961,1013.51,-5717.8232421875,1014.23,78,34.9166
395000,79,52.8628,303.3,-5266.5078125,303.29,79,33.337
400000,80,42.2078,83.13,-5187.3193359375,82.58,80,31.6871
405000,81,228.6312,3.48,-6439.2119140625,3.52,81,39.3988
410000,82,146.5067,1008.99,-6131.2646484375,1008.84,82,39.0071
415000,83,58.1217,300.09,-5850.97265625,299.43,83,33.9575
420000,84,117.5413,1047.38,-6273.1572265625,1047.4,84,35.0913
425000,85,52.8163,509.42,-6083.38134765625,511.44,85,34.7035
430000,86,89.4762,1002.1,-6497.46533203125,1001.85,86,38.9825
435000,87,48.2144,276.39,-5888.91650390625,275.94,87,31.5402
440000,88,39.0464,300.57,-5807.48681640625,300.42,88,31.4912
445000,89,35.167,591.41,-6009.8779296875,624.26,89,32.4654
450000,90,117.0171,298.84,-6459.17822265625,298.82,90,33.1603
455000,91,63.7862,1040.97,-6873.21484375,1040.37,91,36.2043
460000,92,75.2117,1045.28,-6846.60400390625,1045.32,92,35.9534
465000,93,134.083,1042.59,-6974.1337890625,1043.06,93,35.3586
470000,94,45.3486,758.23,-6878.2001953125,855.73,94,34.6195
475000,95,31.7923,743.39,-6321.609375,610.26,95,32.1737
