Running Update Time,Itration,Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps
0,0,263.467,310.0,716.3861694335938,326.19,446.8928,0
1,1,261.506,332.95,1839.07177734375,280.05,446.8157,5000
2,2,251.1843,393.55,725.8309326171875,355.43,430.4214,10000
3,3,262.2442,377.86,1142.5054931640625,337.17,433.881,15000
4,4,247.6689,472.44,663.05078125,426.03,438.9356,20000
5,5,272.5408,459.94,510.3443908691406,393.2,433.4895,25000
6,6,290.5131,391.96,-76.27033996582031,427.35,437.5331,30000
7,7,290.5774,418.47,-233.906982421875,410.83,439.841,35000
8,8,300.7925,503.51,-479.13134765625,397.82,431.0445,40000
9,9,273.9461,461.27,-482.3879089355469,440.5,411.5614,45000
10,10,248.4538,482.02,-1199.501708984375,553.0,397.3825,50000
11,11,248.6681,494.14,-645.48291015625,633.47,394.3505,55000
12,12,268.1754,484.16,-1416.21337890625,530.66,419.8943,60000
13,13,248.5121,554.98,-1359.5181884765625,572.89,410.9251,65000
14,14,250.2517,522.38,-1595.904052734375,488.76,406.1102,70000
15,15,246.3347,545.03,-1670.81884765625,720.34,394.3126,75000
16,16,266.1322,528.74,-2049.41845703125,814.12,401.775,80000
17,17,260.8369,544.04,-2493.79833984375,610.85,406.0514,85000
18,18,258.0856,523.91,-2475.69287109375,517.45,412.3493,90000
19,19,257.152,607.0,-2682.464599609375,568.21,384.5582,95000
20,20,255.9173,621.46,-3028.576416015625,479.36,410.0551,100000
21,21,264.8878,591.8,-2896.288818359375,644.75,399.4031,105000
22,22,252.9959,548.72,-3375.54638671875,579.56,402.2067,110000
23,23,256.6797,599.89,-3658.03564453125,600.5,402.471,115000
24,24,252.2284,700.55,-3594.674072265625,535.24,388.122,120000
25,25,240.5675,726.27,-3936.0888671875,657.34,396.6531,125000
26,26,270.5944,619.09,-4269.669921875,482.07,402.0405,130000
27,27,225.939,697.23,-3478.458740234375,561.39,394.957,135000
28,28,242.5723,612.25,-4127.94287109375,720.87,396.1308,140000
29,29,239.3679,677.54,-3962.550048828125,440.64,379.4601,145000
30,30,239.1328,681.99,-3773.992919921875,606.44,387.9484,150000
31,31,232.1679,714.85,-4008.2626953125,483.15,387.5326,155000
32,32,245.5596,785.0,-4216.7666015625,530.65,383.5745,160000
33,33,236.5063,750.9,-4309.2470703125,403.62,391.7112,165000
34,34,253.7227,742.41,-4767.31396484375,492.68,386.7297,170000
35,35,234.7411,831.53,-4782.36572265625,853.53,380.1863,175000
36,36,231.626,876.07,-4764.5732421875,614.43,375.9609,180000
37,37,226.8229,916.33,-4714.2900390625,772.94,376.0645,185000
38,38,214.6774,827.43,-4757.669921875,591.24,379.0752,190000
39,39,219.2242,991.88,-4862.71826171875,515.54,371.4013,195000
40,40,215.7247,834.0,-5968.2373046875,722.72,390.6324,200000
41,41,207.1109,906.87,-5525.51220703125,555.59,363.9806,205000
42,42,221.247,790.15,-6063.53173828125,520.35,393.6054,210000
43,43,206.9441,1180.54,-5058.69189453125,778.34,361.1138,215000
44,44,210.6953,1620.47,-5745.4140625,725.01,366.0251,220000
45,45,213.3111,1044.1,-6245.0927734375,673.92,375.3276,225000
46,46,219.0177,1639.62,-6122.59228515625,777.53,381.109,230000
47,47,182.0281,2613.74,-4840.9853515625,837.31,360.9597,235000
48,48,213.9586,1124.67,-6255.19189453125,677.04,383.4935,240000
49,49,193.7294,1676.16,-5759.0126953125,722.96,366.7119,245000
50,50,230.3158,1000.91,-6645.5869140625,940.42,391.8468,250000
51,51,213.6116,1843.97,-6515.69189453125,974.49,368.57,255000
52,52,232.7884,1001.53,-7258.82373046875,799.05,378.8573,260000
53,53,176.7131,1810.77,-5317.67041015625,938.05,349.9668,265000
54,54,180.1653,2182.61,-5897.8251953125,780.99,345.7082,270000
55,55,207.2023,2369.33,-6204.97607421875,1105.94,355.6337,275000
56,56,214.8636,1487.38,-6597.669921875,968.0,364.5278,280000
57,57,170.2302,3024.43,-5048.8310546875,1252.13,348.3383,285000
58,58,157.7049,2857.52,-3546.151123046875,1166.26,334.0964,290000
59,59,175.2171,3324.0,-5175.064453125,1200.56,344.9862,295000
60,60,171.1611,3252.97,-5773.49853515625,1085.94,345.5215,300000
61,61,176.1701,2433.9,-5544.62255859375,1967.98,350.1159,305000
62,62,156.2908,3444.48,-3240.39697265625,1604.24,336.7282,310000
63,63,166.7148,3032.45,-5206.2958984375,1184.66,349.5491,315000
64,64,151.9263,2489.39,-4475.44091796875,1696.78,344.7178,320000
65,65,158.8483,3436.16,-4894.1884765625,1913.51,345.6185,325000
66,66,193.022,1414.38,-7588.43310546875,1140.25,367.017,330000
67,67,195.6303,2267.84,-7516.0,919.86,370.0573,335000
68,68,217.9172,1843.11,-8199.142578125,950.99,377.7371,340000
69,69,147.6355,3680.93,-3625.086669921875,2767.27,347.8095,345000
70,70,186.2916,1854.86,-7037.41748046875,1268.79,357.8733,350000
71,71,174.7774,2828.93,-6016.21728515625,1072.49,352.8064,355000
72,72,178.1853,3510.3,-6091.181640625,1942.56,345.9702,360000
73,73,137.8905,3934.97,-3905.533203125,1634.18,337.1503,365000
74,74,185.1209,2984.81,-7263.32275390625,1736.83,353.3948,370000
75,75,198.5053,3298.29,-6640.87060546875,1751.21,358.7205,375000
76,76,156.8316,4285.27,-4364.9580078125,1979.74,340.4769,380000
77,77,148.6909,3352.37,-4642.37890625,1951.47,342.5029,385000
78,78,166.3217,2749.73,-6413.85009765625,1189.13,349.602,390000
79,79,155.4754,2900.42,-5167.30712890625,2002.65,339.0945,395000
80,80,176.8111,3246.02,-6606.99755859375,1448.43,348.4409,400000
81,81,205.3473,2382.15,-7655.93994140625,1652.0,352.5931,405000
82,82,148.2336,3236.22,-5289.85302734375,2228.61,336.3151,410000
83,83,179.5179,2922.36,-7639.37646484375,1281.16,349.7517,415000
84,84,161.7584,2653.95,-6587.77197265625,1506.41,340.4035,420000
85,85,146.8858,4501.85,-4634.07421875,2617.39,332.7453,425000
86,86,156.4471,3496.87,-6675.69970703125,1034.78,342.8228,430000
87,87,153.8058,4616.54,-5265.6552734375,2746.07,338.276,435000
88,88,159.751,4206.67,-5835.724609375,1491.91,339.1642,440000
89,89,145.9739,4462.15,-5840.3427734375,2290.14,329.3444,445000
90,90,147.7206,4510.43,-4912.79248046875,2918.82,329.474,450000
91,91,143.5943,4674.48,-4955.01416015625,1485.21,330.7909,455000
92,92,149.2147,4283.13,-5368.2802734375,3012.25,335.8334,460000
93,93,157.3909,4463.46,-6276.50927734375,4015.74,335.6886,465000
94,94,152.4217,4481.82,-6016.9580078125,3934.86,330.7394,470000
95,95,164.1458,4551.52,-6282.013671875,4677.29,337.8005,475000
96,96,148.9883,4447.64,-6285.94970703125,4204.47,336.4548,480000
97,97,210.276,2263.9,-9137.9296875,3127.2,350.4925,485000
98,98,146.9448,4644.37,-5763.59228515625,3209.95,326.4786,490000
99,99,144.7552,4385.76,-5780.58935546875,4454.71,319.3602,495000
100,100,150.0406,4719.74,-6216.22216796875,4548.41,329.5733,500000
101,101,143.8433,4733.51,-5970.279296875,4215.16,317.5127,505000
102,102,154.5576,4342.88,-6464.61865234375,2894.73,325.2472,510000
103,103,154.5675,4637.08,-6832.21826171875,4467.6,329.5235,515000
104,104,163.4082,3859.1,-7728.8740234375,1098.0,330.9923,520000
105,105,152.3713,4273.33,-7060.02490234375,4307.18,321.8181,525000
106,106,159.9158,4373.37,-7990.24609375,2827.48,338.5034,530000
107,107,146.7811,4461.38,-7221.20654296875,4503.56,330.4849,535000
108,108,145.6749,4701.33,-7042.14306640625,4516.72,323.8052,540000
109,109,167.9432,3921.29,-7856.330078125,1687.06,335.9122,545000
110,110,151.9251,4592.11,-7532.51220703125,4538.6,332.495,550000
111,111,150.4077,4881.29,-7322.826171875,3760.21,318.548,555000
112,112,142.3976,4895.36,-7810.3623046875,4548.16,319.9624,560000
113,113,139.6088,4988.68,-7764.33984375,4707.67,317.2338,565000
114,114,143.8801,4776.07,-8177.849609375,4350.87,319.7382,570000
115,115,142.0182,4898.17,-7926.8154296875,4898.24,318.6779,575000
116,116,142.4279,4829.68,-8261.3994140625,4910.58,311.7889,580000
117,117,137.723,4873.39,-8115.00244140625,4692.7,312.7444,585000
118,118,144.1157,4759.24,-8851.705078125,4802.0,325.6106,590000
119,119,136.1157,4863.39,-8594.51953125,4672.96,316.1972,595000
120,120,145.9463,4721.23,-8961.66015625,4534.21,315.5412,600000
121,121,137.4835,4455.87,-9069.5283203125,4522.61,327.4163,605000
122,122,143.4976,4119.73,-9350.6357421875,4492.68,332.3601,610000
123,123,152.6952,4926.72,-9532.1484375,4729.29,324.5315,615000
124,124,146.6317,4865.06,-9683.3388671875,4187.7,323.2209,620000
125,125,138.0114,4787.12,-9339.123046875,4515.75,312.9679,625000
126,126,159.3884,4863.52,-10205.759765625,4579.31,329.0528,630000
127,127,160.7942,4797.22,-10589.3349609375,4607.12,334.0017,635000
128,128,178.27,3263.38,-11329.5966796875,4073.29,333.1669,640000
129,129,144.0625,4832.5,-10168.37109375,4467.48,323.6891,645000
130,130,151.1458,4769.9,-10519.8974609375,4511.96,322.0514,650000
131,131,145.0165,4863.69,-10646.4921875,4566.56,323.4827,655000
132,132,147.6985,4942.74,-10727.7451171875,3238.29,320.8367,660000
133,133,131.8493,3667.96,-10693.2822265625,4516.24,314.2722,665000
134,134,143.0521,4135.71,-11350.19921875,3052.82,320.8152,670000
135,135,147.3397,4718.06,-11720.048828125,4487.18,332.4685,675000
136,136,134.3016,4904.93,-11157.568359375,4632.4,314.0192,680000
137,137,146.1308,4701.36,-11782.150390625,4353.53,332.569,685000
138,138,165.2975,3481.18,-12300.5361328125,4436.73,343.1311,690000
139,139,141.6115,4454.38,-12158.1083984375,4489.76,324.7661,695000
140,140,141.8934,4513.82,-11944.861328125,4434.38,326.6981,700000
141,141,127.001,3479.27,-11859.51953125,4611.94,313.0994,705000
142,142,136.645,4852.88,-12453.51953125,4570.84,326.7725,710000
143,143,141.6196,4853.74,-12299.4560546875,4362.87,317.1963,715000
144,144,143.2815,4877.98,-12760.17578125,4577.37,325.1717,720000
145,145,124.8245,4562.96,-12124.6884765625,4374.82,307.486,725000
146,146,126.9885,4008.83,-12235.46875,4180.64,314.7329,730000
147,147,145.2255,4696.79,-13114.0341796875,4522.85,323.8055,735000
148,148,147.7676,4855.39,-13273.458984375,4644.18,320.7009,740000
149,149,136.7592,4129.82,-13283.3916015625,4518.53,322.4641,745000
150,150,142.8049,4973.79,-13174.3740234375,3293.87,315.7254,750000
151,151,139.9756,4661.99,-13349.5400390625,4452.99,312.9925,755000
152,152,139.4382,4713.31,-13849.1201171875,4545.06,317.7829,760000
153,153,132.0936,4565.52,-13770.30078125,4451.27,321.2734,765000
154,154,146.8606,4829.53,-13885.8779296875,4486.29,322.0707,770000
155,155,154.1646,4731.73,-14241.9755859375,3795.78,327.1373,775000
156,156,144.0258,4876.19,-13949.9873046875,4520.11,320.6201,780000
157,157,142.6617,4502.44,-14857.8935546875,4549.99,330.0386,785000
158,158,133.1474,4622.27,-14212.734375,4821.09,312.8933,790000
159,159,137.7664,4861.08,-14782.64453125,4563.38,323.5434,795000
160,160,141.514,4655.73,-14358.98828125,4802.21,314.8491,800000
161,161,138.2027,4180.18,-15011.4248046875,4523.7,329.0444,805000
162,162,138.9038,4824.18,-15252.3193359375,4859.51,323.957,810000
163,163,148.2191,4475.41,-15068.08984375,4690.03,329.8611,815000
164,164,135.5804,4532.88,-15352.6533203125,4475.24,326.9558,820000
165,165,140.9524,4698.07,-15393.0244140625,4540.89,324.167,825000
166,166,136.2883,4400.23,-15402.0556640625,4591.51,322.9328,830000
167,167,121.7375,4682.13,-15119.5625,4769.85,311.7435,835000
168,168,143.5926,4240.26,-15673.1533203125,4795.78,324.4152,840000
169,169,130.8022,4376.82,-15591.56640625,4623.11,318.5747,845000
170,170,135.9872,4873.69,-15893.88671875,4698.96,318.7034,850000
171,171,139.4552,4688.13,-16238.5771484375,4756.41,325.8048,855000
172,172,131.8461,4764.11,-15935.4619140625,4768.12,310.9076,860000
173,173,131.9861,4687.99,-15936.525390625,4950.88,310.4615,865000
174,174,132.5175,4933.12,-15906.5595703125,4592.52,308.3389,870000
175,175,129.8307,4307.49,-16046.447265625,4606.45,318.0668,875000
176,176,134.3613,4897.67,-16043.69140625,4831.51,316.9772,880000
177,177,125.03,4943.54,-16079.2333984375,4763.11,314.8258,885000
178,178,130.1095,4838.29,-16030.3271484375,4378.1,311.9281,890000
179,179,125.9231,4878.22,-16530.44921875,4981.22,312.1513,895000
180,180,137.0029,4978.94,-16507.681640625,3936.32,318.5959,900000
181,181,132.595,4879.69,-16565.330078125,4715.56,318.831,905000
182,182,125.4257,4640.46,-16617.888671875,4669.13,320.0979,910000
183,183,124.6226,4733.84,-16599.357421875,4412.77,314.5653,915000
184,184,125.7354,4907.51,-16651.478515625,4736.46,316.1014,920000
185,185,122.737,4973.23,-16502.232421875,4985.02,307.2351,925000
186,186,125.8725,4649.54,-16817.890625,4844.32,316.9054,930000
187,187,129.9346,4685.68,-16634.787109375,4747.23,316.6878,935000
188,188,132.9642,4896.99,-16988.625,4629.82,317.8169,940000
189,189,133.317,4971.01,-16793.5625,4869.78,315.7021,945000
190,190,135.379,4105.88,-16986.8046875,3717.2,327.8473,950000
191,191,132.748,4804.75,-17144.21484375,4792.72,318.2132,955000
192,192,131.2945,4407.48,-17231.833984375,4418.26,321.4583,960000
193,193,133.3276,4753.41,-17325.50390625,4616.36,319.6158,965000
194,194,135.0875,4733.85,-17654.337890625,4573.24,324.6975,970000
195,195,124.9347,4597.27,-17058.0703125,4709.36,306.2726,975000
196,196,123.4092,4259.09,-17247.755859375,5007.85,315.2002,980000
197,197,135.4731,4865.9,-17706.615234375,3754.9,319.4876,985000
198,198,127.2732,4785.1,-17649.2109375,4730.55,321.0132,990000
199,199,130.5957,4905.19,-17225.69921875,4708.45,314.146,995000
