Running Forward KL,Running Env Steps,Itration,Real Det Return,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return
32.6196,0,0,230.6,28.6547,0,343.9888000488281,222.19
30.6893,5000,1,248.66,31.7884,1,267.95111083984375,250.62
29.4679,10000,2,338.46,106.0008,2,650.5642700195312,317.56
29.6861,15000,3,357.69,78.7623,3,632.11279296875,352.17
29.6725,20000,4,353.6,69.2821,4,549.831298828125,349.56
27.9223,25000,5,410.53,148.4456,5,481.5740051269531,407.74
27.6794,30000,6,827.82,87.34,6,448.7220764160156,619.12
27.8134,35000,7,403.1,85.8455,7,417.24383544921875,443.58
27.3208,40000,8,426.3,107.5568,8,315.33441162109375,448.72
28.0671,45000,9,383.45,123.1382,9,225.7433319091797,360.23
25.6039,50000,10,614.33,47.0145,10,117.29705810546875,589.46
27.2327,55000,11,673.27,121.695,11,100.1866683959961,678.43
26.468,60000,12,703.53,106.2794,12,69.95098876953125,694.04
26.1773,65000,13,897.2,50.4361,13,57.53915023803711,818.03
24.0598,70000,14,1967.11,36.3722,14,-51.473270416259766,998.07
23.138,75000,15,1671.97,47.0647,15,-56.22951126098633,1226.32
22.8326,80000,16,1964.42,57.4453,16,-101.15196228027344,1305.85
22.2888,85000,17,3054.67,38.1774,17,-65.63504791259766,1566.79
22.6235,90000,18,2940.75,30.4547,18,-129.58294677734375,1856.98
23.4123,95000,19,2863.66,31.4509,19,-102.9896240234375,1739.35
22.7249,100000,20,3014.14,34.2705,20,-134.27053833007812,1444.75
22.1986,105000,21,2949.13,13.5327,21,-44.43843078613281,2861.63
21.598,110000,22,3045.29,13.4152,22,-15.22022819519043,2993.7
21.9182,115000,23,2862.73,11.9498,23,-55.73359680175781,2569.6
21.3719,120000,24,2971.5,12.3974,24,-32.521827697753906,2991.35
21.054,125000,25,3139.83,13.0054,25,-29.30967140197754,3191.04
22.4066,130000,26,2444.07,36.5667,26,-259.5689697265625,1679.12
20.6914,135000,27,3165.13,14.189,27,-56.08580017089844,3040.22
21.0886,140000,28,3184.57,14.7607,28,-74.74590301513672,3096.81
20.5168,145000,29,3248.31,13.7485,29,-112.46870422363281,2528.86
21.7183,150000,30,3220.23,14.4318,30,-138.79383850097656,2645.43
21.6007,155000,31,3191.06,13.0118,31,-64.61215209960938,3151.17
21.5582,160000,32,3260.66,25.0695,32,-225.14266967773438,2178.29
20.0953,165000,33,3289.71,12.5005,33,-59.87535095214844,3114.39
21.7736,170000,34,1998.36,29.0769,34,-299.69183349609375,1623.17
21.3226,175000,35,3276.09,19.7587,35,-177.28236389160156,2436.49
21.1,180000,36,3289.96,17.3379,36,-130.44100952148438,2469.46
22.2102,185000,37,3146.58,22.9726,37,-258.0272216796875,1985.64
20.5964,190000,38,3360.99,15.3594,38,-146.4287567138672,2704.08
21.1972,195000,39,3354.6,29.9716,39,-249.16647338867188,3069.74
20.477,200000,40,3345.58,13.0173,40,-142.6215362548828,2597.87
20.0814,205000,41,3366.43,11.6193,41,-116.3296127319336,3331.73
21.5892,210000,42,3361.23,12.3141,42,-143.27577209472656,2430.82
21.0227,215000,43,3337.12,14.7603,43,-139.48272705078125,2873.34
21.2629,220000,44,3351.16,29.1769,44,-348.9058837890625,2267.13
20.0415,225000,45,696.11,11.1201,45,-160.5093994140625,1156.55
21.1897,230000,46,3380.24,24.4011,46,-358.6518249511719,2171.72
21.1314,235000,47,3456.92,18.2708,47,-286.0137939453125,2916.72
21.0551,240000,48,3435.34,18.0626,48,-269.4888610839844,2850.31
20.718,245000,49,3385.98,19.5787,49,-248.4456787109375,3315.32
20.8944,250000,50,3252.67,19.8168,50,-229.25778198242188,3356.42
21.6194,255000,51,3452.61,45.1498,51,-511.10272216796875,2350.6
19.1364,260000,52,3142.26,10.7813,52,-176.97254943847656,3232.4
19.9917,265000,53,3340.25,13.6047,53,-233.8387451171875,2773.64
21.3864,270000,54,3351.6,27.2437,54,-398.3028869628906,2517.37
20.1626,275000,55,3268.79,18.8813,55,-249.18414306640625,3040.31
19.8548,280000,56,3226.95,12.4599,56,-231.54522705078125,3239.87
20.3568,285000,57,3355.96,19.6007,57,-414.0495910644531,2777.77
19.4141,290000,58,3261.61,15.3593,58,-265.4786376953125,3090.5
19.4282,295000,59,3257.87,11.2821,59,-206.74649047851562,3197.46
20.331,300000,60,3314.41,12.8456,60,-315.3963928222656,3085.59
19.9411,305000,61,3322.94,12.3231,61,-262.82220458984375,3394.74
20.3938,310000,62,3397.99,11.8389,62,-206.83909606933594,3011.36
20.1129,315000,63,3415.08,14.8894,63,-373.5557861328125,3415.14
20.482,320000,64,3459.32,18.8391,64,-393.9588928222656,3229.66
20.4292,325000,65,3418.56,24.5329,65,-456.0880432128906,2562.0
20.3363,330000,66,3444.5,18.8496,66,-432.2413024902344,2707.56
20.2747,335000,67,3323.11,17.3889,67,-365.7462158203125,3204.71
21.0966,340000,68,3433.19,20.8076,68,-494.533935546875,2839.65
20.7348,345000,69,3427.86,14.6478,69,-352.4236145019531,3198.03
19.4385,350000,70,3359.99,11.4763,70,-296.51800537109375,3370.14
19.1559,355000,71,3390.07,11.3982,71,-313.070068359375,3194.46
20.8953,360000,72,3484.13,16.2487,72,-527.828125,3004.34
19.4423,365000,73,3410.06,10.7453,73,-366.83953857421875,2547.05
19.937,370000,74,3424.98,11.7575,74,-349.7131652832031,3324.76
19.9221,375000,75,3411.83,20.9227,75,-626.7581787109375,3316.38
19.4995,380000,76,3391.33,12.2346,76,-444.46612548828125,2842.54
19.88,385000,77,3476.47,21.2255,77,-619.9625854492188,3246.62
20.6961,390000,78,3477.26,12.0763,78,-454.7036437988281,3314.72
19.4908,395000,79,3456.9,11.5684,79,-414.2470703125,3369.44
20.4511,400000,80,3474.54,12.4237,80,-534.1600952148438,2535.0
19.9278,405000,81,3403.62,13.3339,81,-655.6807861328125,2854.55
19.8119,410000,82,3493.62,11.5809,82,-439.2670593261719,3487.11
19.5901,415000,83,3423.93,13.8073,83,-590.78125,3174.66
19.0021,420000,84,3454.17,10.9409,84,-484.2833557128906,3425.1
19.7592,425000,85,3454.4,11.2726,85,-470.7584228515625,3244.62
19.1382,430000,86,3444.29,16.6736,86,-536.4803466796875,3393.67
19.8888,435000,87,3484.08,13.3343,87,-577.4146728515625,3413.68
20.0405,440000,88,3485.26,12.1852,88,-593.016845703125,2838.69
20.2319,445000,89,3428.85,14.4028,89,-620.8943481445312,2893.21
19.7767,450000,90,3542.29,19.9057,90,-743.0595092773438,3264.84
19.78,455000,91,3456.96,15.5498,91,-718.6185302734375,2967.36
19.659,460000,92,3520.69,11.9923,92,-585.2448120117188,3388.4
19.2605,465000,93,3509.92,10.9229,93,-591.6102294921875,3343.69
19.0368,470000,94,3502.44,10.942,94,-524.7572631835938,3187.36
19.6766,475000,95,3470.34,14.8381,95,-733.248291015625,3386.28
19.1977,480000,96,3536.55,11.8317,96,-607.7308959960938,3507.02
18.9541,485000,97,3506.76,11.0083,97,-651.5991821289062,3270.72
19.6629,490000,98,3536.25,12.9997,98,-677.1029052734375,3211.7
18.2691,495000,99,3496.01,10.4671,99,-560.6669921875,3359.13
19.0726,500000,100,3517.64,11.7578,100,-705.1869506835938,3476.51
19.2891,505000,101,3538.92,12.1075,101,-713.9510498046875,3417.14
18.698,510000,102,3484.79,11.0877,102,-642.4151611328125,3281.92
