Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Real Sto Return
249.84,30.6877,190.63995361328125,20.072,0,0,0,257.28
312.24,30.811,89.56932067871094,27.1465,1,1,5000,313.37
351.9,30.5615,119.66011047363281,28.7843,2,2,10000,353.09
356.19,29.3294,48.44448471069336,31.5024,3,3,15000,351.74
384.67,28.5628,70.64270782470703,20.5935,4,4,20000,358.18
349.4,26.4675,-0.023050781339406967,20.4094,5,5,25000,371.4
360.63,27.2415,-161.6400909423828,37.7475,6,6,30000,365.71
544.72,25.3761,-140.20498657226562,25.9886,7,7,35000,591.74
14.0,24.8937,-126.4992446899414,55.1652,8,8,40000,16.43
804.51,23.5861,-75.57551574707031,14.3556,9,9,45000,866.86
654.95,23.4015,-43.30211639404297,13.6437,10,10,50000,901.89
609.4,24.898,-39.47640609741211,15.1437,11,11,55000,601.83
1371.93,23.0979,-107.6543960571289,13.0711,12,12,60000,853.7
881.16,24.339,-35.940155029296875,14.9477,13,13,65000,767.91
2469.47,20.5577,-38.5455322265625,11.7208,14,14,70000,1934.0
2862.84,20.8722,31.898191452026367,16.6572,15,15,75000,2246.33
1004.91,38.4446,-373.65679931640625,25.8226,16,16,80000,1005.07
94.62,36.982,-508.85009765625,114.6431,17,17,85000,99.88
972.89,37.1814,-468.4789733886719,35.1802,18,18,90000,968.97
977.79,35.8001,-496.38385009765625,31.2547,19,19,95000,932.48
69.82,38.6987,-593.697509765625,51.256,20,20,100000,73.05
1003.2,36.1138,-564.2938232421875,45.7111,21,21,105000,1003.11
963.99,37.3189,-501.27117919921875,26.021,22,22,110000,962.49
1032.98,36.0481,-726.052734375,51.409,23,23,115000,1032.75
232.82,31.5726,-146.2250213623047,72.5969,24,24,120000,233.66
887.88,29.8993,-461.3473205566406,46.0361,25,25,125000,914.67
1234.17,31.8302,-605.2335205078125,18.876,26,26,130000,1278.67
978.17,38.1274,-872.8707275390625,46.9302,27,27,135000,977.59
998.8,37.0097,-947.8666381835938,29.5544,28,28,140000,1000.42
979.79,38.8721,-986.5283203125,43.852,29,29,145000,978.54
982.24,35.0877,-1003.04833984375,28.3965,30,30,150000,902.38
246.59,30.5943,-511.8390808105469,35.8816,31,31,155000,232.61
193.38,31.2334,-622.6077270507812,18.9548,32,32,160000,195.53
369.92,29.8064,-539.1090698242188,24.4091,33,33,165000,365.28
194.68,30.5027,-877.3989868164062,35.3781,34,34,170000,181.85
257.27,28.8528,-676.0486450195312,15.0659,35,35,175000,285.7
561.69,27.4757,-784.3405151367188,48.8721,36,36,180000,432.63
621.21,30.6697,-1368.3472900390625,52.4126,37,37,185000,722.84
1030.28,34.7349,-1474.177490234375,56.2348,38,38,190000,1030.17
353.45,29.9374,-1165.3763427734375,39.0353,39,39,195000,327.43
563.61,29.2516,-1482.361328125,80.5312,40,40,200000,512.08
466.55,26.2775,-933.4998779296875,45.755,41,41,205000,489.23
930.77,29.3332,-817.8385009765625,40.7779,42,42,210000,1118.75
484.9,28.7975,-1129.1207275390625,41.2335,43,43,215000,454.8
1000.9,38.2935,-1725.9466552734375,55.2667,44,44,220000,1000.97
858.46,34.1247,-1775.3831787109375,91.0787,45,45,225000,884.85
389.79,28.9537,-1419.63232421875,128.3448,46,46,230000,389.81
441.39,28.4762,-1289.5362548828125,107.014,47,47,235000,451.03
2556.3,22.9884,-348.9916076660156,15.112,48,48,240000,2556.06
1049.37,37.3651,-1959.7232666015625,44.2843,49,49,245000,1049.56
1071.53,36.1064,-1983.1680908203125,29.4373,50,50,250000,1071.11
1060.2,35.9178,-1949.293701171875,24.5175,51,51,255000,1059.73
180.61,36.7644,-2040.1201171875,35.8072,52,52,260000,179.47
235.33,32.3145,-2363.056640625,43.3712,53,53,265000,234.74
4.43,37.1334,-2328.841796875,219.4619,54,54,270000,4.41
662.0,32.1734,-1991.0931396484375,24.5231,55,55,275000,644.13
299.32,28.9945,-1710.2926025390625,31.2633,56,56,280000,294.62
1067.66,33.2174,-2267.56298828125,30.8131,57,57,285000,1068.02
484.5,28.1977,-1798.429931640625,43.6119,58,58,290000,425.14
906.47,28.4753,-1873.5279541015625,19.1917,59,59,295000,921.21
410.78,28.0069,-1225.851806640625,19.408,60,60,300000,398.19
521.31,27.9483,-1346.1387939453125,15.9753,61,61,305000,524.24
1415.68,27.4342,-764.2843627929688,18.3642,62,62,310000,1600.07
1003.38,36.616,-2485.095458984375,33.0918,63,63,315000,1005.16
991.36,35.3376,-2513.6875,36.0843,64,64,320000,987.53
1045.85,35.3649,-2376.8896484375,28.1564,65,65,325000,1046.37
1037.39,35.5345,-2755.728515625,33.9576,66,66,330000,1037.46
1100.73,34.2654,-2424.889892578125,29.3074,67,67,335000,1114.81
1255.99,32.723,-2148.072021484375,17.792,68,68,340000,1249.27
1179.23,33.2226,-2128.35791015625,17.6756,69,69,345000,1221.87
1010.89,36.241,-2957.75537109375,45.1217,70,70,350000,1011.43
1081.12,29.5937,-1942.35986328125,19.6391,71,71,355000,944.62
1235.6,30.0302,-1918.7740478515625,18.0234,72,72,360000,1089.23
276.99,30.5563,-2973.648681640625,41.6863,73,73,365000,277.44
585.4,29.4252,-1660.478271484375,18.065,74,74,370000,637.34
1814.57,29.0787,-1785.58154296875,19.3245,75,75,375000,1820.17
517.02,29.0288,-2838.39501953125,84.5674,76,76,380000,528.84
2038.33,28.1067,-1248.0489501953125,16.6578,77,77,385000,1981.36
1987.4,27.8071,-1440.1729736328125,16.3454,78,78,390000,1832.09
448.76,28.6477,-1653.6575927734375,18.1787,79,79,395000,355.16
589.97,29.5062,-3273.928955078125,118.9313,80,80,400000,542.26
613.15,29.8557,-3181.11376953125,95.5942,81,81,405000,609.21
345.35,31.4279,-3573.334716796875,122.2904,82,82,410000,339.17
971.47,37.6255,-3609.624267578125,80.8742,83,83,415000,971.66
377.53,33.9447,-3432.99658203125,26.3167,84,84,420000,389.57
375.67,33.2626,-3881.3515625,35.8491,85,85,425000,376.2
953.03,33.9664,-3294.41796875,40.7022,86,86,430000,950.02
985.28,34.3683,-3084.83056640625,32.2542,87,87,435000,985.82
