Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration
325.64,0,320.06,40.1068,31.084,0,-997.7098388671875,0
306.01,1,293.9,65.3718,30.6884,5000,-1122.856201171875,1
363.66,2,358.06,52.8544,27.58,10000,-1117.531494140625,2
470.58,3,312.81,50.2504,26.0373,15000,-1137.16845703125,3
547.86,4,448.18,31.4238,26.5279,20000,-1003.8042602539062,4
483.5,5,473.76,43.5999,24.5342,25000,-1181.1202392578125,5
939.22,6,846.83,28.4447,24.6736,30000,-986.212890625,6
385.03,7,414.93,29.3827,26.1768,35000,-951.4901123046875,7
817.6,8,955.49,31.7252,24.8352,40000,-1103.3096923828125,8
822.33,9,855.17,34.1157,24.0192,45000,-1325.1285400390625,9
1080.45,10,920.11,37.7075,23.8905,50000,-1360.911376953125,10
789.97,11,774.36,39.7788,24.1763,55000,-1114.01416015625,11
2819.52,12,1436.77,32.2582,23.1758,60000,-1106.3206787109375,12
1115.96,13,964.3,30.8941,23.6183,65000,-1348.3133544921875,13
3091.5,14,1514.99,50.5618,22.287,70000,-672.4237670898438,14
3026.21,15,2561.49,15.7466,22.4881,75000,-358.70770263671875,15
3023.35,16,2575.09,19.5777,21.6088,80000,-487.0655517578125,16
2575.39,17,2332.63,15.1139,21.4617,85000,-445.4558410644531,17
2874.9,18,2937.83,13.7091,22.3512,90000,-327.4039306640625,18
2644.88,19,2440.85,22.1946,21.8796,95000,-634.900390625,19
1281.81,20,1459.71,59.8021,22.4924,100000,-1201.72119140625,20
2439.59,21,2352.2,40.5498,21.0021,105000,-723.5755004882812,21
3311.66,22,2288.0,28.24,21.0621,110000,-935.4763793945312,22
1274.74,23,1591.16,69.4151,21.9364,115000,-1130.86376953125,23
3041.34,24,1579.52,52.8215,21.8932,120000,-1181.5367431640625,24
2942.38,25,2952.18,13.4017,20.4296,125000,-301.62744140625,25
3243.72,26,2890.48,14.1497,21.3137,130000,-490.2855529785156,26
2796.76,27,2496.67,14.6369,21.398,135000,-351.1445007324219,27
3240.89,28,3142.93,14.4662,21.718,140000,-199.9129638671875,28
3241.43,29,2971.81,13.6815,20.2506,145000,-397.435791015625,29
1356.57,30,1311.11,25.3152,21.3244,150000,-1264.0048828125,30
3182.72,31,2937.86,13.7333,21.3212,155000,-240.22621154785156,31
3179.87,32,2939.97,14.5486,22.0959,160000,-379.1625671386719,32
3342.83,33,2273.34,21.3971,20.454,165000,-1349.31005859375,33
3057.44,34,1916.78,21.6726,21.693,170000,-1281.613525390625,34
2542.44,35,1772.82,32.3776,21.7735,175000,-1430.596923828125,35
2662.28,36,1771.79,18.9217,20.4465,180000,-1084.8922119140625,36
3405.53,37,2033.68,27.8721,19.6601,185000,-709.802978515625,37
3327.03,38,2787.24,14.0855,20.0819,190000,-488.24560546875,38
3383.41,39,3249.19,12.3554,18.3593,195000,-150.3758544921875,39
3414.56,40,2778.3,21.7672,20.0103,200000,-965.6257934570312,40
3386.33,41,2745.82,15.7743,20.6619,205000,-539.0260620117188,41
3439.93,42,2393.61,17.2052,19.2099,210000,-658.1866455078125,42
3352.27,43,3339.58,13.3226,19.7507,215000,-237.67019653320312,43
3396.29,44,2693.16,13.2821,19.2775,220000,-181.0360870361328,44
3050.15,45,2148.14,15.8702,19.2701,225000,-804.9371337890625,45
3355.15,46,2925.07,12.3552,19.1664,230000,-187.19554138183594,46
3399.9,47,2645.72,13.9291,19.2646,235000,-287.443115234375,47
3386.48,48,3325.16,13.3268,19.1009,240000,-118.3636245727539,48
3384.49,49,2946.94,16.1756,19.7696,245000,-325.0480651855469,49
3396.82,50,2725.64,24.8193,19.7007,250000,-764.3721313476562,50
3404.94,51,2563.94,16.1654,19.7855,255000,-543.7861328125,51
3342.21,52,3204.8,14.9596,19.4279,260000,-347.070068359375,52
3375.85,53,3174.82,14.846,19.0901,265000,-343.62548828125,53
3361.67,54,3250.77,13.9539,19.8925,270000,-246.20484924316406,54
3386.2,55,3035.26,13.2244,19.1571,275000,-303.13909912109375,55
3357.12,56,3366.81,15.7138,18.4167,280000,-434.1384582519531,56
3310.69,57,3293.9,14.7168,19.8003,285000,-324.8714904785156,57
3436.54,58,2122.85,25.4155,19.7418,290000,-1341.12744140625,58
3421.28,59,3123.16,17.0101,19.1021,295000,-468.2349853515625,59
3426.33,60,2280.42,29.5966,19.9852,300000,-1488.3271484375,60
2997.25,61,2080.06,30.4221,20.2042,305000,-1668.908935546875,61
3427.67,62,3364.01,20.0592,18.2711,310000,-463.4612121582031,62
3343.25,63,3112.12,14.3659,19.0728,315000,-532.5634765625,63
3435.94,64,2379.05,27.9764,20.0086,320000,-1247.3870849609375,64
3395.43,65,2346.69,34.6034,19.7241,325000,-1217.2197265625,65
3361.63,66,2594.82,20.4077,18.5532,330000,-941.3049926757812,66
3402.72,67,2708.06,16.5545,18.9896,335000,-338.40594482421875,67
3401.45,68,2074.02,61.7572,21.2315,340000,-2074.168701171875,68
3430.94,69,2803.16,28.1074,19.6726,345000,-950.6808471679688,69
3399.84,70,2256.86,50.3299,20.8266,350000,-1517.7435302734375,70
3454.63,71,1835.12,69.8591,20.9879,355000,-1841.8787841796875,71
3431.5,72,2081.74,53.6044,20.2175,360000,-1616.9644775390625,72
3365.59,73,1678.97,53.5404,20.5236,365000,-1888.551513671875,73
3374.88,74,3215.6,13.2909,18.7844,370000,-282.7164001464844,74
3431.37,75,2079.83,43.144,20.4434,375000,-1764.1591796875,75
3298.21,76,1708.94,86.892,21.4373,380000,-2355.396240234375,76
3009.02,77,2044.35,66.0546,20.9432,385000,-2313.646484375,77
3431.28,78,2753.84,31.3303,20.0211,390000,-1458.4644775390625,78
3396.18,79,2986.97,22.4849,19.5251,395000,-1266.047607421875,79
3344.74,80,3097.35,12.4788,18.7549,400000,-289.8764343261719,80
3416.89,81,2224.0,20.2772,19.6516,405000,-1182.2962646484375,81
3457.85,82,1281.34,68.1118,22.3869,410000,-3195.178955078125,82
3413.37,83,2393.07,21.7222,19.6625,415000,-1501.400146484375,83
3398.17,84,3214.18,16.6736,19.3509,420000,-947.0653686523438,84
3317.18,85,1684.97,26.7396,21.3389,425000,-2956.21142578125,85
3430.34,86,2478.74,26.1752,20.8045,430000,-1878.904296875,86
3148.89,87,1554.44,28.1105,22.7299,435000,-3398.658447265625,87
3406.13,88,2471.34,26.6755,20.3718,440000,-1933.534423828125,88
3397.92,89,2427.27,15.1142,19.195,445000,-746.2494506835938,89
2723.98,90,1976.09,24.2828,21.526,450000,-3049.320556640625,90
3424.12,91,1751.38,25.0487,21.3094,455000,-2752.71875,91
3016.92,92,1879.5,27.4215,20.0097,460000,-2381.54150390625,92
3436.09,93,2344.14,24.3796,20.8947,465000,-2753.1044921875,93
3419.61,94,2571.28,55.6217,20.4717,470000,-2383.139892578125,94
3420.96,95,2334.29,19.0726,19.2416,475000,-1558.33837890625,95
3366.97,96,2693.31,25.0578,19.9204,480000,-1377.0352783203125,96
3391.3,97,3175.2,13.0154,18.6468,485000,-496.90069580078125,97
3425.28,98,2491.81,31.4711,18.815,490000,-1776.2364501953125,98
3400.34,99,3250.16,18.3149,18.828,495000,-986.13037109375,99
3427.07,100,2511.16,14.1068,19.4452,500000,-454.4451904296875,100
3416.01,101,3106.8,13.2288,18.854,505000,-431.8447265625,101
3408.38,102,2668.37,33.369,20.1205,510000,-1724.6685791015625,102
3414.65,103,2716.24,12.9542,19.1401,515000,-586.3087158203125,103
3459.0,104,2072.41,26.138,20.0312,520000,-1797.6907958984375,104
3410.26,105,2306.04,33.9477,20.4172,525000,-2379.6376953125,105
3397.38,106,2865.14,27.7781,18.9858,530000,-1471.9151611328125,106
2932.94,107,1194.18,69.5288,21.7274,535000,-3812.959716796875,107
3391.23,108,3143.99,25.9293,18.7804,540000,-1378.750244140625,108
3415.39,109,2301.57,33.0059,20.5052,545000,-2152.076416015625,109
3412.53,110,2876.43,34.6189,19.8008,550000,-2297.424072265625,110
