Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Running Update Time,Real Det Return,Reward Loss
32.1444,28.4077,0,0,284.64,0,300.33,349.39569091796875
30.8876,30.5817,5000,1,281.55,1,269.27,294.17071533203125
30.9886,34.0359,10000,2,323.19,2,325.04,218.30282592773438
29.0554,37.6598,15000,3,357.67,3,357.55,133.83926391601562
28.1108,24.2215,20000,4,375.58,4,316.55,97.1004409790039
26.8056,30.3666,25000,5,578.5,5,581.81,30.966854095458984
26.026,23.7972,30000,6,790.95,6,754.71,21.518310546875
25.9856,15.1036,35000,7,413.64,7,394.68,122.64771270751953
24.4176,21.6534,40000,8,811.53,8,791.7,-64.89849090576172
27.4293,24.8686,45000,9,1441.75,9,1629.58,-135.73062133789062
26.8321,40.3861,50000,10,1021.11,10,785.45,-214.93760681152344
37.7268,149.8262,55000,11,15.67,11,16.18,-340.6705017089844
37.8803,49.6376,60000,12,789.32,12,697.59,-261.1796875
37.9307,46.898,65000,13,977.5,13,977.21,-292.75360107421875
36.9367,46.4618,70000,14,991.73,14,993.12,-342.6414489746094
33.4956,32.5469,75000,15,824.04,15,974.4,-418.4964599609375
35.113,24.6192,80000,16,933.78,16,946.64,-380.7900390625
36.1519,26.8516,85000,17,976.12,17,980.42,-420.6175842285156
37.4601,38.7829,90000,18,988.46,18,989.54,-547.01806640625
30.307,31.1921,95000,19,764.44,19,737.83,-649.2754516601562
36.7578,24.7861,100000,20,1014.46,20,1016.02,-628.1688842773438
36.2427,27.6486,105000,21,1042.29,21,1038.96,-712.9932250976562
24.6223,14.9981,110000,22,2526.3,22,2937.8,-148.32305908203125
36.3398,25.65,115000,23,1150.52,23,1013.63,-822.5787963867188
25.2526,19.5531,120000,24,1524.73,24,1405.51,-565.5277099609375
25.5845,15.6735,125000,25,724.83,25,737.79,-397.0167541503906
24.8451,29.9975,130000,26,827.04,26,859.02,-545.6256103515625
24.6439,29.5623,135000,27,913.64,27,986.28,-436.49163818359375
24.791,19.4527,140000,28,966.75,28,1115.26,-703.3803100585938
22.1183,13.2212,145000,29,2787.99,29,2950.44,-264.01544189453125
24.0954,16.7682,150000,30,976.79,30,1113.66,-795.301513671875
24.561,14.9238,155000,31,948.08,31,1109.89,-652.0645141601562
22.642,27.3941,160000,32,1507.01,32,2761.34,-538.2576293945312
22.1013,21.9956,165000,33,1830.71,33,3060.84,-437.1778869628906
22.0354,12.3228,170000,34,3117.07,34,3059.73,-203.42112731933594
20.4073,29.5469,175000,35,2597.12,35,3068.74,-311.690673828125
22.3972,51.7485,180000,36,1573.74,36,2469.0,-658.0809936523438
22.132,20.8883,185000,37,2220.92,37,3195.24,-529.447265625
22.4099,58.1423,190000,38,1499.51,38,2282.6,-627.4482421875
20.5707,14.9548,195000,39,3141.26,39,3067.56,-317.4775085449219
19.8324,26.8816,200000,40,2441.76,40,3306.82,-346.9767761230469
21.5713,14.0583,205000,41,2852.27,41,990.85,-406.9663391113281
21.0725,12.1342,210000,42,2858.13,42,3155.28,-277.68310546875
20.6604,24.9334,215000,43,2286.65,43,3293.37,-677.86572265625
21.0878,12.5375,220000,44,3049.62,44,3084.51,-335.9851989746094
20.1629,12.3371,225000,45,2906.58,45,3174.59,-214.490966796875
20.5524,11.557,230000,46,3038.12,46,3054.18,-302.7081604003906
21.4786,12.938,235000,47,2916.87,47,3195.04,-221.6686553955078
20.7949,12.5607,240000,48,2876.83,48,3262.03,-175.03944396972656
20.469,11.7774,245000,49,3060.66,49,3241.18,-145.5944061279297
20.1456,11.7642,250000,50,3157.78,50,3274.38,-307.66180419921875
19.1093,11.0638,255000,51,3144.32,51,3304.7,-241.7864532470703
19.538,15.2839,260000,52,3135.39,52,3315.2,-345.97503662109375
19.6102,10.7343,265000,53,2841.29,53,3113.7,-320.8890380859375
19.3045,10.7549,270000,54,3260.2,54,3255.05,-272.3193054199219
19.4962,11.483,275000,55,3003.68,55,3203.18,-335.74737548828125
18.7132,19.7097,280000,56,2855.52,56,2074.43,-204.19647216796875
18.6615,11.0756,285000,57,2746.41,57,3366.55,-286.5240173339844
19.1515,11.5755,290000,58,2642.16,58,3343.26,-396.1267395019531
18.3413,10.6983,295000,59,3313.16,59,3346.4,-228.7505340576172
18.384,10.1813,300000,60,3135.51,60,3334.17,-309.8050231933594
20.0225,29.1313,305000,61,1544.71,61,2224.31,-929.7058715820312
18.4184,9.7646,310000,62,2343.56,62,3405.72,-410.5419616699219
18.6892,10.6275,315000,63,3114.35,63,3262.01,-178.87319946289062
18.4523,10.7169,320000,64,3179.54,64,3367.47,-265.65692138671875
19.5769,11.6037,325000,65,2257.28,65,2944.2,-543.1473388671875
18.2442,14.4465,330000,66,2819.81,66,3402.08,-412.5853271484375
18.7695,16.1651,335000,67,2527.99,67,3357.1,-734.1950073242188
18.6699,10.3161,340000,68,3086.46,68,3259.74,-299.3692626953125
18.8208,12.7801,345000,69,2995.52,69,3350.53,-355.15032958984375
18.5363,10.9324,350000,70,3361.5,70,3396.3,-249.39341735839844
18.3347,11.3562,355000,71,2843.84,71,3341.99,-328.305419921875
18.5832,10.92,360000,72,3348.07,72,3399.25,-176.00143432617188
18.2193,11.1293,365000,73,3241.26,73,3406.37,-280.6242370605469
16.9763,9.9973,370000,74,3245.94,74,3351.55,-203.45327758789062
17.6531,10.4415,375000,75,3234.7,75,3325.54,-274.5287780761719
17.3965,10.859,380000,76,3345.07,76,3348.04,-213.46255493164062
17.7822,17.0151,385000,77,2583.51,77,3390.6,-577.3776245117188
18.1486,10.4916,390000,78,3148.37,78,3359.99,-181.17556762695312
17.7169,10.864,395000,79,3321.19,79,3334.61,-272.5633850097656
17.2635,10.1966,400000,80,3193.69,80,3355.28,-205.91835021972656
16.41,9.5066,405000,81,3295.66,81,3369.7,-260.9919128417969
17.2624,10.3067,410000,82,3366.87,82,3356.7,-240.0082550048828
17.8431,10.5057,415000,83,3199.36,83,3409.46,-221.24546813964844
17.2146,9.8739,420000,84,3304.27,84,3350.06,-352.89239501953125
17.3946,10.8806,425000,85,2833.14,85,3357.27,-380.2295227050781
16.7405,10.0947,430000,86,3327.67,86,3420.82,-203.39906311035156
17.6636,10.8773,435000,87,3254.53,87,3382.75,-234.20689392089844
19.4,12.3743,440000,88,1860.49,88,3226.4,-799.8413696289062
16.7951,9.6572,445000,89,3360.89,89,3393.43,-296.91644287109375
17.1022,9.7434,450000,90,3091.45,90,3354.77,-320.23974609375
18.4247,11.1345,455000,91,2704.42,91,3426.02,-498.76239013671875
17.3428,10.6369,460000,92,2751.9,92,3438.69,-336.4002990722656
16.5931,9.9438,465000,93,3328.11,93,3352.0,-330.1927490234375
15.886,9.1854,470000,94,3381.66,94,3417.75,-274.4345703125
15.7275,9.6042,475000,95,3404.09,95,3431.43,-301.9336242675781
16.9509,10.7334,480000,96,3281.13,96,3424.65,-313.5230712890625
17.4437,10.7576,485000,97,3263.77,97,3412.95,-353.0021057128906
17.088,10.6339,490000,98,3370.74,98,3413.96,-351.7256774902344
17.4674,10.4474,495000,99,3372.82,99,3412.5,-353.9564514160156
17.2666,11.1197,500000,100,3347.28,100,3423.29,-458.00250244140625
17.1279,9.9849,505000,101,3268.49,101,3423.85,-353.7733459472656
17.5362,10.4155,510000,102,3364.92,102,3440.18,-424.96051025390625
15.8029,8.9586,515000,103,3205.61,103,3434.18,-311.3586730957031
17.1347,9.8468,520000,104,3358.28,104,3387.97,-304.8396911621094
16.7128,9.5459,525000,105,3273.92,105,3403.64,-379.48736572265625
16.6554,11.1735,530000,106,3154.64,106,3445.23,-466.34136962890625
16.7839,10.045,535000,107,3371.25,107,3447.98,-248.5515899658203
16.8881,10.2476,540000,108,3230.65,108,3410.98,-352.73504638671875
