Running Forward KL,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Itration,Running Reverse KL
158.6224,0,-204.75,-1458.4384765625,-8.99,0,0,11.7479
158.388,5000,-116.36,-1768.139892578125,-22.26,1,1,11.474
158.2541,10000,140.87,-2294.013671875,486.59,2,2,12.2539
158.3272,15000,298.5,-2671.677978515625,422.79,3,3,12.7874
158.1439,20000,403.51,-3146.45068359375,804.96,4,4,13.4349
157.8606,25000,506.97,-3246.388916015625,932.52,5,5,13.163
157.9777,30000,625.41,-3676.921142578125,996.93,6,6,13.8403
158.1828,35000,676.2,-3919.52685546875,800.39,7,7,14.2234
157.9859,40000,715.66,-3940.74560546875,1002.59,8,8,14.2652
157.8096,45000,899.59,-4165.630859375,1195.27,9,9,14.996
158.0422,50000,852.39,-4239.466796875,1338.47,10,10,15.0815
157.9928,55000,1091.13,-4715.75634765625,1514.17,11,11,16.0364
157.9072,60000,1118.04,-4716.78173828125,1515.46,12,12,16.041
158.0133,65000,1122.35,-4992.53173828125,1531.99,13,13,15.8077
157.9199,70000,1195.08,-5195.54833984375,1594.7,14,14,16.4654
157.7231,75000,1243.31,-5449.41259765625,1605.01,15,15,16.2679
157.997,80000,1263.51,-5538.9541015625,1699.85,16,16,16.3345
157.9392,85000,1260.53,-5693.65185546875,1706.25,17,17,15.9648
157.925,90000,1332.9,-5881.69677734375,1786.72,18,18,16.4465
158.009,95000,1366.0,-6161.00390625,1784.79,19,19,16.131
157.8596,100000,1381.91,-6295.03369140625,1830.45,20,20,16.4195
157.7726,105000,1408.95,-6482.51513671875,1750.79,21,21,16.4298
157.7429,110000,1453.91,-6582.421875,1824.58,22,22,16.5654
157.7668,115000,1510.68,-6843.3251953125,1915.93,23,23,16.5719
158.0197,120000,1421.3,-6978.490234375,1836.24,24,24,16.1853
157.7245,125000,1560.86,-7433.64111328125,1957.62,25,25,17.1804
157.4731,130000,1544.58,-7420.3154296875,1977.51,26,26,16.4359
157.7261,135000,1592.59,-7544.94287109375,1940.77,27,27,16.7731
157.8335,140000,1560.31,-7707.02880859375,1896.01,28,28,16.6202
157.6573,145000,1575.93,-8002.24951171875,1888.04,29,29,16.4204
157.3931,150000,1646.68,-8177.8779296875,1958.05,30,30,16.6324
157.5776,155000,1609.27,-8316.0126953125,1895.6,31,31,16.3587
157.4245,160000,1550.0,-8461.369140625,1810.12,32,32,15.9733
157.4906,165000,1586.39,-8762.5380859375,1924.45,33,33,16.0359
157.1929,170000,1613.82,-8927.6943359375,1934.37,34,34,16.3043
157.5839,175000,1642.15,-8981.595703125,1985.24,35,35,16.5513
157.5453,180000,1642.27,-9281.0068359375,2031.61,36,36,16.3309
157.3035,185000,1637.7,-9628.689453125,1977.09,37,37,16.3755
157.5364,190000,1683.5,-9798.2099609375,2030.99,38,38,16.8629
157.532,195000,1668.21,-9938.181640625,1984.11,39,39,16.1739
157.3916,200000,1633.3,-10061.568359375,1964.19,40,40,16.105
157.4724,205000,1735.88,-10333.7744140625,2052.65,41,41,16.5985
157.3299,210000,1671.45,-10568.0185546875,1974.47,42,42,16.6823
157.3677,215000,1692.59,-10757.353515625,2076.43,43,43,16.4457
157.5502,220000,1693.16,-10877.5224609375,2021.64,44,44,16.6097
157.3223,225000,1714.16,-10981.8798828125,2039.15,45,45,16.0844
157.3089,230000,1734.84,-11318.048828125,2110.41,46,46,16.8386
157.3023,235000,1698.99,-11419.224609375,2031.31,47,47,16.138
157.0139,240000,1722.82,-11757.5029296875,2064.16,48,48,16.2298
157.2134,245000,1701.22,-11951.7353515625,2044.02,49,49,15.9249
157.1801,250000,1718.81,-12042.0244140625,2036.66,50,50,15.9652
157.3737,255000,1714.81,-12237.6416015625,2075.17,51,51,16.3061
157.2431,260000,1740.27,-12544.7138671875,2076.23,52,52,16.2677
157.2989,265000,1733.12,-12684.521484375,2045.69,53,53,16.0185
157.2452,270000,1730.2,-12907.99609375,2084.06,54,54,16.2635
157.3016,275000,1706.49,-13065.87109375,2005.86,55,55,16.4516
157.1929,280000,1762.83,-13388.587890625,2124.95,56,56,16.6868
157.2516,285000,1685.81,-13575.068359375,2022.69,57,57,15.5345
157.2074,290000,1747.36,-13696.7109375,2075.25,58,58,15.9575
156.9986,295000,1759.12,-14103.0966796875,2117.33,59,59,16.0212
156.8696,300000,1775.89,-14092.142578125,2100.99,60,60,16.1897
157.1359,305000,1740.58,-14415.3369140625,2093.51,61,61,15.8876
157.0983,310000,1754.08,-14563.4853515625,2121.09,62,62,16.0664
157.0732,315000,1746.96,-14778.5341796875,2065.47,63,63,16.0289
157.1358,320000,1787.48,-14966.0400390625,2101.59,64,64,16.0937
156.7943,325000,1757.67,-15237.9892578125,2068.52,65,65,15.7975
156.9507,330000,1754.47,-15407.7041015625,2119.09,66,66,15.9071
157.2021,335000,1756.23,-15526.0791015625,2086.57,67,67,16.0896
157.0603,340000,1767.18,-15902.42578125,2139.94,68,68,16.0453
156.9007,345000,1735.52,-15956.666015625,2064.15,69,69,15.7296
157.0479,350000,1772.66,-16263.9521484375,2088.34,70,70,16.0413
157.206,355000,1752.04,-16514.771484375,2086.57,71,71,15.6892
157.0269,360000,1740.73,-16618.23828125,2076.31,72,72,15.7665
156.9538,365000,1798.87,-16852.67578125,2086.33,73,73,15.8584
156.9654,370000,1811.09,-17091.017578125,2125.75,74,74,15.7266
157.0085,375000,1776.86,-17431.33203125,2125.36,75,75,15.6494
156.9859,380000,1755.09,-17628.818359375,2090.71,76,76,15.7908
157.1224,385000,1760.62,-17838.48828125,2041.49,77,77,15.6176
156.7677,390000,1789.29,-17930.62109375,2100.16,78,78,15.648
157.0065,395000,1782.21,-18227.810546875,2063.14,79,79,15.722
157.0533,400000,1794.52,-18541.470703125,2121.03,80,80,15.775
156.9062,405000,1821.29,-18684.32421875,2087.59,81,81,15.5245
156.7786,410000,1751.06,-18930.828125,2008.45,82,82,15.3307
156.878,415000,1798.29,-19185.1953125,2161.8,83,83,15.7096
157.0727,420000,1825.17,-19378.7734375,2134.95,84,84,16.085
157.1617,425000,1786.1,-19602.580078125,2096.86,85,85,15.4176
157.1639,430000,1780.08,-19702.35546875,2120.19,86,86,15.5192
156.7823,435000,1806.78,-20006.513671875,2153.51,87,87,15.6613
156.8964,440000,1788.31,-20329.5,2114.68,88,88,15.5978
156.9852,445000,1789.54,-20494.255859375,2133.63,89,89,15.7728
156.9158,450000,1833.61,-20872.46875,2177.46,90,90,15.9701
157.0877,455000,1837.0,-20979.1484375,2148.74,91,91,16.0444
156.8725,460000,1804.05,-21306.12890625,2132.15,92,92,15.5971
156.9412,465000,1841.06,-21516.763671875,2146.14,93,93,15.5397
156.9431,470000,1763.52,-21588.44921875,2035.5,94,94,15.1422
156.9892,475000,1767.28,-21883.232421875,2107.68,95,95,15.4894
156.5385,480000,1823.58,-22211.646484375,2192.56,96,96,15.6114
156.8226,485000,1802.22,-22353.181640625,2130.33,97,97,15.6012
156.9304,490000,1808.53,-22449.3828125,2111.91,98,98,15.6024
157.0991,495000,1820.54,-22824.55859375,2088.6,99,99,15.2741
157.015,500000,1787.22,-23093.0859375,2139.36,100,100,15.6409
156.8106,505000,1818.16,-23481.130859375,2155.94,101,101,15.8672
156.9009,510000,1812.74,-23460.16796875,2164.84,102,102,15.8277
156.8894,515000,1800.25,-23689.6796875,2119.18,103,103,15.3807
156.8274,520000,1792.05,-24175.880859375,2151.98,104,104,15.3181
157.0253,525000,1802.98,-24127.6640625,2088.78,105,105,15.3867
