Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Itration,Running Env Steps,Reward Loss
16.5995,315.62,31.2589,320.15,0,0,0,-195.71026611328125
17.4931,205.87,31.0994,190.69,1,1,5000,-203.39630126953125
24.7509,278.28,30.7887,279.28,2,2,10000,-328.8522644042969
14.1624,258.6,26.1929,352.12,3,3,15000,-115.07807922363281
19.2053,1049.9,31.8357,495.48,4,4,20000,-291.7834777832031
16.6486,265.5,29.8524,292.83,5,5,25000,-307.0618896484375
19.1258,382.37,24.8599,482.45,6,6,30000,-276.346435546875
21.7697,1280.74,25.9653,846.76,7,7,35000,-239.64627075195312
12.5326,287.4,25.1049,436.7,8,8,40000,-229.82107543945312
34.1503,605.24,25.9952,596.72,9,9,45000,-209.855712890625
22.9174,614.51,27.663,593.4,10,10,50000,-441.1604309082031
18.6781,353.54,30.9613,364.74,11,11,55000,-248.54281616210938
17.6672,362.05,28.3024,393.42,12,12,60000,-247.80218505859375
16.409,2738.89,25.5398,2128.48,13,13,65000,-104.47102355957031
16.9627,2453.66,26.9026,2457.0,14,14,70000,-297.7482604980469
14.1997,2078.87,25.9856,1745.66,15,15,75000,-357.232666015625
11.237,2841.55,21.5636,2321.98,16,16,80000,-250.7572784423828
15.7761,2738.1,24.3355,2567.51,17,17,85000,-158.1894989013672
11.2076,1577.61,23.6373,1399.79,18,18,90000,-328.6874694824219
22.22,2340.48,25.5749,1459.53,19,19,95000,-292.1824951171875
16.6469,2633.21,25.6728,2657.78,20,20,100000,-251.528076171875
14.9493,2636.26,24.8117,2646.18,21,21,105000,-304.5939025878906
15.8538,2787.96,24.3945,2815.97,22,22,110000,-275.66168212890625
13.9514,2886.64,23.5566,2871.29,23,23,115000,-246.53086853027344
13.4014,2795.1,23.7955,2745.34,24,24,120000,-350.0824890136719
14.1017,2889.58,24.038,2893.5,25,25,125000,-261.4371337890625
15.8516,2834.27,24.7557,2833.17,26,26,130000,-395.7807312011719
15.5204,3200.38,22.4501,3189.73,27,27,135000,-156.45375061035156
16.3836,3126.88,24.2548,2907.97,28,28,140000,-381.9722595214844
29.9172,767.07,24.073,816.97,29,29,145000,-658.8595581054688
19.2184,3191.07,23.5623,2833.93,30,30,150000,-335.1795654296875
16.4076,3072.57,22.7719,3074.04,31,31,155000,-243.4264373779297
28.0014,495.5,25.5417,868.65,32,32,160000,-699.4962768554688
41.2326,344.62,33.1725,353.08,33,33,165000,-1054.4725341796875
32.4044,206.93,31.1648,247.36,34,34,170000,-1098.4124755859375
23.5496,1008.91,34.7645,1015.53,35,35,175000,-1358.7962646484375
48.269,372.3,30.0273,344.73,36,36,180000,-1150.82568359375
33.8777,1208.25,26.1497,1219.88,37,37,185000,-711.6474609375
22.8688,423.01,28.7661,374.2,38,38,190000,-925.1482543945312
56.7721,210.39,31.612,211.28,39,39,195000,-1052.9993896484375
50.8485,299.05,31.8532,298.93,40,40,200000,-1166.791015625
18.0702,362.63,30.5105,351.02,41,41,205000,-1135.2918701171875
59.0583,975.17,39.5687,975.48,42,42,210000,-1645.3309326171875
74.3182,7.58,37.3976,7.43,43,43,215000,-1087.635498046875
17.0971,944.36,28.0391,1019.61,44,44,220000,-1223.0980224609375
22.6516,1271.05,32.4247,1268.85,45,45,225000,-1421.578857421875
18.3911,403.2,29.9805,413.07,46,46,230000,-1536.937744140625
29.1981,1071.06,33.4014,1065.87,47,47,235000,-1863.127685546875
28.3102,438.16,28.9635,425.53,48,48,240000,-1623.4764404296875
63.383,130.58,32.4051,160.39,49,49,245000,-1697.9017333984375
24.8041,318.46,29.5032,317.65,50,50,250000,-1282.9891357421875
37.653,1000.59,38.0064,999.63,51,51,255000,-2088.607421875
33.1201,988.34,36.1575,989.22,52,52,260000,-2042.88427734375
43.743,1016.1,33.8428,1015.78,53,53,265000,-2166.76123046875
22.5036,972.38,32.9073,980.38,54,54,270000,-2019.5589599609375
67.534,132.03,32.8369,133.28,55,55,275000,-2263.45703125
42.2798,240.78,31.4016,260.68,56,56,280000,-2425.0537109375
68.9087,302.18,31.08,313.42,57,57,285000,-2478.5595703125
39.2321,513.83,28.2847,655.07,58,58,290000,-2110.416259765625
62.5232,410.47,32.4335,380.59,59,59,295000,-2694.7001953125
20.7898,641.17,28.6296,710.06,60,60,300000,-2077.6435546875
46.1337,445.89,29.6519,453.88,61,61,305000,-2312.698486328125
34.8493,719.5,30.2509,874.66,62,62,310000,-2282.35205078125
50.031,303.9,31.9108,301.61,63,63,315000,-2509.384521484375
49.1077,764.56,26.5024,766.88,64,64,320000,-2040.374267578125
39.1791,1057.24,33.5802,1058.04,65,65,325000,-2762.765869140625
77.9405,434.74,30.9486,446.17,66,66,330000,-2655.49560546875
15.3507,1095.96,32.563,1092.18,67,67,335000,-2610.80029296875
72.9277,324.89,33.5604,312.98,68,68,340000,-2994.83984375
33.9241,187.11,31.7743,204.19,69,69,345000,-2753.869384765625
65.6703,205.36,35.286,205.56,70,70,350000,-3105.501708984375
57.4902,1040.79,35.9241,1040.82,71,71,355000,-3154.33740234375
66.9691,1037.81,34.1174,1037.24,72,72,360000,-3224.783935546875
62.3679,278.15,33.6357,275.19,73,73,365000,-3312.68798828125
36.7463,304.71,32.0902,284.07,74,74,370000,-3059.51025390625
29.9066,1157.36,34.363,1159.16,75,75,375000,-2773.395751953125
25.999,1193.05,32.2031,1195.28,76,76,380000,-2940.720458984375
20.4393,1216.67,33.6634,1214.18,77,77,385000,-2924.8115234375
59.8162,1024.5,38.5675,1024.62,78,78,390000,-3565.63916015625
113.0681,403.55,30.4862,381.26,79,79,395000,-3282.571533203125
19.1511,1706.84,28.9699,1731.43,80,80,400000,-2001.1458740234375
21.9943,1140.03,33.192,1175.82,81,81,405000,-3430.697265625
16.8742,1276.54,29.3621,1311.58,82,82,410000,-3011.86572265625
17.5702,1414.64,28.1789,1399.9,83,83,415000,-2953.499267578125
26.0485,1684.25,29.7228,1687.46,84,84,420000,-2469.34423828125
22.8768,2009.92,29.0663,2021.79,85,85,425000,-2068.160888671875
57.05,1259.39,25.0519,1202.27,86,86,430000,-2236.37158203125
19.241,1567.15,26.9481,1922.06,87,87,435000,-2357.712158203125
28.5128,1936.07,29.7234,1935.79,88,88,440000,-2074.24853515625
25.2322,1990.81,29.8517,1977.78,89,89,445000,-1944.5592041015625
28.965,2047.28,30.0989,2045.0,90,90,450000,-1990.6854248046875
198.995,278.58,30.5441,298.07,91,91,455000,-4636.4072265625
207.4783,252.1,32.165,258.69,92,92,460000,-4832.25927734375
94.8879,891.15,27.9867,1124.86,93,93,465000,-3726.50048828125
22.7948,2309.93,28.1796,2306.65,94,94,470000,-2131.044921875
109.3572,921.52,31.7947,877.88,95,95,475000,-4512.9052734375
91.7942,910.19,28.7581,925.83,96,96,480000,-3970.245849609375
124.5068,870.37,28.6378,691.66,97,97,485000,-4072.111572265625
30.5456,1418.38,29.0704,1436.68,98,98,490000,-3363.107177734375
23.0245,1533.29,27.8288,1518.52,99,99,495000,-2875.558349609375
20.3472,1755.58,29.2904,1692.0,100,100,500000,-2743.697265625
74.2152,998.02,35.5874,998.18,101,101,505000,-4717.26318359375
98.4142,1003.85,37.8466,1003.73,102,102,510000,-4898.1337890625
90.5022,1003.87,37.5234,1004.0,103,103,515000,-4911.8720703125
25.0697,2594.86,26.6775,2582.29,104,104,520000,-1279.6788330078125
