Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Reverse KL
0,0,30.057,-32.77062225341797,0,276.52,271.24,13.1627
5000,1,29.9346,-401.98822021484375,1,299.95,292.9,52.838
10000,2,31.4653,-451.2065734863281,2,64.13,58.85,46.1049
15000,3,29.1309,-379.1275634765625,3,307.5,328.26,26.4998
20000,4,29.3332,-693.5582275390625,4,399.53,392.51,80.2729
25000,5,27.147,-732.1885986328125,5,391.51,380.97,57.202
30000,6,26.6127,-340.8955993652344,6,679.62,652.45,19.1551
35000,7,31.8837,-231.1532440185547,7,96.3,110.19,25.3262
40000,8,27.3777,-461.40252685546875,8,642.45,620.59,22.573
45000,9,27.3501,-736.2752685546875,9,599.87,543.67,23.9156
50000,10,28.9528,-257.3869323730469,10,394.38,399.54,14.9223
55000,11,23.871,-276.9308776855469,11,512.32,513.65,14.9993
60000,12,37.7456,-749.198974609375,12,994.56,994.35,37.1961
65000,13,30.739,-637.9218139648438,13,1009.41,994.45,20.5921
70000,14,38.0147,-808.7655639648438,14,1024.22,1024.56,37.293
75000,15,38.6242,-887.544677734375,15,992.24,991.18,40.6393
80000,16,37.2589,19.430559158325195,16,2.32,2.1,228.3007
85000,17,38.8239,-962.753173828125,17,982.55,980.89,48.2516
90000,18,31.8105,-967.042724609375,18,310.04,316.81,55.3154
95000,19,38.9073,-1051.86181640625,19,1036.53,1035.18,37.6189
100000,20,39.2032,-1105.2918701171875,20,979.41,979.58,44.4475
105000,21,35.2149,-1111.080322265625,21,219.29,400.38,28.7471
110000,22,35.7369,-1128.295654296875,22,1021.76,1020.21,32.9081
115000,23,30.942,-1187.510986328125,23,920.28,745.29,25.7142
120000,24,39.4592,-1324.654296875,24,992.96,992.54,46.3426
125000,25,36.7726,-1281.7977294921875,25,995.96,988.05,28.5409
130000,26,39.2879,-1291.7855224609375,26,980.57,1028.37,23.9848
135000,27,37.6929,-1445.43603515625,27,1003.35,997.76,26.9527
140000,28,37.064,-1534.4224853515625,28,415.89,409.23,36.5878
145000,29,40.0294,-1505.6876220703125,29,979.5,978.85,43.4064
150000,30,37.8567,-1535.1920166015625,30,100.25,99.29,52.292
155000,31,37.8177,-1629.439697265625,31,997.1,996.58,38.8985
160000,32,36.8362,-1618.8883056640625,32,1043.55,1028.83,21.2182
165000,33,37.1206,-1677.355712890625,33,1037.28,1035.08,26.011
170000,34,31.7229,-1508.16552734375,34,821.94,780.34,23.4405
175000,35,37.3624,-1775.6357421875,35,1028.88,1031.04,27.3469
180000,36,36.6219,-1829.7899169921875,36,1035.6,1035.93,45.7431
185000,37,27.7224,-1250.3843994140625,37,713.46,656.23,22.3382
190000,38,38.0132,-1932.0357666015625,38,1051.97,1052.62,24.3708
195000,39,32.2823,-1783.33349609375,39,144.88,126.02,36.9925
200000,40,35.2029,-1978.1107177734375,40,474.55,469.07,28.4095
205000,41,37.6289,-2094.8974609375,41,1050.49,1051.13,36.0462
210000,42,32.6059,-1367.5643310546875,42,579.64,564.11,19.2836
215000,43,32.6236,-956.0546264648438,43,49.47,50.05,21.2168
220000,44,40.0365,-2204.835693359375,44,1016.0,1016.21,38.1835
225000,45,31.5082,-2120.298095703125,45,246.16,249.09,28.5802
230000,46,34.9437,-2235.3466796875,46,396.56,393.68,51.3169
235000,47,37.9759,-2438.235107421875,47,1051.38,1051.49,33.5168
240000,48,38.2348,-2433.765869140625,48,991.15,990.3,29.6687
245000,49,27.3626,-1793.2103271484375,49,358.19,396.48,23.947
250000,50,38.363,-2604.0224609375,50,974.88,973.89,47.9647
