Running Update Time,Itration,Running Forward KL,Real Sto Return,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL
0,0,31.5918,262.95,0,-1315.546142578125,262.02,32.6343
1,1,32.0024,277.23,5000,-1644.76904296875,275.84,45.9395
2,2,31.1849,309.6,10000,-1527.814453125,310.81,26.1023
3,3,31.0749,283.22,15000,-1572.8648681640625,276.15,23.5746
4,4,30.7259,238.99,20000,-1591.8646240234375,238.09,36.3195
5,5,31.3367,304.45,25000,-1674.621337890625,302.25,33.4769
6,6,31.1822,306.4,30000,-1714.905517578125,297.74,21.4429
7,7,31.7621,315.22,35000,-1598.2718505859375,316.3,41.781
8,8,30.6027,312.35,40000,-1824.56640625,311.95,20.5475
9,9,31.2688,243.37,45000,-1791.4984130859375,253.73,17.7692
10,10,31.1511,327.47,50000,-1754.898193359375,338.54,17.5425
11,11,30.831,346.48,55000,-1774.17919921875,341.76,32.7092
12,12,31.4826,349.52,60000,-1991.4425048828125,360.47,21.2981
13,13,30.1304,382.2,65000,-2012.9227294921875,372.28,23.2541
14,14,32.0241,392.55,70000,-2043.1629638671875,404.14,30.6054
15,15,29.6089,388.66,75000,-2072.774658203125,377.06,21.7407
16,16,28.0351,383.66,80000,-2111.867919921875,353.56,28.9725
17,17,26.7962,490.96,85000,-2113.15673828125,538.19,52.5284
18,18,26.8931,580.82,90000,-2033.3787841796875,582.54,51.0096
19,19,37.9468,-2.25,95000,-3266.450927734375,-2.43,145.1206
20,20,37.9811,997.82,100000,-2734.061279296875,999.02,46.9789
21,21,31.331,996.04,105000,-2497.21826171875,1026.56,24.6808
22,22,26.6412,268.45,110000,-2328.731201171875,1009.23,36.4361
23,23,29.2728,553.99,115000,-1616.345703125,780.9,13.8319
24,24,31.4311,78.06,120000,-2901.008056640625,78.06,59.8087
25,25,33.118,115.43,125000,-2661.8017578125,138.38,25.5405
26,26,33.7938,1032.83,130000,-2935.40380859375,1035.82,25.105
27,27,35.7549,1022.49,135000,-2992.77001953125,1021.35,33.0769
28,28,36.8719,1022.47,140000,-2854.829833984375,1022.2,23.6134
29,29,32.4011,1016.47,145000,-3027.793212890625,1015.6,30.0065
30,30,35.4395,1004.72,150000,-3183.701416015625,1004.75,34.9658
31,31,30.4995,117.05,155000,-3073.082275390625,122.42,58.0479
32,32,32.0761,258.41,160000,-3322.117431640625,260.05,60.9386
33,33,33.126,221.42,165000,-3417.254150390625,220.67,63.3464
34,34,31.2813,262.01,170000,-3303.06494140625,268.65,39.1378
35,35,34.59,623.52,175000,-3321.374267578125,372.81,22.4028
36,36,33.052,213.44,180000,-3223.949951171875,213.53,54.0904
37,37,30.4254,258.41,185000,-2346.6865234375,257.31,41.7496
38,38,33.2261,433.36,190000,-2689.008056640625,435.04,71.0422
39,39,35.1502,1053.61,195000,-3791.611572265625,1053.56,41.4903
40,40,34.5282,393.85,200000,-2728.318359375,392.51,80.3738
41,41,34.9643,1040.9,205000,-3788.9482421875,1040.32,35.34
42,42,35.0867,1046.49,210000,-3870.639892578125,1046.3,46.3512
43,43,33.9116,1032.64,215000,-3970.00927734375,1032.33,41.025
44,44,33.4149,1048.68,220000,-3950.187744140625,1049.32,65.7749
45,45,34.6034,84.14,225000,-4690.0439453125,83.79,154.1798
46,46,34.595,65.09,230000,-5329.57421875,64.64,147.0251
47,47,33.7201,66.34,235000,-4655.4677734375,66.36,181.882
48,48,33.4279,367.69,240000,-4524.0986328125,366.59,115.0686
49,49,32.3286,74.6,245000,-3304.836669921875,74.09,143.4521
50,50,32.9579,149.87,250000,-3178.154296875,153.68,68.9684
51,51,32.6001,99.91,255000,-3218.30078125,86.37,105.749
52,52,34.4365,72.93,260000,-4383.14404296875,72.9,35.385
53,53,33.4726,70.21,265000,-3835.99072265625,69.81,48.5499
54,54,33.6468,151.94,270000,-3563.937744140625,126.66,105.8547
55,55,33.3261,420.03,275000,-2998.656005859375,413.25,111.4045
56,56,32.5296,312.83,280000,-1565.92041015625,309.5,143.802
57,57,31.9383,339.64,285000,-1681.3428955078125,335.16,139.0394
58,58,34.6314,1067.83,290000,-4365.2509765625,1067.33,26.7804
59,59,30.6406,623.1,295000,-3668.689697265625,625.95,24.5954
60,60,31.5353,400.46,300000,-3809.7080078125,443.83,87.9371
61,61,35.602,1061.03,305000,-4410.93408203125,1059.58,29.1511
62,62,32.8236,617.83,310000,-4922.7783203125,620.32,41.898
63,63,33.7661,1045.39,315000,-4832.158203125,1041.91,34.4913
64,64,34.0543,1037.41,320000,-5132.77783203125,1037.35,69.4119
65,65,33.7554,1049.27,325000,-4936.67919921875,1049.36,41.2594
66,66,34.0596,1052.87,330000,-5113.52978515625,1052.28,38.0212
67,67,33.8851,1039.38,335000,-5203.7412109375,1039.4,35.9049
68,68,33.6886,1053.26,340000,-4783.7919921875,1053.7,42.5224
69,69,33.7394,1048.86,345000,-5091.6298828125,1048.48,27.4247
70,70,33.7912,1059.74,350000,-5385.71044921875,954.45,60.4588
71,71,34.2028,1060.93,355000,-5531.72998046875,1061.19,75.362
72,72,33.7646,1066.57,360000,-5364.75341796875,1066.56,35.9847
73,73,33.8853,1043.17,365000,-5648.98876953125,1043.36,62.8801
74,74,33.5176,85.31,370000,-5438.54248046875,159.92,103.1601
