Itration,Real Sto Return,Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps
0,165.42,213.9,20.5283,455.231689453125,34.5908,0,0
1,304.21,331.2,20.7047,237.07546997070312,30.6217,1,5000
2,305.68,310.25,16.6739,19.97333526611328,30.0716,2,10000
3,305.25,58.18,17.636,98.60472106933594,28.2386,3,15000
4,1016.49,1011.77,21.3644,234.77291870117188,36.635,4,20000
5,395.36,398.4,19.5662,244.50604248046875,28.8437,5,25000
6,403.51,355.89,21.8461,100.9793930053711,27.925,6,30000
7,352.62,352.58,34.7409,338.5686340332031,29.4017,7,35000
8,518.0,506.65,19.04,127.36421203613281,27.3325,8,40000
9,477.66,430.1,14.0193,-2.5815067291259766,27.389,9,45000
10,868.27,758.79,16.9045,-34.27122497558594,26.6002,10,50000
11,620.39,558.63,21.2292,65.90397644042969,26.9376,11,55000
12,770.0,1029.11,13.2092,-53.867923736572266,25.2107,12,60000
13,1019.28,1022.43,29.4509,-242.61431884765625,36.7122,13,65000
14,434.03,386.74,18.183,13.106306076049805,26.4454,14,70000
15,1065.51,1013.72,21.5575,-313.6204833984375,29.8661,15,75000
16,83.85,84.57,42.889,-319.1397399902344,35.9587,16,80000
17,225.63,226.04,42.1644,-79.8641586303711,31.8786,17,85000
18,475.36,980.67,33.3488,-427.221923828125,31.861,18,90000
19,990.82,999.52,35.0118,-483.3603210449219,39.858,19,95000
20,949.27,1018.24,31.2356,-531.6232299804688,36.3556,20,100000
21,960.9,1011.5,61.6059,-566.4390258789062,35.7558,21,105000
22,1050.11,1051.42,26.0963,-633.0625,36.3145,22,110000
23,374.28,351.86,30.9309,-521.8795776367188,27.2688,23,115000
24,1040.77,1039.4,24.6849,-731.58251953125,36.1962,24,120000
25,1034.68,1035.14,38.4024,-794.6521606445312,38.1009,25,125000
26,556.44,628.87,24.7425,-723.0982666015625,28.2489,26,130000
27,1012.7,1009.02,21.55,-903.2220458984375,38.3085,27,135000
28,1032.15,1056.93,20.212,-958.7319946289062,36.6989,28,140000
29,1054.21,1051.87,20.3079,-1022.1141967773438,34.9121,29,145000
30,1014.08,1034.8,22.6494,-1030.2025146484375,35.6766,30,150000
31,979.22,980.5,30.9094,-1114.67236328125,39.2232,31,155000
32,902.46,978.05,32.4746,-1164.083984375,34.2727,32,160000
33,578.15,594.83,24.0071,-1050.76806640625,27.6604,33,165000
34,1022.38,1035.98,25.2607,-1291.1749267578125,36.865,34,170000
35,400.48,364.94,30.5624,-1405.7457275390625,28.2795,35,175000
36,393.96,372.53,30.8988,-1479.114501953125,30.6658,36,180000
37,1013.95,1020.53,26.1148,-1462.3414306640625,39.1841,37,185000
38,200.71,189.03,26.5915,-1179.595703125,25.8574,38,190000
39,1032.48,933.54,29.559,-1248.809814453125,26.0818,39,195000
40,558.53,556.56,18.5555,-1369.615234375,25.2445,40,200000
41,988.2,990.36,36.9997,-1658.3695068359375,37.9724,41,205000
42,928.36,766.3,23.3744,-1631.5059814453125,31.5268,42,210000
43,1001.28,1000.59,41.4282,-1774.071044921875,39.6731,43,215000
44,222.63,219.78,50.8491,-1975.144287109375,32.2982,44,220000
45,314.09,305.39,26.4312,-1825.5833740234375,31.9252,45,225000
46,665.31,660.55,30.3186,-1688.1580810546875,28.2095,46,230000
47,1019.06,1020.56,24.8992,-1857.7227783203125,36.8244,47,235000
48,984.24,986.52,34.3997,-1981.6458740234375,37.1617,48,240000
49,972.03,972.87,50.7102,-2052.550048828125,37.9333,49,245000
50,984.6,994.03,37.8594,-2029.324951171875,36.0423,50,250000
51,1006.18,1006.11,32.2428,-2210.742919921875,38.7193,51,255000
52,979.52,979.23,40.6833,-2262.099365234375,38.9671,52,260000
53,1038.32,1036.64,32.2566,-2302.449462890625,39.7795,53,265000
54,1010.8,998.6,25.1078,-2307.3515625,38.1054,54,270000
55,975.88,976.91,38.0294,-2409.8798828125,37.9363,55,275000
56,1042.63,1038.73,22.7372,-2421.591796875,37.3274,56,280000
57,1024.51,1024.76,22.6458,-2517.1533203125,35.7215,57,285000
58,979.24,980.9,31.9292,-2584.738037109375,37.4274,58,290000
59,1031.12,1031.35,27.4266,-2666.126220703125,39.1935,59,295000
60,990.61,1037.54,32.39,-2549.654296875,34.016,60,300000
61,970.79,971.99,41.1829,-2782.7275390625,36.6167,61,305000
62,284.51,284.98,23.2235,-2782.330078125,32.4536,62,310000
63,737.38,940.8,24.5688,-2483.374755859375,29.5058,63,315000
64,988.81,989.22,45.0969,-2943.8154296875,37.9839,64,320000
65,334.1,366.9,45.7781,-2628.767578125,31.9207,65,325000
66,509.11,543.78,36.0321,-2588.6181640625,27.3383,66,330000
67,282.21,278.72,31.939,-2633.868896484375,30.1544,67,335000
68,397.56,388.77,53.3689,-2841.9150390625,31.0885,68,340000
69,1057.11,1055.31,26.7986,-3181.95849609375,34.5105,69,345000
70,1020.78,1012.46,24.3509,-3180.004638671875,37.0978,70,350000
71,1038.19,1036.97,22.5872,-3278.66064453125,36.9147,71,355000
72,1072.19,1037.91,27.3812,-3346.0888671875,36.3069,72,360000
73,921.88,988.32,27.3679,-3432.722900390625,34.4348,73,365000
74,576.87,412.46,21.3685,-2679.750244140625,27.2641,74,370000
75,665.29,691.83,15.6567,-2426.61865234375,26.1714,75,375000
76,780.58,756.13,13.5865,-1472.981689453125,25.7281,76,380000
77,601.84,630.13,20.754,-2530.01123046875,27.2349,77,385000
78,357.37,323.01,17.9734,-2932.37255859375,29.3074,78,390000
79,638.2,672.18,23.3686,-3012.704833984375,26.8206,79,395000
80,669.68,759.04,51.8413,-3112.1103515625,27.0691,80,400000
81,840.77,903.46,56.5028,-2534.737548828125,25.4504,81,405000
82,1144.48,1503.27,11.3013,-1069.22900390625,22.9067,82,410000
83,875.04,953.67,37.142,-2172.8076171875,24.2623,83,415000
84,1214.39,1940.68,12.5504,-1628.9521484375,24.2374,84,420000
85,1157.85,1205.33,29.8826,-1901.4117431640625,24.1175,85,425000
86,1435.32,1630.21,13.5696,-2281.7939453125,23.6496,86,430000
87,1232.19,299.68,14.0293,-1201.5281982421875,23.0994,87,435000
88,1417.1,1020.51,40.3559,-2210.272216796875,25.1723,88,440000
89,2181.2,2123.35,12.2746,-1119.279541015625,26.5721,89,445000
90,1819.34,1936.06,15.6503,-1651.209228515625,25.0832,90,450000
91,2071.82,2313.16,13.059,-1270.8125,23.9441,91,455000
92,858.66,1250.76,38.4421,-2824.465087890625,25.51,92,460000
93,781.01,875.89,39.0997,-3119.7158203125,25.3552,93,465000
94,852.52,1007.06,45.9538,-2782.466552734375,23.446,94,470000
95,2400.8,2499.4,21.5935,-1105.789794921875,22.5685,95,475000
96,1213.9,1332.87,22.3797,-2155.261962890625,23.2627,96,480000
97,1077.55,1436.6,28.258,-3138.850341796875,25.1105,97,485000
98,1055.13,1485.23,44.5727,-3058.60107421875,24.0976,98,490000
99,875.71,1313.84,14.1194,-2198.623046875,24.758,99,495000
100,1472.22,1945.56,23.9928,-2452.9365234375,24.313,100,500000
101,2662.1,2849.34,12.8714,-891.952392578125,22.347,101,505000
102,2509.72,3043.65,13.508,-986.43017578125,22.0938,102,510000
103,1937.5,1269.11,39.5042,-2591.616455078125,24.7125,103,515000
104,2793.94,1805.38,17.3419,-1183.37255859375,25.3031,104,520000
105,2119.43,2641.86,27.0013,-1626.9420166015625,24.2408,105,525000
106,2626.03,2952.69,17.8234,-1202.870849609375,23.3749,106,530000
107,2908.2,2876.13,12.3184,-775.1760864257812,22.354,107,535000
108,2454.51,2517.38,13.7836,-1316.3095703125,23.8468,108,540000
109,2748.66,2765.55,11.966,-777.4622802734375,23.5277,109,545000
110,2689.99,2697.06,11.9353,-1091.4158935546875,23.3315,110,550000
111,2164.46,2832.28,25.6148,-1716.15869140625,22.7288,111,555000
112,2564.08,2724.68,13.3158,-865.3875122070312,23.3591,112,560000
113,1509.73,1730.46,62.5969,-3286.097900390625,23.427,113,565000
114,2556.57,2949.91,18.0504,-1050.6087646484375,22.3775,114,570000
115,2727.02,2815.47,13.4435,-733.7539672851562,23.4321,115,575000
116,1601.51,1669.69,50.2691,-3006.448486328125,23.3403,116,580000
117,1535.09,2835.56,30.4384,-2920.83154296875,23.6955,117,585000
118,3033.98,2967.4,14.5407,-827.5176391601562,23.0966,118,590000
119,3077.2,3073.94,13.7412,-839.0343627929688,22.995,119,595000
120,1062.07,3271.71,68.8729,-3306.824951171875,23.176,120,600000
121,2870.44,3050.68,13.7549,-788.0111083984375,23.0301,121,605000
122,3080.72,3078.62,15.107,-1301.74951171875,23.0855,122,610000
123,3053.13,3032.46,12.0169,-891.3997802734375,22.0951,123,615000
124,1952.97,3082.57,47.562,-2309.7548828125,23.6722,124,620000
125,2983.08,3174.43,11.8489,-615.9891357421875,21.7415,125,625000
126,1979.91,3033.35,14.794,-1162.5562744140625,22.3416,126,630000
127,2824.85,2790.85,12.0807,-876.6105346679688,22.2384,127,635000
128,2798.13,2909.82,12.9891,-937.1244506835938,22.835,128,640000
129,2876.89,2795.38,12.3232,-997.2928466796875,23.4468,129,645000
130,2879.26,2807.87,12.6789,-1022.29248046875,23.8167,130,650000
131,2944.81,3046.63,11.9984,-962.5510864257812,21.8361,131,655000
132,2891.26,2957.69,11.796,-1088.8717041015625,22.7146,132,660000
133,3065.96,3048.98,14.7513,-437.6349792480469,21.7068,133,665000
134,2931.16,2943.7,12.8003,-1084.3201904296875,23.433,134,670000
135,2963.68,2952.67,13.5969,-1024.3416748046875,23.4384,135,675000
136,2951.22,3108.31,13.8835,-839.2424926757812,23.1897,136,680000
137,3011.44,2991.97,13.3444,-1026.4979248046875,22.9,137,685000
138,2989.52,3035.54,14.069,-972.7639770507812,23.0213,138,690000
139,2891.72,3127.06,20.1043,-1982.419677734375,22.949,139,695000
140,1985.56,2800.0,13.5479,-1047.48388671875,23.1746,140,700000
141,2973.22,3024.42,12.9421,-1204.3543701171875,23.2565,141,705000
142,2938.26,2965.28,14.9818,-974.5992431640625,23.4595,142,710000
143,3014.4,2949.14,14.5824,-983.9476318359375,23.5378,143,715000
144,2954.98,2931.48,14.2759,-892.929443359375,23.1182,144,720000
145,2391.86,2098.94,16.0511,-2320.980712890625,23.8414,145,725000
146,3046.24,3044.63,13.814,-780.6602783203125,22.1389,146,730000
147,3097.27,3077.5,12.8789,-986.0838623046875,22.7878,147,735000
148,2994.98,2968.23,13.6431,-863.8593139648438,22.4329,148,740000
149,2850.69,2818.83,13.5525,-874.11865234375,23.0247,149,745000
150,2963.94,2964.42,13.635,-803.36962890625,22.6699,150,750000
151,3105.97,3089.67,14.1232,-687.873291015625,21.4879,151,755000
152,2990.8,2974.02,12.1675,-1081.7840576171875,22.0799,152,760000
153,1967.38,2885.49,13.0625,-837.36669921875,22.0371,153,765000
154,2873.39,3021.07,13.2451,-934.7508544921875,22.2225,154,770000
