Real Det Return,Reward Loss,Running Reverse KL,Running Forward KL,Running Update Time,Running Env Steps,Real Sto Return,Itration
447.17,-6015.32177734375,230.3937,437.479,0,0,356.2,0
304.37,-7383.00634765625,276.1682,451.6222,1,5000,330.87,1
341.55,-8896.3974609375,257.5605,430.8332,2,10000,374.54,2
397.01,-5210.35498046875,261.556,428.2432,3,15000,408.01,3
398.71,-3127.543701171875,259.2955,409.2578,4,20000,441.04,4
497.9,-12825.390625,265.3526,426.8679,5,25000,366.4,5
375.78,-16213.501953125,297.8542,440.3081,6,30000,405.14,6
494.1,-14642.068359375,271.6887,419.1056,7,35000,441.0,7
497.68,-15604.939453125,271.0149,411.4256,8,40000,501.91,8
562.56,-12127.259765625,259.4955,409.2739,9,45000,497.96,9
563.57,-14700.0390625,264.3766,414.2474,10,50000,512.45,10
417.78,-18239.744140625,264.5035,409.962,11,55000,500.64,11
439.4,-18494.384765625,268.356,429.3214,12,60000,473.15,12
443.23,-24007.3671875,301.5212,423.1641,13,65000,478.38,13
456.4,-24282.671875,282.1801,417.2795,14,70000,474.05,14
542.79,-23529.265625,263.6884,409.3684,15,75000,547.32,15
533.28,-26605.978515625,273.659,404.0827,16,80000,558.07,16
511.89,-25736.189453125,251.7349,397.899,17,85000,524.48,17
514.29,-26835.8359375,258.3286,409.0713,18,90000,541.5,18
472.45,-31309.935546875,282.3963,406.1315,19,95000,563.58,19
567.81,-23543.435546875,246.4939,407.3336,20,100000,561.24,20
603.51,-29248.111328125,238.7132,392.0069,21,105000,571.66,21
625.87,-31612.248046875,237.615,394.567,22,110000,538.46,22
606.11,-28213.302734375,236.7633,403.4712,23,115000,620.43,23
781.34,-29855.50390625,234.9576,396.8361,24,120000,606.67,24
665.24,-32834.12890625,235.943,393.7308,25,125000,608.76,25
505.22,-32290.154296875,253.9252,391.0345,26,130000,595.51,26
496.79,-35187.24609375,240.0956,396.1431,27,135000,599.07,27
568.33,-37626.74609375,249.643,394.5754,28,140000,578.02,28
655.64,-37385.19140625,242.6532,394.2232,29,145000,591.56,29
598.29,-36497.10546875,231.5333,383.0024,30,150000,660.5,30
451.44,-41541.25390625,253.9593,404.7049,31,155000,622.1,31
498.24,-42016.95703125,246.0524,391.4137,32,160000,602.31,32
479.1,-41517.83984375,255.5443,398.3653,33,165000,670.03,33
499.83,-37800.30078125,247.7128,400.9845,34,170000,658.89,34
569.2,-35410.4296875,242.4495,402.2676,35,175000,792.23,35
736.15,-36367.1484375,242.7171,391.0172,36,180000,737.52,36
631.35,-42690.82421875,246.4022,393.1891,37,185000,689.91,37
576.02,-46120.890625,248.3074,397.9024,38,190000,635.91,38
583.64,-45662.3359375,245.5817,384.9094,39,195000,651.99,39
853.99,-48432.6953125,241.76,381.3099,40,200000,765.23,40
833.84,-54196.390625,275.1451,390.7129,41,205000,741.7,41
700.26,-51312.37109375,255.1096,378.7706,42,210000,886.39,42
705.47,-50019.703125,251.0737,386.0083,43,215000,721.02,43
526.27,-53375.328125,262.4091,391.6261,44,220000,783.95,44
977.69,-50842.3125,245.3869,377.3635,45,225000,794.7,45
775.54,-49538.6484375,226.2863,384.5288,46,230000,910.05,46
577.22,-53610.703125,251.5038,391.9795,47,235000,750.17,47
954.2,-42390.7734375,227.1656,375.9609,48,240000,1141.71,48
786.72,-50073.94921875,220.1021,368.9828,49,245000,1354.61,49
1045.22,-48772.18359375,232.8619,385.9283,50,250000,1116.22,50
961.81,-49918.44140625,235.3272,389.6194,51,255000,1011.98,51
1628.67,-49515.921875,217.4058,375.6137,52,260000,1187.88,52
1132.33,-42776.62890625,203.4959,366.504,53,265000,1334.98,53
1499.46,-47397.69921875,212.0529,379.7805,54,270000,1124.91,54
1395.29,-44666.26171875,217.2389,375.9093,55,275000,1166.52,55
2070.35,-40003.6875,184.5468,363.3846,56,280000,1424.87,56
1353.78,-48720.59375,211.0131,367.3596,57,285000,1728.0,57
3755.09,-42734.34765625,202.2873,356.4098,58,290000,2282.49,58
4749.24,-37166.49609375,177.4037,357.4528,59,295000,2589.56,59
3337.46,-41057.91015625,200.9464,361.8191,60,300000,1347.32,60
2983.81,-49762.37890625,229.4076,363.2272,61,305000,1435.58,61
2079.03,-40691.22265625,180.521,360.8783,62,310000,2168.6,62
3804.08,-50470.6171875,205.7993,358.5282,63,315000,1937.45,63
1968.96,-41906.203125,198.4505,353.5854,64,320000,2109.48,64
2531.63,-45853.88671875,189.9433,342.9609,65,325000,2611.23,65
1080.03,-49081.49609375,222.9582,357.6524,66,330000,1272.33,66
2693.55,-35497.83984375,153.169,342.3598,67,335000,3277.35,67
1543.08,-56019.69140625,215.326,353.3801,68,340000,1395.09,68
4098.25,-44029.51171875,168.7224,338.9458,69,345000,2711.44,69
2775.55,-52755.796875,214.7453,339.8841,70,350000,2514.57,70
3099.52,-48062.0703125,183.8757,341.4815,71,355000,2145.18,71
3463.87,-37570.51171875,137.866,329.0324,72,360000,2985.44,72
4369.08,-37607.8984375,157.6444,342.018,73,365000,3311.29,73
2091.33,-39594.82421875,152.9444,338.9939,74,370000,3233.41,74
3520.08,-43914.23046875,158.7779,338.8226,75,375000,4201.32,75
4670.07,-31820.826171875,147.4838,346.0873,76,380000,4096.58,76
3320.42,-32822.0625,142.3321,341.8317,77,385000,3935.44,77
2749.92,-38731.15234375,152.1675,334.7571,78,390000,4100.01,78
4180.04,-40296.5,152.5433,338.7463,79,395000,3188.7,79
4658.04,-39033.375,157.5598,327.6423,80,400000,3729.71,80
1703.46,-39388.53515625,151.2269,338.16,81,405000,3720.04,81
4803.74,-37436.4609375,130.7723,319.5273,82,410000,3658.56,82
3345.47,-43293.1796875,161.5995,330.7431,83,415000,3145.58,83
2409.18,-46586.9296875,161.8454,335.2385,84,420000,2525.43,84
5002.37,-30710.67578125,134.704,329.3146,85,425000,4556.57,85
4418.07,-39272.125,147.5435,332.713,86,430000,4544.99,86
3310.69,-37370.19140625,128.6733,330.2834,87,435000,4024.4,87
4420.35,-33533.94140625,122.8348,325.9191,88,440000,4369.81,88
4870.38,-36164.1484375,125.2223,330.5026,89,445000,4189.75,89
4583.87,-46159.91015625,144.3429,328.2163,90,450000,4153.05,90
4426.67,-43913.65625,131.9176,321.8104,91,455000,3887.79,91
4351.91,-43437.25390625,133.806,331.9761,92,460000,4316.55,92
5025.12,-45969.2265625,137.9583,327.6001,93,465000,3675.08,93
5174.72,-39933.12890625,123.969,318.3421,94,470000,4978.16,94
3809.44,-57708.86328125,171.3704,347.579,95,475000,3566.57,95
