Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Running Update Time,Running Env Steps,Reward Loss
92.68,-194.25,12.1076,158.4946,0,0,0,26.09284210205078
-89.39,-111.42,11.9653,158.5762,1,1,5000,-25.439664840698242
438.41,99.67,12.2477,158.4946,2,2,10000,-85.45368957519531
746.95,292.05,13.1281,158.2331,3,3,15000,-131.8570098876953
909.82,519.55,14.2015,158.2431,4,4,20000,-178.13613891601562
887.46,578.27,14.1486,158.1057,5,5,25000,-232.32379150390625
1028.88,669.62,14.0269,157.8531,6,6,30000,-255.37338256835938
1230.61,823.34,14.8161,158.0116,7,7,35000,-284.84942626953125
1258.22,922.66,15.1608,157.9754,8,8,40000,-331.282958984375
1396.38,960.95,15.4336,157.9824,9,9,45000,-371.2091064453125
1445.52,1130.51,15.7947,157.6682,10,10,50000,-408.529052734375
1518.42,1147.5,16.2022,157.8339,11,11,55000,-446.9567565917969
1547.04,1125.4,16.185,157.7488,12,12,60000,-479.820556640625
1652.83,1264.04,16.4347,157.6336,13,13,65000,-536.8737182617188
1689.07,1264.55,16.4179,157.8393,14,14,70000,-579.4114379882812
83.07,172.16,13.3843,157.6979,15,15,75000,-577.4031372070312
-369.81,-223.38,21.839,158.1521,16,16,80000,-469.9237976074219
-0.23,-6.29,12.0127,157.6626,17,17,85000,-631.6644897460938
-216.56,-129.37,12.3738,158.1761,18,18,90000,-769.1749267578125
-139.17,-9.22,15.9874,158.1425,19,19,95000,-835.37255859375
-128.09,21.69,15.6606,157.9527,20,20,100000,-885.8472290039062
720.19,424.09,12.9542,157.8,21,21,105000,-901.1041259765625
1182.83,514.33,14.4586,158.1581,22,22,110000,-864.4843139648438
2215.23,1115.64,13.149,157.1391,23,23,115000,-943.3110961914062
2755.74,1310.69,13.0065,157.0605,24,24,120000,-975.171630859375
2501.55,1439.18,14.065,156.5172,25,25,125000,-1013.8926391601562
1901.37,1516.93,15.0646,156.3364,26,26,130000,-1060.8369140625
3159.84,2690.78,15.7828,156.5121,27,27,135000,-1054.1043701171875
3366.21,2974.7,14.6331,156.204,28,28,140000,-1109.4896240234375
3609.14,3386.84,15.8876,156.1561,29,29,145000,-1144.0045166015625
2947.47,3340.62,14.9696,155.641,30,30,150000,-1190.3662109375
4293.28,3218.96,15.0712,155.6646,31,31,155000,-1222.7767333984375
3579.05,2801.84,14.745,155.8004,32,32,160000,-1262.0731201171875
4526.26,3959.91,17.509,155.7604,33,33,165000,-1300.5045166015625
4720.86,4073.44,16.8133,155.5824,34,34,170000,-1323.596923828125
4718.78,4247.34,16.561,155.1576,35,35,175000,-1336.8028564453125
4971.61,4445.85,16.6619,154.5841,36,36,180000,-1355.43798828125
5155.46,4555.42,17.0186,154.8546,37,37,185000,-1409.7833251953125
5373.85,4658.97,16.8928,154.8123,38,38,190000,-1411.01806640625
5352.65,4847.62,17.5685,154.4359,39,39,195000,-1409.4705810546875
5455.34,4973.39,16.5608,153.9868,40,40,200000,-1455.4033203125
5616.56,5205.01,16.0141,153.5665,41,41,205000,-1482.0902099609375
6369.09,5401.99,17.2271,153.523,42,42,210000,-1497.563720703125
6287.67,5508.71,16.8526,153.879,43,43,215000,-1555.9739990234375
6442.35,5885.62,17.4314,153.2076,44,44,220000,-1609.41943359375
6488.76,5885.76,18.192,153.7862,45,45,225000,-1622.8594970703125
6095.34,5687.94,16.8875,153.5413,46,46,230000,-1720.2835693359375
6736.1,6167.26,17.3482,152.9753,47,47,235000,-1689.5625
6862.98,6282.18,18.0923,153.0402,48,48,240000,-1714.0643310546875
6840.45,6394.16,18.3828,152.8427,49,49,245000,-1769.6651611328125
6930.38,6549.14,17.4358,152.5912,50,50,250000,-1747.3133544921875
7235.59,6720.72,17.8085,152.2497,51,51,255000,-1785.0240478515625
7188.98,6662.84,16.7521,151.2886,52,52,260000,-1763.6240234375
7207.38,6819.68,17.2064,151.7507,53,53,265000,-1835.6734619140625
7359.19,6934.54,16.8248,150.8277,54,54,270000,-1789.087646484375
7286.16,6972.03,17.8635,151.9467,55,55,275000,-1930.916015625
7624.48,7169.57,16.4999,150.6174,56,56,280000,-1825.673583984375
7544.09,7049.96,16.961,150.6207,57,57,285000,-1910.40478515625
6954.13,6765.63,16.9956,151.0015,58,58,290000,-1954.297607421875
7927.86,7463.96,16.9891,150.1363,59,59,295000,-1890.433837890625
7971.9,7462.33,15.9782,149.5677,60,60,300000,-1921.0352783203125
8075.39,7604.93,16.2793,149.7791,61,61,305000,-1913.3555908203125
8070.36,7596.16,15.8197,149.3691,62,62,310000,-1920.0792236328125
7908.89,7441.15,16.0969,148.9872,63,63,315000,-1971.7415771484375
8373.89,7857.03,15.8812,149.0217,64,64,320000,-1956.2508544921875
8251.31,7757.32,15.7718,148.7431,65,65,325000,-1993.1090087890625
8198.18,7833.66,14.9496,148.2616,66,66,330000,-1934.9688720703125
8398.44,7930.8,16.5245,149.1981,67,67,335000,-2099.704345703125
8422.55,7987.39,15.9568,148.3529,68,68,340000,-2075.60009765625
8341.51,7851.34,16.0326,148.7839,69,69,345000,-2084.2783203125
8421.16,8048.9,15.5741,148.3995,70,70,350000,-2055.650390625
8535.42,8118.41,15.2907,148.2523,71,71,355000,-2082.66064453125
8512.26,8096.84,15.341,148.3228,72,72,360000,-2143.653564453125
