Running Env Steps,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Running Update Time
0,0.33,11.408209800720215,-168.79,11.8284,158.5654,0,0
5000,248.28,-38.53878402709961,22.0,12.2297,158.4939,1,1
10000,30.98,-84.73377227783203,171.56,12.8102,158.405,2,2
15000,317.87,-146.1830596923828,368.4,13.4518,158.2335,3,3
20000,-129.35,-171.1433563232422,-11.34,12.8383,158.195,4,4
25000,-235.72,-222.08682250976562,272.91,12.9092,158.0053,5,5
30000,1099.62,-258.8723449707031,697.08,14.5139,157.926,6,6
35000,1230.25,-276.0705871582031,834.87,15.1351,158.0995,7,7
40000,1382.05,-327.4415283203125,946.49,15.6778,158.005,8,8
45000,1321.81,-338.44775390625,921.44,16.0203,157.7437,9,9
50000,1445.66,-385.4471435546875,1008.74,15.7184,158.0769,10,10
55000,1446.1,-435.1051330566406,1004.0,16.4511,157.9983,11,11
60000,1449.23,-461.6888732910156,1105.29,16.0683,157.8412,12,12
65000,1394.0,-542.0732421875,1016.22,15.0418,157.8798,13,13
70000,1489.92,-559.7749633789062,1074.58,16.1588,157.9242,14,14
75000,1505.49,-602.287841796875,1204.43,16.8324,157.7997,15,15
80000,1669.64,-648.1983642578125,1242.52,16.1956,157.6922,16,16
85000,1633.35,-682.2412109375,1015.05,16.3831,157.6405,17,17
90000,1718.2,-725.4182739257812,1307.56,16.6393,157.6969,18,18
95000,202.65,-812.2618408203125,813.91,15.4523,157.8631,19,19
100000,1242.46,-838.5535278320312,1168.1,15.1772,157.5559,20,20
105000,1806.88,-862.9483032226562,1326.97,16.3225,157.694,21,21
110000,1797.5,-900.9617309570312,1321.91,15.9064,157.7238,22,22
115000,1766.83,-930.6912841796875,1360.74,16.1328,157.8024,23,23
120000,1714.97,-978.1529541015625,1387.42,16.4902,157.7743,24,24
125000,1719.65,-1014.7818603515625,1431.19,16.1614,157.661,25,25
130000,1792.32,-1058.368896484375,1427.94,16.3538,157.8926,26,26
135000,1787.11,-1085.4912109375,1416.62,16.0103,157.8085,27,27
140000,1658.68,-1126.2525634765625,1465.04,16.0272,157.5663,28,28
145000,1891.48,-1147.453857421875,1498.72,15.9412,157.4344,29,29
150000,1905.17,-1204.0975341796875,1541.11,16.6353,157.6513,30,30
155000,1920.05,-1237.6578369140625,1545.2,16.1141,157.4805,31,31
160000,1933.33,-1280.4400634765625,1573.02,16.4825,157.6707,32,32
165000,1944.09,-1323.35498046875,1572.3,16.2553,157.5524,33,33
170000,1953.92,-1350.6527099609375,1603.94,16.2797,157.4512,34,34
175000,1929.03,-1382.4183349609375,1575.01,16.1139,157.4312,35,35
180000,1939.08,-1427.6177978515625,1590.51,16.0118,157.3886,36,36
185000,1973.43,-1453.8704833984375,1617.34,16.1826,157.3467,37,37
190000,1714.43,-1495.229248046875,1588.21,16.3268,157.5642,38,38
195000,1977.21,-1527.2086181640625,1603.23,15.9382,157.3591,39,39
200000,1970.65,-1555.43896484375,1615.72,15.9526,157.3781,40,40
205000,2063.65,-1602.617431640625,1651.81,16.3772,157.3787,41,41
210000,2002.58,-1629.3494873046875,1652.16,15.9863,157.1481,42,42
215000,1990.39,-1686.9378662109375,1657.62,16.3129,157.4739,43,43
220000,2022.15,-1694.320068359375,1660.37,16.1537,157.1591,44,44
225000,2041.63,-1742.6383056640625,1681.84,16.2434,157.2993,45,45
230000,2109.34,-1787.57861328125,1690.45,15.9743,157.2816,46,46
235000,2002.04,-1831.4837646484375,1698.2,16.3316,157.2505,47,47
240000,2055.33,-1856.4234619140625,1693.47,15.8585,157.2865,48,48
245000,2040.37,-1909.130859375,1652.18,16.1977,157.1564,49,49
250000,2077.72,-1940.2496337890625,1715.72,16.2971,157.3008,50,50
255000,2063.15,-1982.7913818359375,1663.13,16.03,157.2346,51,51
260000,2077.27,-2027.536376953125,1724.28,15.998,156.9974,52,52
265000,2110.5,-2060.797119140625,1753.67,16.2742,157.1783,53,53
270000,2056.92,-2083.989990234375,1694.19,15.7696,157.0724,54,54
275000,2058.42,-2132.22802734375,1696.06,16.0252,157.0564,55,55
280000,2076.76,-2183.25927734375,1708.37,15.8926,157.0636,56,56
285000,2132.3,-2222.560546875,1733.47,15.7559,156.996,57,57
290000,2134.3,-2264.3232421875,1752.24,16.5654,157.193,58,58
295000,2080.04,-2292.64404296875,1699.87,15.8029,156.9653,59,59
300000,2134.35,-2335.94873046875,1727.39,16.0795,157.141,60,60
305000,2148.94,-2386.10595703125,1776.9,16.1848,156.9879,61,61
310000,2122.64,-2408.803955078125,1748.31,16.1953,156.9892,62,62
315000,2053.27,-2468.369384765625,1711.35,15.9118,157.2362,63,63
320000,2116.65,-2480.0263671875,1729.98,15.5943,156.9515,64,64
325000,2130.69,-2542.4677734375,1707.4,15.6279,156.8064,65,65
330000,2041.52,-2576.23583984375,1744.36,15.8549,157.076,66,66
335000,2126.18,-2617.0634765625,1755.34,16.0867,157.1912,67,67
340000,2076.68,-2649.441650390625,1732.66,15.9145,157.0553,68,68
345000,2114.19,-2695.747802734375,1727.18,15.7953,157.0097,69,69
350000,2157.02,-2761.118408203125,1791.42,15.9846,157.0093,70,70
355000,2133.26,-2779.611083984375,1743.01,15.9541,157.0014,71,71
360000,2110.2,-2822.253173828125,1756.82,15.9941,156.9586,72,72
365000,2164.78,-2872.96728515625,1780.35,15.9556,156.9321,73,73
370000,2003.55,-2907.603515625,1582.73,15.9719,156.9599,74,74
375000,116.35,-2930.696533203125,354.91,14.4241,157.033,75,75
380000,806.16,-3006.02587890625,1625.12,15.736,157.0419,76,76
385000,1571.51,-3014.7783203125,1343.17,14.55,157.0047,77,77
390000,2140.36,-3090.586669921875,1733.56,15.4917,156.7713,78,78
395000,2168.41,-3129.760986328125,1841.26,16.133,156.8205,79,79
400000,2101.88,-3157.141357421875,1758.37,15.779,156.9998,80,80
405000,2132.27,-3198.579833984375,1781.97,15.7545,156.8469,81,81
410000,2094.99,-3239.3984375,1735.9,15.4876,156.7734,82,82
415000,2140.44,-3279.5859375,1792.66,15.7138,157.0427,83,83
