Real Det Return,Real Sto Return,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Running Env Steps
25.41,-199.5,0,-15.607804298400879,158.1109,11.2878,0,0
60.1,-115.29,1,-46.18400192260742,158.436,11.647,1,5000
131.84,-29.8,2,-65.86122131347656,158.4029,11.724,2,10000
605.91,167.49,3,-44.251529693603516,158.1666,12.333,3,15000
704.41,326.16,4,-48.509239196777344,158.2386,13.058,4,20000
787.65,446.48,5,-64.56404876708984,158.2502,13.6491,5,25000
993.98,609.14,6,-97.25642395019531,158.1048,13.8787,6,30000
1029.04,712.85,7,-124.17465209960938,158.2186,14.4527,7,35000
992.06,710.82,8,-186.18167114257812,158.1516,14.3835,8,40000
1067.47,889.6,9,-222.8978271484375,158.0409,14.6927,9,45000
1379.13,977.5,10,-228.90316772460938,158.0004,15.4023,10,50000
679.05,999.82,11,-265.6158752441406,157.8034,15.422,11,55000
1512.69,1059.38,12,-290.03851318359375,158.1913,16.2201,12,60000
1442.75,1071.27,13,-332.1445007324219,158.2136,16.3378,13,65000
1040.98,988.52,14,-365.6776428222656,158.0737,16.4577,14,70000
1565.19,1171.05,15,-395.0278015136719,158.1122,16.6422,15,75000
1641.98,1214.87,16,-410.63690185546875,158.2389,16.8538,16,80000
1720.28,1234.97,17,-472.10943603515625,157.9154,16.1935,17,85000
1727.6,1301.22,18,-480.2081604003906,158.2568,17.0884,18,90000
1720.73,1320.61,19,-546.1441650390625,157.988,16.4106,19,95000
1795.16,1372.0,20,-574.2974853515625,158.1133,16.6791,20,100000
1817.71,1394.14,21,-605.2823486328125,157.9667,16.6987,21,105000
1809.89,1425.67,22,-654.6888427734375,158.0892,16.4706,22,110000
1828.52,1452.83,23,-681.1355590820312,157.9969,16.4961,23,115000
1837.31,1471.98,24,-736.055419921875,158.163,16.6718,24,120000
1809.69,1439.21,25,-774.1998901367188,157.7781,16.2395,25,125000
1841.54,1480.74,26,-791.13037109375,157.7505,16.5082,26,130000
1878.84,1518.92,27,-817.2373046875,157.9057,16.565,27,135000
1894.44,1482.49,28,-871.03125,157.7165,16.251,28,140000
1916.86,1536.1,29,-919.0648803710938,157.8204,16.4086,29,145000
1903.44,1539.39,30,-947.9607543945312,157.5766,16.3224,30,150000
1870.2,1550.98,31,-997.9720458984375,157.6853,16.1246,31,155000
1928.65,1544.08,32,-1011.7906494140625,157.6121,16.2712,32,160000
1983.72,1566.46,33,-1046.80029296875,157.5099,16.4196,33,165000
1984.37,1616.89,34,-1061.1004638671875,157.7697,16.678,34,170000
2001.83,1625.73,35,-1118.7205810546875,157.5548,16.4593,35,175000
