Real Det Return,Running Reverse KL,Itration,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps,Running Update Time
-19.44,11.0503,0,158.2229,-305.943359375,-160.28,0,0
9.88,11.4791,1,158.3136,-358.4896545410156,-108.52,5000,1
514.32,11.7883,2,158.1814,-445.44195556640625,56.9,10000,2
698.94,11.8419,3,157.9013,-525.9542236328125,202.84,15000,3
786.25,12.553,4,157.896,-602.421630859375,345.66,20000,4
955.31,13.0169,5,157.928,-636.5147705078125,464.94,25000,5
1016.79,13.2747,6,158.0172,-680.6185302734375,563.54,30000,6
1167.15,14.259,7,157.9951,-783.7723388671875,753.32,35000,7
1169.05,14.8777,8,157.7341,-805.35205078125,852.8,40000,8
1320.65,15.4399,9,157.7927,-825.3629150390625,954.03,45000,9
1468.68,15.8724,10,157.726,-866.1514892578125,1063.42,50000,10
1553.79,16.2844,11,157.6898,-908.0569458007812,1108.56,55000,11
1581.89,16.5652,12,157.7412,-970.8115844726562,1197.99,60000,12
1658.27,16.371,13,157.701,-1014.729248046875,1188.67,65000,13
1714.79,16.3936,14,157.6058,-1073.9288330078125,1222.45,70000,14
1738.1,17.0104,15,157.627,-1118.8314208984375,1296.97,75000,15
1736.18,16.3612,16,157.6764,-1137.1793212890625,1271.21,80000,16
1787.0,16.844,17,157.8757,-1209.7647705078125,1348.17,85000,17
1794.5,16.2329,18,157.7894,-1219.9232177734375,1388.74,90000,18
1868.13,16.2744,19,157.627,-1236.3577880859375,1404.38,95000,19
1763.85,16.1453,20,157.7707,-1277.8873291015625,1432.36,100000,20
1877.17,16.7298,21,157.8689,-1347.73974609375,1485.16,105000,21
1814.42,16.4715,22,157.8906,-1345.197021484375,1468.58,110000,22
1888.42,16.4024,23,157.642,-1381.2188720703125,1487.56,115000,23
1902.3,16.2833,24,157.4678,-1450.1243896484375,1526.96,120000,24
1938.68,16.399,25,157.8766,-1479.184814453125,1532.47,125000,25
1926.42,16.5513,26,157.7055,-1503.154296875,1590.75,130000,26
1837.3,16.1913,27,157.8015,-1529.8365478515625,1541.37,135000,27
1984.58,16.4698,28,157.6157,-1565.7149658203125,1637.9,140000,28
1986.6,16.1499,29,157.5994,-1604.1898193359375,1595.15,145000,29
2006.18,16.6221,30,157.4239,-1646.8189697265625,1610.41,150000,30
1941.8,16.3075,31,157.4208,-1664.939697265625,1620.98,155000,31
1966.6,16.1664,32,157.446,-1721.1534423828125,1627.45,160000,32
2063.13,16.5442,33,157.6676,-1779.8909912109375,1655.51,165000,33
1949.27,16.122,34,157.4624,-1795.0657958984375,1620.71,170000,34
1961.66,16.1976,35,157.3933,-1833.7139892578125,1539.22,175000,35
2115.66,16.3355,36,157.1829,-1919.06689453125,1700.24,180000,36
2072.73,16.0394,37,157.2242,-1924.072021484375,1677.32,185000,37
2046.62,16.4966,38,157.3017,-1956.59375,1682.39,190000,38
2015.78,16.2024,39,157.3294,-1976.2493896484375,1659.67,195000,39
2088.51,16.0548,40,157.2401,-2049.80419921875,1671.59,200000,40
2063.63,16.357,41,157.1865,-2071.97314453125,1697.27,205000,41
2057.53,16.4544,42,157.4273,-2099.68017578125,1715.09,210000,42
2002.51,15.9454,43,157.1147,-2116.37841796875,1708.96,215000,43
1985.17,15.9208,44,157.1394,-2183.40869140625,1699.0,220000,44
2106.15,16.0685,45,157.2929,-2232.62646484375,1720.03,225000,45
2120.8,16.7207,46,157.3651,-2266.9072265625,1721.94,230000,46
2048.54,16.0757,47,157.2123,-2326.23388671875,1715.11,235000,47
2016.47,15.8592,48,156.9993,-2335.350830078125,1690.78,240000,48
2113.82,15.941,49,156.9403,-2381.302978515625,1750.14,245000,49
2074.11,16.2276,50,157.2461,-2401.5986328125,1749.03,250000,50
2119.76,16.189,51,156.9966,-2476.820068359375,1747.75,255000,51
2067.87,16.0527,52,156.9987,-2522.97705078125,1750.4,260000,52
2121.65,15.6861,53,157.0348,-2550.146484375,1749.11,265000,53
2115.21,15.9149,54,156.9824,-2603.718017578125,1734.59,270000,54
2029.63,15.5948,55,157.2032,-2633.456787109375,1709.42,275000,55
2108.58,16.0571,56,157.1141,-2657.35302734375,1761.09,280000,56
2143.12,15.8756,57,156.9296,-2717.81591796875,1758.08,285000,57
2070.36,15.5626,58,156.8731,-2755.90673828125,1734.47,290000,58
2036.65,15.9033,59,157.1341,-2789.2236328125,1751.42,295000,59
2101.84,15.5653,60,156.9248,-2834.77197265625,1760.59,300000,60
2150.61,16.0015,61,157.0269,-2865.49951171875,1812.31,305000,61
2089.23,15.8347,62,157.1228,-2911.390380859375,1760.03,310000,62
2140.61,15.593,63,156.7188,-2979.21826171875,1779.1,315000,63
2129.04,15.8732,64,156.9015,-2997.370361328125,1796.08,320000,64
2119.04,15.5583,65,156.7889,-3023.568115234375,1786.94,325000,65
2121.76,15.7347,66,156.9705,-3090.77978515625,1777.26,330000,66
2176.1,15.8436,67,156.937,-3138.630859375,1810.9,335000,67
2134.11,16.1849,68,157.0531,-3173.361083984375,1813.66,340000,68
2100.61,15.7811,69,156.8597,-3233.5927734375,1763.84,345000,69
2082.32,15.6271,70,157.0044,-3222.19482421875,1764.26,350000,70
2114.48,15.8285,71,156.9291,-3294.733154296875,1781.52,355000,71
2162.98,15.8194,72,156.6642,-3351.56591796875,1798.58,360000,72
2122.71,15.7595,73,157.0125,-3391.7353515625,1779.32,365000,73
2129.94,15.7405,74,156.8936,-3425.9462890625,1804.48,370000,74
2182.01,15.5903,75,156.8064,-3495.65185546875,1790.47,375000,75
2116.82,15.7806,76,156.7586,-3508.17041015625,1799.26,380000,76
2138.76,15.7928,77,156.8402,-3573.784423828125,1803.11,385000,77
2095.93,15.4419,78,156.8243,-3603.789306640625,1781.07,390000,78
2154.86,15.9162,79,156.8362,-3667.93408203125,1815.58,395000,79
2147.75,15.4923,80,156.766,-3715.640625,1802.06,400000,80
2180.28,15.5463,81,156.8055,-3751.962158203125,1799.52,405000,81
2154.37,15.7282,82,156.8186,-3804.56982421875,1810.94,410000,82
2044.46,15.3694,83,156.8658,-3812.952880859375,1759.68,415000,83
