Reward Loss,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time,Running Env Steps,Running Forward KL
-2778.741943359375,317.2,37.4373,324.0,79,79,395000,34.514
-2576.99951171875,270.85,42.0347,278.56,80,80,400000,31.9522
-2787.108154296875,208.82,51.4648,208.98,81,81,405000,32.6936
-2646.2080078125,209.12,20.3626,209.35,82,82,410000,31.0038
-3850.308837890625,146.21,55.4511,141.27,83,83,415000,40.4472
-3888.052490234375,1017.51,29.3429,1019.26,84,84,420000,36.4642
-3925.919677734375,971.69,56.036,971.87,85,85,425000,40.1424
-3931.939697265625,975.0,34.5566,974.99,86,86,430000,39.4632
-4001.82421875,977.64,36.7295,976.61,87,87,435000,39.5457
-3386.440673828125,537.4,63.7949,623.12,88,88,440000,31.6708
-3335.9833984375,29.89,40.4546,29.08,89,89,445000,33.3685
-3264.832275390625,191.41,45.3615,189.37,90,90,450000,35.3136
-4050.409423828125,20.84,39.063,20.56,91,91,455000,39.3651
-3109.5703125,441.14,26.3683,449.02,92,92,460000,32.835
-4250.7490234375,1013.79,52.1516,1013.64,93,93,465000,37.8473
-4367.06005859375,972.0,48.5167,971.75,94,94,470000,38.7922
-3968.8720703125,443.13,38.7447,378.97,95,95,475000,33.0545
-4488.384765625,974.01,54.2234,974.25,96,96,480000,38.6411
-4153.6533203125,286.54,28.2891,414.24,97,97,485000,34.3188
-3989.865234375,381.29,32.9492,388.39,98,98,490000,33.6961
-4521.6611328125,1011.51,31.783,1011.19,99,99,495000,37.4497
-4615.24462890625,990.13,32.0534,994.05,100,100,500000,37.2414
-4683.46240234375,980.6,40.6959,981.17,101,101,505000,39.5192
-4748.2900390625,1024.69,37.6195,1028.01,102,102,510000,37.8779
-4083.577392578125,432.46,120.15,343.98,103,103,515000,34.8688
-3004.852783203125,343.67,55.3841,339.49,104,104,520000,31.5586
-3388.434814453125,237.4,90.2508,236.8,105,105,525000,33.7062
-4298.63330078125,18.69,118.9003,18.64,106,106,530000,34.0626
-5042.4599609375,1001.1,33.1327,1000.71,107,107,535000,39.1099
-5029.07080078125,991.14,44.1697,991.31,108,108,540000,39.8211
-5125.3017578125,985.71,40.582,985.68,109,109,545000,38.9438
-4941.87890625,885.72,29.881,1008.73,110,110,550000,33.9179
-3986.990478515625,147.49,21.3443,209.93,111,111,555000,34.0669
-4174.5693359375,688.13,22.3106,698.99,112,112,560000,32.0283
-5270.60009765625,1017.07,28.9218,1011.82,113,113,565000,39.4191
-3173.615478515625,39.78,20.916,39.56,114,114,570000,31.2492
-4670.65869140625,110.75,77.7247,113.21,115,115,575000,33.3647
-5187.958984375,268.15,68.8456,382.61,116,116,580000,36.1833
-5661.16259765625,1020.03,42.7771,1020.48,117,117,585000,39.0934
-5691.2119140625,1027.63,41.4105,1027.74,118,118,590000,39.1814
-5480.96044921875,1046.23,37.4447,1045.92,119,119,595000,37.5966
-4984.087890625,798.16,21.8481,1033.48,120,120,600000,33.9645
-5595.53173828125,1027.76,29.3633,1029.59,121,121,605000,36.0775
-5583.63671875,999.46,59.9144,999.59,122,122,610000,38.2085
-5388.26171875,840.64,56.2774,1008.32,123,123,615000,36.5659
-6096.14794921875,1019.57,42.6704,1019.95,124,124,620000,37.5997
-6079.7734375,1037.43,38.7774,1037.88,125,125,625000,38.3904
-6063.65478515625,1010.08,31.5518,1010.23,126,126,630000,38.8226
-6030.9208984375,979.93,44.7063,981.4,127,127,635000,38.5219
-6049.673828125,1012.29,43.318,1012.72,128,128,640000,36.5576
-6200.58984375,993.89,30.9413,994.38,129,129,645000,40.2564
-6273.4814453125,989.0,38.4904,989.53,130,130,650000,37.9923
-6333.94921875,337.05,55.119,338.53,131,131,655000,37.2722
-6282.23486328125,1007.93,41.8909,1007.94,132,132,660000,39.081
-6469.3037109375,992.47,29.0692,1047.29,133,133,665000,38.2711
