Running Env Steps,Running Reverse KL,Running Forward KL,Running Update Time,Itration,Real Sto Return,Real Det Return,Reward Loss
0,11.2636,158.2458,0,0,-204.13,194.94,57.55907440185547
5000,11.4905,158.2323,1,1,-94.22,-6.11,40.9006462097168
10000,11.9018,158.1892,2,2,72.4,170.44,21.84152603149414
15000,11.5509,157.9711,3,3,190.6,506.94,4.031956195831299
20000,11.204,157.596,4,4,297.89,620.41,7.394254207611084
25000,12.2142,157.6326,5,5,381.48,794.85,-41.168094635009766
30000,11.957,157.5497,6,6,468.06,796.13,-73.7625961303711
35000,12.2137,157.3642,7,7,569.7,825.34,-111.20277404785156
40000,12.695,157.5058,8,8,585.64,915.92,-139.47349548339844
45000,13.3549,157.4679,9,9,715.99,923.58,-170.66586303710938
50000,13.8688,157.441,10,10,855.77,1160.14,-194.32330322265625
55000,14.897,157.5422,11,11,1012.59,1356.78,-224.95245361328125
60000,16.1204,157.636,12,12,1074.98,1473.08,-248.0027618408203
65000,15.9241,157.5632,13,13,1172.67,1560.23,-273.048583984375
70000,15.4533,157.5652,14,14,1179.97,1607.43,-321.4149475097656
75000,15.5621,157.6476,15,15,1201.99,1655.82,-355.85589599609375
80000,15.7241,157.6569,16,16,1272.19,1696.18,-390.7412414550781
85000,15.6497,157.4659,17,17,1288.24,1712.98,-421.74249267578125
90000,15.6119,157.5155,18,18,1345.68,1766.75,-438.9437561035156
95000,15.4636,157.3331,19,19,1362.12,1794.75,-481.331298828125
100000,15.7054,157.3235,20,20,1446.65,1822.19,-517.1627807617188
105000,15.288,157.2723,21,21,1474.78,1866.17,-567.2740478515625
110000,15.16,157.249,22,22,1499.6,1926.85,-606.0220336914062
115000,15.2617,157.1266,23,23,1503.85,1922.8,-626.9953002929688
120000,15.1219,157.2039,24,24,1542.15,1956.81,-679.562255859375
125000,15.0915,157.1685,25,25,1525.29,1930.03,-718.7301025390625
130000,15.126,157.1024,26,26,1555.3,1963.89,-737.8796997070312
135000,15.0781,157.0487,27,27,1543.31,1938.72,-791.5914916992188
140000,15.1098,157.0677,28,28,1585.07,1956.13,-840.6813354492188
145000,15.3969,157.2294,29,29,1563.79,1947.79,-866.4686279296875
150000,15.0315,157.0559,30,30,1593.77,1940.87,-890.1184692382812
155000,15.0303,156.9654,31,31,1598.93,1981.05,-930.7049560546875
160000,14.9869,157.1787,32,32,1589.24,1992.85,-980.7640380859375
165000,15.0131,157.024,33,33,1575.26,1986.9,-1016.6468505859375
170000,15.1551,156.9986,34,34,1590.06,1978.1,-1053.169921875
175000,15.2118,157.148,35,35,1598.61,2020.32,-1076.2333984375
180000,15.3696,156.955,36,36,1620.03,1976.04,-1115.1949462890625
185000,14.9472,156.8852,37,37,1632.02,1988.89,-1163.55126953125
190000,15.1274,156.7371,38,38,1674.93,2015.31,-1178.2672119140625
195000,15.061,156.8759,39,39,1648.03,1915.18,-1247.40966796875
200000,14.8492,156.9565,40,40,1618.0,1963.86,-1276.4229736328125
205000,15.0661,156.8204,41,41,1659.69,2009.02,-1295.4263916015625
210000,15.1509,156.9677,42,42,1682.02,2041.58,-1335.9781494140625
215000,14.9908,156.8642,43,43,1676.3,2023.99,-1369.6953125
220000,15.1697,156.9441,44,44,1680.9,2070.54,-1412.3363037109375
225000,15.0003,156.9688,45,45,1649.53,2030.81,-1440.1102294921875
230000,14.9007,156.6039,46,46,1690.75,2079.67,-1455.9500732421875
235000,14.9954,156.7495,47,47,1663.42,2037.17,-1513.2410888671875
240000,15.092,156.8926,48,48,1707.18,2046.98,-1552.5789794921875
245000,15.216,156.7002,49,49,1736.76,2059.13,-1589.668701171875
250000,14.84,156.6904,50,50,1696.95,2065.43,-1625.458251953125
255000,14.8234,156.8489,51,51,1711.91,2089.46,-1655.5032958984375
260000,14.9436,156.9104,52,52,1678.12,2015.54,-1708.76318359375
265000,15.0721,156.7502,53,53,1701.32,2124.74,-1723.5667724609375
270000,14.7877,156.638,54,54,1710.7,2141.86,-1763.8726806640625
275000,14.9405,156.5829,55,55,1692.06,2069.75,-1824.5718994140625
280000,14.9941,156.7907,56,56,1742.95,2086.39,-1836.1934814453125
285000,15.0322,156.8137,57,57,1696.21,2091.25,-1876.26220703125
290000,14.848,156.8414,58,58,1712.95,2114.75,-1919.5008544921875
295000,14.9268,156.8904,59,59,1722.92,2134.9,-1945.8603515625
300000,15.0592,156.7492,60,60,1732.29,2094.7,-1996.92822265625
305000,14.8352,156.9337,61,61,1705.09,2100.5,-2030.2681884765625
310000,15.1256,156.8434,62,62,1749.11,2186.58,-2059.210205078125
315000,15.0042,156.8751,63,63,1706.6,2145.22,-2119.450927734375
320000,15.2172,156.9517,64,64,1737.58,2112.26,-2163.728759765625
325000,15.2915,156.8191,65,65,1763.03,2146.88,-2197.8359375
330000,15.0546,156.7567,66,66,1726.75,2134.58,-2214.487060546875
335000,15.1952,156.6954,67,67,1741.48,2114.77,-2261.88623046875
340000,15.2575,156.8121,68,68,1766.59,2143.9,-2313.720703125
345000,14.9986,156.8076,69,69,1715.68,2035.07,-2358.5732421875
350000,15.2057,156.7579,70,70,1723.4,2152.6,-2376.691650390625
355000,15.1206,156.6879,71,71,1782.5,2185.29,-2427.567626953125
360000,15.2907,157.0149,72,72,1781.65,2143.38,-2478.482666015625
365000,15.0514,156.6615,73,73,1728.16,2112.59,-2505.441162109375
370000,15.2481,156.814,74,74,1786.02,2210.91,-2566.175048828125
375000,14.9216,156.8107,75,75,1763.05,2178.63,-2573.395751953125
380000,15.0794,156.7376,76,76,1758.51,2162.89,-2613.03564453125
385000,15.1812,156.8285,77,77,1777.96,2203.32,-2659.39697265625
390000,15.1575,156.8429,78,78,1791.17,2171.99,-2730.9248046875
395000,15.1101,156.8492,79,79,1771.32,2204.15,-2753.64990234375
400000,14.9766,156.9223,80,80,1730.61,2151.42,-2805.196044921875
405000,15.0371,156.6045,81,81,1796.57,2208.35,-2811.029541015625
410000,15.1536,156.8233,82,82,1800.03,2228.76,-2855.49462890625
415000,15.0725,156.894,83,83,1811.61,2202.98,-2912.96337890625
420000,14.8528,156.6049,84,84,1783.66,2193.37,-2949.26953125
425000,15.0477,156.6133,85,85,1799.38,2208.63,-2974.35888671875
430000,15.0458,156.7323,86,86,1816.8,2219.08,-3036.107421875
435000,15.0784,156.7117,87,87,1784.34,2230.92,-3085.171142578125
440000,15.0958,156.6675,88,88,1838.77,2196.55,-3112.89111328125
445000,14.824,156.7185,89,89,1782.32,2165.83,-3175.839599609375
450000,14.6737,156.7235,90,90,1775.39,2162.5,-3214.533447265625
455000,15.3192,156.7543,91,91,1832.66,2244.18,-3222.276611328125
460000,14.9346,156.7749,92,92,1781.56,2178.67,-3331.38232421875
465000,15.0311,156.7082,93,93,1814.53,2236.6,-3328.91845703125
470000,15.2,156.7169,94,94,1796.41,2155.81,-3426.5361328125
475000,14.9543,156.7157,95,95,1808.23,2231.37,-3449.170654296875
480000,15.1753,156.7349,96,96,1829.09,2215.7,-3481.1611328125
485000,15.0342,156.6538,97,97,1806.47,2247.23,-3522.82421875
