Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Itration
158.5389,-222.26,11.7396,-40.75,0
158.4311,-81.56,11.6619,57.69,1
158.2734,136.93,12.2345,605.77,2
158.177,237.08,12.515,625.85,3
158.2101,334.15,12.7633,761.39,4
158.239,468.95,13.4292,979.35,5
158.3584,526.5,13.836,904.5,6
158.4133,618.19,14.3733,1015.86,7
158.3408,802.01,14.9708,1125.18,8
158.0402,949.05,15.7063,1314.13,9
158.3402,968.84,15.9242,1352.76,10
158.1458,1025.74,16.0488,1438.6,11
158.2943,1107.57,16.4613,1534.35,12
157.9743,1143.02,16.0459,1583.78,13
157.931,1195.72,16.3133,1609.83,14
158.0243,1258.33,16.3269,1692.96,15
157.8064,1234.46,16.0111,1603.96,16
158.0113,1269.17,15.7921,1727.96,17
157.8027,1321.35,16.1493,1742.49,18
157.8267,1410.45,15.7082,1798.75,19
157.9614,1338.05,15.5938,1752.95,20
157.9564,1419.92,16.5013,1835.54,21
157.9753,1466.16,16.5961,1806.71,22
157.6767,1483.31,16.2427,1835.99,23
157.7975,1461.88,16.5157,1843.64,24
157.9533,1516.51,16.4887,1853.29,25
157.8339,1546.95,16.8124,1915.87,26
157.7686,1518.97,16.4855,1877.83,27
157.6291,1574.1,16.3888,1978.86,28
157.5793,1567.34,16.3525,1917.87,29
157.6001,1615.85,16.566,1970.99,30
157.6385,1616.77,16.6193,1939.71,31
157.6808,1596.47,16.4124,1954.91,32
157.7135,1564.95,16.2967,1913.62,33
157.5162,1638.45,16.6316,2008.99,34
157.7462,1630.33,16.6376,1978.29,35
157.5465,1631.04,16.5209,2031.6,36
157.5501,1656.7,17.0845,2044.18,37
157.5038,1661.57,16.5808,2001.12,38
157.4575,1703.97,16.6438,2044.96,39
157.3112,1649.7,16.3965,1965.88,40
157.2086,1654.79,16.4064,1993.48,41
157.3771,1653.65,15.8032,1951.94,42
157.1495,1661.82,16.2522,2012.64,43
157.4881,1631.28,16.2667,1960.12,44
157.0043,1722.53,16.3235,2094.19,45
157.0015,1685.0,15.9393,1995.93,46
157.288,1692.16,16.2501,2028.67,47
157.2989,1611.31,15.73,1794.27,48
157.2873,1725.71,16.5154,2084.75,49
157.2879,1649.57,15.927,1940.41,50
157.2533,1712.75,16.1514,2077.85,51
157.0553,1710.21,16.159,2017.08,52
157.2303,1710.22,16.2456,2052.72,53
156.9374,1708.57,16.0177,2062.55,54
157.0325,1728.79,15.9977,2019.93,55
157.0786,1726.97,16.1109,2103.81,56
156.9438,1695.7,16.0164,2031.71,57
156.9437,1736.02,16.191,2052.2,58
157.2877,1739.73,15.9451,2073.61,59
157.0213,1728.59,16.2333,2083.84,60
157.0586,1719.76,15.9696,2083.73,61
156.9987,1757.33,16.3208,2122.04,62
157.3242,1730.29,16.1026,2052.86,63
157.0365,1787.04,16.2789,2141.35,64
157.2128,1724.12,16.2217,2107.16,65
157.1803,1746.51,16.0895,2118.68,66
156.8951,1759.36,15.9543,2106.03,67
157.1174,1744.88,16.0127,2118.15,68
156.8872,1747.36,16.0673,2101.65,69
157.0717,1760.85,15.9627,2106.01,70
156.911,1788.17,15.7742,2142.82,71
157.0656,1748.47,15.9855,2094.28,72
157.0123,1765.87,15.7524,2065.81,73
156.8714,1792.07,15.9995,2174.75,74
157.0067,1787.17,15.926,2143.33,75
156.8168,1780.23,15.7932,2141.75,76
156.9881,1681.14,15.7243,2053.6,77
156.9561,1756.03,15.7122,2138.96,78
157.2138,1777.62,16.0852,2110.75,79
156.9983,1801.4,15.833,2155.18,80
156.9088,1799.09,15.7982,2162.98,81
156.7971,1796.81,15.7838,2135.92,82
157.0776,1780.38,15.9718,2112.89,83
157.058,1800.97,16.2066,2171.7,84
156.929,1777.23,15.7824,2137.47,85
156.9985,1746.13,15.6832,2104.62,86
156.9289,1807.57,15.9117,2159.3,87
156.8373,1824.53,15.7447,2148.86,88
156.6461,1807.29,15.7083,2153.11,89
157.0132,1813.76,15.6612,2146.48,90
157.0933,1801.75,15.7643,2137.83,91
157.0746,1809.86,15.8134,2141.37,92
156.8419,1824.86,15.9772,2154.15,93
156.8745,1775.86,15.6554,2128.61,94
156.7941,1779.72,15.5027,2127.91,95
156.974,1796.98,15.6483,2159.73,96
156.9621,1821.77,15.7154,2182.97,97
156.9802,1846.51,15.763,2198.19,98
156.6173,1853.64,15.7611,2196.11,99
156.9881,1816.4,15.7436,2169.79,100
156.968,1742.34,15.3892,2097.85,101
157.1064,1827.89,15.7086,2157.67,102
156.7463,1840.56,15.7886,2143.16,103
156.9988,1789.34,15.8909,2190.31,104
156.9695,1826.45,15.8431,2159.02,105
156.8761,1835.38,15.7102,2193.0,106
156.7844,1798.43,15.628,2162.73,107
156.7991,1835.22,15.6138,2183.28,108
156.8805,1824.94,15.7084,2203.25,109
156.8062,1791.83,15.5819,2158.08,110
156.8286,1818.84,15.7753,2183.91,111
156.8714,1818.42,15.8156,2190.0,112
156.8328,1854.39,15.7419,2189.0,113
156.7756,1824.55,15.8951,2206.73,114
156.7185,1807.59,15.5193,2151.72,115
156.7347,1858.33,15.6925,2227.84,116
156.7589,1852.23,15.4778,2206.02,117
156.8366,1812.56,15.3713,2141.76,118
156.9372,1873.34,15.5197,2182.02,119
156.8177,1852.57,15.842,2207.82,120
156.8077,1858.68,15.7825,2207.92,121
156.9645,1821.16,15.3589,2153.48,122
