Real Sto Return,Running Env Steps,Running Reverse KL,Itration,Reward Loss,Running Forward KL,Running Update Time,Real Det Return
297.75,0,13.5168,0,83.59589385986328,49.6968,0,318.78
329.8,5000,23.5923,1,78.33547973632812,49.9366,1,354.07
285.83,10000,17.4062,2,-47.5474967956543,49.4351,2,258.76
315.69,15000,22.1932,3,6.128080368041992,49.7546,3,347.63
386.26,20000,17.5676,4,-15.467889785766602,49.2384,4,370.16
218.92,25000,12.1598,5,-8.803791999816895,49.6655,5,529.85
396.25,30000,12.6267,6,26.850223541259766,48.7181,6,413.43
22.21,35000,18.1363,7,88.91173553466797,52.9878,7,54.1
81.35,40000,33.1974,8,4.329964637756348,53.316,8,12.78
240.6,45000,28.2179,9,-36.62602615356445,51.3207,9,166.98
200.85,50000,16.0234,10,-83.91016387939453,50.78,10,231.82
354.44,55000,28.5492,11,-79.74000549316406,50.8243,11,194.5
305.02,60000,15.2878,12,-133.11582946777344,50.3742,12,336.5
314.6,65000,19.0695,13,-127.7562255859375,50.519,13,187.19
248.98,70000,19.0558,14,-132.35342407226562,50.0558,14,434.56
305.98,75000,21.6993,15,-177.2726287841797,49.784,15,421.28
-3.24,80000,284.6704,16,-99.18550872802734,57.5976,16,-3.56
256.01,85000,51.4495,17,-105.56156921386719,54.4758,17,314.58
440.81,90000,32.5753,18,-96.15278625488281,50.5268,18,636.49
417.02,95000,32.306,19,-73.8111343383789,50.0536,19,454.03
450.34,100000,36.7296,20,-64.64398956298828,52.591,20,132.06
411.41,105000,19.122,21,-94.08834838867188,50.0362,21,545.19
481.59,110000,24.9048,22,-109.61921691894531,49.5913,22,471.24
292.65,115000,28.6466,23,-146.39776611328125,52.162,23,259.61
1032.39,120000,33.8077,24,-101.66242218017578,53.5397,24,1093.72
1157.56,125000,27.7419,25,-78.79949951171875,53.1051,25,700.28
92.03,130000,45.7848,26,-301.4765319824219,52.621,26,97.24
1046.88,135000,66.2045,27,-99.88127136230469,56.0649,27,1047.96
924.45,140000,54.4214,28,-147.34481811523438,54.8303,28,461.61
758.56,145000,37.0577,29,-85.85064697265625,52.1998,29,713.82
818.32,150000,46.4728,30,-141.56028747558594,53.0617,30,1010.11
1030.59,155000,44.117,31,-141.81007385253906,55.4538,31,1011.85
595.11,160000,44.2289,32,-229.2220916748047,52.1935,32,597.78
1045.23,165000,53.3747,33,-195.4048309326172,56.0537,33,1044.72
-53.34,170000,79.1526,34,-206.48043823242188,56.3858,34,-55.44
471.57,175000,34.5797,35,-239.6866912841797,51.9861,35,439.36
114.53,180000,39.4959,36,-263.8202819824219,52.2958,36,4.06
321.44,185000,27.6117,37,-283.05615234375,51.4428,37,346.99
648.41,190000,27.7725,38,-204.95236206054688,50.2939,38,843.67
977.51,195000,48.1824,39,-204.35882568359375,54.3564,39,1034.4
1045.96,200000,52.7084,40,-227.49623107910156,55.4805,40,1044.81
328.45,205000,17.5502,41,-236.69674682617188,49.422,41,305.9
380.97,210000,37.4866,42,-315.1153869628906,50.2693,42,401.64
460.64,215000,30.5408,43,-421.354248046875,49.312,43,471.39
952.26,220000,40.7106,44,-294.8633728027344,51.5978,44,1041.96
-18.74,225000,46.3801,45,-346.3970947265625,51.5953,45,-20.73
619.43,230000,42.1753,46,-324.8631286621094,53.2087,46,685.56
720.0,235000,55.3094,47,-334.2855529785156,56.7952,47,721.39
1017.01,240000,38.146,48,-300.4232177734375,56.0662,48,1020.66
1028.82,245000,37.9533,49,-300.7126770019531,55.7382,49,940.3
980.96,250000,66.8361,50,-380.5765075683594,58.1939,50,982.82
-6.39,255000,92.2707,51,-490.4547424316406,58.4947,51,-6.39
-3.49,260000,32.3186,52,-249.89085388183594,54.6498,52,-5.69
367.21,265000,30.297,53,-330.6248474121094,53.6971,53,379.25
853.93,270000,55.4625,54,-414.49749755859375,57.7834,54,896.36
1012.22,275000,49.936,55,-400.0426025390625,56.743,55,1014.35
1014.59,280000,49.2074,56,-414.57861328125,56.6187,56,1015.91
1007.86,285000,39.9395,57,-404.667236328125,55.1886,57,1015.3
1006.71,290000,43.3736,58,-439.88946533203125,55.6017,58,1007.52
153.99,295000,100.8275,59,-659.608154296875,53.8547,59,91.34
555.92,300000,79.2951,60,-420.6497497558594,53.5371,60,557.98
468.37,305000,95.6986,61,-441.0820617675781,51.5872,61,494.27
-10.5,310000,124.8865,62,-522.1421508789062,58.891,62,-10.81
-20.09,315000,102.0136,63,-561.5755004882812,58.0846,63,-19.75
13.33,320000,56.8705,64,-444.9176330566406,56.8928,64,16.38
498.48,325000,48.802,65,-485.4060363769531,51.5359,65,456.74
1166.68,330000,37.7161,66,-480.58013916015625,50.6135,66,1056.15
1026.39,335000,29.32,67,-478.1787414550781,52.2955,67,1097.18
374.77,340000,75.6845,68,-701.2655029296875,53.5762,68,296.31
935.63,345000,32.3599,69,-550.1900024414062,53.1481,69,952.49
-16.37,350000,45.1821,70,-560.4671020507812,52.6711,70,-15.71
-30.99,355000,111.3776,71,-602.1301879882812,56.3113,71,-30.22
693.52,360000,31.1076,72,-505.6770935058594,49.7558,72,632.99
463.16,365000,27.9395,73,-590.3958740234375,49.4723,73,352.77
-1.06,370000,21.6591,74,-622.3097534179688,52.6552,74,-0.75
862.27,375000,42.0489,75,-618.8687133789062,54.1408,75,1006.92
-4.77,380000,71.9039,76,-671.0458984375,55.5143,76,-2.72
21.71,385000,68.9339,77,-695.3956909179688,55.6137,77,18.67
142.09,390000,28.4978,78,-634.7301635742188,52.8439,78,43.51
1070.01,395000,24.0108,79,-522.26806640625,51.9196,79,1035.91
1040.55,400000,17.3676,80,-524.0286865234375,51.244,80,1033.18
986.54,405000,15.7358,81,-469.71148681640625,50.9219,81,1169.02
907.92,410000,17.6364,82,-529.41015625,51.2087,82,1034.82
609.13,415000,17.2533,83,-582.9327392578125,50.0592,83,624.84
404.17,420000,17.5777,84,-649.7413330078125,48.4844,84,432.54
-8.46,425000,34.4889,85,-761.941162109375,51.6994,85,-8.4
-10.88,430000,70.3635,86,-927.2947387695312,54.8496,86,-11.28
-6.25,435000,25.7039,87,-549.4343872070312,54.3589,87,-5.95
6.35,440000,91.8544,88,-843.2208251953125,56.4355,88,4.5
1029.0,445000,55.7357,89,-777.7064819335938,56.0195,89,1029.49
990.95,450000,54.4033,90,-781.3483276367188,56.5578,90,1032.04
258.29,455000,53.7964,91,-845.574951171875,54.5092,91,393.87
1030.08,460000,52.8811,92,-802.2447509765625,56.7815,92,1029.49
974.74,465000,45.4774,93,-761.9327392578125,55.7331,93,1037.15
1015.87,470000,44.5996,94,-784.8675537109375,55.8061,94,1045.42
1038.98,475000,32.7215,95,-732.7161254882812,55.2148,95,1037.85
1038.18,480000,45.7615,96,-816.1265258789062,56.2602,96,1037.87
1017.49,485000,42.5358,97,-792.5844116210938,55.5771,97,1019.48
-22.54,490000,86.9317,98,-981.5698852539062,55.9346,98,-22.46
-4.06,495000,66.2061,99,-1201.62744140625,56.8772,99,-3.86
441.54,500000,45.2765,100,-961.2568359375,54.2909,100,489.33
1006.91,505000,58.1028,101,-951.8379516601562,57.079,101,1007.33
841.79,510000,28.803,102,-816.9423828125,53.3947,102,973.66
1015.47,515000,46.4461,103,-912.1190185546875,53.9505,103,1008.8
542.62,520000,70.0349,104,-908.5468139648438,52.4438,104,1034.58
-1.08,525000,29.1423,105,-1051.07373046875,53.5712,105,-5.52
1004.67,530000,39.951,106,-864.0986938476562,56.5593,106,1005.73
226.19,535000,35.9458,107,-1028.353759765625,53.7155,107,144.68
504.51,540000,25.5341,108,-829.3750610351562,51.6782,108,463.37
266.48,545000,26.4882,109,-896.2528076171875,49.6964,109,324.51
1033.73,550000,49.241,110,-922.708251953125,55.6261,110,1033.66
1022.04,555000,52.7594,111,-948.8434448242188,56.5242,111,1015.99
978.31,560000,42.4804,112,-869.0357666015625,56.6253,112,1011.38
921.72,565000,39.3825,113,-1010.7296752929688,54.9942,113,594.73
1011.46,570000,59.7066,114,-1014.1192626953125,55.8205,114,1012.78
55.48,575000,43.9655,115,-1221.3043212890625,51.5197,115,96.07
32.61,580000,50.4151,116,-1398.8914794921875,55.8924,116,16.95
147.12,585000,32.9184,117,-1206.01171875,53.1178,117,217.94
273.22,590000,18.4816,118,-1031.5323486328125,50.0776,118,353.5
53.08,595000,38.0247,119,-1043.39111328125,52.4069,119,38.51
386.11,600000,22.4464,120,-1088.595703125,50.87,120,808.95
1032.11,605000,37.7337,121,-1042.390625,55.2581,121,1029.65
590.85,610000,29.4586,122,-996.2495727539062,50.7294,122,1047.82
13.76,615000,43.8458,123,-1266.566162109375,53.4827,123,12.41
998.46,620000,47.3912,124,-1196.9805908203125,54.5079,124,1029.4
1017.33,625000,43.1298,125,-1151.3272705078125,55.4957,125,1019.28
77.82,630000,27.6267,126,-1177.1998291015625,51.4317,126,83.4
1024.22,635000,44.5093,127,-1149.05908203125,55.5123,127,1025.0
506.28,640000,37.2809,128,-1233.0462646484375,53.2341,128,400.51
1026.89,645000,48.3982,129,-1156.83740234375,55.3993,129,998.89
102.48,650000,19.701,130,-1134.2105712890625,51.3923,130,66.72
78.34,655000,29.9268,131,-1251.625244140625,51.5014,131,110.79
82.21,660000,42.0824,132,-1358.13232421875,53.6125,132,81.31
192.59,665000,15.7529,133,-1303.3348388671875,51.0125,133,157.54
274.89,670000,14.1828,134,-1195.4600830078125,49.9247,134,301.26
242.66,675000,16.588,135,-1114.569091796875,50.4879,135,276.08
265.02,680000,17.9524,136,-1116.758544921875,51.0423,136,300.48
465.93,685000,29.3981,137,-1223.0194091796875,51.1511,137,609.37
254.41,690000,43.9549,138,-1334.0372314453125,52.5802,138,283.66
674.85,695000,25.9954,139,-1165.951171875,50.1327,139,984.06
685.51,700000,33.7587,140,-1226.7403564453125,51.1612,140,643.13
328.51,705000,28.3262,141,-1230.863525390625,50.9194,141,344.93
492.74,710000,18.6415,142,-1153.0936279296875,50.3158,142,460.47
221.94,715000,44.405,143,-1499.585693359375,52.6065,143,226.1
262.43,720000,27.1217,144,-1356.321533203125,51.1742,144,276.58
271.03,725000,20.4364,145,-1301.628662109375,51.211,145,272.43
343.25,730000,29.428,146,-1362.4893798828125,49.688,146,353.53
349.45,735000,38.9048,147,-1178.7117919921875,51.285,147,391.89
291.12,740000,31.5948,148,-1461.297119140625,51.6142,148,334.09
440.79,745000,17.0525,149,-1179.9886474609375,49.0498,149,513.64
372.91,750000,27.4913,150,-1535.6815185546875,50.4633,150,348.98
384.31,755000,27.5666,151,-1499.535888671875,51.4269,151,379.77
391.38,760000,26.8823,152,-1440.558349609375,49.3423,152,499.86
331.48,765000,34.5241,153,-1330.9586181640625,50.1238,153,330.78
415.79,770000,35.5013,154,-1414.572998046875,50.8465,154,489.12
355.45,775000,16.567,155,-1149.921630859375,49.2295,155,386.29
379.74,780000,19.3047,156,-1283.38525390625,49.9249,156,379.2
367.66,785000,16.0284,157,-1314.3565673828125,49.7516,157,405.18
364.02,790000,26.9806,158,-1312.2105712890625,50.9089,158,371.3
336.25,795000,21.7412,159,-1517.5950927734375,50.1366,159,359.4
233.69,800000,18.0916,160,-1315.8018798828125,50.6967,160,242.14
191.46,805000,21.054,161,-1436.2664794921875,50.022,161,36.93
358.0,810000,48.9845,162,-1828.2752685546875,50.8761,162,415.86
582.17,815000,46.3606,163,-1741.455078125,51.4774,163,1056.93
283.02,820000,41.506,164,-1600.1058349609375,50.2149,164,156.4
277.63,825000,44.2594,165,-1763.9796142578125,54.7098,165,283.68
260.99,830000,39.8673,166,-1682.08154296875,52.2309,166,309.41
589.44,835000,77.9012,167,-1842.899169921875,55.5124,167,495.8
381.86,840000,59.0931,168,-1808.16748046875,53.3593,168,472.36
1012.37,845000,69.6794,169,-1697.5609130859375,56.8899,169,1012.61
1000.0,850000,69.0166,170,-1770.5885009765625,57.3851,170,1000.21
1007.2,855000,57.1402,171,-1713.4923095703125,57.668,171,1007.47
999.36,860000,62.5527,172,-1772.449462890625,56.8708,172,1000.1
1018.58,865000,56.1508,173,-1760.2230224609375,55.6239,173,528.64
1007.1,870000,65.0437,174,-1788.1778564453125,57.1016,174,1007.42
1044.95,875000,66.8865,175,-1818.2911376953125,57.4351,175,1044.55
1027.49,880000,66.4087,176,-1909.790771484375,56.4214,176,1027.48
1021.35,885000,48.3804,177,-1851.8355712890625,55.6166,177,1006.06
1020.79,890000,52.2669,178,-1837.7725830078125,56.989,178,1021.52
616.37,895000,40.3214,179,-1743.516845703125,53.3385,179,1000.91
995.27,900000,55.6338,180,-1926.08349609375,57.0118,180,995.94
472.53,905000,27.4078,181,-1769.8416748046875,51.5755,181,532.37
829.77,910000,54.9385,182,-1807.82080078125,51.7855,182,836.8
262.13,915000,20.2016,183,-1589.634521484375,51.2623,183,268.74
414.46,920000,22.7883,184,-1783.51708984375,50.8987,184,435.61
238.95,925000,21.7538,185,-1567.0814208984375,50.1767,185,234.48
367.1,930000,21.2523,186,-1337.8575439453125,49.3461,186,371.43
704.71,935000,20.4387,187,-1555.665283203125,48.7701,187,984.32
190.22,940000,23.6806,188,-1680.317626953125,49.5987,188,336.47
312.78,945000,32.5157,189,-2171.91845703125,51.9826,189,195.24
296.19,950000,28.3989,190,-1785.6287841796875,50.5208,190,324.07
332.97,955000,23.9338,191,-2021.1761474609375,50.8433,191,369.15
339.11,960000,22.2724,192,-1894.66064453125,50.829,192,472.9
366.35,965000,29.716,193,-1683.673828125,50.8787,193,478.02
204.31,970000,21.7119,194,-2227.06201171875,50.5703,194,215.32
340.15,975000,35.0902,195,-2009.6142578125,50.6482,195,338.93
500.66,980000,35.0075,196,-1792.1578369140625,51.522,196,569.14
225.57,985000,20.4127,197,-2033.22509765625,51.8332,197,349.48
346.33,990000,54.7045,198,-2292.554443359375,50.8496,198,358.39
320.35,995000,28.3057,199,-2163.10205078125,50.2388,199,306.73
367.16,1000000,16.93,200,-1874.8997802734375,49.687,200,365.38
318.18,1005000,17.1529,201,-1887.0618896484375,49.9414,201,241.91
260.69,1010000,18.826,202,-2037.26318359375,50.2901,202,300.89
339.92,1015000,28.8887,203,-2179.903076171875,49.8959,203,370.55
