Running Reverse KL,Reward Loss,Itration,Running Update Time,Real Det Return,Running Forward KL,Real Sto Return,Running Env Steps
11.9459,-1328.4776611328125,0,0,-63.13,158.612,-203.93,0
11.7578,-1577.021484375,1,1,42.2,158.4347,-117.14,5000
11.8178,-1912.7584228515625,2,2,68.15,158.1888,-1.8,10000
12.6778,-2593.43310546875,3,3,673.94,158.3119,173.39,15000
12.5746,-2950.512939453125,4,4,734.11,158.249,267.25,20000
13.9109,-3528.966064453125,5,5,852.97,158.0953,454.88,25000
13.1557,-3634.424072265625,6,6,821.67,157.7998,461.57,30000
13.5088,-3763.487060546875,7,7,910.94,157.8551,622.49,35000
14.1487,-4032.931640625,8,8,929.06,157.8787,759.1,40000
14.84,-4226.875,9,9,1287.68,157.9792,869.26,45000
15.6575,-4439.03662109375,10,10,1450.98,157.7484,1035.93,50000
15.8239,-4642.73095703125,11,11,1496.06,157.644,1108.75,55000
15.9371,-4909.427734375,12,12,1539.12,157.4563,1166.75,60000
15.8139,-4977.2998046875,13,13,1612.69,157.5441,1203.26,65000
15.5113,-5131.849609375,14,14,1594.96,157.6251,1169.38,70000
15.8095,-5350.595703125,15,15,1657.32,157.6169,1255.1,75000
16.2102,-5629.01123046875,16,16,1715.87,157.4436,1299.99,80000
15.6471,-5847.79345703125,17,17,1732.03,157.4097,1264.33,85000
15.7886,-5955.88427734375,18,18,1798.14,157.4237,1359.7,90000
16.4476,-6208.81982421875,19,19,1858.57,157.4763,1428.92,95000
15.4697,-6282.13134765625,20,20,1793.73,157.3971,1427.95,100000
15.548,-6470.25146484375,21,21,1796.77,157.417,1401.85,105000
15.8105,-6587.83544921875,22,22,1869.21,157.5127,1453.42,110000
15.7773,-6752.4951171875,23,23,1883.02,157.4742,1503.21,115000
15.7265,-6914.361328125,24,24,1832.75,157.557,1485.84,120000
15.7102,-7314.4453125,25,25,1852.71,157.638,1478.35,125000
15.5616,-7436.32958984375,26,26,1901.15,157.2581,1519.3,130000
15.5105,-7586.73291015625,27,27,1889.64,157.2957,1518.13,135000
15.5744,-7679.17529296875,28,28,1909.17,157.3644,1562.0,140000
15.7548,-7803.06494140625,29,29,1956.1,157.2892,1590.76,145000
15.6756,-8010.048828125,30,30,1932.94,157.2727,1597.8,150000
15.1881,-8302.314453125,31,31,1939.65,157.0583,1627.46,155000
15.7194,-8390.8583984375,32,32,1987.31,157.1003,1642.27,160000
15.6474,-8609.966796875,33,33,1957.34,156.9805,1611.03,165000
15.2874,-8819.5224609375,34,34,1971.14,156.963,1603.62,170000
15.5933,-9092.232421875,35,35,1967.64,157.1623,1599.3,175000
13.9284,-9026.7431640625,36,36,25.12,157.1788,1106.56,180000
15.3519,-9449.0771484375,37,37,1926.34,157.1596,1621.28,185000
15.3397,-9573.2900390625,38,38,1907.13,156.8328,1591.06,190000
15.4853,-9815.1318359375,39,39,2023.36,157.2284,1637.32,195000
15.225,-10130.0244140625,40,40,2024.72,156.8194,1648.39,200000
15.4987,-10145.12109375,41,41,2011.61,157.0416,1683.49,205000
15.6511,-10293.095703125,42,42,1999.1,157.3011,1669.34,210000
15.5913,-10378.716796875,43,43,1999.7,157.1006,1687.1,215000
15.4973,-10704.7236328125,44,44,2022.48,157.1193,1703.69,220000
15.7383,-11031.359375,45,45,2049.6,157.0677,1701.05,225000
15.35,-11267.98046875,46,46,2063.75,156.9183,1710.21,230000
15.9766,-11457.4892578125,47,47,2103.27,157.1616,1759.98,235000
15.7444,-11520.78125,48,48,2069.54,157.03,1742.06,240000
15.3207,-11863.3408203125,49,49,2008.02,157.0044,1701.27,245000
