Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Running Update Time,Itration,Reward Loss,Running Env Steps
74.7719,-111.52,27.2565,362.92,0,0,17.022497177124023,0
75.0448,-52.84,26.8052,256.91,1,1,-0.9541362524032593,5000
74.0619,-14.72,26.8482,441.64,2,2,-16.879484176635742,10000
73.2381,-11.24,27.5245,514.4,3,3,-34.729034423828125,15000
73.7113,-8.28,28.5467,592.66,4,4,-58.13679885864258,20000
73.0697,9.96,29.7361,645.2,5,5,-77.14433288574219,25000
73.7574,47.74,31.7057,565.83,6,6,-98.1646957397461,30000
72.7715,56.18,29.5954,666.66,7,7,-100.70938110351562,35000
73.6816,74.63,32.1033,592.4,8,8,-125.98436737060547,40000
72.1685,77.17,31.7422,627.22,9,9,-140.72886657714844,45000
72.384,118.62,32.4152,456.79,10,10,-148.5166015625,50000
72.8191,114.56,32.0094,562.5,11,11,-168.16082763671875,55000
72.3742,128.12,32.1305,717.71,12,12,-178.4170379638672,60000
71.594,180.23,32.7356,647.24,13,13,-197.3120574951172,65000
71.0476,202.7,31.9019,882.95,14,14,-210.0325469970703,70000
71.4133,148.76,32.4949,656.99,15,15,-225.43942260742188,75000
71.4906,188.85,31.1893,905.56,16,16,-237.10403442382812,80000
70.5319,177.72,31.4619,837.41,17,17,-250.3894500732422,85000
74.4433,133.55,31.9017,742.93,18,18,-269.58941650390625,90000
72.5179,191.2,32.5466,833.4,19,19,-283.4950256347656,95000
73.2573,191.49,33.4518,837.79,20,20,-294.7267150878906,100000
74.0729,194.37,32.8954,801.06,21,21,-319.3045349121094,105000
72.9566,180.61,31.8599,759.53,22,22,-316.5509033203125,110000
70.127,240.01,31.4942,777.05,23,23,-330.6075744628906,115000
71.7979,186.89,32.241,730.79,24,24,-350.4527282714844,120000
72.4075,169.46,32.3732,769.68,25,25,-373.6648254394531,125000
73.0563,177.64,32.9022,834.44,26,26,-389.1396179199219,130000
71.736,222.34,32.0299,865.58,27,27,-399.5037536621094,135000
71.6551,192.61,31.4463,793.15,28,28,-413.3262634277344,140000
72.3233,194.27,31.9987,910.3,29,29,-435.22198486328125,145000
