Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Itration,Running Forward KL,Real Sto Return,Real Det Return
423.7283020019531,17.7892,0,0,0,32.8814,219.37,231.63
365.5425720214844,17.0085,5000,1,1,33.0973,188.9,192.75
316.39111328125,17.4552,10000,2,2,32.0574,236.79,251.68
309.88848876953125,15.9457,15000,3,3,32.4221,228.87,230.51
280.3851623535156,16.332,20000,4,4,30.9963,284.33,286.44
190.34410095214844,18.2751,25000,5,5,33.1879,313.82,320.94
102.4001235961914,19.9769,30000,6,6,31.4155,327.36,338.07
52.76603698730469,19.2292,35000,7,7,32.1739,315.73,311.23
-40.13542938232422,31.238,40000,8,8,30.8663,303.66,301.86
-99.9384994506836,32.9562,45000,9,9,31.7184,317.74,316.46
-182.58384704589844,36.1573,50000,10,10,31.4487,311.63,314.62
-257.155029296875,32.8749,55000,11,11,31.4266,318.8,321.33
-314.8002624511719,43.3342,60000,12,12,31.0446,315.41,307.23
-384.8913879394531,36.4264,65000,13,13,31.2811,324.1,328.35
-402.857177734375,30.2069,70000,14,14,31.3013,327.23,329.96
-473.91943359375,32.6985,75000,15,15,31.1534,322.04,316.11
-553.313720703125,38.8914,80000,16,16,31.4753,326.5,325.98
-595.0782470703125,36.6024,85000,17,17,30.9352,314.49,315.73
-649.0411376953125,34.6364,90000,18,18,31.1787,321.14,329.02
-706.3558349609375,33.9953,95000,19,19,30.8832,326.87,334.25
-756.7635498046875,37.7115,100000,20,20,30.7995,325.79,328.35
-785.7196655273438,29.4432,105000,21,21,30.752,323.16,328.88
-846.5968627929688,35.0281,110000,22,22,30.8022,330.31,337.82
-866.2783203125,25.14,115000,23,23,31.0945,337.51,341.0
-935.8116455078125,27.2782,120000,24,24,29.6706,351.05,369.16
-950.7153930664062,28.8577,125000,25,25,30.2574,376.22,373.55
-851.3212890625,19.3387,130000,26,26,26.7757,445.18,580.7
-718.5206298828125,19.9426,135000,27,27,26.5614,575.4,627.72
-873.7503051757812,20.3244,140000,28,28,26.6851,633.12,663.14
-723.91552734375,16.7251,145000,29,29,27.0437,582.85,685.7
-903.6885986328125,20.6566,150000,30,30,26.1347,799.15,849.21
-1056.0089111328125,23.7473,155000,31,31,24.8724,770.75,800.45
-912.1599731445312,22.2097,160000,32,32,25.2446,516.25,286.1
