Real Sto Return,Itration,Running Reverse KL,Real Det Return,Running Forward KL
307.42,0,255.3703,454.16,429.2153
322.24,1,334.0201,334.25,435.9567
346.21,2,315.5054,304.9,432.4672
426.49,3,272.708,456.99,407.1881
419.74,4,267.0839,336.69,414.0786
409.91,5,279.3031,552.96,397.3551
377.68,6,317.1895,379.35,425.5917
411.18,7,305.2238,460.35,409.5584
471.41,8,278.7187,463.26,413.177
381.69,9,310.7649,385.38,404.3421
421.29,10,300.9673,412.87,403.7414
488.75,11,312.7218,410.69,416.0315
478.78,12,292.1618,441.13,403.2084
441.99,13,302.2403,452.26,387.2734
476.8,14,273.9743,515.0,381.3816
517.82,15,297.8486,593.1,394.907
472.1,16,307.7273,513.33,394.5147
521.48,17,359.1066,603.8,388.8675
501.37,18,437.733,553.99,403.9812
545.78,19,327.1214,610.06,383.036
617.69,20,331.7057,632.8,385.5359
582.35,21,305.1677,512.56,382.957
584.43,22,356.3079,583.99,386.3427
522.59,23,281.702,462.7,401.6872
737.72,24,287.9567,618.28,383.6792
620.66,25,356.0827,550.13,383.4846
596.85,26,274.9658,376.85,383.1294
629.29,27,294.373,526.41,393.982
628.95,28,325.4038,511.37,381.1795
580.02,29,322.666,579.04,389.0659
660.94,30,255.6334,539.71,375.2292
585.43,31,311.0727,589.41,377.2096
674.58,32,309.8431,591.15,369.9473
726.04,33,306.1172,705.63,376.7221
597.39,34,293.3425,580.16,387.073
729.84,35,332.0206,571.11,376.3858
855.23,36,301.6945,845.29,366.3091
922.94,37,268.6791,834.29,379.5832
725.58,38,298.0926,688.17,375.4054
934.71,39,258.0063,784.44,363.1507
901.79,40,259.7609,783.52,367.7106
957.93,41,299.1328,1384.15,360.394
1025.79,42,262.8992,1180.68,356.964
1066.67,43,272.1166,1211.54,352.5102
1118.94,44,262.6446,968.6,363.7363
683.59,45,282.4991,647.1,390.6423
836.89,46,262.2233,852.05,374.2547
713.41,47,270.2949,587.0,386.3696
1036.56,48,267.7693,809.15,371.3636
850.0,49,290.9906,705.18,373.4042
1207.56,50,248.7898,999.33,351.5655
1098.4,51,251.4853,1189.18,351.8578
1296.65,52,221.1837,1040.78,346.4966
1345.86,53,238.1134,1623.31,341.505
1598.1,54,190.1344,952.19,339.103
1041.59,55,309.2689,1114.27,353.8119
1476.14,56,200.8305,1352.61,338.1109
1776.12,57,269.315,1119.62,352.4167
716.9,58,259.7864,493.97,388.7622
1388.13,59,212.0676,986.7,357.8585
1370.76,60,191.4835,839.96,350.1749
1783.53,61,185.3186,1009.03,337.2693
2100.81,62,201.9346,1327.42,331.4546
2856.46,63,162.047,693.05,323.8914
3530.29,64,246.5412,1563.94,334.4446
2947.99,65,159.9391,1451.03,316.0971
3555.81,66,155.4853,2182.46,317.6679
2688.35,67,156.4712,1987.57,323.3706
2250.61,68,196.951,2421.24,327.654
1881.95,69,188.8816,1012.9,330.1241
3827.4,70,139.7342,1224.92,309.3645
2583.64,71,220.2983,2212.86,338.7657
3466.94,72,139.6312,1967.37,311.9932
3675.57,73,137.9319,2030.89,311.941
3632.41,74,172.9155,2691.86,318.9333
3884.84,75,130.4403,2826.8,314.3794
3046.01,76,142.3245,1480.77,313.8342
3282.53,77,160.7442,3396.55,322.9393
3879.95,78,138.4897,4144.93,313.5125
3083.78,79,122.4374,3970.74,308.7242
3493.64,80,169.6734,2317.86,325.0031
3598.91,81,149.6551,3089.02,317.5555
3906.87,82,134.3675,4317.11,312.5288
3914.12,83,160.4921,3375.91,318.9153
3292.57,84,131.4759,4049.91,294.3119
3723.65,85,116.9188,4182.98,310.7655
4750.14,86,120.8396,4576.81,308.0888
4109.02,87,102.5761,2900.43,296.8919
4104.56,88,110.741,2986.29,300.8525
4347.4,89,104.4507,3825.04,296.0362
4532.33,90,113.0237,3760.34,301.3339
4010.3,91,120.6626,2404.89,301.7521
3464.86,92,162.0843,1799.65,307.8858
4280.51,93,121.4498,2282.51,300.6981
2799.29,94,227.8207,1723.43,333.2092
2774.93,95,212.6508,1889.36,322.1801
3362.97,96,211.5159,1564.19,321.6115
2939.63,97,180.214,2111.65,314.4469
3969.97,98,171.2732,1454.39,318.2015
4078.73,99,150.5545,2910.69,313.4339
4585.39,100,91.6352,2781.72,290.9339
2414.29,101,215.972,2909.21,332.5443
4056.03,102,212.5916,1997.89,317.2484
3221.94,103,227.4291,1237.52,325.5308
2284.72,104,185.5071,1324.28,320.4779
3962.39,105,153.5294,2868.56,307.488
4757.77,106,138.2665,3005.27,307.7707
4010.07,107,164.127,3783.93,315.2599
4216.21,108,150.5552,1830.04,309.0087
4488.74,109,137.2449,2894.47,307.1741
4681.37,110,154.5761,4102.82,314.4936
4067.91,111,136.0529,2324.01,306.8385
4024.95,112,92.2881,2654.33,295.0499
4924.15,113,100.7368,4422.67,302.4163
3868.06,114,122.6622,4647.7,307.6487
2549.9,115,189.781,1008.74,312.9229
3685.34,116,146.0127,2960.24,305.3646
2771.49,117,159.7793,1599.35,312.1155
4857.92,118,130.977,4896.93,297.0804
4120.84,119,138.1805,2972.05,315.5621
4580.88,120,125.9096,4356.64,308.5222
3102.38,121,174.4366,2234.65,310.0784
4449.88,122,139.993,2462.46,318.1537
4024.18,123,111.2337,4207.41,301.8379
2138.38,124,177.4587,1848.2,318.0882
3445.82,125,148.2009,933.27,316.4814
4057.18,126,124.0417,4086.21,301.8284
5016.65,127,119.6937,5039.88,308.9001
3827.14,128,204.9933,2328.38,323.7429
3818.18,129,164.3856,1887.71,318.2312
4346.26,130,150.9889,3829.75,312.5212
4618.03,131,101.1381,5233.07,307.3982
3847.48,132,139.7217,4274.91,311.3264
4851.52,133,116.293,3753.11,307.7176
4833.34,134,106.3729,3445.95,307.9198
4983.27,135,106.7632,1775.13,308.2953
3399.0,136,158.3577,1887.18,316.4876
4881.47,137,112.8468,3827.55,303.5713
4621.3,138,160.1713,2186.0,313.1708
4379.15,139,102.733,3237.42,304.9663
4783.94,140,113.6789,3670.43,304.8605
3086.77,141,131.7698,1743.24,307.6126
4575.86,142,105.5354,5107.19,302.6335
4515.12,143,122.3377,1900.07,305.7119
5043.46,144,101.3057,4258.48,303.9064
4252.19,145,138.9152,3739.84,311.3611
4833.66,146,100.0492,4476.13,301.5316
4287.48,147,112.7908,3592.17,299.5707
4466.37,148,108.1064,4037.65,308.9235
5137.67,149,104.6253,3007.96,301.4975
4882.29,150,102.0706,5163.72,303.129
5023.69,151,93.4792,5306.17,300.8718
4144.27,152,107.0723,4652.49,300.355
4741.27,153,123.997,5112.11,304.6881
5061.87,154,113.7835,5083.88,306.3859
5224.57,155,100.7414,5115.54,302.0301
4641.74,156,135.2404,3893.48,311.5607
4686.13,157,92.4706,4901.49,297.2074
4993.52,158,131.764,5127.94,304.3313
4476.02,159,117.7455,2944.13,304.2117
4413.58,160,120.446,4740.27,307.3454
5157.19,161,101.2982,5251.7,304.1038
4589.32,162,115.3336,5042.18,301.3839
4528.17,163,95.833,4772.48,298.4681
4361.68,164,144.5172,4838.08,309.7233
5017.39,165,99.4197,4897.41,304.3492
5089.44,166,107.0248,5221.38,302.8492
5136.74,167,84.9533,4177.38,293.0714
5181.25,168,104.5916,5311.48,300.6063
5136.4,169,121.8102,5136.19,300.816
5069.88,170,90.7896,5267.32,298.6169
4805.97,171,98.8259,5292.98,301.1038
5245.12,172,146.3948,5367.91,306.2568
5026.49,173,92.5312,4973.62,299.9575
5111.46,174,98.5273,3245.95,300.3194
5152.88,175,95.9163,4859.89,300.6749
5246.14,176,95.7707,5229.57,299.2221
4556.55,177,150.6989,4398.64,310.1024
4817.21,178,128.9724,4365.92,305.9835
5171.54,179,96.9195,5242.77,301.0712
4999.3,180,100.0392,5182.26,304.648
4579.46,181,94.5417,5125.96,296.3767
5152.51,182,89.9003,5037.75,299.6974
5219.89,183,92.4446,5303.28,297.9209
5216.94,184,96.9593,5294.6,302.5794
5007.65,185,110.9168,5351.15,305.2025
5163.72,186,108.7791,5165.36,302.7249
4973.74,187,93.7956,5252.03,299.1361
5175.13,188,94.7319,5351.57,301.9578
5078.18,189,113.5363,4735.26,306.0886
5152.91,190,98.3416,4626.57,298.6278
5083.11,191,88.2127,5239.79,301.0394
5228.74,192,93.3301,5304.51,301.8787
5040.06,193,94.109,5084.64,300.904
5002.59,194,101.1605,5256.15,305.89
5305.6,195,101.179,5344.85,305.5712
5226.11,196,101.2475,5280.65,308.2542
4820.18,197,98.0664,5348.18,305.0474
5046.2,198,97.16,5323.97,303.6752
5235.19,199,113.6474,5270.95,307.7209
4714.95,200,121.2022,4964.97,308.3738
5196.07,201,106.5829,5239.72,305.3518
5158.4,202,105.2965,3226.66,311.1417
4767.69,203,120.627,4655.15,310.9517
4906.05,204,110.1013,5114.8,309.6588
5206.6,205,120.8849,4467.43,311.1224
4793.29,206,105.4658,4220.65,310.3555
5228.03,207,109.035,5397.5,306.8239
5105.42,208,108.6267,5440.28,305.7544
4727.94,209,107.6989,5399.52,307.2719
